timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:25:00+08:00,RPA-app,32.51%,33.99MiB / 2GiB,1.66%,3.96GB / 3.85GB,368MB / 997MB,9
2026-06-21T16:25:00+08:00,RPA-pgdb,0.07%,125.5MiB / 15.4GiB,0.80%,594MB / 3.78GB,49.4MB / 1.02GB,19
2026-06-21T16:25:00+08:00,RPA-redis,0.16%,8.598MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:25:00+08:00,RPA-grafana,0.15%,79.52MiB / 15.4GiB,0.50%,23.6MB / 280kB,593MB / 140MB,25
2026-06-21T16:25:00+08:00,RPA-alloy,54.98%,188.8MiB / 15.4GiB,1.20%,2.58MB / 874MB,812MB / 67.8MB,27
2026-06-21T16:25:00+08:00,RPA-loki,13.98%,509MiB / 15.4GiB,3.23%,875MB / 348MB,581MB / 5.83GB,26
2026-06-21T16:25:00+08:00,rmqbroker,3.66%,834.8MiB / 15.4GiB,5.29%,1.88MB / 3.27MB,324MB / 966MB,320
2026-06-21T16:25:00+08:00,rmqdashboard,0.14%,323.7MiB / 15.4GiB,2.05%,1.98MB / 1.07MB,242MB / 444MB,66
2026-06-21T16:25:00+08:00,RPA-prometheus,11.61%,324.3MiB / 15.4GiB,2.06%,328MB / 4.53MB,321MB / 124MB,26
2026-06-21T16:25:00+08:00,RPA-minio,0.02%,141.7MiB / 15.4GiB,0.90%,372MB / 17.4MB,249MB / 713MB,53
2026-06-21T16:25:00+08:00,rmqnamesrv,0.14%,123.9MiB / 15.4GiB,0.79%,3.02MB / 2.29MB,233MB / 451MB,81
2026-06-21T16:25:00+08:00,RPA-cadvisor,4.39%,262.9MiB / 15.4GiB,1.67%,4.53MB / 327MB,206MB / 20.6MB,28
2026-06-21T16:25:00+08:00,script-k6-run-11f07674e08d,809.31%,204.9MiB / 15.4GiB,1.30%,25MB / 24.5MB,225kB / 0B,26
2026-06-21T16:25:03+08:00,script-k6-run-11f07674e08d,757.69%,491.2MiB / 15.4GiB,3.12%,84.2MB / 82.7MB,225kB / 0B,26
2026-06-21T16:25:03+08:00,RPA-app,177.93%,33.96MiB / 2GiB,1.66%,4.04GB / 3.93GB,368MB / 997MB,9
2026-06-21T16:25:03+08:00,RPA-pgdb,0.05%,125.8MiB / 15.4GiB,0.80%,594MB / 3.78GB,49.4MB / 1.03GB,19
2026-06-21T16:25:03+08:00,RPA-redis,0.17%,8.352MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:25:03+08:00,RPA-grafana,0.16%,79.52MiB / 15.4GiB,0.50%,23.6MB / 280kB,593MB / 140MB,25
2026-06-21T16:25:03+08:00,RPA-alloy,10.16%,171.8MiB / 15.4GiB,1.09%,2.59MB / 877MB,812MB / 67.8MB,27
2026-06-21T16:25:03+08:00,RPA-loki,7.40%,511.8MiB / 15.4GiB,3.25%,878MB / 354MB,585MB / 5.83GB,26
2026-06-21T16:25:03+08:00,rmqbroker,5.96%,836.8MiB / 15.4GiB,5.31%,1.88MB / 3.27MB,325MB / 966MB,320
2026-06-21T16:25:03+08:00,rmqdashboard,0.07%,324.2MiB / 15.4GiB,2.06%,1.98MB / 1.07MB,243MB / 444MB,66
2026-06-21T16:25:03+08:00,RPA-prometheus,0.00%,324.3MiB / 15.4GiB,2.06%,328MB / 4.53MB,321MB / 124MB,26
2026-06-21T16:25:03+08:00,RPA-minio,0.03%,141.9MiB / 15.4GiB,0.90%,378MB / 17.4MB,249MB / 718MB,53
2026-06-21T16:25:03+08:00,rmqnamesrv,0.18%,123.9MiB / 15.4GiB,0.79%,3.02MB / 2.29MB,233MB / 451MB,81
2026-06-21T16:25:03+08:00,RPA-cadvisor,5.95%,264.6MiB / 15.4GiB,1.68%,4.53MB / 327MB,206MB / 20.6MB,28
2026-06-21T16:25:07+08:00,script-k6-run-11f07674e08d,756.42%,358.1MiB / 15.4GiB,2.27%,124MB / 121MB,225kB / 0B,26
2026-06-21T16:25:07+08:00,RPA-app,176.22%,34.93MiB / 2GiB,1.71%,4.08GB / 3.97GB,368MB / 997MB,9
2026-06-21T16:25:07+08:00,RPA-pgdb,2.44%,128.8MiB / 15.4GiB,0.82%,594MB / 3.78GB,49.4MB / 1.03GB,20
2026-06-21T16:25:07+08:00,RPA-redis,0.20%,8.102MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:25:07+08:00,RPA-grafana,0.19%,79.52MiB / 15.4GiB,0.50%,23.6MB / 280kB,593MB / 140MB,25
2026-06-21T16:25:07+08:00,RPA-alloy,103.88%,172MiB / 15.4GiB,1.09%,2.59MB / 879MB,812MB / 67.8MB,27
2026-06-21T16:25:07+08:00,RPA-loki,13.27%,536.6MiB / 15.4GiB,3.40%,880MB / 354MB,585MB / 5.83GB,26
2026-06-21T16:25:07+08:00,rmqbroker,6.36%,837.4MiB / 15.4GiB,5.31%,1.88MB / 3.27MB,326MB / 966MB,320
2026-06-21T16:25:07+08:00,rmqdashboard,0.09%,324.2MiB / 15.4GiB,2.06%,1.98MB / 1.07MB,243MB / 444MB,66
2026-06-21T16:25:07+08:00,RPA-prometheus,0.00%,324.3MiB / 15.4GiB,2.06%,328MB / 4.53MB,321MB / 124MB,26
2026-06-21T16:25:07+08:00,RPA-minio,0.03%,141.9MiB / 15.4GiB,0.90%,378MB / 17.4MB,249MB / 718MB,53
