timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:26:04+08:00,RPA-app,168.05%,34.04MiB / 2GiB,1.66%,4.8GB / 4.71GB,368MB / 997MB,9
2026-06-21T16:26:04+08:00,RPA-pgdb,0.09%,125.8MiB / 15.4GiB,0.80%,594MB / 3.78GB,49.6MB / 1.03GB,19
2026-06-21T16:26:04+08:00,RPA-redis,0.20%,8.355MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:26:04+08:00,RPA-grafana,0.15%,79.57MiB / 15.4GiB,0.50%,23.6MB / 280kB,593MB / 140MB,25
2026-06-21T16:26:04+08:00,RPA-alloy,1.81%,191.1MiB / 15.4GiB,1.21%,2.7MB / 922MB,820MB / 67.9MB,27
2026-06-21T16:26:04+08:00,RPA-loki,15.78%,516.6MiB / 15.4GiB,3.28%,923MB / 374MB,603MB / 6.16GB,26
2026-06-21T16:26:04+08:00,rmqbroker,4.65%,849.2MiB / 15.4GiB,5.39%,1.9MB / 3.29MB,340MB / 967MB,320
2026-06-21T16:26:04+08:00,rmqdashboard,0.07%,331.7MiB / 15.4GiB,2.10%,1.99MB / 1.08MB,250MB / 444MB,66
2026-06-21T16:26:04+08:00,RPA-prometheus,0.00%,324.6MiB / 15.4GiB,2.06%,329MB / 4.56MB,321MB / 125MB,26
2026-06-21T16:26:04+08:00,RPA-minio,0.02%,143.9MiB / 15.4GiB,0.91%,398MB / 17.4MB,252MB / 742MB,53
2026-06-21T16:26:04+08:00,rmqnamesrv,0.16%,125MiB / 15.4GiB,0.79%,3.04MB / 2.3MB,233MB / 451MB,81
2026-06-21T16:26:04+08:00,RPA-cadvisor,2.86%,270.2MiB / 15.4GiB,1.71%,4.55MB / 328MB,206MB / 20.6MB,28
2026-06-21T16:26:04+08:00,script-k6-run-4a16dc356c09,736.42%,281MiB / 15.4GiB,1.78%,44.4MB / 32.6MB,225kB / 0B,26
2026-06-21T16:26:08+08:00,script-k6-run-4a16dc356c09,764.30%,591.4MiB / 15.4GiB,3.75%,94.3MB / 69.3MB,225kB / 0B,26
2026-06-21T16:26:08+08:00,RPA-app,176.31%,34.14MiB / 2GiB,1.67%,4.85GB / 4.78GB,368MB / 997MB,9
2026-06-21T16:26:08+08:00,RPA-pgdb,0.12%,126.3MiB / 15.4GiB,0.80%,594MB / 3.78GB,49.9MB / 1.03GB,19
2026-06-21T16:26:08+08:00,RPA-redis,0.20%,7.855MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:26:08+08:00,RPA-grafana,0.34%,79.57MiB / 15.4GiB,0.50%,23.6MB / 280kB,593MB / 140MB,25
2026-06-21T16:26:08+08:00,RPA-alloy,65.09%,188.3MiB / 15.4GiB,1.19%,2.71MB / 925MB,822MB / 67.9MB,27
2026-06-21T16:26:08+08:00,RPA-loki,12.76%,500.2MiB / 15.4GiB,3.17%,926MB / 374MB,607MB / 6.16GB,26
2026-06-21T16:26:08+08:00,rmqbroker,7.56%,851MiB / 15.4GiB,5.40%,1.9MB / 3.29MB,341MB / 967MB,320
2026-06-21T16:26:08+08:00,rmqdashboard,0.44%,332.3MiB / 15.4GiB,2.11%,1.99MB / 1.08MB,251MB / 444MB,66
2026-06-21T16:26:08+08:00,RPA-prometheus,0.00%,324.6MiB / 15.4GiB,2.06%,329MB / 4.56MB,321MB / 125MB,26
2026-06-21T16:26:08+08:00,RPA-minio,4.96%,144MiB / 15.4GiB,0.91%,398MB / 17.4MB,252MB / 742MB,53
2026-06-21T16:26:08+08:00,rmqnamesrv,0.28%,125.1MiB / 15.4GiB,0.79%,3.04MB / 2.3MB,233MB / 451MB,81
2026-06-21T16:26:08+08:00,RPA-cadvisor,9.64%,284MiB / 15.4GiB,1.80%,4.55MB / 328MB,206MB / 20.6MB,28
2026-06-21T16:26:11+08:00,script-k6-run-4a16dc356c09,754.41%,428.5MiB / 15.4GiB,2.72%,139MB / 102MB,225kB / 0B,27
2026-06-21T16:26:11+08:00,RPA-app,178.07%,35.72MiB / 2GiB,1.74%,4.88GB / 4.83GB,368MB / 997MB,9
2026-06-21T16:26:11+08:00,RPA-pgdb,0.09%,126.6MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.1MB / 1.03GB,19
2026-06-21T16:26:11+08:00,RPA-redis,0.19%,7.855MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:26:11+08:00,RPA-grafana,0.43%,93.07MiB / 15.4GiB,0.59%,23.6MB / 282kB,607MB / 140MB,25
2026-06-21T16:26:11+08:00,RPA-alloy,84.17%,191.1MiB / 15.4GiB,1.21%,2.71MB / 927MB,822MB / 68MB,27
2026-06-21T16:26:11+08:00,RPA-loki,19.21%,503.3MiB / 15.4GiB,3.19%,928MB / 374MB,607MB / 6.16GB,26
2026-06-21T16:26:11+08:00,rmqbroker,6.71%,851.6MiB / 15.4GiB,5.40%,1.91MB / 3.3MB,341MB / 967MB,320
2026-06-21T16:26:11+08:00,rmqdashboard,0.10%,332.5MiB / 15.4GiB,2.11%,1.99MB / 1.08MB,251MB / 444MB,66
2026-06-21T16:26:11+08:00,RPA-prometheus,0.04%,324.6MiB / 15.4GiB,2.06%,329MB / 4.56MB,321MB / 125MB,26
2026-06-21T16:26:11+08:00,RPA-minio,0.07%,144.2MiB / 15.4GiB,0.91%,398MB / 17.4MB,252MB / 742MB,53
2026-06-21T16:26:11+08:00,rmqnamesrv,0.17%,124.9MiB / 15.4GiB,0.79%,3.04MB / 2.3MB,233MB / 451MB,81
2026-06-21T16:26:11+08:00,RPA-cadvisor,3.73%,282.5MiB / 15.4GiB,1.79%,4.55MB / 328MB,206MB / 20.6MB,28
2026-06-21T16:26:14+08:00,script-k6-run-4a16dc356c09,751.57%,423.5MiB / 15.4GiB,2.69%,184MB / 135MB,225kB / 0B,27
2026-06-21T16:26:14+08:00,RPA-app,179.21%,33.2MiB / 2GiB,1.62%,4.92GB / 4.87GB,368MB / 997MB,9
2026-06-21T16:26:14+08:00,RPA-pgdb,0.09%,126.6MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.1MB / 1.03GB,19
2026-06-21T16:26:14+08:00,RPA-redis,0.23%,7.855MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:26:14+08:00,RPA-grafana,0.21%,94.86MiB / 15.4GiB,0.60%,23.6MB / 282kB,609MB / 140MB,25
2026-06-21T16:26:14+08:00,RPA-alloy,44.75%,188.3MiB / 15.4GiB,1.19%,2.72MB / 930MB,822MB / 68MB,27
2026-06-21T16:26:14+08:00,RPA-loki,14.84%,505MiB / 15.4GiB,3.20%,931MB / 374MB,607MB / 6.16GB,26
2026-06-21T16:26:14+08:00,rmqbroker,8.66%,852.4MiB / 15.4GiB,5.41%,1.91MB / 3.3MB,342MB / 967MB,320
2026-06-21T16:26:14+08:00,rmqdashboard,0.09%,332.8MiB / 15.4GiB,2.11%,1.99MB / 1.08MB,251MB / 444MB,66
2026-06-21T16:26:14+08:00,RPA-prometheus,16.59%,321.1MiB / 15.4GiB,2.04%,330MB / 4.56MB,324MB / 125MB,26
2026-06-21T16:26:14+08:00,RPA-minio,0.03%,144MiB / 15.4GiB,0.91%,398MB / 17.4MB,252MB / 742MB,53
2026-06-21T16:26:14+08:00,rmqnamesrv,0.23%,125.2MiB / 15.4GiB,0.79%,3.04MB / 2.3MB,233MB / 451MB,81
2026-06-21T16:26:14+08:00,RPA-cadvisor,19.27%,229.2MiB / 15.4GiB,1.45%,4.55MB / 328MB,206MB / 20.6MB,28
