timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:27:07+08:00,RPA-app,126.12%,33.95MiB / 2GiB,1.66%,5.47GB / 5.61GB,368MB / 997MB,9
2026-06-21T16:27:07+08:00,RPA-pgdb,0.02%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:27:07+08:00,RPA-redis,0.70%,8.289MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:27:07+08:00,RPA-grafana,0.13%,95.01MiB / 15.4GiB,0.60%,23.6MB / 282kB,609MB / 140MB,25
2026-06-21T16:27:07+08:00,RPA-alloy,0.56%,190.5MiB / 15.4GiB,1.21%,2.82MB / 970MB,826MB / 68.1MB,27
2026-06-21T16:27:07+08:00,RPA-loki,3.41%,503.5MiB / 15.4GiB,3.19%,971MB / 389MB,610MB / 6.46GB,26
2026-06-21T16:27:07+08:00,rmqbroker,4.55%,871.2MiB / 15.4GiB,5.53%,1.92MB / 3.32MB,361MB / 968MB,320
2026-06-21T16:27:07+08:00,rmqdashboard,0.07%,342.4MiB / 15.4GiB,2.17%,2MB / 1.08MB,261MB / 445MB,66
2026-06-21T16:27:07+08:00,RPA-prometheus,0.00%,327.4MiB / 15.4GiB,2.08%,331MB / 4.58MB,328MB / 125MB,26
2026-06-21T16:27:07+08:00,RPA-minio,0.02%,144.5MiB / 15.4GiB,0.92%,413MB / 17.4MB,252MB / 759MB,53
2026-06-21T16:27:07+08:00,rmqnamesrv,0.12%,125.7MiB / 15.4GiB,0.80%,3.05MB / 2.31MB,233MB / 451MB,81
2026-06-21T16:27:07+08:00,RPA-cadvisor,6.50%,234.5MiB / 15.4GiB,1.49%,4.57MB / 330MB,206MB / 20.6MB,28
2026-06-21T16:27:07+08:00,script-k6-run-68537def2bcb,785.69%,256.8MiB / 15.4GiB,1.63%,35.5MB / 36MB,1.56MB / 0B,25
2026-06-21T16:27:11+08:00,script-k6-run-68537def2bcb,771.52%,570.2MiB / 15.4GiB,3.62%,85.8MB / 86.9MB,1.56MB / 0B,25
2026-06-21T16:27:11+08:00,RPA-app,177.27%,33.89MiB / 2GiB,1.66%,5.54GB / 5.68GB,368MB / 997MB,9
2026-06-21T16:27:11+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:27:11+08:00,RPA-redis,0.21%,8.109MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:27:11+08:00,RPA-grafana,0.23%,95.04MiB / 15.4GiB,0.60%,23.6MB / 282kB,610MB / 140MB,25
2026-06-21T16:27:11+08:00,RPA-alloy,101.05%,184.3MiB / 15.4GiB,1.17%,2.83MB / 973MB,826MB / 68.1MB,27
2026-06-21T16:27:11+08:00,RPA-loki,20.26%,506.1MiB / 15.4GiB,3.21%,974MB / 389MB,610MB / 6.46GB,26
2026-06-21T16:27:11+08:00,rmqbroker,7.44%,871.9MiB / 15.4GiB,5.53%,1.92MB / 3.32MB,362MB / 968MB,320
2026-06-21T16:27:11+08:00,rmqdashboard,0.09%,343MiB / 15.4GiB,2.18%,2MB / 1.08MB,261MB / 445MB,66
2026-06-21T16:27:11+08:00,RPA-prometheus,0.06%,327.4MiB / 15.4GiB,2.08%,331MB / 4.58MB,328MB / 125MB,26
2026-06-21T16:27:11+08:00,RPA-minio,0.09%,144.7MiB / 15.4GiB,0.92%,413MB / 17.4MB,252MB / 759MB,53
2026-06-21T16:27:11+08:00,rmqnamesrv,0.16%,125.6MiB / 15.4GiB,0.80%,3.06MB / 2.31MB,233MB / 451MB,81
2026-06-21T16:27:11+08:00,RPA-cadvisor,3.43%,234.8MiB / 15.4GiB,1.49%,4.57MB / 330MB,206MB / 20.6MB,28
2026-06-21T16:27:14+08:00,script-k6-run-68537def2bcb,748.59%,380.8MiB / 15.4GiB,2.42%,125MB / 126MB,1.56MB / 0B,26
2026-06-21T16:27:14+08:00,RPA-app,174.66%,33.57MiB / 2GiB,1.64%,5.58GB / 5.72GB,368MB / 997MB,9
2026-06-21T16:27:14+08:00,RPA-pgdb,3.90%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:27:14+08:00,RPA-redis,0.21%,8.109MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:27:14+08:00,RPA-grafana,0.19%,95.29MiB / 15.4GiB,0.60%,23.6MB / 282kB,610MB / 140MB,25
2026-06-21T16:27:14+08:00,RPA-alloy,74.40%,184.8MiB / 15.4GiB,1.17%,2.83MB / 976MB,826MB / 68.1MB,27
2026-06-21T16:27:14+08:00,RPA-loki,15.16%,478.2MiB / 15.4GiB,3.03%,976MB / 389MB,610MB / 6.46GB,26
2026-06-21T16:27:14+08:00,rmqbroker,7.03%,871.7MiB / 15.4GiB,5.53%,1.92MB / 3.32MB,363MB / 968MB,320
2026-06-21T16:27:14+08:00,rmqdashboard,0.11%,343.5MiB / 15.4GiB,2.18%,2MB / 1.08MB,262MB / 445MB,66
2026-06-21T16:27:14+08:00,RPA-prometheus,6.18%,328.6MiB / 15.4GiB,2.08%,331MB / 4.59MB,328MB / 125MB,26
2026-06-21T16:27:14+08:00,RPA-minio,0.04%,144.5MiB / 15.4GiB,0.92%,413MB / 17.4MB,252MB / 759MB,53
2026-06-21T16:27:14+08:00,rmqnamesrv,0.27%,125.6MiB / 15.4GiB,0.80%,3.06MB / 2.31MB,233MB / 451MB,81
2026-06-21T16:27:14+08:00,RPA-cadvisor,17.42%,230.9MiB / 15.4GiB,1.46%,4.57MB / 330MB,206MB / 20.6MB,28
2026-06-21T16:27:17+08:00,script-k6-run-68537def2bcb,765.03%,332.5MiB / 15.4GiB,2.11%,166MB / 168MB,1.56MB / 0B,26
2026-06-21T16:27:17+08:00,RPA-app,177.75%,33.99MiB / 2GiB,1.66%,5.62GB / 5.76GB,368MB / 997MB,9
2026-06-21T16:27:17+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:27:17+08:00,RPA-redis,0.22%,8.109MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:27:17+08:00,RPA-grafana,0.24%,95.04MiB / 15.4GiB,0.60%,23.6MB / 282kB,610MB / 140MB,25
2026-06-21T16:27:17+08:00,RPA-alloy,44.10%,187.4MiB / 15.4GiB,1.19%,2.84MB / 978MB,826MB / 68.1MB,27
