timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:23:56+08:00,RPA-app,51.25%,34.55MiB / 2GiB,1.69%,3.31GB / 2.95GB,368MB / 997MB,9
2026-06-21T16:23:56+08:00,RPA-pgdb,0.10%,125.6MiB / 15.4GiB,0.80%,594MB / 3.78GB,49.4MB / 1.02GB,19
2026-06-21T16:23:56+08:00,RPA-redis,0.69%,9.289MiB / 15.4GiB,0.06%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:23:56+08:00,RPA-grafana,0.15%,65.46MiB / 15.4GiB,0.42%,23.6MB / 280kB,578MB / 140MB,25
2026-06-21T16:23:56+08:00,RPA-alloy,0.93%,170.3MiB / 15.4GiB,1.08%,2.46MB / 825MB,796MB / 67.6MB,27
2026-06-21T16:23:56+08:00,RPA-loki,7.96%,510.6MiB / 15.4GiB,3.24%,826MB / 328MB,573MB / 5.51GB,26
2026-06-21T16:23:56+08:00,rmqbroker,4.27%,814.7MiB / 15.4GiB,5.17%,1.86MB / 3.24MB,307MB / 965MB,320
2026-06-21T16:23:56+08:00,rmqdashboard,0.08%,306.3MiB / 15.4GiB,1.94%,1.97MB / 1.07MB,230MB / 444MB,66
2026-06-21T16:23:56+08:00,RPA-prometheus,0.05%,319.1MiB / 15.4GiB,2.02%,326MB / 4.5MB,316MB / 124MB,26
2026-06-21T16:23:56+08:00,RPA-minio,0.21%,163.7MiB / 15.4GiB,1.04%,352MB / 17.4MB,240MB / 684MB,53
2026-06-21T16:23:56+08:00,rmqnamesrv,0.11%,120.7MiB / 15.4GiB,0.77%,3.01MB / 2.28MB,230MB / 450MB,81
2026-06-21T16:23:56+08:00,RPA-cadvisor,3.80%,272.9MiB / 15.4GiB,1.73%,4.5MB / 325MB,197MB / 20.6MB,28
2026-06-21T16:23:56+08:00,script-k6-run-97d286a8099b,737.65%,201.4MiB / 15.4GiB,1.28%,28.1MB / 20.3MB,225kB / 0B,26
2026-06-21T16:23:59+08:00,script-k6-run-97d286a8099b,764.19%,539.9MiB / 15.4GiB,3.42%,87MB / 62.9MB,225kB / 0B,26
2026-06-21T16:23:59+08:00,RPA-app,178.51%,34.7MiB / 2GiB,1.69%,3.36GB / 3.03GB,368MB / 997MB,9
2026-06-21T16:23:59+08:00,RPA-pgdb,0.08%,125.8MiB / 15.4GiB,0.80%,594MB / 3.78GB,49.4MB / 1.02GB,19
2026-06-21T16:23:59+08:00,RPA-redis,0.22%,8.102MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:23:59+08:00,RPA-grafana,0.21%,65.46MiB / 15.4GiB,0.42%,23.6MB / 280kB,578MB / 140MB,25
2026-06-21T16:23:59+08:00,RPA-alloy,23.77%,178MiB / 15.4GiB,1.13%,2.47MB / 828MB,804MB / 67.6MB,27
2026-06-21T16:23:59+08:00,RPA-loki,7.35%,516.5MiB / 15.4GiB,3.28%,829MB / 328MB,573MB / 5.51GB,26
2026-06-21T16:23:59+08:00,rmqbroker,6.53%,817.5MiB / 15.4GiB,5.19%,1.86MB / 3.25MB,309MB / 965MB,320
2026-06-21T16:23:59+08:00,rmqdashboard,0.26%,307MiB / 15.4GiB,1.95%,1.97MB / 1.07MB,231MB / 444MB,66
