timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:19:43+08:00,RPA-app,94.10%,839.5MiB / 2GiB,40.99%,7.62MB / 14.2MB,366MB / 997MB,8
2026-06-21T16:19:43+08:00,RPA-pgdb,33.83%,145.2MiB / 15.4GiB,0.92%,591MB / 3.78GB,37.5MB / 1GB,26
2026-06-21T16:19:43+08:00,RPA-redis,0.59%,7.395MiB / 15.4GiB,0.05%,6.42MB / 2.43MB,28.8MB / 10.8MB,7
2026-06-21T16:19:43+08:00,RPA-grafana,0.14%,84.48MiB / 15.4GiB,0.54%,23.6MB / 280kB,551MB / 139MB,25
2026-06-21T16:19:43+08:00,RPA-alloy,1.02%,104.1MiB / 15.4GiB,0.66%,2.08MB / 682MB,751MB / 65.8MB,27
2026-06-21T16:19:43+08:00,RPA-loki,0.58%,361.7MiB / 15.4GiB,2.29%,682MB / 275MB,507MB / 4.55GB,26
2026-06-21T16:19:43+08:00,rmqbroker,4.05%,1.176GiB / 15.4GiB,7.64%,1.78MB / 3.15MB,275MB / 516MB,320
2026-06-21T16:19:43+08:00,rmqdashboard,0.08%,435.9MiB / 15.4GiB,2.76%,1.93MB / 1.04MB,213MB / 300MB,66
2026-06-21T16:19:43+08:00,RPA-prometheus,0.00%,354MiB / 15.4GiB,2.25%,320MB / 4.41MB,307MB / 120MB,26
2026-06-21T16:19:43+08:00,RPA-minio,0.04%,463.4MiB / 15.4GiB,2.94%,300MB / 17.3MB,236MB / 619MB,53
2026-06-21T16:19:43+08:00,rmqnamesrv,0.14%,152.8MiB / 15.4GiB,0.97%,2.95MB / 2.23MB,223MB / 405MB,81
2026-06-21T16:19:43+08:00,RPA-cadvisor,2.76%,220MiB / 15.4GiB,1.40%,4.41MB / 319MB,164MB / 20.5MB,28
2026-06-21T16:19:43+08:00,script-k6-run-c89614647bef,4.32%,31.71MiB / 15.4GiB,0.20%,134kB / 64.5kB,3.14MB / 0B,25
2026-06-21T16:19:46+08:00,script-k6-run-c89614647bef,5.57%,32.85MiB / 15.4GiB,0.21%,455kB / 162kB,3.14MB / 0B,25
2026-06-21T16:19:46+08:00,RPA-app,199.62%,942.5MiB / 2GiB,46.02%,8.09MB / 15MB,366MB / 997MB,8
2026-06-21T16:19:46+08:00,RPA-pgdb,16.42%,147.3MiB / 15.4GiB,0.93%,591MB / 3.78GB,37.5MB / 1GB,32
2026-06-21T16:19:46+08:00,RPA-redis,0.99%,7.527MiB / 15.4GiB,0.05%,6.55MB / 2.47MB,28.9MB / 10.9MB,7
2026-06-21T16:19:46+08:00,RPA-grafana,0.16%,84.48MiB / 15.4GiB,0.54%,23.6MB / 280kB,551MB / 139MB,25
2026-06-21T16:19:46+08:00,RPA-alloy,1.98%,103.6MiB / 15.4GiB,0.66%,2.08MB / 682MB,751MB / 65.8MB,27
2026-06-21T16:19:46+08:00,RPA-loki,0.59%,362MiB / 15.4GiB,2.30%,683MB / 275MB,507MB / 4.55GB,26
2026-06-21T16:19:46+08:00,rmqbroker,4.67%,1.177GiB / 15.4GiB,7.64%,1.78MB / 3.15MB,275MB / 516MB,320
2026-06-21T16:19:46+08:00,rmqdashboard,0.08%,436.2MiB / 15.4GiB,2.77%,1.93MB / 1.04MB,214MB / 300MB,66
2026-06-21T16:19:46+08:00,RPA-prometheus,0.00%,354MiB / 15.4GiB,2.25%,321MB / 4.41MB,307MB / 120MB,26
2026-06-21T16:19:46+08:00,RPA-minio,0.02%,463.4MiB / 15.4GiB,2.94%,300MB / 17.3MB,236MB / 619MB,53
2026-06-21T16:19:46+08:00,rmqnamesrv,0.38%,152.9MiB / 15.4GiB,0.97%,2.95MB / 2.23MB,223MB / 405MB,81
2026-06-21T16:19:46+08:00,RPA-cadvisor,2.81%,257.9MiB / 15.4GiB,1.64%,4.42MB / 320MB,164MB / 20.5MB,28
2026-06-21T16:19:49+08:00,script-k6-run-c89614647bef,6.42%,34.34MiB / 15.4GiB,0.22%,664kB / 228kB,3.14MB / 0B,25
2026-06-21T16:19:49+08:00,RPA-app,198.39%,855MiB / 2GiB,41.75%,8.46MB / 15.5MB,366MB / 997MB,8
2026-06-21T16:19:49+08:00,RPA-pgdb,19.85%,149.8MiB / 15.4GiB,0.95%,591MB / 3.78GB,37.5MB / 1GB,41
2026-06-21T16:19:49+08:00,RPA-redis,1.58%,7.492MiB / 15.4GiB,0.05%,6.63MB / 2.49MB,28.9MB / 10.9MB,7
2026-06-21T16:19:49+08:00,RPA-grafana,0.17%,84.48MiB / 15.4GiB,0.54%,23.6MB / 280kB,551MB / 139MB,25
2026-06-21T16:19:49+08:00,RPA-alloy,2.67%,104.8MiB / 15.4GiB,0.66%,2.08MB / 682MB,751MB / 65.9MB,27
2026-06-21T16:19:49+08:00,RPA-loki,0.68%,361.7MiB / 15.4GiB,2.29%,683MB / 275MB,507MB / 4.55GB,26
