timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:30:18+08:00,RPA-app,43.72%,35.57MiB / 2GiB,1.74%,7.59GB / 8.22GB,368MB / 997MB,9
2026-06-21T16:30:18+08:00,RPA-pgdb,0.02%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:30:18+08:00,RPA-redis,0.14%,8.098MiB / 15.4GiB,0.05%,8.09MB / 2.9MB,31.1MB / 12.1MB,7
2026-06-21T16:30:18+08:00,RPA-grafana,0.17%,99.02MiB / 15.4GiB,0.63%,23.6MB / 283kB,614MB / 140MB,25
2026-06-21T16:30:18+08:00,RPA-alloy,54.54%,212.6MiB / 15.4GiB,1.35%,3.18MB / 1.11GB,834MB / 68.7MB,27
2026-06-21T16:30:18+08:00,RPA-loki,6.82%,547.3MiB / 15.4GiB,3.47%,1.12GB / 458MB,620MB / 7.4GB,26
2026-06-21T16:30:18+08:00,rmqbroker,3.98%,903.2MiB / 15.4GiB,5.73%,1.98MB / 3.39MB,394MB / 972MB,320
2026-06-21T16:30:18+08:00,rmqdashboard,0.06%,385.6MiB / 15.4GiB,2.45%,2.03MB / 1.1MB,298MB / 446MB,66
2026-06-21T16:30:18+08:00,RPA-prometheus,0.00%,356.2MiB / 15.4GiB,2.26%,336MB / 4.65MB,338MB / 126MB,26
2026-06-21T16:30:18+08:00,RPA-minio,0.05%,145.5MiB / 15.4GiB,0.92%,481MB / 17.5MB,252MB / 836MB,53
2026-06-21T16:30:18+08:00,rmqnamesrv,0.11%,129.3MiB / 15.4GiB,0.82%,3.1MB / 2.35MB,235MB / 451MB,81
2026-06-21T16:30:18+08:00,RPA-cadvisor,2.79%,263.5MiB / 15.4GiB,1.67%,4.64MB / 334MB,206MB / 20.6MB,28
2026-06-21T16:30:18+08:00,script-k6-run-7c3ddbf5638f,725.86%,199.4MiB / 15.4GiB,1.26%,28.9MB / 21.1MB,225kB / 0B,26
2026-06-21T16:30:21+08:00,script-k6-run-7c3ddbf5638f,748.31%,544.1MiB / 15.4GiB,3.45%,88MB / 64.3MB,225kB / 0B,26
2026-06-21T16:30:21+08:00,RPA-app,178.35%,34.17MiB / 2GiB,1.67%,7.65GB / 8.3GB,368MB / 997MB,9
2026-06-21T16:30:21+08:00,RPA-pgdb,2.65%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:30:21+08:00,RPA-redis,0.19%,7.852MiB / 15.4GiB,0.05%,8.09MB / 2.9MB,31.1MB / 12.1MB,7
2026-06-21T16:30:21+08:00,RPA-grafana,0.19%,103MiB / 15.4GiB,0.65%,23.6MB / 283kB,618MB / 140MB,25
