timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:22:53+08:00,RPA-app,101.20%,33.67MiB / 2GiB,1.64%,1.78GB / 2.14GB,367MB / 997MB,8
2026-06-21T16:22:53+08:00,RPA-pgdb,0.09%,140.9MiB / 15.4GiB,0.89%,594MB / 3.78GB,49.4MB / 1.01GB,19
2026-06-21T16:22:53+08:00,RPA-redis,0.15%,8.098MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:22:53+08:00,RPA-grafana,0.17%,94.89MiB / 15.4GiB,0.60%,23.6MB / 280kB,560MB / 139MB,25
2026-06-21T16:22:53+08:00,RPA-alloy,0.95%,199.1MiB / 15.4GiB,1.26%,2.34MB / 778MB,769MB / 66.5MB,27
2026-06-21T16:22:53+08:00,RPA-loki,7.68%,498.5MiB / 15.4GiB,3.16%,779MB / 309MB,570MB / 5.2GB,26
2026-06-21T16:22:53+08:00,rmqbroker,4.09%,829.1MiB / 15.4GiB,5.26%,1.84MB / 3.22MB,296MB / 937MB,320
2026-06-21T16:22:53+08:00,rmqdashboard,0.06%,339.4MiB / 15.4GiB,2.15%,1.96MB / 1.06MB,223MB / 408MB,66
2026-06-21T16:22:53+08:00,RPA-prometheus,0.00%,300.1MiB / 15.4GiB,1.90%,325MB / 4.48MB,316MB / 124MB,26
2026-06-21T16:22:53+08:00,RPA-minio,0.01%,162.3MiB / 15.4GiB,1.03%,333MB / 17.4MB,237MB / 663MB,53
2026-06-21T16:22:53+08:00,rmqnamesrv,0.13%,121MiB / 15.4GiB,0.77%,2.99MB / 2.26MB,229MB / 447MB,81
2026-06-21T16:22:53+08:00,RPA-cadvisor,2.83%,286.6MiB / 15.4GiB,1.82%,4.48MB / 324MB,180MB / 20.5MB,28
2026-06-21T16:22:53+08:00,script-k6-run-ed34a70ab4e0,809.10%,233.1MiB / 15.4GiB,1.48%,32MB / 61.3MB,475kB / 0B,26
2026-06-21T16:22:56+08:00,script-k6-run-ed34a70ab4e0,808.29%,520.3MiB / 15.4GiB,3.30%,81.7MB / 156MB,475kB / 0B,26
2026-06-21T16:22:56+08:00,RPA-app,176.67%,32.57MiB / 2GiB,1.59%,1.91GB / 2.21GB,367MB / 997MB,8
2026-06-21T16:22:56+08:00,RPA-pgdb,3.45%,125MiB / 15.4GiB,0.79%,594MB / 3.78GB,49.4MB / 1.01GB,19
2026-06-21T16:22:56+08:00,RPA-redis,0.20%,8.352MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:22:56+08:00,RPA-grafana,0.20%,94.86MiB / 15.4GiB,0.60%,23.6MB / 280kB,560MB / 139MB,25
2026-06-21T16:22:56+08:00,RPA-alloy,34.38%,186.5MiB / 15.4GiB,1.18%,2.35MB / 781MB,769MB / 66.5MB,27
2026-06-21T16:22:56+08:00,RPA-loki,20.02%,499MiB / 15.4GiB,3.16%,782MB / 309MB,570MB / 5.2GB,26
2026-06-21T16:22:56+08:00,rmqbroker,6.58%,814.6MiB / 15.4GiB,5.17%,1.84MB / 3.22MB,297MB / 952MB,320
2026-06-21T16:22:56+08:00,rmqdashboard,0.08%,330.9MiB / 15.4GiB,2.10%,1.96MB / 1.06MB,223MB / 417MB,66
2026-06-21T16:22:56+08:00,RPA-prometheus,0.01%,300.1MiB / 15.4GiB,1.90%,325MB / 4.48MB,316MB / 124MB,26
2026-06-21T16:22:56+08:00,RPA-minio,0.29%,162.1MiB / 15.4GiB,1.03%,333MB / 17.4MB,237MB / 663MB,53
2026-06-21T16:22:56+08:00,rmqnamesrv,0.18%,120.4MiB / 15.4GiB,0.76%,2.99MB / 2.26MB,229MB / 449MB,81
2026-06-21T16:22:56+08:00,RPA-cadvisor,4.87%,296.9MiB / 15.4GiB,1.88%,4.48MB / 324MB,182MB / 20.5MB,28
2026-06-21T16:22:59+08:00,script-k6-run-ed34a70ab4e0,785.68%,363.8MiB / 15.4GiB,2.31%,121MB / 231MB,475kB / 0B,26
2026-06-21T16:22:59+08:00,RPA-app,177.04%,32.74MiB / 2GiB,1.60%,1.98GB / 2.25GB,367MB / 997MB,8
2026-06-21T16:22:59+08:00,RPA-pgdb,0.08%,124.8MiB / 15.4GiB,0.79%,594MB / 3.78GB,49.4MB / 1.01GB,19
2026-06-21T16:22:59+08:00,RPA-redis,0.18%,8.348MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:22:59+08:00,RPA-grafana,0.20%,94.86MiB / 15.4GiB,0.60%,23.6MB / 280kB,560MB / 139MB,25
2026-06-21T16:22:59+08:00,RPA-alloy,7.62%,188MiB / 15.4GiB,1.19%,2.35MB / 783MB,769MB / 66.6MB,27
2026-06-21T16:22:59+08:00,RPA-loki,14.80%,499.3MiB / 15.4GiB,3.17%,784MB / 310MB,570MB / 5.2GB,26
2026-06-21T16:22:59+08:00,rmqbroker,6.59%,816.3MiB / 15.4GiB,5.18%,1.84MB / 3.22MB,297MB / 952MB,320
2026-06-21T16:22:59+08:00,rmqdashboard,0.30%,331.3MiB / 15.4GiB,2.10%,1.96MB / 1.06MB,224MB / 417MB,66
2026-06-21T16:22:59+08:00,RPA-prometheus,6.68%,300.6MiB / 15.4GiB,1.91%,325MB / 4.49MB,316MB / 124MB,26
2026-06-21T16:22:59+08:00,RPA-minio,0.76%,163.5MiB / 15.4GiB,1.04%,335MB / 17.4MB,237MB / 664MB,53
2026-06-21T16:22:59+08:00,rmqnamesrv,0.26%,120.2MiB / 15.4GiB,0.76%,3MB / 2.27MB,229MB / 449MB,81
2026-06-21T16:22:59+08:00,RPA-cadvisor,16.62%,311.9MiB / 15.4GiB,1.98%,4.48MB / 324MB,182MB / 20.5MB,28
2026-06-21T16:23:02+08:00,script-k6-run-ed34a70ab4e0,832.96%,392.3MiB / 15.4GiB,2.49%,161MB / 308MB,475kB / 0B,26
2026-06-21T16:23:02+08:00,RPA-app,180.06%,33.06MiB / 2GiB,1.61%,2.06GB / 2.29GB,367MB / 997MB,8
