timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:20:45+08:00,RPA-app,51.00%,1.055GiB / 2GiB,52.76%,18.9MB / 31MB,367MB / 997MB,8
2026-06-21T16:20:45+08:00,RPA-pgdb,2.40%,128.3MiB / 15.4GiB,0.81%,594MB / 3.78GB,37.5MB / 1GB,19
2026-06-21T16:20:45+08:00,RPA-redis,0.57%,6.414MiB / 15.4GiB,0.04%,8.08MB / 2.89MB,29.1MB / 12MB,7
2026-06-21T16:20:45+08:00,RPA-grafana,0.14%,88.4MiB / 15.4GiB,0.56%,23.6MB / 280kB,555MB / 139MB,25
2026-06-21T16:20:45+08:00,RPA-alloy,39.12%,118MiB / 15.4GiB,0.75%,2.1MB / 683MB,752MB / 66MB,27
2026-06-21T16:20:45+08:00,RPA-loki,12.22%,415.8MiB / 15.4GiB,2.64%,684MB / 275MB,507MB / 4.55GB,26
2026-06-21T16:20:45+08:00,rmqbroker,4.01%,1.182GiB / 15.4GiB,7.68%,1.8MB / 3.18MB,279MB / 517MB,320
2026-06-21T16:20:45+08:00,rmqdashboard,0.08%,439.5MiB / 15.4GiB,2.79%,1.94MB / 1.05MB,217MB / 300MB,66
2026-06-21T16:20:45+08:00,RPA-prometheus,10.97%,324.8MiB / 15.4GiB,2.06%,322MB / 4.43MB,309MB / 120MB,26
2026-06-21T16:20:45+08:00,RPA-minio,0.00%,315.7MiB / 15.4GiB,2.00%,300MB / 17.3MB,237MB / 621MB,53
2026-06-21T16:20:45+08:00,rmqnamesrv,0.14%,153.8MiB / 15.4GiB,0.98%,2.97MB / 2.24MB,223MB / 405MB,81
2026-06-21T16:20:45+08:00,RPA-cadvisor,38.00%,251.5MiB / 15.4GiB,1.60%,4.44MB / 321MB,167MB / 20.5MB,28
2026-06-21T16:20:45+08:00,script-k6-run-f68dc648a354,728.36%,194.1MiB / 15.4GiB,1.23%,26.2MB / 19.1MB,4.1kB / 0B,26
2026-06-21T16:20:48+08:00,script-k6-run-f68dc648a354,765.51%,585.8MiB / 15.4GiB,3.72%,95.1MB / 69MB,4.1kB / 0B,26
2026-06-21T16:20:48+08:00,RPA-app,178.81%,36.41MiB / 2GiB,1.78%,83.5MB / 120MB,367MB / 997MB,8
2026-06-21T16:20:48+08:00,RPA-pgdb,0.01%,128MiB / 15.4GiB,0.81%,594MB / 3.78GB,37.5MB / 1GB,19
2026-06-21T16:20:48+08:00,RPA-redis,0.16%,6.664MiB / 15.4GiB,0.04%,8.08MB / 2.89MB,29.1MB / 12MB,7
2026-06-21T16:20:48+08:00,RPA-grafana,0.22%,88.4MiB / 15.4GiB,0.56%,23.6MB / 280kB,555MB / 139MB,25
2026-06-21T16:20:48+08:00,RPA-alloy,65.94%,153.8MiB / 15.4GiB,0.98%,2.11MB / 686MB,752MB / 66MB,27
2026-06-21T16:20:48+08:00,RPA-loki,19.65%,463.4MiB / 15.4GiB,2.94%,687MB / 275MB,512MB / 4.55GB,26
