timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:21:49+08:00,RPA-app,122.78%,34.37MiB / 2GiB,1.68%,949MB / 1.31GB,367MB / 997MB,8
2026-06-21T16:21:49+08:00,RPA-pgdb,0.03%,140.5MiB / 15.4GiB,0.89%,594MB / 3.78GB,48.7MB / 1GB,19
2026-06-21T16:21:49+08:00,RPA-redis,0.18%,7.848MiB / 15.4GiB,0.05%,8.08MB / 2.89MB,31MB / 12.1MB,7
2026-06-21T16:21:49+08:00,RPA-grafana,0.13%,89.49MiB / 15.4GiB,0.57%,23.6MB / 280kB,555MB / 139MB,25
2026-06-21T16:21:49+08:00,RPA-alloy,65.83%,184.8MiB / 15.4GiB,1.17%,2.22MB / 731MB,763MB / 66.3MB,27
2026-06-21T16:21:49+08:00,RPA-loki,8.25%,457.5MiB / 15.4GiB,2.90%,732MB / 291MB,539MB / 4.88GB,26
2026-06-21T16:21:49+08:00,rmqbroker,5.12%,1.143GiB / 15.4GiB,7.42%,1.82MB / 3.2MB,286MB / 568MB,320
2026-06-21T16:21:49+08:00,rmqdashboard,0.07%,419.9MiB / 15.4GiB,2.66%,1.95MB / 1.05MB,220MB / 323MB,66
2026-06-21T16:21:49+08:00,RPA-prometheus,0.00%,378.5MiB / 15.4GiB,2.40%,323MB / 4.46MB,311MB / 121MB,26
2026-06-21T16:21:49+08:00,RPA-minio,0.00%,174.4MiB / 15.4GiB,1.11%,316MB / 17.3MB,237MB / 641MB,53
2026-06-21T16:21:49+08:00,rmqnamesrv,0.28%,150.7MiB / 15.4GiB,0.96%,2.98MB / 2.25MB,224MB / 410MB,81
2026-06-21T16:21:49+08:00,RPA-cadvisor,6.66%,273.7MiB / 15.4GiB,1.74%,4.46MB / 322MB,167MB / 20.5MB,28
2026-06-21T16:21:49+08:00,script-k6-run-5612183af9fc,805.20%,244.5MiB / 15.4GiB,1.55%,35.4MB / 34.9MB,582kB / 0B,26
