timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:18:40+08:00,RPA-app,128.96%,1.179GiB / 2GiB,58.96%,46kB / 30.6kB,0B / 0B,8
2026-06-21T16:18:40+08:00,RPA-pgdb,0.02%,113.1MiB / 15.4GiB,0.72%,579MB / 3.77GB,35.6MB / 971MB,10
2026-06-21T16:18:40+08:00,RPA-redis,0.12%,3.309MiB / 15.4GiB,0.02%,6.41MB / 2.41MB,26.4MB / 10.8MB,7
2026-06-21T16:18:40+08:00,RPA-grafana,0.75%,123.9MiB / 15.4GiB,0.79%,23.6MB / 280kB,547MB / 136MB,25
2026-06-21T16:18:40+08:00,RPA-alloy,0.15%,203.2MiB / 15.4GiB,1.29%,2.07MB / 681MB,750MB / 65.4MB,27
2026-06-21T16:18:40+08:00,RPA-loki,0.38%,297.8MiB / 15.4GiB,1.89%,681MB / 275MB,502MB / 4.54GB,26
2026-06-21T16:18:40+08:00,rmqbroker,3.43%,1.246GiB / 15.4GiB,8.09%,1.76MB / 3.13MB,256MB / 489MB,280
2026-06-21T16:18:40+08:00,rmqdashboard,0.06%,476.3MiB / 15.4GiB,3.02%,1.92MB / 1.04MB,209MB / 254MB,66
2026-06-21T16:18:40+08:00,RPA-prometheus,0.00%,327.2MiB / 15.4GiB,2.08%,319MB / 4.39MB,294MB / 119MB,26
2026-06-21T16:18:40+08:00,RPA-minio,0.01%,359.3MiB / 15.4GiB,2.28%,300MB / 17.3MB,236MB / 614MB,53
2026-06-21T16:18:40+08:00,rmqnamesrv,0.12%,179.1MiB / 15.4GiB,1.14%,2.94MB / 2.22MB,222MB / 376MB,81
2026-06-21T16:18:40+08:00,RPA-cadvisor,2.71%,281.1MiB / 15.4GiB,1.78%,4.39MB / 318MB,164MB / 20.4MB,28
2026-06-21T16:18:40+08:00,script-k6-run-d59d0eb5a7bc,1.84%,26.55MiB / 15.4GiB,0.17%,26.4kB / 46kB,0B / 0B,25
2026-06-21T16:18:44+08:00,script-k6-run-d59d0eb5a7bc,4.98%,28.89MiB / 15.4GiB,0.18%,132kB / 141kB,0B / 0B,25
2026-06-21T16:18:44+08:00,RPA-app,197.12%,1.355GiB / 2GiB,67.73%,468kB / 798kB,364MB / 997MB,8
