timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:29:14+08:00,RPA-app,151.17%,34.04MiB / 2GiB,1.66%,6.96GB / 7.36GB,368MB / 997MB,9
2026-06-21T16:29:14+08:00,RPA-pgdb,0.03%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:29:14+08:00,RPA-redis,0.18%,8.602MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:29:14+08:00,RPA-grafana,0.12%,98.98MiB / 15.4GiB,0.63%,23.6MB / 283kB,614MB / 140MB,25
2026-06-21T16:29:14+08:00,RPA-alloy,7.64%,197.1MiB / 15.4GiB,1.25%,3.06MB / 1.07GB,833MB / 68.5MB,27
2026-06-21T16:29:14+08:00,RPA-loki,7.28%,521.6MiB / 15.4GiB,3.31%,1.07GB / 430MB,612MB / 7.09GB,26
2026-06-21T16:29:14+08:00,rmqbroker,4.32%,893.5MiB / 15.4GiB,5.67%,1.96MB / 3.37MB,385MB / 971MB,320
2026-06-21T16:29:14+08:00,rmqdashboard,0.07%,359.1MiB / 15.4GiB,2.28%,2.02MB / 1.09MB,278MB / 445MB,66
2026-06-21T16:29:14+08:00,RPA-prometheus,5.69%,332.3MiB / 15.4GiB,2.11%,334MB / 4.63MB,332MB / 126MB,26
2026-06-21T16:29:14+08:00,RPA-minio,0.02%,145.4MiB / 15.4GiB,0.92%,453MB / 17.4MB,252MB / 805MB,53
2026-06-21T16:29:14+08:00,rmqnamesrv,0.16%,127.4MiB / 15.4GiB,0.81%,3.08MB / 2.33MB,234MB / 451MB,81
2026-06-21T16:29:14+08:00,RPA-cadvisor,54.00%,270.5MiB / 15.4GiB,1.72%,4.62MB / 333MB,206MB / 20.6MB,28
2026-06-21T16:29:14+08:00,script-k6-run-ba555e62ad15,726.30%,261.9MiB / 15.4GiB,1.66%,38.6MB / 28.2MB,225kB / 0B,26
2026-06-21T16:29:18+08:00,script-k6-run-ba555e62ad15,743.20%,598.2MiB / 15.4GiB,3.79%,92.4MB / 67.4MB,225kB / 0B,26
2026-06-21T16:29:18+08:00,RPA-app,176.19%,35.69MiB / 2GiB,1.74%,7.01GB / 7.43GB,368MB / 997MB,9
2026-06-21T16:29:18+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:29:18+08:00,RPA-redis,1.09%,8.102MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:29:18+08:00,RPA-grafana,0.30%,98.98MiB / 15.4GiB,0.63%,23.6MB / 283kB,614MB / 140MB,25
2026-06-21T16:29:18+08:00,RPA-alloy,113.31%,200.9MiB / 15.4GiB,1.27%,3.07MB / 1.07GB,833MB / 68.5MB,27
2026-06-21T16:29:18+08:00,RPA-loki,15.00%,529MiB / 15.4GiB,3.36%,1.07GB / 430MB,612MB / 7.09GB,26
2026-06-21T16:29:18+08:00,rmqbroker,6.63%,893.1MiB / 15.4GiB,5.66%,1.96MB / 3.37MB,385MB / 971MB,320
2026-06-21T16:29:18+08:00,rmqdashboard,0.36%,359.6MiB / 15.4GiB,2.28%,2.02MB / 1.09MB,278MB / 445MB,66
2026-06-21T16:29:18+08:00,RPA-prometheus,0.00%,331.5MiB / 15.4GiB,2.10%,334MB / 4.63MB,332MB / 126MB,26
2026-06-21T16:29:18+08:00,RPA-minio,0.03%,145.4MiB / 15.4GiB,0.92%,453MB / 17.4MB,252MB / 805MB,53
2026-06-21T16:29:18+08:00,rmqnamesrv,0.19%,127.4MiB / 15.4GiB,0.81%,3.08MB / 2.33MB,234MB / 451MB,81
2026-06-21T16:29:18+08:00,RPA-cadvisor,2.93%,270.6MiB / 15.4GiB,1.72%,4.62MB / 333MB,206MB / 20.6MB,28
2026-06-21T16:29:21+08:00,script-k6-run-ba555e62ad15,757.68%,432.4MiB / 15.4GiB,2.74%,135MB / 98.2MB,225kB / 0B,26
2026-06-21T16:29:21+08:00,RPA-app,179.84%,35.41MiB / 2GiB,1.73%,7.05GB / 7.47GB,368MB / 997MB,9
2026-06-21T16:29:21+08:00,RPA-pgdb,4.03%,127MiB / 15.4GiB,0.81%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:29:21+08:00,RPA-redis,0.22%,8.102MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:29:21+08:00,RPA-grafana,0.18%,98.98MiB / 15.4GiB,0.63%,23.6MB / 283kB,614MB / 140MB,25
2026-06-21T16:29:21+08:00,RPA-alloy,22.57%,201.4MiB / 15.4GiB,1.28%,3.07MB / 1.07GB,833MB / 68.5MB,27
2026-06-21T16:29:21+08:00,RPA-loki,14.84%,511.4MiB / 15.4GiB,3.24%,1.07GB / 438MB,613MB / 7.09GB,26
2026-06-21T16:29:21+08:00,rmqbroker,7.89%,894MiB / 15.4GiB,5.67%,1.97MB / 3.37MB,386MB / 971MB,320
2026-06-21T16:29:21+08:00,rmqdashboard,0.09%,359.6MiB / 15.4GiB,2.28%,2.02MB / 1.09MB,278MB / 445MB,66
2026-06-21T16:29:21+08:00,RPA-prometheus,0.00%,331.6MiB / 15.4GiB,2.10%,334MB / 4.63MB,332MB / 126MB,26
2026-06-21T16:29:21+08:00,RPA-minio,0.04%,145.6MiB / 15.4GiB,0.92%,461MB / 17.5MB,252MB / 813MB,53
2026-06-21T16:29:21+08:00,rmqnamesrv,0.15%,127.4MiB / 15.4GiB,0.81%,3.08MB / 2.34MB,234MB / 451MB,81
2026-06-21T16:29:21+08:00,RPA-cadvisor,5.98%,272.6MiB / 15.4GiB,1.73%,4.62MB / 333MB,206MB / 20.6MB,28
2026-06-21T16:29:24+08:00,script-k6-run-ba555e62ad15,730.27%,385.3MiB / 15.4GiB,2.44%,178MB / 130MB,225kB / 0B,26
2026-06-21T16:29:24+08:00,RPA-app,180.23%,34.42MiB / 2GiB,1.68%,7.08GB / 7.52GB,368MB / 997MB,9
2026-06-21T16:29:24+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:29:24+08:00,RPA-redis,0.20%,8.102MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:29:24+08:00,RPA-grafana,0.15%,98.98MiB / 15.4GiB,0.63%,23.6MB / 283kB,614MB / 140MB,25
2026-06-21T16:29:24+08:00,RPA-alloy,2.18%,200.3MiB / 15.4GiB,1.27%,3.08MB / 1.07GB,833MB / 68.5MB,27
2026-06-21T16:29:24+08:00,RPA-loki,18.94%,512.7MiB / 15.4GiB,3.25%,1.07GB / 438MB,613MB / 7.09GB,26
