timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:28:10+08:00,RPA-app,77.52%,34.99MiB / 2GiB,1.71%,6.3GB / 6.44GB,368MB / 997MB,9
2026-06-21T16:28:10+08:00,RPA-pgdb,2.40%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:10+08:00,RPA-redis,0.19%,8.109MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:10+08:00,RPA-grafana,1.32%,95.16MiB / 15.4GiB,0.60%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:10+08:00,RPA-alloy,21.82%,188.4MiB / 15.4GiB,1.19%,2.94MB / 1.02GB,830MB / 68.3MB,27
2026-06-21T16:28:10+08:00,RPA-loki,18.43%,514.8MiB / 15.4GiB,3.27%,1.02GB / 411MB,612MB / 6.77GB,26
2026-06-21T16:28:10+08:00,rmqbroker,4.03%,884.4MiB / 15.4GiB,5.61%,1.94MB / 3.34MB,375MB / 969MB,320
2026-06-21T16:28:10+08:00,rmqdashboard,0.07%,354.3MiB / 15.4GiB,2.25%,2.01MB / 1.09MB,273MB / 445MB,66
2026-06-21T16:28:10+08:00,RPA-prometheus,0.00%,328MiB / 15.4GiB,2.08%,332MB / 4.6MB,328MB / 125MB,26
2026-06-21T16:28:10+08:00,RPA-minio,0.02%,145.1MiB / 15.4GiB,0.92%,434MB / 17.4MB,252MB / 783MB,53
2026-06-21T16:28:10+08:00,rmqnamesrv,0.10%,126.5MiB / 15.4GiB,0.80%,3.07MB / 2.32MB,233MB / 451MB,81
2026-06-21T16:28:10+08:00,RPA-cadvisor,3.17%,283.6MiB / 15.4GiB,1.80%,4.59MB / 331MB,206MB / 20.6MB,28
2026-06-21T16:28:10+08:00,script-k6-run-785f1fb506c2,733.43%,215MiB / 15.4GiB,1.36%,30.6MB / 22.1MB,225kB / 0B,28
2026-06-21T16:28:14+08:00,script-k6-run-785f1fb506c2,743.28%,492.5MiB / 15.4GiB,3.12%,75.1MB / 54.2MB,225kB / 0B,28
2026-06-21T16:28:14+08:00,RPA-app,177.12%,33.97MiB / 2GiB,1.66%,6.35GB / 6.51GB,368MB / 997MB,9
2026-06-21T16:28:14+08:00,RPA-pgdb,2.51%,128.3MiB / 15.4GiB,0.81%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:14+08:00,RPA-redis,0.21%,8.109MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:14+08:00,RPA-grafana,0.15%,95.16MiB / 15.4GiB,0.60%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:14+08:00,RPA-alloy,81.65%,191.3MiB / 15.4GiB,1.21%,2.94MB / 1.02GB,830MB / 68.3MB,27
2026-06-21T16:28:14+08:00,RPA-loki,13.16%,514.3MiB / 15.4GiB,3.26%,1.02GB / 411MB,612MB / 6.77GB,26
2026-06-21T16:28:14+08:00,rmqbroker,6.51%,884.6MiB / 15.4GiB,5.61%,1.95MB / 3.34MB,376MB / 970MB,320
2026-06-21T16:28:14+08:00,rmqdashboard,0.29%,354.8MiB / 15.4GiB,2.25%,2.01MB / 1.09MB,273MB / 445MB,66
2026-06-21T16:28:14+08:00,RPA-prometheus,13.02%,332.4MiB / 15.4GiB,2.11%,333MB / 4.61MB,331MB / 125MB,26
2026-06-21T16:28:14+08:00,RPA-minio,0.03%,144.8MiB / 15.4GiB,0.92%,434MB / 17.4MB,252MB / 783MB,53
2026-06-21T16:28:14+08:00,rmqnamesrv,0.28%,126.5MiB / 15.4GiB,0.80%,3.07MB / 2.32MB,233MB / 451MB,81
2026-06-21T16:28:14+08:00,RPA-cadvisor,74.00%,262MiB / 15.4GiB,1.66%,4.6MB / 332MB,206MB / 20.6MB,28
2026-06-21T16:28:17+08:00,script-k6-run-785f1fb506c2,743.35%,404.8MiB / 15.4GiB,2.57%,132MB / 95.2MB,225kB / 0B,28
2026-06-21T16:28:17+08:00,RPA-app,182.38%,33.88MiB / 2GiB,1.65%,6.39GB / 6.56GB,368MB / 997MB,9
2026-06-21T16:28:17+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:17+08:00,RPA-redis,0.87%,8.965MiB / 15.4GiB,0.06%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:17+08:00,RPA-grafana,0.23%,95.41MiB / 15.4GiB,0.61%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:17+08:00,RPA-alloy,55.33%,191.8MiB / 15.4GiB,1.22%,2.95MB / 1.02GB,830MB / 68.3MB,27
2026-06-21T16:28:17+08:00,RPA-loki,21.00%,525.4MiB / 15.4GiB,3.33%,1.02GB / 411MB,612MB / 6.77GB,26
2026-06-21T16:28:17+08:00,rmqbroker,6.50%,885.6MiB / 15.4GiB,5.62%,1.95MB / 3.34MB,377MB / 970MB,320
2026-06-21T16:28:17+08:00,rmqdashboard,0.08%,354.8MiB / 15.4GiB,2.25%,2.01MB / 1.09MB,273MB / 445MB,66
2026-06-21T16:28:17+08:00,RPA-prometheus,0.00%,331.5MiB / 15.4GiB,2.10%,333MB / 4.61MB,331MB / 125MB,26
2026-06-21T16:28:17+08:00,RPA-minio,0.01%,144.8MiB / 15.4GiB,0.92%,434MB / 17.4MB,252MB / 783MB,53
2026-06-21T16:28:17+08:00,rmqnamesrv,0.17%,126.6MiB / 15.4GiB,0.80%,3.07MB / 2.32MB,233MB / 451MB,81
2026-06-21T16:28:17+08:00,RPA-cadvisor,4.33%,274.4MiB / 15.4GiB,1.74%,4.6MB / 332MB,206MB / 20.6MB,28
2026-06-21T16:28:20+08:00,script-k6-run-785f1fb506c2,780.16%,432.5MiB / 15.4GiB,2.74%,176MB / 127MB,225kB / 0B,28
2026-06-21T16:28:20+08:00,RPA-app,180.71%,32.83MiB / 2GiB,1.60%,6.42GB / 6.6GB,368MB / 997MB,9
2026-06-21T16:28:20+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:20+08:00,RPA-redis,0.19%,8.109MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:20+08:00,RPA-grafana,0.24%,95.41MiB / 15.4GiB,0.61%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:20+08:00,RPA-alloy,1.89%,204.6MiB / 15.4GiB,1.30%,2.96MB / 1.03GB,830MB / 68.3MB,27
2026-06-21T16:28:20+08:00,RPA-loki,14.21%,534.5MiB / 15.4GiB,3.39%,1.03GB / 411MB,612MB / 6.77GB,26
2026-06-21T16:28:20+08:00,rmqbroker,6.91%,886.8MiB / 15.4GiB,5.62%,1.95MB / 3.34MB,377MB / 970MB,320
2026-06-21T16:28:20+08:00,rmqdashboard,0.08%,355.2MiB / 15.4GiB,2.25%,2.01MB / 1.09MB,273MB / 445MB,66
2026-06-21T16:28:20+08:00,RPA-prometheus,0.89%,332MiB / 15.4GiB,2.11%,333MB / 4.61MB,331MB / 125MB,26
2026-06-21T16:28:20+08:00,RPA-minio,0.00%,144.8MiB / 15.4GiB,0.92%,434MB / 17.4MB,252MB / 784MB,53
2026-06-21T16:28:20+08:00,rmqnamesrv,0.17%,126.7MiB / 15.4GiB,0.80%,3.07MB / 2.32MB,234MB / 451MB,81
2026-06-21T16:28:20+08:00,RPA-cadvisor,4.30%,278.8MiB / 15.4GiB,1.77%,4.6MB / 332MB,206MB / 20.6MB,28
2026-06-21T16:28:23+08:00,script-k6-run-785f1fb506c2,683.16%,520.9MiB / 15.4GiB,3.30%,223MB / 161MB,225kB / 0B,28
2026-06-21T16:28:23+08:00,RPA-app,182.00%,35.54MiB / 2GiB,1.74%,6.45GB / 6.65GB,368MB / 997MB,9
2026-06-21T16:28:23+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:23+08:00,RPA-redis,0.18%,8.109MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:23+08:00,RPA-grafana,0.16%,95.16MiB / 15.4GiB,0.60%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:23+08:00,RPA-alloy,1.61%,205.1MiB / 15.4GiB,1.30%,2.96MB / 1.03GB,830MB / 68.3MB,27
2026-06-21T16:28:23+08:00,RPA-loki,11.82%,536.2MiB / 15.4GiB,3.40%,1.03GB / 411MB,612MB / 6.77GB,26
2026-06-21T16:28:23+08:00,rmqbroker,5.14%,886.1MiB / 15.4GiB,5.62%,1.95MB / 3.34MB,378MB / 970MB,320
2026-06-21T16:28:23+08:00,rmqdashboard,0.22%,355.5MiB / 15.4GiB,2.26%,2.01MB / 1.09MB,274MB / 445MB,66
2026-06-21T16:28:23+08:00,RPA-prometheus,0.00%,331.5MiB / 15.4GiB,2.10%,333MB / 4.61MB,331MB / 125MB,26
2026-06-21T16:28:23+08:00,RPA-minio,1.69%,145.1MiB / 15.4GiB,0.92%,434MB / 17.4MB,252MB / 784MB,53
2026-06-21T16:28:23+08:00,rmqnamesrv,0.14%,127MiB / 15.4GiB,0.81%,3.07MB / 2.32MB,234MB / 451MB,81
2026-06-21T16:28:23+08:00,RPA-cadvisor,3.99%,278.1MiB / 15.4GiB,1.76%,4.6MB / 332MB,206MB / 20.6MB,28
2026-06-21T16:28:26+08:00,script-k6-run-785f1fb506c2,693.51%,487.1MiB / 15.4GiB,3.09%,269MB / 194MB,225kB / 0B,28
2026-06-21T16:28:26+08:00,RPA-app,182.62%,33.71MiB / 2GiB,1.65%,6.48GB / 6.7GB,368MB / 997MB,9
2026-06-21T16:28:26+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:26+08:00,RPA-redis,0.19%,8.109MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:26+08:00,RPA-grafana,0.23%,95.16MiB / 15.4GiB,0.60%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:26+08:00,RPA-alloy,1.36%,204.9MiB / 15.4GiB,1.30%,2.97MB / 1.03GB,830MB / 68.3MB,27
2026-06-21T16:28:26+08:00,RPA-loki,11.11%,539.3MiB / 15.4GiB,3.42%,1.03GB / 422MB,612MB / 6.77GB,26
2026-06-21T16:28:26+08:00,rmqbroker,5.87%,888.5MiB / 15.4GiB,5.64%,1.95MB / 3.34MB,378MB / 970MB,320
2026-06-21T16:28:26+08:00,rmqdashboard,0.08%,355.5MiB / 15.4GiB,2.26%,2.01MB / 1.09MB,274MB / 445MB,66
2026-06-21T16:28:26+08:00,RPA-prometheus,0.01%,331.5MiB / 15.4GiB,2.10%,333MB / 4.61MB,331MB / 125MB,26
2026-06-21T16:28:26+08:00,RPA-minio,2.21%,145.2MiB / 15.4GiB,0.92%,445MB / 17.4MB,252MB / 795MB,53
2026-06-21T16:28:26+08:00,rmqnamesrv,0.16%,127MiB / 15.4GiB,0.81%,3.07MB / 2.32MB,234MB / 451MB,81
2026-06-21T16:28:26+08:00,RPA-cadvisor,9.07%,234.3MiB / 15.4GiB,1.49%,4.6MB / 332MB,206MB / 20.6MB,28
2026-06-21T16:28:29+08:00,script-k6-run-785f1fb506c2,709.61%,699MiB / 15.4GiB,4.43%,312MB / 225MB,225kB / 0B,28
2026-06-21T16:28:29+08:00,RPA-app,179.31%,35.35MiB / 2GiB,1.73%,6.52GB / 6.74GB,368MB / 997MB,9
2026-06-21T16:28:29+08:00,RPA-pgdb,3.51%,127.1MiB / 15.4GiB,0.81%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:29+08:00,RPA-redis,0.24%,8.359MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:29+08:00,RPA-grafana,0.18%,95.16MiB / 15.4GiB,0.60%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:29+08:00,RPA-alloy,55.22%,194.9MiB / 15.4GiB,1.24%,2.98MB / 1.03GB,830MB / 68.4MB,27
2026-06-21T16:28:29+08:00,RPA-loki,12.36%,535.4MiB / 15.4GiB,3.40%,1.03GB / 422MB,612MB / 6.77GB,26
2026-06-21T16:28:29+08:00,rmqbroker,7.86%,887.4MiB / 15.4GiB,5.63%,1.95MB / 3.35MB,379MB / 970MB,320
2026-06-21T16:28:29+08:00,rmqdashboard,0.20%,355.9MiB / 15.4GiB,2.26%,2.02MB / 1.09MB,274MB / 445MB,66
2026-06-21T16:28:29+08:00,RPA-prometheus,5.73%,331.6MiB / 15.4GiB,2.10%,333MB / 4.61MB,332MB / 125MB,26
2026-06-21T16:28:29+08:00,RPA-minio,0.04%,145.2MiB / 15.4GiB,0.92%,445MB / 17.4MB,252MB / 795MB,53
2026-06-21T16:28:29+08:00,rmqnamesrv,0.17%,127.1MiB / 15.4GiB,0.81%,3.07MB / 2.33MB,234MB / 451MB,81
2026-06-21T16:28:29+08:00,RPA-cadvisor,33.38%,246.8MiB / 15.4GiB,1.57%,4.6MB / 332MB,206MB / 20.6MB,28
2026-06-21T16:28:32+08:00,script-k6-run-785f1fb506c2,662.74%,586.7MiB / 15.4GiB,3.72%,359MB / 259MB,225kB / 0B,28
2026-06-21T16:28:32+08:00,RPA-app,181.08%,34.21MiB / 2GiB,1.67%,6.55GB / 6.78GB,368MB / 997MB,9
2026-06-21T16:28:32+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:32+08:00,RPA-redis,0.80%,7.859MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:32+08:00,RPA-grafana,0.17%,95.16MiB / 15.4GiB,0.60%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:32+08:00,RPA-alloy,89.27%,195.1MiB / 15.4GiB,1.24%,2.98MB / 1.04GB,830MB / 68.4MB,27
2026-06-21T16:28:32+08:00,RPA-loki,9.66%,536.2MiB / 15.4GiB,3.40%,1.04GB / 422MB,612MB / 6.84GB,26
2026-06-21T16:28:32+08:00,rmqbroker,6.57%,887.5MiB / 15.4GiB,5.63%,1.95MB / 3.35MB,379MB / 970MB,320
2026-06-21T16:28:32+08:00,rmqdashboard,0.23%,356.4MiB / 15.4GiB,2.26%,2.02MB / 1.09MB,275MB / 445MB,66
2026-06-21T16:28:32+08:00,RPA-prometheus,0.00%,331.5MiB / 15.4GiB,2.10%,333MB / 4.61MB,332MB / 125MB,26
2026-06-21T16:28:32+08:00,RPA-minio,0.01%,145.2MiB / 15.4GiB,0.92%,445MB / 17.4MB,252MB / 795MB,53
2026-06-21T16:28:32+08:00,rmqnamesrv,0.17%,127.1MiB / 15.4GiB,0.81%,3.07MB / 2.33MB,234MB / 451MB,81
2026-06-21T16:28:32+08:00,RPA-cadvisor,3.54%,268.6MiB / 15.4GiB,1.70%,4.6MB / 332MB,206MB / 20.6MB,28
2026-06-21T16:28:36+08:00,script-k6-run-785f1fb506c2,775.41%,577.7MiB / 15.4GiB,3.66%,404MB / 291MB,225kB / 0B,28
2026-06-21T16:28:36+08:00,RPA-app,177.45%,34.04MiB / 2GiB,1.66%,6.58GB / 6.83GB,368MB / 997MB,9
2026-06-21T16:28:36+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:36+08:00,RPA-redis,0.20%,8.609MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:36+08:00,RPA-grafana,0.21%,95.16MiB / 15.4GiB,0.60%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:36+08:00,RPA-alloy,103.90%,196.3MiB / 15.4GiB,1.25%,2.99MB / 1.04GB,830MB / 68.4MB,27
2026-06-21T16:28:36+08:00,RPA-loki,8.60%,538.5MiB / 15.4GiB,3.42%,1.04GB / 422MB,612MB / 6.9GB,26
2026-06-21T16:28:36+08:00,rmqbroker,7.48%,888.6MiB / 15.4GiB,5.64%,1.95MB / 3.35MB,380MB / 970MB,320
2026-06-21T16:28:36+08:00,rmqdashboard,0.09%,356.3MiB / 15.4GiB,2.26%,2.02MB / 1.09MB,275MB / 445MB,66
2026-06-21T16:28:36+08:00,RPA-prometheus,0.14%,331.5MiB / 15.4GiB,2.10%,333MB / 4.61MB,332MB / 125MB,26
2026-06-21T16:28:36+08:00,RPA-minio,0.03%,145.2MiB / 15.4GiB,0.92%,445MB / 17.4MB,252MB / 795MB,53
2026-06-21T16:28:36+08:00,rmqnamesrv,0.16%,126.9MiB / 15.4GiB,0.81%,3.07MB / 2.33MB,234MB / 451MB,81
2026-06-21T16:28:36+08:00,RPA-cadvisor,3.11%,269.2MiB / 15.4GiB,1.71%,4.6MB / 332MB,206MB / 20.6MB,28
2026-06-21T16:28:39+08:00,script-k6-run-785f1fb506c2,727.67%,743.5MiB / 15.4GiB,4.72%,451MB / 325MB,225kB / 0B,28
2026-06-21T16:28:39+08:00,RPA-app,179.37%,34.39MiB / 2GiB,1.68%,6.61GB / 6.88GB,368MB / 997MB,9
2026-06-21T16:28:39+08:00,RPA-pgdb,0.00%,126.2MiB / 15.4GiB,0.80%,594MB / 3.78GB,50.3MB / 1.04GB,19
2026-06-21T16:28:39+08:00,RPA-redis,0.18%,7.859MiB / 15.4GiB,0.05%,8.09MB / 2.89MB,31.1MB / 12.1MB,7
2026-06-21T16:28:39+08:00,RPA-grafana,0.47%,96.15MiB / 15.4GiB,0.61%,23.6MB / 283kB,610MB / 140MB,25
2026-06-21T16:28:39+08:00,RPA-alloy,105.69%,202.5MiB / 15.4GiB,1.28%,2.99MB / 1.04GB,830MB / 68.4MB,27
2026-06-21T16:28:39+08:00,RPA-loki,16.36%,540.8MiB / 15.4GiB,3.43%,1.04GB / 422MB,612MB / 6.9GB,26
2026-06-21T16:28:39+08:00,rmqbroker,10.54%,888.2MiB / 15.4GiB,5.63%,1.95MB / 3.35MB,380MB / 970MB,320
2026-06-21T16:28:39+08:00,rmqdashboard,0.22%,357.3MiB / 15.4GiB,2.27%,2.02MB / 1.09MB,275MB / 445MB,66
2026-06-21T16:28:39+08:00,RPA-prometheus,0.00%,331.5MiB / 15.4GiB,2.10%,333MB / 4.61MB,332MB / 125MB,26
2026-06-21T16:28:39+08:00,RPA-minio,0.00%,145.2MiB / 15.4GiB,0.92%,445MB / 17.4MB,252MB / 795MB,53
2026-06-21T16:28:39+08:00,rmqnamesrv,0.45%,127.8MiB / 15.4GiB,0.81%,3.08MB / 2.33MB,234MB / 451MB,81
2026-06-21T16:28:39+08:00,RPA-cadvisor,4.18%,273.9MiB / 15.4GiB,1.74%,4.6MB / 332MB,206MB / 20.6MB,28
