timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:37:41+08:00,RPA-app,137.65%,39.52MiB / 2GiB,1.93%,16GB / 15.8GB,368MB / 997MB,14
2026-06-21T16:37:41+08:00,RPA-pgdb,0.02%,129MiB / 15.4GiB,0.82%,1.1GB / 8.39GB,53.6MB / 1.04GB,19
2026-06-21T16:37:41+08:00,RPA-redis,0.18%,8.297MiB / 15.4GiB,0.05%,166MB / 230MB,31.2MB / 12.1MB,7
2026-06-21T16:37:41+08:00,RPA-grafana,0.14%,114.9MiB / 15.4GiB,0.73%,23.6MB / 286kB,630MB / 141MB,25
2026-06-21T16:37:41+08:00,RPA-alloy,66.34%,230.1MiB / 15.4GiB,1.46%,4.01MB / 1.45GB,861MB / 70MB,27
2026-06-21T16:37:41+08:00,RPA-loki,10.67%,483.5MiB / 15.4GiB,3.07%,1.45GB / 595MB,635MB / 9.55GB,26
2026-06-21T16:37:41+08:00,rmqbroker,4.34%,983.9MiB / 15.4GiB,6.24%,2.12MB / 3.56MB,475MB / 980MB,320
2026-06-21T16:37:41+08:00,rmqdashboard,0.06%,424.1MiB / 15.4GiB,2.69%,2.1MB / 1.14MB,337MB / 448MB,66
2026-06-21T16:37:41+08:00,RPA-prometheus,0.02%,346.9MiB / 15.4GiB,2.20%,346MB / 4.82MB,338MB / 128MB,26
2026-06-21T16:37:41+08:00,RPA-minio,0.05%,215.9MiB / 15.4GiB,1.37%,617MB / 17.6MB,433MB / 991MB,53
2026-06-21T16:37:41+08:00,rmqnamesrv,0.13%,135.5MiB / 15.4GiB,0.86%,3.2MB / 2.43MB,236MB / 452MB,81
2026-06-21T16:37:41+08:00,RPA-cadvisor,3.39%,277.2MiB / 15.4GiB,1.76%,4.79MB / 345MB,206MB / 20.6MB,28
2026-06-21T16:37:41+08:00,script-k6-run-cb63805afd2b,740.60%,310.7MiB / 15.4GiB,1.97%,46.5MB / 26.2MB,229kB / 0B,26
