timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:36:37+08:00,RPA-app,70.34%,43.66MiB / 2GiB,2.13%,13.5GB / 15.1GB,368MB / 997MB,14
2026-06-21T16:36:37+08:00,RPA-pgdb,0.13%,128.9MiB / 15.4GiB,0.82%,1.1GB / 8.39GB,53.6MB / 1.04GB,19
2026-06-21T16:36:37+08:00,RPA-redis,0.13%,8.297MiB / 15.4GiB,0.05%,166MB / 230MB,31.2MB / 12.1MB,7
2026-06-21T16:36:37+08:00,RPA-grafana,0.13%,114.9MiB / 15.4GiB,0.73%,23.6MB / 285kB,630MB / 141MB,25
2026-06-21T16:36:37+08:00,RPA-alloy,1.26%,229.7MiB / 15.4GiB,1.46%,3.89MB / 1.4GB,861MB / 69.8MB,27
2026-06-21T16:36:37+08:00,RPA-loki,10.63%,505.8MiB / 15.4GiB,3.21%,1.4GB / 577MB,635MB / 9.25GB,26
2026-06-21T16:36:37+08:00,rmqbroker,3.93%,973.7MiB / 15.4GiB,6.18%,2.1MB / 3.53MB,465MB / 979MB,320
2026-06-21T16:36:37+08:00,rmqdashboard,0.07%,418.5MiB / 15.4GiB,2.65%,2.09MB / 1.14MB,331MB / 448MB,66
2026-06-21T16:36:37+08:00,RPA-prometheus,0.00%,363.7MiB / 15.4GiB,2.31%,345MB / 4.8MB,338MB / 127MB,26
2026-06-21T16:36:37+08:00,RPA-minio,0.02%,215.4MiB / 15.4GiB,1.37%,600MB / 17.6MB,433MB / 971MB,53
2026-06-21T16:36:37+08:00,rmqnamesrv,0.12%,134.4MiB / 15.4GiB,0.85%,3.19MB / 2.42MB,236MB / 452MB,81
2026-06-21T16:36:37+08:00,RPA-cadvisor,3.05%,276.1MiB / 15.4GiB,1.75%,4.77MB / 343MB,206MB / 20.6MB,28
2026-06-21T16:36:37+08:00,script-k6-run-3bf581977203,853.97%,210.2MiB / 15.4GiB,1.33%,26.3MB / 86.4MB,229kB / 0B,26
2026-06-21T16:36:41+08:00,script-k6-run-3bf581977203,889.68%,428.3MiB / 15.4GiB,2.72%,64.3MB / 211MB,229kB / 0B,26
2026-06-21T16:36:41+08:00,RPA-app,173.66%,43.99MiB / 2GiB,2.15%,13.7GB / 15.1GB,368MB / 997MB,14
2026-06-21T16:36:41+08:00,RPA-pgdb,2.78%,129.7MiB / 15.4GiB,0.82%,1.1GB / 8.39GB,53.6MB / 1.04GB,19
2026-06-21T16:36:41+08:00,RPA-redis,0.73%,8.289MiB / 15.4GiB,0.05%,166MB / 230MB,31.2MB / 12.1MB,7
2026-06-21T16:36:41+08:00,RPA-grafana,0.17%,114.9MiB / 15.4GiB,0.73%,23.6MB / 285kB,630MB / 141MB,25
2026-06-21T16:36:41+08:00,RPA-alloy,21.32%,229.8MiB / 15.4GiB,1.46%,3.9MB / 1.41GB,861MB / 69.8MB,27
2026-06-21T16:36:41+08:00,RPA-loki,12.74%,506.3MiB / 15.4GiB,3.21%,1.41GB / 577MB,635MB / 9.25GB,26
2026-06-21T16:36:41+08:00,rmqbroker,8.46%,974.7MiB / 15.4GiB,6.18%,2.1MB / 3.53MB,466MB / 979MB,320
2026-06-21T16:36:41+08:00,rmqdashboard,0.09%,418.6MiB / 15.4GiB,2.66%,2.09MB / 1.14MB,331MB / 448MB,66
2026-06-21T16:36:41+08:00,RPA-prometheus,0.06%,363.7MiB / 15.4GiB,2.31%,345MB / 4.8MB,338MB / 127MB,26
2026-06-21T16:36:41+08:00,RPA-minio,0.06%,215.4MiB / 15.4GiB,1.37%,600MB / 17.6MB,433MB / 971MB,53
2026-06-21T16:36:41+08:00,rmqnamesrv,0.16%,134.5MiB / 15.4GiB,0.85%,3.19MB / 2.42MB,236MB / 452MB,81
2026-06-21T16:36:41+08:00,RPA-cadvisor,4.01%,276.6MiB / 15.4GiB,1.75%,4.77MB / 343MB,206MB / 20.6MB,28
2026-06-21T16:36:44+08:00,script-k6-run-3bf581977203,834.39%,326MiB / 15.4GiB,2.07%,99.4MB / 326MB,229kB / 0B,26
2026-06-21T16:36:44+08:00,RPA-app,168.94%,43.71MiB / 2GiB,2.13%,13.8GB / 15.2GB,368MB / 997MB,14
2026-06-21T16:36:44+08:00,RPA-pgdb,0.00%,129MiB / 15.4GiB,0.82%,1.1GB / 8.39GB,53.6MB / 1.04GB,19
2026-06-21T16:36:44+08:00,RPA-redis,0.23%,8.547MiB / 15.4GiB,0.05%,166MB / 230MB,31.2MB / 12.1MB,7
2026-06-21T16:36:44+08:00,RPA-grafana,0.24%,114.9MiB / 15.4GiB,0.73%,23.6MB / 285kB,630MB / 141MB,25
2026-06-21T16:36:44+08:00,RPA-alloy,114.03%,244MiB / 15.4GiB,1.55%,3.9MB / 1.41GB,861MB / 69.8MB,27
2026-06-21T16:36:44+08:00,RPA-loki,29.53%,494MiB / 15.4GiB,3.13%,1.41GB / 577MB,635MB / 9.25GB,26
2026-06-21T16:36:44+08:00,rmqbroker,8.43%,974.4MiB / 15.4GiB,6.18%,2.11MB / 3.53MB,466MB / 979MB,320
2026-06-21T16:36:44+08:00,rmqdashboard,0.11%,418.6MiB / 15.4GiB,2.66%,2.09MB / 1.14MB,331MB / 448MB,66
2026-06-21T16:36:44+08:00,RPA-prometheus,15.19%,348.3MiB / 15.4GiB,2.21%,345MB / 4.81MB,338MB / 127MB,26
2026-06-21T16:36:44+08:00,RPA-minio,0.03%,215.4MiB / 15.4GiB,1.37%,600MB / 17.6MB,433MB / 971MB,53
2026-06-21T16:36:44+08:00,rmqnamesrv,0.73%,134.6MiB / 15.4GiB,0.85%,3.19MB / 2.42MB,236MB / 452MB,81
2026-06-21T16:36:44+08:00,RPA-cadvisor,3.83%,229.6MiB / 15.4GiB,1.46%,4.77MB / 343MB,206MB / 20.6MB,28
2026-06-21T16:36:47+08:00,script-k6-run-3bf581977203,870.16%,471.1MiB / 15.4GiB,2.99%,126MB / 412MB,229kB / 0B,26
2026-06-21T16:36:47+08:00,RPA-app,167.21%,42.26MiB / 2GiB,2.06%,13.9GB / 15.2GB,368MB / 997MB,14
2026-06-21T16:36:47+08:00,RPA-pgdb,0.01%,129MiB / 15.4GiB,0.82%,1.1GB / 8.39GB,53.6MB / 1.04GB,19
2026-06-21T16:36:47+08:00,RPA-redis,0.25%,8.297MiB / 15.4GiB,0.05%,166MB / 230MB,31.2MB / 12.1MB,7
2026-06-21T16:36:47+08:00,RPA-grafana,0.22%,114.9MiB / 15.4GiB,0.73%,23.6MB / 285kB,630MB / 141MB,25
2026-06-21T16:36:47+08:00,RPA-alloy,102.18%,242.2MiB / 15.4GiB,1.54%,3.91MB / 1.41GB,861MB / 69.8MB,27
2026-06-21T16:36:47+08:00,RPA-loki,13.22%,500.3MiB / 15.4GiB,3.17%,1.41GB / 577MB,635MB / 9.25GB,26
2026-06-21T16:36:47+08:00,rmqbroker,7.35%,975.2MiB / 15.4GiB,6.19%,2.11MB / 3.53MB,466MB / 979MB,320
2026-06-21T16:36:47+08:00,rmqdashboard,0.09%,418.6MiB / 15.4GiB,2.66%,2.09MB / 1.14MB,331MB / 448MB,66
2026-06-21T16:36:47+08:00,RPA-prometheus,0.11%,347.1MiB / 15.4GiB,2.20%,345MB / 4.81MB,338MB / 127MB,26
2026-06-21T16:36:47+08:00,RPA-minio,0.05%,215.4MiB / 15.4GiB,1.37%,600MB / 17.6MB,433MB / 971MB,53
2026-06-21T16:36:47+08:00,rmqnamesrv,0.18%,134.6MiB / 15.4GiB,0.85%,3.19MB / 2.42MB,236MB / 452MB,81
2026-06-21T16:36:47+08:00,RPA-cadvisor,4.38%,268.9MiB / 15.4GiB,1.71%,4.78MB / 344MB,206MB / 20.6MB,28
2026-06-21T16:36:50+08:00,script-k6-run-3bf581977203,856.36%,416.8MiB / 15.4GiB,2.64%,174MB / 572MB,229kB / 0B,27
2026-06-21T16:36:50+08:00,RPA-app,173.84%,42.51MiB / 2GiB,2.08%,14GB / 15.2GB,368MB / 997MB,14
2026-06-21T16:36:50+08:00,RPA-pgdb,0.00%,129MiB / 15.4GiB,0.82%,1.1GB / 8.39GB,53.6MB / 1.04GB,19
2026-06-21T16:36:50+08:00,RPA-redis,0.21%,9.047MiB / 15.4GiB,0.06%,166MB / 230MB,31.2MB / 12.1MB,7
2026-06-21T16:36:50+08:00,RPA-grafana,0.21%,114.9MiB / 15.4GiB,0.73%,23.6MB / 285kB,630MB / 141MB,25
2026-06-21T16:36:50+08:00,RPA-alloy,2.24%,232.3MiB / 15.4GiB,1.47%,3.92MB / 1.41GB,861MB / 69.9MB,27
2026-06-21T16:36:50+08:00,RPA-loki,21.51%,495.7MiB / 15.4GiB,3.14%,1.41GB / 577MB,635MB / 9.25GB,26
2026-06-21T16:36:50+08:00,rmqbroker,6.83%,976.8MiB / 15.4GiB,6.20%,2.11MB / 3.54MB,467MB / 979MB,320
2026-06-21T16:36:50+08:00,rmqdashboard,0.09%,418.6MiB / 15.4GiB,2.66%,2.09MB / 1.14MB,331MB / 448MB,66
2026-06-21T16:36:50+08:00,RPA-prometheus,0.81%,346.8MiB / 15.4GiB,2.20%,345MB / 4.81MB,338MB / 127MB,26
2026-06-21T16:36:50+08:00,RPA-minio,0.00%,215.1MiB / 15.4GiB,1.36%,600MB / 17.6MB,433MB / 971MB,53
2026-06-21T16:36:50+08:00,rmqnamesrv,0.15%,134.9MiB / 15.4GiB,0.86%,3.19MB / 2.42MB,236MB / 452MB,81
2026-06-21T16:36:50+08:00,RPA-cadvisor,4.64%,269MiB / 15.4GiB,1.71%,4.78MB / 344MB,206MB / 20.6MB,28
2026-06-21T16:36:53+08:00,script-k6-run-3bf581977203,838.92%,420.9MiB / 15.4GiB,2.67%,212MB / 697MB,229kB / 0B,27
2026-06-21T16:36:53+08:00,RPA-app,178.75%,42.27MiB / 2GiB,2.06%,14.2GB / 15.3GB,368MB / 997MB,14
2026-06-21T16:36:53+08:00,RPA-pgdb,0.00%,129MiB / 15.4GiB,0.82%,1.1GB / 8.39GB,53.6MB / 1.04GB,19
2026-06-21T16:36:53+08:00,RPA-redis,0.21%,7.797MiB / 15.4GiB,0.05%,166MB / 230MB,31.2MB / 12.1MB,7
2026-06-21T16:36:53+08:00,RPA-grafana,0.16%,115.2MiB / 15.4GiB,0.73%,23.6MB / 285kB,630MB / 141MB,25
2026-06-21T16:36:53+08:00,RPA-alloy,1.93%,233.3MiB / 15.4GiB,1.48%,3.92MB / 1.42GB,861MB / 69.9MB,27
2026-06-21T16:36:53+08:00,RPA-loki,12.64%,497.3MiB / 15.4GiB,3.15%,1.42GB / 577MB,635MB / 9.31GB,26
2026-06-21T16:36:53+08:00,rmqbroker,6.30%,975.4MiB / 15.4GiB,6.19%,2.11MB / 3.54MB,467MB / 979MB,320
2026-06-21T16:36:53+08:00,rmqdashboard,0.17%,418.7MiB / 15.4GiB,2.66%,2.09MB / 1.14MB,331MB / 448MB,66
2026-06-21T16:36:53+08:00,RPA-prometheus,0.00%,346.8MiB / 15.4GiB,2.20%,345MB / 4.81MB,338MB / 127MB,26
2026-06-21T16:36:53+08:00,RPA-minio,0.04%,215.1MiB / 15.4GiB,1.36%,600MB / 17.6MB,433MB / 971MB,53
2026-06-21T16:36:53+08:00,rmqnamesrv,0.28%,135.4MiB / 15.4GiB,0.86%,3.19MB / 2.42MB,236MB / 452MB,81
