timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:31:21+08:00,RPA-app,186.43%,40.2MiB / 2GiB,1.96%,8.32GB / 9.22GB,368MB / 997MB,9
2026-06-21T16:31:21+08:00,RPA-pgdb,732.02%,203.8MiB / 15.4GiB,1.29%,596MB / 3.83GB,50.3MB / 1.04GB,54
2026-06-21T16:31:21+08:00,RPA-redis,0.15%,7.852MiB / 15.4GiB,0.05%,8.09MB / 2.9MB,31.1MB / 12.1MB,7
2026-06-21T16:31:21+08:00,RPA-grafana,0.13%,103MiB / 15.4GiB,0.65%,23.6MB / 283kB,618MB / 141MB,25
2026-06-21T16:31:21+08:00,RPA-alloy,1.41%,219.8MiB / 15.4GiB,1.39%,3.3MB / 1.16GB,855MB / 68.9MB,27
2026-06-21T16:31:21+08:00,RPA-loki,13.39%,498.9MiB / 15.4GiB,3.16%,1.16GB / 474MB,622MB / 7.7GB,26
2026-06-21T16:31:21+08:00,rmqbroker,4.05%,914.6MiB / 15.4GiB,5.80%,2MB / 3.41MB,408MB / 973MB,320
2026-06-21T16:31:21+08:00,rmqdashboard,0.06%,393.1MiB / 15.4GiB,2.49%,2.04MB / 1.11MB,306MB / 446MB,66
2026-06-21T16:31:21+08:00,RPA-prometheus,0.00%,375MiB / 15.4GiB,2.38%,337MB / 4.68MB,338MB / 126MB,26
2026-06-21T16:31:21+08:00,RPA-minio,0.02%,145.9MiB / 15.4GiB,0.93%,498MB / 17.5MB,253MB / 856MB,53
2026-06-21T16:31:21+08:00,rmqnamesrv,0.11%,130MiB / 15.4GiB,0.82%,3.11MB / 2.36MB,235MB / 451MB,81
2026-06-21T16:31:21+08:00,RPA-cadvisor,4.22%,271.9MiB / 15.4GiB,1.72%,4.66MB / 336MB,206MB / 20.6MB,28
2026-06-21T16:31:21+08:00,script-k6-run-af08e5d83dfe,87.88%,42.24MiB / 15.4GiB,0.27%,59.3MB / 1.51MB,225kB / 0B,25
2026-06-21T16:31:24+08:00,script-k6-run-af08e5d83dfe,104.31%,64.69MiB / 15.4GiB,0.41%,203MB / 5.14MB,225kB / 0B,25
2026-06-21T16:31:24+08:00,RPA-app,183.85%,39.65MiB / 2GiB,1.94%,8.45GB / 9.37GB,368MB / 997MB,9
2026-06-21T16:31:24+08:00,RPA-pgdb,633.99%,194.6MiB / 15.4GiB,1.23%,602MB / 3.96GB,50.3MB / 1.04GB,50
2026-06-21T16:31:24+08:00,RPA-redis,0.20%,7.852MiB / 15.4GiB,0.05%,8.09MB / 2.9MB,31.1MB / 12.1MB,7
2026-06-21T16:31:24+08:00,RPA-grafana,0.21%,103MiB / 15.4GiB,0.65%,23.6MB / 283kB,618MB / 141MB,25
2026-06-21T16:31:24+08:00,RPA-alloy,39.31%,217.5MiB / 15.4GiB,1.38%,3.3MB / 1.17GB,855MB / 68.9MB,27
2026-06-21T16:31:24+08:00,RPA-loki,6.31%,506.8MiB / 15.4GiB,3.21%,1.17GB / 474MB,622MB / 7.7GB,26
2026-06-21T16:31:24+08:00,rmqbroker,4.73%,915.6MiB / 15.4GiB,5.81%,2.01MB / 3.41MB,409MB / 973MB,320
2026-06-21T16:31:24+08:00,rmqdashboard,0.08%,393.6MiB / 15.4GiB,2.50%,2.04MB / 1.11MB,306MB / 446MB,66
2026-06-21T16:31:24+08:00,RPA-prometheus,0.00%,375MiB / 15.4GiB,2.38%,337MB / 4.68MB,338MB / 126MB,26
2026-06-21T16:31:24+08:00,RPA-minio,0.00%,145.9MiB / 15.4GiB,0.93%,498MB / 17.5MB,253MB / 856MB,53
