timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:32:24+08:00,RPA-app,24.47%,41.75MiB / 2GiB,2.04%,10.3GB / 11.5GB,368MB / 997MB,9
2026-06-21T16:32:24+08:00,RPA-pgdb,551.37%,233.3MiB / 15.4GiB,1.48%,689MB / 5.72GB,53.6MB / 1.04GB,59
2026-06-21T16:32:24+08:00,RPA-redis,0.60%,8.422MiB / 15.4GiB,0.05%,8.09MB / 2.9MB,31.1MB / 12.1MB,7
2026-06-21T16:32:24+08:00,RPA-grafana,0.17%,103MiB / 15.4GiB,0.65%,23.6MB / 283kB,618MB / 141MB,25
2026-06-21T16:32:24+08:00,RPA-alloy,33.94%,221.5MiB / 15.4GiB,1.40%,3.41MB / 1.21GB,855MB / 69.1MB,27
2026-06-21T16:32:24+08:00,RPA-loki,11.91%,452.7MiB / 15.4GiB,2.87%,1.21GB / 495MB,623MB / 8GB,26
2026-06-21T16:32:24+08:00,rmqbroker,3.82%,934.2MiB / 15.4GiB,5.93%,2.02MB / 3.43MB,426MB / 974MB,320
2026-06-21T16:32:24+08:00,rmqdashboard,0.16%,400.4MiB / 15.4GiB,2.54%,2.05MB / 1.11MB,313MB / 446MB,66
2026-06-21T16:32:24+08:00,RPA-prometheus,0.00%,375MiB / 15.4GiB,2.38%,338MB / 4.7MB,338MB / 126MB,26
2026-06-21T16:32:24+08:00,RPA-minio,6.66%,148.8MiB / 15.4GiB,0.94%,518MB / 17.5MB,260MB / 879MB,53
2026-06-21T16:32:24+08:00,rmqnamesrv,0.20%,131.6MiB / 15.4GiB,0.83%,3.13MB / 2.37MB,235MB / 451MB,81
2026-06-21T16:32:24+08:00,RPA-cadvisor,2.72%,275MiB / 15.4GiB,1.74%,4.68MB / 337MB,206MB / 20.6MB,28
2026-06-21T16:32:24+08:00,script-k6-run-299ce559b5ab,23.54%,32.79MiB / 15.4GiB,0.21%,15MB / 445kB,225kB / 0B,26
2026-06-21T16:32:28+08:00,script-k6-run-299ce559b5ab,35.89%,39.34MiB / 15.4GiB,0.25%,39.5MB / 1.13MB,225kB / 0B,26
2026-06-21T16:32:28+08:00,RPA-app,74.36%,43.19MiB / 2GiB,2.11%,10.3GB / 11.5GB,368MB / 997MB,9
2026-06-21T16:32:28+08:00,RPA-pgdb,1603.76%,236.8MiB / 15.4GiB,1.50%,690MB / 5.75GB,53.6MB / 1.04GB,59
2026-06-21T16:32:28+08:00,RPA-redis,0.26%,8.094MiB / 15.4GiB,0.05%,8.09MB / 2.9MB,31.1MB / 12.1MB,7
2026-06-21T16:32:28+08:00,RPA-grafana,0.29%,103MiB / 15.4GiB,0.65%,23.6MB / 283kB,618MB / 141MB,25
2026-06-21T16:32:28+08:00,RPA-alloy,1.70%,222MiB / 15.4GiB,1.41%,3.42MB / 1.21GB,855MB / 69.1MB,27
2026-06-21T16:32:28+08:00,RPA-loki,17.69%,453.7MiB / 15.4GiB,2.88%,1.21GB / 495MB,623MB / 8GB,26
2026-06-21T16:32:28+08:00,rmqbroker,9.30%,935.8MiB / 15.4GiB,5.94%,2.02MB / 3.44MB,427MB / 974MB,320
2026-06-21T16:32:28+08:00,rmqdashboard,2.82%,402.5MiB / 15.4GiB,2.55%,2.05MB / 1.11MB,314MB / 446MB,66
2026-06-21T16:32:28+08:00,RPA-prometheus,0.00%,375MiB / 15.4GiB,2.38%,338MB / 4.7MB,338MB / 126MB,26
2026-06-21T16:32:28+08:00,RPA-minio,13.12%,151.4MiB / 15.4GiB,0.96%,518MB / 17.5MB,270MB / 879MB,53
2026-06-21T16:32:28+08:00,rmqnamesrv,1.24%,132.4MiB / 15.4GiB,0.84%,3.13MB / 2.37MB,235MB / 451MB,81
2026-06-21T16:32:28+08:00,RPA-cadvisor,11.43%,229.2MiB / 15.4GiB,1.45%,4.68MB / 337MB,206MB / 20.6MB,28
2026-06-21T16:32:31+08:00,script-k6-run-299ce559b5ab,35.09%,40.31MiB / 15.4GiB,0.26%,63.2MB / 1.8MB,225kB / 0B,26
2026-06-21T16:32:31+08:00,RPA-app,71.03%,43.45MiB / 2GiB,2.12%,10.3GB / 11.6GB,368MB / 997MB,9
2026-06-21T16:32:31+08:00,RPA-pgdb,1626.51%,238.1MiB / 15.4GiB,1.51%,691MB / 5.77GB,53.6MB / 1.04GB,59
2026-06-21T16:32:31+08:00,RPA-redis,0.24%,7.961MiB / 15.4GiB,0.05%,8.09MB / 2.9MB,31.1MB / 12.1MB,7
2026-06-21T16:32:31+08:00,RPA-grafana,0.24%,103MiB / 15.4GiB,0.65%,23.6MB / 283kB,618MB / 141MB,25
2026-06-21T16:32:31+08:00,RPA-alloy,2.15%,222MiB / 15.4GiB,1.41%,3.42MB / 1.21GB,855MB / 69.1MB,27
2026-06-21T16:32:31+08:00,RPA-loki,19.91%,454.1MiB / 15.4GiB,2.88%,1.22GB / 495MB,623MB / 8GB,26
2026-06-21T16:32:31+08:00,rmqbroker,7.46%,936.6MiB / 15.4GiB,5.94%,2.03MB / 3.44MB,428MB / 974MB,320
2026-06-21T16:32:31+08:00,rmqdashboard,0.09%,401.2MiB / 15.4GiB,2.54%,2.05MB / 1.11MB,314MB / 446MB,66
2026-06-21T16:32:31+08:00,RPA-prometheus,0.00%,375MiB / 15.4GiB,2.38%,339MB / 4.71MB,338MB / 126MB,26
2026-06-21T16:32:31+08:00,RPA-minio,13.10%,157.4MiB / 15.4GiB,1.00%,518MB / 17.5MB,280MB / 879MB,53
2026-06-21T16:32:31+08:00,rmqnamesrv,0.20%,131.2MiB / 15.4GiB,0.83%,3.13MB / 2.37MB,235MB / 451MB,81
2026-06-21T16:32:31+08:00,RPA-cadvisor,4.93%,268.8MiB / 15.4GiB,1.70%,4.69MB / 338MB,206MB / 20.6MB,28
2026-06-21T16:32:34+08:00,script-k6-run-299ce559b5ab,36.88%,40.65MiB / 15.4GiB,0.26%,87.4MB / 2.47MB,225kB / 0B,26
2026-06-21T16:32:34+08:00,RPA-app,70.09%,40.86MiB / 2GiB,2.00%,10.3GB / 11.6GB,368MB / 997MB,9
2026-06-21T16:32:34+08:00,RPA-pgdb,1612.43%,236.8MiB / 15.4GiB,1.50%,692MB / 5.8GB,53.6MB / 1.04GB,59
2026-06-21T16:32:34+08:00,RPA-redis,0.99%,8.188MiB / 15.4GiB,0.05%,8.09MB / 2.9MB,31.1MB / 12.1MB,7
