timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:33:26+08:00,RPA-app,181.09%,39.73MiB / 2GiB,1.94%,10.7GB / 12GB,368MB / 997MB,10
2026-06-21T16:33:26+08:00,RPA-pgdb,478.38%,165.3MiB / 15.4GiB,1.05%,708MB / 6.12GB,53.6MB / 1.04GB,35
2026-06-21T16:33:26+08:00,RPA-redis,2.21%,9.305MiB / 15.4GiB,0.06%,8.28MB / 3.17MB,31.2MB / 12.1MB,7
2026-06-21T16:33:26+08:00,RPA-grafana,0.15%,113.3MiB / 15.4GiB,0.72%,23.6MB / 283kB,628MB / 141MB,25
2026-06-21T16:33:26+08:00,RPA-alloy,9.01%,231MiB / 15.4GiB,1.46%,3.53MB / 1.26GB,861MB / 69.2MB,27
2026-06-21T16:33:26+08:00,RPA-loki,16.25%,470.2MiB / 15.4GiB,2.98%,1.26GB / 515MB,623MB / 8.31GB,26
2026-06-21T16:33:26+08:00,rmqbroker,4.78%,944.6MiB / 15.4GiB,5.99%,2.04MB / 3.45MB,438MB / 975MB,320
2026-06-21T16:33:26+08:00,rmqdashboard,0.07%,407.4MiB / 15.4GiB,2.58%,2.06MB / 1.12MB,320MB / 447MB,66
2026-06-21T16:33:26+08:00,RPA-prometheus,0.00%,375MiB / 15.4GiB,2.38%,340MB / 4.73MB,338MB / 127MB,26
2026-06-21T16:33:26+08:00,RPA-minio,10.04%,277.9MiB / 15.4GiB,1.76%,538MB / 17.5MB,377MB / 901MB,53
2026-06-21T16:33:26+08:00,rmqnamesrv,0.12%,131.8MiB / 15.4GiB,0.84%,3.14MB / 2.38MB,236MB / 451MB,81
2026-06-21T16:33:26+08:00,RPA-cadvisor,3.23%,229.2MiB / 15.4GiB,1.45%,4.7MB / 339MB,206MB / 20.6MB,28
2026-06-21T16:33:26+08:00,script-k6-run-22b8a5c8415e,154.71%,53.19MiB / 15.4GiB,0.34%,25.3MB / 2.96MB,225kB / 0B,26
2026-06-21T16:33:29+08:00,script-k6-run-22b8a5c8415e,156.37%,96.78MiB / 15.4GiB,0.61%,75.7MB / 8.84MB,225kB / 0B,26
2026-06-21T16:33:29+08:00,RPA-app,180.36%,40.04MiB / 2GiB,1.95%,10.7GB / 12GB,368MB / 997MB,10
2026-06-21T16:33:29+08:00,RPA-pgdb,467.23%,159.8MiB / 15.4GiB,1.01%,716MB / 6.17GB,53.6MB / 1.04GB,32
2026-06-21T16:33:29+08:00,RPA-redis,16.51%,8.648MiB / 15.4GiB,0.05%,12.9MB / 9.66MB,31.2MB / 12.1MB,7
2026-06-21T16:33:29+08:00,RPA-grafana,0.18%,113MiB / 15.4GiB,0.72%,23.6MB / 283kB,628MB / 141MB,25
2026-06-21T16:33:29+08:00,RPA-alloy,11.35%,231.1MiB / 15.4GiB,1.47%,3.53MB / 1.26GB,861MB / 69.3MB,27
