timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:35:35+08:00,RPA-app,124.93%,45.23MiB / 2GiB,2.21%,12.6GB / 14GB,368MB / 997MB,14
2026-06-21T16:35:35+08:00,RPA-pgdb,327.91%,166.4MiB / 15.4GiB,1.06%,967MB / 7.64GB,53.6MB / 1.04GB,38
2026-06-21T16:35:35+08:00,RPA-redis,10.24%,9.914MiB / 15.4GiB,0.06%,116MB / 156MB,31.2MB / 12.1MB,7
2026-06-21T16:35:35+08:00,RPA-grafana,0.11%,114.9MiB / 15.4GiB,0.73%,23.6MB / 283kB,630MB / 141MB,25
2026-06-21T16:35:35+08:00,RPA-alloy,1.47%,221.7MiB / 15.4GiB,1.41%,3.77MB / 1.35GB,861MB / 69.6MB,27
2026-06-21T16:35:35+08:00,RPA-loki,9.99%,499.7MiB / 15.4GiB,3.17%,1.36GB / 551MB,624MB / 8.95GB,26
2026-06-21T16:35:35+08:00,rmqbroker,4.54%,968.9MiB / 15.4GiB,6.15%,2.08MB / 3.51MB,461MB / 978MB,320
2026-06-21T16:35:35+08:00,rmqdashboard,0.07%,416.6MiB / 15.4GiB,2.64%,2.08MB / 1.13MB,329MB / 447MB,66
2026-06-21T16:35:35+08:00,RPA-prometheus,0.58%,342.6MiB / 15.4GiB,2.17%,343MB / 4.78MB,338MB / 127MB,26
2026-06-21T16:35:35+08:00,RPA-minio,0.01%,353.6MiB / 15.4GiB,2.24%,574MB / 17.5MB,431MB / 943MB,53
2026-06-21T16:35:35+08:00,rmqnamesrv,0.11%,133.7MiB / 15.4GiB,0.85%,3.17MB / 2.41MB,236MB / 452MB,81
2026-06-21T16:35:35+08:00,RPA-cadvisor,3.26%,267.9MiB / 15.4GiB,1.70%,4.75MB / 342MB,206MB / 20.6MB,28
2026-06-21T16:35:35+08:00,script-k6-run-ec9020b4a2c8,149.85%,62.27MiB / 15.4GiB,0.39%,37.3MB / 4.36MB,225kB / 0B,25
2026-06-21T16:35:39+08:00,script-k6-run-ec9020b4a2c8,142.25%,98.18MiB / 15.4GiB,0.62%,80.2MB / 9.36MB,225kB / 0B,25
2026-06-21T16:35:39+08:00,RPA-app,180.05%,46.44MiB / 2GiB,2.27%,12.6GB / 14.1GB,368MB / 997MB,14
2026-06-21T16:35:39+08:00,RPA-pgdb,470.37%,163.4MiB / 15.4GiB,1.04%,980MB / 7.71GB,53.6MB / 1.04GB,36
2026-06-21T16:35:39+08:00,RPA-redis,14.09%,9.562MiB / 15.4GiB,0.06%,121MB / 163MB,31.2MB / 12.1MB,7
2026-06-21T16:35:39+08:00,RPA-grafana,1.45%,115.1MiB / 15.4GiB,0.73%,23.6MB / 283kB,630MB / 141MB,25
2026-06-21T16:35:39+08:00,RPA-alloy,45.53%,231.5MiB / 15.4GiB,1.47%,3.78MB / 1.36GB,861MB / 69.7MB,27
2026-06-21T16:35:39+08:00,RPA-loki,8.87%,500.6MiB / 15.4GiB,3.18%,1.36GB / 559MB,624MB / 8.95GB,26
2026-06-21T16:35:39+08:00,rmqbroker,4.59%,968.8MiB / 15.4GiB,6.15%,2.09MB / 3.51MB,461MB / 978MB,320
2026-06-21T16:35:39+08:00,rmqdashboard,0.13%,416.7MiB / 15.4GiB,2.64%,2.08MB / 1.13MB,329MB / 447MB,66
2026-06-21T16:35:39+08:00,RPA-prometheus,0.00%,342.6MiB / 15.4GiB,2.17%,343MB / 4.78MB,338MB / 127MB,26
