timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:34:31+08:00,RPA-app,182.52%,45.87MiB / 2GiB,2.24%,11.6GB / 13GB,368MB / 997MB,10
2026-06-21T16:34:31+08:00,RPA-pgdb,484.04%,158.3MiB / 15.4GiB,1.00%,836MB / 6.87GB,53.6MB / 1.04GB,42
2026-06-21T16:34:31+08:00,RPA-redis,14.00%,8.883MiB / 15.4GiB,0.06%,62.3MB / 79.6MB,31.2MB / 12.1MB,7
2026-06-21T16:34:31+08:00,RPA-grafana,0.15%,113MiB / 15.4GiB,0.72%,23.6MB / 283kB,628MB / 141MB,25
2026-06-21T16:34:31+08:00,RPA-alloy,1.42%,219.4MiB / 15.4GiB,1.39%,3.65MB / 1.31GB,861MB / 69.5MB,27
2026-06-21T16:34:31+08:00,RPA-loki,9.47%,495.2MiB / 15.4GiB,3.14%,1.31GB / 531MB,623MB / 8.63GB,26
2026-06-21T16:34:31+08:00,rmqbroker,5.33%,957.1MiB / 15.4GiB,6.07%,2.06MB / 3.48MB,451MB / 977MB,320
2026-06-21T16:34:31+08:00,rmqdashboard,0.06%,411.8MiB / 15.4GiB,2.61%,2.07MB / 1.12MB,324MB / 447MB,66
2026-06-21T16:34:31+08:00,RPA-prometheus,0.00%,296.7MiB / 15.4GiB,1.88%,342MB / 4.75MB,338MB / 127MB,26
2026-06-21T16:34:31+08:00,RPA-minio,0.03%,353MiB / 15.4GiB,2.24%,554MB / 17.5MB,431MB / 920MB,53
2026-06-21T16:34:31+08:00,rmqnamesrv,0.12%,132.9MiB / 15.4GiB,0.84%,3.16MB / 2.4MB,236MB / 452MB,81
2026-06-21T16:34:31+08:00,RPA-cadvisor,3.17%,260.4MiB / 15.4GiB,1.65%,4.73MB / 340MB,206MB / 20.6MB,28
2026-06-21T16:34:31+08:00,script-k6-run-05b08e5ddc39,152.65%,50.31MiB / 15.4GiB,0.32%,22.1MB / 2.6MB,225kB / 0B,25
2026-06-21T16:34:34+08:00,script-k6-run-05b08e5ddc39,146.26%,105.6MiB / 15.4GiB,0.67%,87.9MB / 10.3MB,225kB / 0B,25
2026-06-21T16:34:34+08:00,RPA-app,181.05%,45.34MiB / 2GiB,2.21%,11.7GB / 13.1GB,368MB / 997MB,10
2026-06-21T16:34:34+08:00,RPA-pgdb,475.03%,164.7MiB / 15.4GiB,1.04%,846MB / 6.93GB,53.6MB / 1.04GB,37
2026-06-21T16:34:34+08:00,RPA-redis,13.78%,9.34MiB / 15.4GiB,0.06%,66.4MB / 85.4MB,31.2MB / 12.1MB,7
2026-06-21T16:34:34+08:00,RPA-grafana,0.11%,113MiB / 15.4GiB,0.72%,23.6MB / 283kB,628MB / 141MB,25
2026-06-21T16:34:34+08:00,RPA-alloy,1.93%,220.2MiB / 15.4GiB,1.40%,3.66MB / 1.31GB,861MB / 69.5MB,27
2026-06-21T16:34:34+08:00,RPA-loki,14.57%,489MiB / 15.4GiB,3.10%,1.31GB / 531MB,623MB / 8.63GB,26
