timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:42:03+08:00,RPA-app,50.53%,17.06MiB / 2GiB,0.83%,689MB / 845MB,0B / 8.19kB,8
2026-06-21T16:42:03+08:00,RPA-pgdb,0.07%,110.3MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
2026-06-21T16:42:03+08:00,RPA-redis,0.15%,8.527MiB / 15.4GiB,0.05%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:42:03+08:00,RPA-grafana,0.14%,90.11MiB / 15.4GiB,0.57%,23.6MB / 286kB,643MB / 141MB,25
2026-06-21T16:42:03+08:00,RPA-alloy,56.73%,188.9MiB / 15.4GiB,1.20%,4.5MB / 1.65GB,875MB / 71.3MB,27
2026-06-21T16:42:03+08:00,RPA-loki,7.46%,506.1MiB / 15.4GiB,3.21%,1.65GB / 681MB,658MB / 10.8GB,26
2026-06-21T16:42:03+08:00,rmqbroker,3.72%,1.07GiB / 15.4GiB,6.95%,2.22MB / 3.65MB,628MB / 985MB,324
2026-06-21T16:42:03+08:00,rmqdashboard,0.07%,414.4MiB / 15.4GiB,2.63%,2.15MB / 1.16MB,350MB / 473MB,66
2026-06-21T16:42:03+08:00,RPA-prometheus,0.00%,305.5MiB / 15.4GiB,1.94%,352MB / 4.93MB,344MB / 132MB,26
2026-06-21T16:42:03+08:00,RPA-minio,1.86%,184.5MiB / 15.4GiB,1.17%,703MB / 17.7MB,438MB / 1.1GB,53
2026-06-21T16:42:03+08:00,rmqnamesrv,0.12%,114.1MiB / 15.4GiB,0.72%,3.27MB / 2.48MB,238MB / 480MB,81
2026-06-21T16:42:03+08:00,RPA-cadvisor,6.26%,267.4MiB / 15.4GiB,1.70%,4.89MB / 351MB,211MB / 20.7MB,28
2026-06-21T16:42:03+08:00,script-k6-run-e33cc5e58d08,785.28%,191MiB / 15.4GiB,1.21%,27.8MB / 28.4MB,4.1kB / 0B,26
2026-06-21T16:42:06+08:00,script-k6-run-e33cc5e58d08,771.79%,404.8MiB / 15.4GiB,2.57%,65.9MB / 67.3MB,4.1kB / 0B,27
2026-06-21T16:42:06+08:00,RPA-app,177.36%,17.32MiB / 2GiB,0.85%,766MB / 920MB,0B / 8.19kB,8
2026-06-21T16:42:06+08:00,RPA-pgdb,0.00%,110.1MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
2026-06-21T16:42:06+08:00,RPA-redis,0.21%,8.777MiB / 15.4GiB,0.06%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:42:06+08:00,RPA-grafana,0.18%,90.11MiB / 15.4GiB,0.57%,23.6MB / 286kB,643MB / 141MB,25
2026-06-21T16:42:06+08:00,RPA-alloy,1.19%,186.8MiB / 15.4GiB,1.19%,4.51MB / 1.65GB,875MB / 71.3MB,27
2026-06-21T16:42:06+08:00,RPA-loki,6.74%,509.7MiB / 15.4GiB,3.23%,1.65GB / 681MB,658MB / 10.8GB,26
2026-06-21T16:42:06+08:00,rmqbroker,6.87%,1.073GiB / 15.4GiB,6.97%,2.22MB / 3.66MB,629MB / 986MB,324
2026-06-21T16:42:06+08:00,rmqdashboard,0.08%,414.4MiB / 15.4GiB,2.63%,2.15MB / 1.16MB,350MB / 473MB,66
2026-06-21T16:42:06+08:00,RPA-prometheus,0.04%,305.5MiB / 15.4GiB,1.94%,352MB / 4.93MB,344MB / 132MB,26
2026-06-21T16:42:06+08:00,RPA-minio,0.04%,184.5MiB / 15.4GiB,1.17%,703MB / 17.7MB,438MB / 1.1GB,53
2026-06-21T16:42:06+08:00,rmqnamesrv,0.16%,114.1MiB / 15.4GiB,0.72%,3.27MB / 2.48MB,238MB / 480MB,81
2026-06-21T16:42:06+08:00,RPA-cadvisor,3.76%,268.8MiB / 15.4GiB,1.70%,4.89MB / 351MB,211MB / 20.7MB,28
2026-06-21T16:42:09+08:00,script-k6-run-e33cc5e58d08,730.03%,338MiB / 15.4GiB,2.14%,121MB / 124MB,4.1kB / 0B,27
2026-06-21T16:42:09+08:00,RPA-app,173.30%,17.24MiB / 2GiB,0.84%,808MB / 961MB,0B / 8.19kB,8
2026-06-21T16:42:09+08:00,RPA-pgdb,0.00%,110.1MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
2026-06-21T16:42:09+08:00,RPA-redis,0.19%,9.027MiB / 15.4GiB,0.06%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:42:09+08:00,RPA-grafana,1.84%,90.36MiB / 15.4GiB,0.57%,23.6MB / 286kB,643MB / 141MB,25
2026-06-21T16:42:09+08:00,RPA-alloy,42.21%,174.2MiB / 15.4GiB,1.10%,4.51MB / 1.65GB,879MB / 71.3MB,27
2026-06-21T16:42:09+08:00,RPA-loki,14.06%,510MiB / 15.4GiB,3.23%,1.65GB / 681MB,658MB / 10.8GB,26
2026-06-21T16:42:09+08:00,rmqbroker,7.33%,1.072GiB / 15.4GiB,6.96%,2.22MB / 3.66MB,629MB / 986MB,324
2026-06-21T16:42:09+08:00,rmqdashboard,0.08%,414.4MiB / 15.4GiB,2.63%,2.15MB / 1.16MB,350MB / 473MB,66
2026-06-21T16:42:09+08:00,RPA-prometheus,0.00%,305.5MiB / 15.4GiB,1.94%,352MB / 4.93MB,344MB / 132MB,26
2026-06-21T16:42:09+08:00,RPA-minio,0.00%,184.5MiB / 15.4GiB,1.17%,703MB / 17.7MB,438MB / 1.1GB,53
2026-06-21T16:42:09+08:00,rmqnamesrv,0.34%,114.2MiB / 15.4GiB,0.72%,3.27MB / 2.48MB,238MB / 480MB,81
2026-06-21T16:42:09+08:00,RPA-cadvisor,3.36%,275.1MiB / 15.4GiB,1.74%,4.89MB / 351MB,211MB / 20.7MB,28
