timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:40:59+08:00,RPA-app,106.64%,18.8MiB / 2GiB,0.92%,9.42MB / 11.5MB,0B / 0B,8
2026-06-21T16:40:59+08:00,RPA-pgdb,2.51%,110.1MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
2026-06-21T16:40:59+08:00,RPA-redis,0.15%,8.609MiB / 15.4GiB,0.05%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:40:59+08:00,RPA-grafana,0.14%,87.87MiB / 15.4GiB,0.56%,23.6MB / 286kB,641MB / 141MB,25
2026-06-21T16:40:59+08:00,RPA-alloy,58.72%,177.2MiB / 15.4GiB,1.12%,4.38MB / 1.6GB,875MB / 71.1MB,27
2026-06-21T16:40:59+08:00,RPA-loki,11.58%,506.6MiB / 15.4GiB,3.21%,1.6GB / 653MB,648MB / 10.5GB,26
2026-06-21T16:40:59+08:00,rmqbroker,4.91%,1.061GiB / 15.4GiB,6.89%,2.2MB / 3.63MB,618MB / 984MB,324
2026-06-21T16:40:59+08:00,rmqdashboard,0.13%,414.3MiB / 15.4GiB,2.63%,2.14MB / 1.16MB,350MB / 472MB,66
2026-06-21T16:40:59+08:00,RPA-prometheus,0.46%,302.3MiB / 15.4GiB,1.92%,351MB / 4.9MB,341MB / 132MB,26
2026-06-21T16:40:59+08:00,RPA-minio,0.08%,182.6MiB / 15.4GiB,1.16%,675MB / 17.6MB,438MB / 1.06GB,53
2026-06-21T16:40:59+08:00,rmqnamesrv,0.25%,112.5MiB / 15.4GiB,0.71%,3.25MB / 2.47MB,237MB / 480MB,81
2026-06-21T16:40:59+08:00,RPA-cadvisor,50.18%,262.4MiB / 15.4GiB,1.66%,4.86MB / 349MB,211MB / 20.7MB,28
2026-06-21T16:40:59+08:00,script-k6-run-b1972050fb3e,786.60%,231.9MiB / 15.4GiB,1.47%,31.1MB / 25.4MB,4.1kB / 0B,27
2026-06-21T16:41:03+08:00,script-k6-run-b1972050fb3e,768.79%,461.7MiB / 15.4GiB,2.93%,70.9MB / 57.9MB,4.1kB / 0B,27
2026-06-21T16:41:03+08:00,RPA-app,174.95%,19.57MiB / 2GiB,0.96%,74MB / 90.7MB,0B / 0B,8
2026-06-21T16:41:03+08:00,RPA-pgdb,0.66%,110MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
2026-06-21T16:41:03+08:00,RPA-redis,0.80%,8.953MiB / 15.4GiB,0.06%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:41:03+08:00,RPA-grafana,0.15%,87.87MiB / 15.4GiB,0.56%,23.6MB / 286kB,641MB / 141MB,25
2026-06-21T16:41:03+08:00,RPA-alloy,1.01%,176.1MiB / 15.4GiB,1.12%,4.39MB / 1.6GB,875MB / 71.1MB,27
2026-06-21T16:41:03+08:00,RPA-loki,9.95%,511MiB / 15.4GiB,3.24%,1.6GB / 664MB,648MB / 10.5GB,26
2026-06-21T16:41:03+08:00,rmqbroker,4.42%,1.061GiB / 15.4GiB,6.89%,2.2MB / 3.63MB,619MB / 984MB,324
2026-06-21T16:41:03+08:00,rmqdashboard,0.22%,414.5MiB / 15.4GiB,2.63%,2.14MB / 1.16MB,350MB / 473MB,66
2026-06-21T16:41:03+08:00,RPA-prometheus,0.00%,302.1MiB / 15.4GiB,1.92%,351MB / 4.91MB,341MB / 132MB,26
2026-06-21T16:41:03+08:00,RPA-minio,0.21%,183.8MiB / 15.4GiB,1.17%,686MB / 17.6MB,438MB / 1.08GB,53
2026-06-21T16:41:03+08:00,rmqnamesrv,0.13%,112.6MiB / 15.4GiB,0.71%,3.25MB / 2.47MB,237MB / 480MB,81
2026-06-21T16:41:03+08:00,RPA-cadvisor,3.26%,263.9MiB / 15.4GiB,1.67%,4.87MB / 349MB,211MB / 20.7MB,28
2026-06-21T16:41:06+08:00,script-k6-run-b1972050fb3e,748.45%,475.7MiB / 15.4GiB,3.02%,151MB / 123MB,4.1kB / 0B,27
2026-06-21T16:41:06+08:00,RPA-app,175.62%,20.27MiB / 2GiB,0.99%,123MB / 151MB,0B / 0B,8
2026-06-21T16:41:06+08:00,RPA-pgdb,0.01%,110MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
2026-06-21T16:41:06+08:00,RPA-redis,0.15%,9.109MiB / 15.4GiB,0.06%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:41:06+08:00,RPA-grafana,0.12%,87.87MiB / 15.4GiB,0.56%,23.6MB / 286kB,641MB / 141MB,25
2026-06-21T16:41:06+08:00,RPA-alloy,69.32%,178.8MiB / 15.4GiB,1.13%,4.4MB / 1.6GB,875MB / 71.1MB,27
2026-06-21T16:41:06+08:00,RPA-loki,14.67%,513MiB / 15.4GiB,3.25%,1.61GB / 664MB,648MB / 10.5GB,26
2026-06-21T16:41:06+08:00,rmqbroker,3.51%,1.064GiB / 15.4GiB,6.91%,2.2MB / 3.63MB,619MB / 984MB,324
2026-06-21T16:41:06+08:00,rmqdashboard,0.07%,414.3MiB / 15.4GiB,2.63%,2.14MB / 1.16MB,350MB / 473MB,66
2026-06-21T16:41:06+08:00,RPA-prometheus,0.03%,302.4MiB / 15.4GiB,1.92%,351MB / 4.91MB,341MB / 132MB,26
2026-06-21T16:41:06+08:00,RPA-minio,0.02%,183.8MiB / 15.4GiB,1.17%,686MB / 17.6MB,438MB / 1.08GB,53
2026-06-21T16:41:06+08:00,rmqnamesrv,0.11%,112.8MiB / 15.4GiB,0.72%,3.25MB / 2.47MB,237MB / 480MB,81
2026-06-21T16:41:06+08:00,RPA-cadvisor,3.13%,270.9MiB / 15.4GiB,1.72%,4.87MB / 349MB,211MB / 20.7MB,28
2026-06-21T16:41:09+08:00,script-k6-run-b1972050fb3e,873.76%,725.2MiB / 15.4GiB,4.60%,198MB / 161MB,4.1kB / 0B,27
2026-06-21T16:41:09+08:00,RPA-app,179.05%,19.39MiB / 2GiB,0.95%,152MB / 187MB,0B / 0B,8
2026-06-21T16:41:09+08:00,RPA-pgdb,3.17%,110.3MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
2026-06-21T16:41:09+08:00,RPA-redis,0.27%,8.859MiB / 15.4GiB,0.06%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:41:09+08:00,RPA-grafana,0.68%,88.37MiB / 15.4GiB,0.56%,23.6MB / 286kB,641MB / 141MB,25
2026-06-21T16:41:09+08:00,RPA-alloy,115.35%,180.7MiB / 15.4GiB,1.15%,4.4MB / 1.61GB,875MB / 71.1MB,27
2026-06-21T16:41:09+08:00,RPA-loki,15.95%,515.1MiB / 15.4GiB,3.27%,1.61GB / 664MB,648MB / 10.5GB,26
2026-06-21T16:41:09+08:00,rmqbroker,7.87%,1.063GiB / 15.4GiB,6.90%,2.2MB / 3.64MB,619MB / 984MB,324
2026-06-21T16:41:09+08:00,rmqdashboard,0.10%,414.3MiB / 15.4GiB,2.63%,2.14MB / 1.16MB,350MB / 473MB,66
2026-06-21T16:41:09+08:00,RPA-prometheus,0.28%,305.2MiB / 15.4GiB,1.94%,351MB / 4.91MB,344MB / 132MB,26
2026-06-21T16:41:09+08:00,RPA-minio,0.00%,183.8MiB / 15.4GiB,1.17%,686MB / 17.6MB,438MB / 1.08GB,53
2026-06-21T16:41:09+08:00,rmqnamesrv,0.38%,112.7MiB / 15.4GiB,0.71%,3.26MB / 2.47MB,237MB / 480MB,81
2026-06-21T16:41:09+08:00,RPA-cadvisor,5.08%,277.8MiB / 15.4GiB,1.76%,4.87MB / 349MB,211MB / 20.7MB,28
2026-06-21T16:41:12+08:00,script-k6-run-b1972050fb3e,780.90%,522.1MiB / 15.4GiB,3.31%,238MB / 194MB,4.1kB / 0B,27
2026-06-21T16:41:12+08:00,RPA-app,176.67%,19.47MiB / 2GiB,0.95%,194MB / 238MB,0B / 0B,8
2026-06-21T16:41:12+08:00,RPA-pgdb,0.00%,110MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
