timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:40:56+08:00,RPA-pgdb,1.06%,110.4MiB / 15.4GiB,0.70%,1.1GB / 8.39GB,57.3MB / 1.04GB,10
2026-06-21T16:40:56+08:00,RPA-redis,0.17%,8.602MiB / 15.4GiB,0.05%,166MB / 230MB,32MB / 12.1MB,7
2026-06-21T16:40:56+08:00,RPA-grafana,0.14%,87.87MiB / 15.4GiB,0.56%,23.6MB / 286kB,641MB / 141MB,25
2026-06-21T16:40:56+08:00,RPA-alloy,0.70%,176.4MiB / 15.4GiB,1.12%,4.38MB / 1.6GB,875MB / 71.1MB,27
2026-06-21T16:40:56+08:00,RPA-loki,4.37%,501.4MiB / 15.4GiB,3.18%,1.6GB / 653MB,644MB / 10.5GB,26
2026-06-21T16:40:56+08:00,rmqbroker,4.43%,1.062GiB / 15.4GiB,6.89%,2.2MB / 3.63MB,617MB / 984MB,324
2026-06-21T16:40:56+08:00,rmqdashboard,0.08%,413.8MiB / 15.4GiB,2.62%,2.13MB / 1.16MB,350MB / 472MB,66
2026-06-21T16:40:56+08:00,RPA-prometheus,0.11%,302.3MiB / 15.4GiB,1.92%,351MB / 4.9MB,341MB / 132MB,26
2026-06-21T16:40:56+08:00,RPA-minio,0.10%,182.9MiB / 15.4GiB,1.16%,675MB / 17.6MB,438MB / 1.06GB,53
2026-06-21T16:40:56+08:00,rmqnamesrv,0.57%,112.7MiB / 15.4GiB,0.72%,3.25MB / 2.47MB,237MB / 479MB,81
2026-06-21T16:40:56+08:00,RPA-cadvisor,2.82%,272.5MiB / 15.4GiB,1.73%,4.86MB / 349MB,211MB / 20.7MB,28
2026-06-21T16:40:56+08:00,RPA-app,0.07%,71.42MiB / 2GiB,3.49%,18.9kB / 23.4kB,0B / 0B,7
