timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:18:38+08:00,RPA-pgdb,0.76%,110.4MiB / 15.4GiB,0.70%,579MB / 3.77GB,35.6MB / 970MB,10
2026-06-21T16:18:38+08:00,RPA-redis,0.16%,3.676MiB / 15.4GiB,0.02%,6.41MB / 2.41MB,26.4MB / 10.2MB,7
2026-06-21T16:18:38+08:00,RPA-grafana,0.17%,117MiB / 15.4GiB,0.74%,23.6MB / 280kB,547MB / 136MB,25
2026-06-21T16:18:38+08:00,RPA-alloy,0.16%,197.9MiB / 15.4GiB,1.26%,2.07MB / 681MB,750MB / 65.4MB,27
2026-06-21T16:18:38+08:00,RPA-loki,0.26%,295.2MiB / 15.4GiB,1.87%,681MB / 275MB,502MB / 4.54GB,26
2026-06-21T16:18:38+08:00,rmqbroker,5.51%,1.302GiB / 15.4GiB,8.46%,1.76MB / 3.13MB,255MB / 426MB,280
2026-06-21T16:18:38+08:00,rmqdashboard,0.15%,485MiB / 15.4GiB,3.08%,1.92MB / 1.04MB,209MB / 245MB,66
2026-06-21T16:18:38+08:00,RPA-prometheus,0.14%,325.1MiB / 15.4GiB,2.06%,319MB / 4.39MB,294MB / 119MB,26
2026-06-21T16:18:38+08:00,RPA-minio,0.12%,336.2MiB / 15.4GiB,2.13%,300MB / 17.3MB,236MB / 613MB,53
2026-06-21T16:18:38+08:00,rmqnamesrv,0.48%,190.3MiB / 15.4GiB,1.21%,2.93MB / 2.22MB,222MB / 366MB,81
2026-06-21T16:18:38+08:00,RPA-cadvisor,2.15%,261.6MiB / 15.4GiB,1.66%,4.39MB / 318MB,164MB / 20.4MB,28
2026-06-21T16:18:38+08:00,RPA-app,0.07%,71.28MiB / 2GiB,3.48%,18.9kB / 23.4kB,0B / 0B,7
