timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:56:44+08:00,RPA-app,160.68%,59MiB / 2GiB,2.88%,1.13GB / 723MB,349MB / 536MB,26
2026-06-21T16:56:44+08:00,RPA-pgdb,713.11%,224.2MiB / 15.4GiB,1.42%,1.5GB / 9.59GB,57.7MB / 1.47GB,58
2026-06-21T16:56:44+08:00,RPA-redis,7.35%,8.891MiB / 15.4GiB,0.06%,595MB / 604MB,32.4MB / 13.5MB,7
2026-06-21T16:56:44+08:00,RPA-grafana,0.13%,158.4MiB / 15.4GiB,1.00%,23.6MB / 291kB,715MB / 142MB,25
2026-06-21T16:56:44+08:00,RPA-alloy,24.97%,149.5MiB / 15.4GiB,0.95%,5.53MB / 2.05GB,901MB / 73.9MB,27
2026-06-21T16:56:44+08:00,RPA-loki,3.02%,509.5MiB / 15.4GiB,3.23%,2.05GB / 855MB,678MB / 13.5GB,26
2026-06-21T16:56:44+08:00,rmqbroker,5.35%,1.186GiB / 15.4GiB,7.70%,2.55MB / 4.01MB,752MB / 1GB,324
2026-06-21T16:56:44+08:00,rmqdashboard,0.08%,417.8MiB / 15.4GiB,2.65%,2.3MB / 1.25MB,354MB / 478MB,66
2026-06-21T16:56:44+08:00,RPA-prometheus,13.42%,286.9MiB / 15.4GiB,1.82%,373MB / 5.26MB,353MB / 136MB,26
2026-06-21T16:56:44+08:00,RPA-minio,0.00%,359.2MiB / 15.4GiB,2.28%,903MB / 36.1MB,447MB / 1.41GB,53
2026-06-21T16:56:44+08:00,rmqnamesrv,0.12%,136MiB / 15.4GiB,0.86%,3.49MB / 2.65MB,247MB / 482MB,81
2026-06-21T16:56:44+08:00,RPA-cadvisor,13.72%,265.9MiB / 15.4GiB,1.69%,5.2MB / 371MB,211MB / 20.7MB,28
2026-06-21T16:56:44+08:00,script-k6-run-53c57087a5d4,106.23%,43.57MiB / 15.4GiB,0.28%,1.67MB / 3.26MB,0B / 0B,25
2026-06-21T16:56:47+08:00,script-k6-run-53c57087a5d4,61.00%,63.63MiB / 15.4GiB,0.40%,6.1MB / 11.7MB,0B / 0B,25
2026-06-21T16:56:47+08:00,RPA-app,178.10%,57.63MiB / 2GiB,2.81%,1.14GB / 744MB,349MB / 536MB,26
2026-06-21T16:56:47+08:00,RPA-pgdb,414.10%,215.5MiB / 15.4GiB,1.37%,1.51GB / 9.6GB,57.7MB / 1.5GB,55
2026-06-21T16:56:47+08:00,RPA-redis,4.62%,9.953MiB / 15.4GiB,0.06%,596MB / 605MB,32.4MB / 13.5MB,7
2026-06-21T16:56:47+08:00,RPA-grafana,0.12%,158.7MiB / 15.4GiB,1.01%,23.6MB / 291kB,715MB / 142MB,25
2026-06-21T16:56:47+08:00,RPA-alloy,16.27%,150.3MiB / 15.4GiB,0.95%,5.53MB / 2.05GB,901MB / 73.9MB,27
2026-06-21T16:56:47+08:00,RPA-loki,1.85%,514.4MiB / 15.4GiB,3.26%,2.05GB / 855MB,678MB / 13.5GB,26
2026-06-21T16:56:47+08:00,rmqbroker,4.73%,1.187GiB / 15.4GiB,7.71%,2.55MB / 4.01MB,752MB / 1GB,324
2026-06-21T16:56:47+08:00,rmqdashboard,0.16%,418.3MiB / 15.4GiB,2.65%,2.3MB / 1.25MB,354MB / 478MB,66
2026-06-21T16:56:47+08:00,RPA-prometheus,0.00%,286.9MiB / 15.4GiB,1.82%,373MB / 5.26MB,353MB / 136MB,26
2026-06-21T16:56:47+08:00,RPA-minio,0.03%,359.2MiB / 15.4GiB,2.28%,903MB / 36.1MB,447MB / 1.41GB,53
2026-06-21T16:56:47+08:00,rmqnamesrv,0.11%,136MiB / 15.4GiB,0.86%,3.49MB / 2.65MB,247MB / 482MB,81
2026-06-21T16:56:47+08:00,RPA-cadvisor,2.84%,266.1MiB / 15.4GiB,1.69%,5.2MB / 371MB,211MB / 20.7MB,28
2026-06-21T16:56:51+08:00,script-k6-run-53c57087a5d4,119.42%,56.29MiB / 15.4GiB,0.36%,10.3MB / 19.8MB,0B / 0B,25
2026-06-21T16:56:51+08:00,RPA-app,170.34%,59.12MiB / 2GiB,2.89%,1.16GB / 764MB,349MB / 536MB,26
2026-06-21T16:56:51+08:00,RPA-pgdb,706.88%,228.1MiB / 15.4GiB,1.45%,1.52GB / 9.61GB,57.7MB / 1.52GB,59
2026-06-21T16:56:51+08:00,RPA-redis,9.32%,10.61MiB / 15.4GiB,0.07%,597MB / 606MB,32.4MB / 13.5MB,7
2026-06-21T16:56:51+08:00,RPA-grafana,0.19%,158.4MiB / 15.4GiB,1.00%,23.6MB / 291kB,715MB / 142MB,25
