timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:57:47+08:00,RPA-app,176.37%,56.29MiB / 2GiB,2.75%,1.44GB / 1.07GB,349MB / 536MB,26
2026-06-21T16:57:47+08:00,RPA-pgdb,0.06%,168.7MiB / 15.4GiB,1.07%,1.74GB / 9.74GB,57.8MB / 2.1GB,19
2026-06-21T16:57:47+08:00,RPA-redis,22.52%,9.766MiB / 15.4GiB,0.06%,618MB / 623MB,32.4MB / 13.5MB,7
2026-06-21T16:57:47+08:00,RPA-grafana,0.13%,158.3MiB / 15.4GiB,1.00%,23.6MB / 292kB,715MB / 142MB,25
2026-06-21T16:57:47+08:00,RPA-alloy,156.35%,153.8MiB / 15.4GiB,0.98%,5.56MB / 2.06GB,901MB / 74.1MB,27
2026-06-21T16:57:47+08:00,RPA-loki,55.46%,522.2MiB / 15.4GiB,3.31%,2.06GB / 859MB,683MB / 13.5GB,26
2026-06-21T16:57:47+08:00,rmqbroker,4.69%,1.198GiB / 15.4GiB,7.78%,2.57MB / 4.03MB,765MB / 1GB,324
2026-06-21T16:57:47+08:00,rmqdashboard,0.05%,417.9MiB / 15.4GiB,2.65%,2.31MB / 1.25MB,354MB / 478MB,66
2026-06-21T16:57:47+08:00,RPA-prometheus,0.00%,327.9MiB / 15.4GiB,2.08%,375MB / 5.29MB,353MB / 136MB,26
2026-06-21T16:57:47+08:00,RPA-minio,0.02%,238.1MiB / 15.4GiB,1.51%,907MB / 36.1MB,447MB / 1.42GB,53
2026-06-21T16:57:47+08:00,rmqnamesrv,0.09%,136.7MiB / 15.4GiB,0.87%,3.5MB / 2.66MB,247MB / 482MB,81
2026-06-21T16:57:47+08:00,RPA-cadvisor,2.97%,264.6MiB / 15.4GiB,1.68%,5.22MB / 373MB,211MB / 20.7MB,28
2026-06-21T16:57:47+08:00,script-k6-run-4ae66cc3542b,310.58%,80.5MiB / 15.4GiB,0.51%,8.17MB / 17.6MB,0B / 0B,26
