timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:58:49+08:00,RPA-app,109.34%,48.72MiB / 2GiB,2.38%,2.23GB / 1.5GB,349MB / 536MB,26
2026-06-21T16:58:49+08:00,RPA-pgdb,3.24%,167.4MiB / 15.4GiB,1.06%,1.74GB / 9.74GB,58.7MB / 2.13GB,19
2026-06-21T16:58:49+08:00,RPA-redis,13.72%,9.73MiB / 15.4GiB,0.06%,730MB / 712MB,32.4MB / 13.5MB,7
2026-06-21T16:58:49+08:00,RPA-grafana,0.21%,74.12MiB / 15.4GiB,0.47%,23.6MB / 292kB,718MB / 142MB,25
2026-06-21T16:58:49+08:00,RPA-alloy,6.49%,207.1MiB / 15.4GiB,1.31%,5.67MB / 2.12GB,901MB / 74.6MB,27
2026-06-21T16:58:49+08:00,RPA-loki,23.82%,480.5MiB / 15.4GiB,3.05%,2.12GB / 885MB,708MB / 13.9GB,26
2026-06-21T16:58:49+08:00,rmqbroker,3.89%,1.122GiB / 15.4GiB,7.29%,2.59MB / 4.05MB,778MB / 1.04GB,324
2026-06-21T16:58:49+08:00,rmqdashboard,0.15%,411.8MiB / 15.4GiB,2.61%,2.32MB / 1.26MB,355MB / 485MB,66
2026-06-21T16:58:49+08:00,RPA-prometheus,0.00%,312.6MiB / 15.4GiB,1.98%,376MB / 5.31MB,357MB / 146MB,26
2026-06-21T16:58:49+08:00,RPA-minio,0.00%,217.4MiB / 15.4GiB,1.38%,933MB / 36.1MB,447MB / 1.45GB,53
2026-06-21T16:58:49+08:00,rmqnamesrv,0.16%,121.8MiB / 15.4GiB,0.77%,3.52MB / 2.67MB,247MB / 497MB,81
2026-06-21T16:58:49+08:00,RPA-cadvisor,3.08%,261MiB / 15.4GiB,1.66%,5.24MB / 374MB,211MB / 20.8MB,28
2026-06-21T16:58:49+08:00,script-k6-run-9eadd7f09388,348.54%,103MiB / 15.4GiB,0.65%,11.7MB / 28.3MB,3.1MB / 0B,25
2026-06-21T16:58:52+08:00,script-k6-run-9eadd7f09388,351.40%,173MiB / 15.4GiB,1.10%,24MB / 58.1MB,3.1MB / 0B,26
2026-06-21T16:58:52+08:00,RPA-app,181.49%,47.58MiB / 2GiB,2.32%,2.3GB / 1.54GB,349MB / 536MB,26
2026-06-21T16:58:52+08:00,RPA-pgdb,0.11%,166.4MiB / 15.4GiB,1.06%,1.74GB / 9.74GB,58.7MB / 2.14GB,19
2026-06-21T16:58:52+08:00,RPA-redis,26.32%,9.188MiB / 15.4GiB,0.06%,738MB / 719MB,32.4MB / 13.5MB,7
2026-06-21T16:58:52+08:00,RPA-grafana,0.17%,74.12MiB / 15.4GiB,0.47%,23.6MB / 292kB,718MB / 142MB,25
2026-06-21T16:58:52+08:00,RPA-alloy,162.05%,185.6MiB / 15.4GiB,1.18%,5.68MB / 2.12GB,901MB / 74.7MB,27
2026-06-21T16:58:52+08:00,RPA-loki,45.68%,488.8MiB / 15.4GiB,3.10%,2.12GB / 885MB,708MB / 13.9GB,26
2026-06-21T16:58:52+08:00,rmqbroker,5.79%,1.122GiB / 15.4GiB,7.29%,2.59MB / 4.05MB,779MB / 1.04GB,324
2026-06-21T16:58:52+08:00,rmqdashboard,0.16%,412MiB / 15.4GiB,2.61%,2.32MB / 1.26MB,355MB / 485MB,66
2026-06-21T16:58:52+08:00,RPA-prometheus,0.00%,312.6MiB / 15.4GiB,1.98%,376MB / 5.31MB,357MB / 146MB,26
2026-06-21T16:58:52+08:00,RPA-minio,0.01%,207.7MiB / 15.4GiB,1.32%,933MB / 36.1MB,447MB / 1.45GB,53
2026-06-21T16:58:52+08:00,rmqnamesrv,0.13%,121.6MiB / 15.4GiB,0.77%,3.52MB / 2.67MB,247MB / 497MB,81
2026-06-21T16:58:52+08:00,RPA-cadvisor,9.38%,275.5MiB / 15.4GiB,1.75%,5.24MB / 374MB,211MB / 20.8MB,28
2026-06-21T16:58:56+08:00,script-k6-run-9eadd7f09388,353.93%,156.6MiB / 15.4GiB,0.99%,45.1MB / 109MB,3.1MB / 0B,26
2026-06-21T16:58:56+08:00,RPA-app,181.28%,47.75MiB / 2GiB,2.33%,2.34GB / 1.56GB,349MB / 536MB,26
2026-06-21T16:58:56+08:00,RPA-pgdb,0.11%,166MiB / 15.4GiB,1.05%,1.74GB / 9.74GB,58.7MB / 2.14GB,19
2026-06-21T16:58:56+08:00,RPA-redis,26.44%,10.21MiB / 15.4GiB,0.06%,743MB / 723MB,32.4MB / 13.5MB,7
2026-06-21T16:58:56+08:00,RPA-grafana,0.20%,74.12MiB / 15.4GiB,0.47%,23.6MB / 292kB,718MB / 142MB,25
2026-06-21T16:58:56+08:00,RPA-alloy,125.20%,198.2MiB / 15.4GiB,1.26%,5.69MB / 2.13GB,901MB / 74.7MB,27
2026-06-21T16:58:56+08:00,RPA-loki,83.32%,487.2MiB / 15.4GiB,3.09%,2.13GB / 885MB,708MB / 13.9GB,26
2026-06-21T16:58:56+08:00,rmqbroker,5.78%,1.124GiB / 15.4GiB,7.30%,2.59MB / 4.05MB,779MB / 1.04GB,324
2026-06-21T16:58:56+08:00,rmqdashboard,0.08%,411.9MiB / 15.4GiB,2.61%,2.32MB / 1.26MB,355MB / 485MB,66
2026-06-21T16:58:56+08:00,RPA-prometheus,0.06%,312.9MiB / 15.4GiB,1.98%,376MB / 5.31MB,357MB / 146MB,26
2026-06-21T16:58:56+08:00,RPA-minio,0.27%,206.5MiB / 15.4GiB,1.31%,933MB / 36.1MB,447MB / 1.45GB,53
2026-06-21T16:58:56+08:00,rmqnamesrv,0.26%,121.6MiB / 15.4GiB,0.77%,3.52MB / 2.67MB,247MB / 497MB,81
2026-06-21T16:58:56+08:00,RPA-cadvisor,4.22%,277.6MiB / 15.4GiB,1.76%,5.24MB / 374MB,211MB / 20.8MB,28
2026-06-21T16:58:59+08:00,script-k6-run-9eadd7f09388,353.66%,138MiB / 15.4GiB,0.88%,60.6MB / 146MB,3.1MB / 0B,26
2026-06-21T16:58:59+08:00,RPA-app,182.21%,48.63MiB / 2GiB,2.37%,2.38GB / 1.58GB,349MB / 536MB,26
2026-06-21T16:58:59+08:00,RPA-pgdb,3.96%,166MiB / 15.4GiB,1.05%,1.74GB / 9.74GB,58.7MB / 2.14GB,19
2026-06-21T16:58:59+08:00,RPA-redis,26.97%,10.71MiB / 15.4GiB,0.07%,749MB / 728MB,32.4MB / 13.5MB,7
2026-06-21T16:58:59+08:00,RPA-grafana,0.16%,74.12MiB / 15.4GiB,0.47%,23.6MB / 292kB,718MB / 142MB,25
2026-06-21T16:58:59+08:00,RPA-alloy,127.57%,197.5MiB / 15.4GiB,1.25%,5.69MB / 2.13GB,901MB / 74.7MB,27
2026-06-21T16:58:59+08:00,RPA-loki,28.55%,491MiB / 15.4GiB,3.11%,2.13GB / 885MB,713MB / 13.9GB,26
2026-06-21T16:58:59+08:00,rmqbroker,6.77%,1.124GiB / 15.4GiB,7.30%,2.6MB / 4.06MB,780MB / 1.04GB,324
2026-06-21T16:58:59+08:00,rmqdashboard,0.19%,411.9MiB / 15.4GiB,2.61%,2.32MB / 1.26MB,355MB / 485MB,66
2026-06-21T16:58:59+08:00,RPA-prometheus,7.11%,313.4MiB / 15.4GiB,1.99%,377MB / 5.32MB,357MB / 146MB,26
2026-06-21T16:58:59+08:00,RPA-minio,0.13%,202.5MiB / 15.4GiB,1.28%,933MB / 36.1MB,447MB / 1.45GB,53
2026-06-21T16:58:59+08:00,rmqnamesrv,0.21%,121.7MiB / 15.4GiB,0.77%,3.52MB / 2.67MB,247MB / 497MB,81
2026-06-21T16:58:59+08:00,RPA-cadvisor,3.45%,276.9MiB / 15.4GiB,1.76%,5.24MB / 374MB,211MB / 20.8MB,28
2026-06-21T16:59:02+08:00,script-k6-run-9eadd7f09388,324.15%,184.8MiB / 15.4GiB,1.17%,72.3MB / 175MB,3.1MB / 0B,26
2026-06-21T16:59:02+08:00,RPA-app,183.80%,47.46MiB / 2GiB,2.32%,2.43GB / 1.6GB,349MB / 536MB,26
2026-06-21T16:59:02+08:00,RPA-pgdb,0.11%,166MiB / 15.4GiB,1.05%,1.74GB / 9.74GB,58.7MB / 2.14GB,19
2026-06-21T16:59:02+08:00,RPA-redis,26.85%,9.703MiB / 15.4GiB,0.06%,754MB / 732MB,32.4MB / 13.5MB,7
2026-06-21T16:59:02+08:00,RPA-grafana,0.22%,74.12MiB / 15.4GiB,0.47%,23.6MB / 292kB,718MB / 142MB,25
2026-06-21T16:59:02+08:00,RPA-alloy,162.84%,187.6MiB / 15.4GiB,1.19%,5.7MB / 2.13GB,901MB / 74.7MB,27
2026-06-21T16:59:02+08:00,RPA-loki,31.07%,513.5MiB / 15.4GiB,3.26%,2.13GB / 885MB,713MB / 13.9GB,26
2026-06-21T16:59:02+08:00,rmqbroker,4.84%,1.124GiB / 15.4GiB,7.30%,2.6MB / 4.06MB,781MB / 1.04GB,324
2026-06-21T16:59:02+08:00,rmqdashboard,0.08%,411.9MiB / 15.4GiB,2.61%,2.32MB / 1.26MB,355MB / 485MB,66
2026-06-21T16:59:02+08:00,RPA-prometheus,0.00%,322.2MiB / 15.4GiB,2.04%,377MB / 5.32MB,367MB / 146MB,26
2026-06-21T16:59:02+08:00,RPA-minio,0.04%,202MiB / 15.4GiB,1.28%,933MB / 36.1MB,447MB / 1.45GB,53
2026-06-21T16:59:02+08:00,rmqnamesrv,0.17%,122MiB / 15.4GiB,0.77%,3.52MB / 2.67MB,247MB / 497MB,81
2026-06-21T16:59:02+08:00,RPA-cadvisor,17.30%,266.7MiB / 15.4GiB,1.69%,5.25MB / 375MB,211MB / 20.8MB,28
2026-06-21T16:59:05+08:00,script-k6-run-9eadd7f09388,321.54%,177.2MiB / 15.4GiB,1.12%,93MB / 225MB,3.1MB / 0B,26
2026-06-21T16:59:05+08:00,RPA-app,184.84%,48.52MiB / 2GiB,2.37%,2.47GB / 1.62GB,349MB / 536MB,26
2026-06-21T16:59:05+08:00,RPA-pgdb,0.11%,166.4MiB / 15.4GiB,1.06%,1.74GB / 9.74GB,58.8MB / 2.14GB,19
2026-06-21T16:59:05+08:00,RPA-redis,26.20%,10.19MiB / 15.4GiB,0.06%,760MB / 737MB,32.4MB / 13.5MB,7
2026-06-21T16:59:05+08:00,RPA-grafana,0.14%,74.12MiB / 15.4GiB,0.47%,23.6MB / 292kB,718MB / 142MB,25
2026-06-21T16:59:05+08:00,RPA-alloy,74.88%,200.3MiB / 15.4GiB,1.27%,5.7MB / 2.13GB,906MB / 74.7MB,27
2026-06-21T16:59:05+08:00,RPA-loki,31.46%,522.6MiB / 15.4GiB,3.31%,2.14GB / 885MB,713MB / 14GB,26
2026-06-21T16:59:05+08:00,rmqbroker,5.90%,1.125GiB / 15.4GiB,7.31%,2.6MB / 4.06MB,781MB / 1.04GB,324
2026-06-21T16:59:05+08:00,rmqdashboard,0.07%,412.1MiB / 15.4GiB,2.61%,2.32MB / 1.26MB,355MB / 485MB,66
2026-06-21T16:59:05+08:00,RPA-prometheus,0.59%,322.1MiB / 15.4GiB,2.04%,377MB / 5.32MB,367MB / 146MB,26
2026-06-21T16:59:05+08:00,RPA-minio,0.00%,190.7MiB / 15.4GiB,1.21%,933MB / 36.1MB,447MB / 1.45GB,53
2026-06-21T16:59:05+08:00,rmqnamesrv,0.14%,121.8MiB / 15.4GiB,0.77%,3.52MB / 2.68MB,247MB / 497MB,81
2026-06-21T16:59:05+08:00,RPA-cadvisor,5.77%,266.3MiB / 15.4GiB,1.69%,5.25MB / 375MB,211MB / 20.8MB,28
2026-06-21T16:59:08+08:00,script-k6-run-9eadd7f09388,355.42%,266.9MiB / 15.4GiB,1.69%,110MB / 265MB,3.1MB / 0B,26
2026-06-21T16:59:08+08:00,RPA-app,179.78%,47.92MiB / 2GiB,2.34%,2.51GB / 1.64GB,349MB / 536MB,26
2026-06-21T16:59:08+08:00,RPA-pgdb,0.09%,165.9MiB / 15.4GiB,1.05%,1.74GB / 9.74GB,58.8MB / 2.14GB,19
