timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:55:42+08:00,RPA-app,59.07%,111.6MiB / 2GiB,5.45%,710MB / 447MB,349MB / 536MB,26
2026-06-21T16:55:42+08:00,RPA-pgdb,249.18%,170.2MiB / 15.4GiB,1.08%,1.39GB / 9.45GB,57.6MB / 1.46GB,38
2026-06-21T16:55:42+08:00,RPA-redis,4.42%,10.37MiB / 15.4GiB,0.07%,555MB / 572MB,32.4MB / 13.5MB,7
2026-06-21T16:55:42+08:00,RPA-grafana,0.14%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:55:42+08:00,RPA-alloy,14.08%,151.3MiB / 15.4GiB,0.96%,5.49MB / 2.03GB,901MB / 73.7MB,27
2026-06-21T16:55:42+08:00,RPA-loki,0.51%,498.9MiB / 15.4GiB,3.16%,2.03GB / 845MB,678MB / 13.3GB,26
2026-06-21T16:55:42+08:00,rmqbroker,4.22%,1.175GiB / 15.4GiB,7.63%,2.53MB / 3.98MB,739MB / 1GB,324
2026-06-21T16:55:42+08:00,rmqdashboard,0.07%,417.8MiB / 15.4GiB,2.65%,2.29MB / 1.24MB,354MB / 478MB,66
2026-06-21T16:55:42+08:00,RPA-prometheus,0.02%,339.8MiB / 15.4GiB,2.15%,372MB / 5.24MB,353MB / 136MB,26
2026-06-21T16:55:42+08:00,RPA-minio,0.01%,376.8MiB / 15.4GiB,2.39%,893MB / 36MB,447MB / 1.4GB,53
2026-06-21T16:55:42+08:00,rmqnamesrv,0.11%,135.2MiB / 15.4GiB,0.86%,3.48MB / 2.64MB,247MB / 482MB,81
2026-06-21T16:55:42+08:00,RPA-cadvisor,7.60%,234.9MiB / 15.4GiB,1.49%,5.18MB / 370MB,211MB / 20.7MB,28
2026-06-21T16:55:42+08:00,script-k6-run-c953aada31ca,177.30%,56.16MiB / 15.4GiB,0.36%,4.44MB / 8.07MB,0B / 0B,25
2026-06-21T16:55:45+08:00,script-k6-run-c953aada31ca,166.72%,103.2MiB / 15.4GiB,0.65%,14.3MB / 25.9MB,0B / 0B,25
2026-06-21T16:55:45+08:00,RPA-app,171.90%,52.34MiB / 2GiB,2.56%,752MB / 475MB,349MB / 536MB,26
2026-06-21T16:55:45+08:00,RPA-pgdb,748.21%,164.8MiB / 15.4GiB,1.05%,1.4GB / 9.46GB,57.6MB / 1.46GB,34
2026-06-21T16:55:45+08:00,RPA-redis,13.59%,10.19MiB / 15.4GiB,0.06%,559MB / 576MB,32.4MB / 13.5MB,7
2026-06-21T16:55:45+08:00,RPA-grafana,0.16%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:55:45+08:00,RPA-alloy,43.02%,148.9MiB / 15.4GiB,0.94%,5.5MB / 2.03GB,901MB / 73.7MB,27
2026-06-21T16:55:45+08:00,RPA-loki,7.94%,534MiB / 15.4GiB,3.39%,2.03GB / 845MB,678MB / 13.3GB,26
2026-06-21T16:55:45+08:00,rmqbroker,5.90%,1.176GiB / 15.4GiB,7.64%,2.53MB / 3.99MB,740MB / 1GB,324
2026-06-21T16:55:45+08:00,rmqdashboard,0.08%,417.8MiB / 15.4GiB,2.65%,2.29MB / 1.24MB,354MB / 478MB,66
2026-06-21T16:55:45+08:00,RPA-prometheus,0.00%,339.8MiB / 15.4GiB,2.16%,372MB / 5.24MB,353MB / 136MB,26
2026-06-21T16:55:45+08:00,RPA-minio,0.00%,376.8MiB / 15.4GiB,2.39%,893MB / 36MB,447MB / 1.4GB,53
2026-06-21T16:55:45+08:00,rmqnamesrv,0.13%,135.3MiB / 15.4GiB,0.86%,3.48MB / 2.64MB,247MB / 482MB,81
2026-06-21T16:55:45+08:00,RPA-cadvisor,53.57%,270.4MiB / 15.4GiB,1.71%,5.18MB / 370MB,211MB / 20.7MB,28
2026-06-21T16:55:48+08:00,script-k6-run-c953aada31ca,165.44%,82.92MiB / 15.4GiB,0.53%,21.1MB / 38.1MB,0B / 0B,27
2026-06-21T16:55:48+08:00,RPA-app,172.75%,53.04MiB / 2GiB,2.59%,784MB / 495MB,349MB / 536MB,26
2026-06-21T16:55:48+08:00,RPA-pgdb,757.07%,171.4MiB / 15.4GiB,1.09%,1.41GB / 9.47GB,57.6MB / 1.46GB,38
2026-06-21T16:55:48+08:00,RPA-redis,14.16%,10.36MiB / 15.4GiB,0.07%,562MB / 578MB,32.4MB / 13.5MB,7
2026-06-21T16:55:48+08:00,RPA-grafana,0.24%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:55:48+08:00,RPA-alloy,43.39%,148.7MiB / 15.4GiB,0.94%,5.5MB / 2.03GB,901MB / 73.7MB,27
2026-06-21T16:55:48+08:00,RPA-loki,5.79%,519.5MiB / 15.4GiB,3.30%,2.03GB / 845MB,678MB / 13.3GB,26
