timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:51:30+08:00,RPA-app,108.94%,859.9MiB / 2GiB,41.99%,7.69MB / 14.2MB,347MB / 535MB,8
2026-06-21T16:51:30+08:00,RPA-pgdb,38.17%,142.4MiB / 15.4GiB,0.90%,1.23GB / 9.16GB,57.3MB / 1.08GB,23
2026-06-21T16:51:30+08:00,RPA-redis,0.81%,9.246MiB / 15.4GiB,0.06%,496MB / 526MB,32.2MB / 12.4MB,7
2026-06-21T16:51:30+08:00,RPA-grafana,0.19%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:51:30+08:00,RPA-alloy,1.26%,183.2MiB / 15.4GiB,1.16%,5.4MB / 2GB,901MB / 72.9MB,27
2026-06-21T16:51:30+08:00,RPA-loki,0.44%,531.9MiB / 15.4GiB,3.37%,2GB / 830MB,678MB / 13.1GB,26
2026-06-21T16:51:30+08:00,rmqbroker,4.46%,1.144GiB / 15.4GiB,7.43%,2.45MB / 3.88MB,705MB / 997MB,324
2026-06-21T16:51:30+08:00,rmqdashboard,0.08%,417.4MiB / 15.4GiB,2.65%,2.25MB / 1.22MB,353MB / 476MB,66
2026-06-21T16:51:30+08:00,RPA-prometheus,0.00%,354.1MiB / 15.4GiB,2.25%,366MB / 5.14MB,353MB / 134MB,26
2026-06-21T16:51:30+08:00,RPA-minio,0.02%,298.2MiB / 15.4GiB,1.89%,851MB / 17.8MB,439MB / 1.29GB,53
2026-06-21T16:51:30+08:00,rmqnamesrv,0.13%,129.5MiB / 15.4GiB,0.82%,3.42MB / 2.59MB,244MB / 481MB,81
2026-06-21T16:51:30+08:00,RPA-cadvisor,2.92%,257.4MiB / 15.4GiB,1.63%,5.09MB / 364MB,211MB / 20.7MB,28
2026-06-21T16:51:30+08:00,script-k6-run-edf6a227ac0d,4.49%,28.01MiB / 15.4GiB,0.18%,149kB / 68.4kB,279kB / 0B,26
2026-06-21T16:51:34+08:00,script-k6-run-edf6a227ac0d,5.23%,29.71MiB / 15.4GiB,0.19%,451kB / 161kB,279kB / 0B,26
2026-06-21T16:51:34+08:00,RPA-app,197.57%,1.063GiB / 2GiB,53.17%,8.15MB / 15MB,347MB / 535MB,8
2026-06-21T16:51:34+08:00,RPA-pgdb,16.55%,160.6MiB / 15.4GiB,1.02%,1.23GB / 9.16GB,57.3MB / 1.08GB,35
2026-06-21T16:51:34+08:00,RPA-redis,0.82%,9.09MiB / 15.4GiB,0.06%,496MB / 526MB,32.2MB / 12.5MB,7
2026-06-21T16:51:34+08:00,RPA-grafana,0.18%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:51:34+08:00,RPA-alloy,2.16%,183.5MiB / 15.4GiB,1.16%,5.4MB / 2GB,901MB / 72.9MB,27
2026-06-21T16:51:34+08:00,RPA-loki,0.60%,532.2MiB / 15.4GiB,3.38%,2GB / 830MB,678MB / 13.1GB,26
2026-06-21T16:51:34+08:00,rmqbroker,3.95%,1.144GiB / 15.4GiB,7.43%,2.45MB / 3.88MB,706MB / 997MB,324
2026-06-21T16:51:34+08:00,rmqdashboard,0.07%,417.4MiB / 15.4GiB,2.65%,2.25MB / 1.22MB,353MB / 476MB,66
2026-06-21T16:51:34+08:00,RPA-prometheus,0.00%,354.1MiB / 15.4GiB,2.25%,366MB / 5.14MB,353MB / 134MB,26
2026-06-21T16:51:34+08:00,RPA-minio,0.03%,298.1MiB / 15.4GiB,1.89%,851MB / 17.8MB,439MB / 1.29GB,53
2026-06-21T16:51:34+08:00,rmqnamesrv,0.19%,129.5MiB / 15.4GiB,0.82%,3.42MB / 2.59MB,244MB / 481MB,81
2026-06-21T16:51:34+08:00,RPA-cadvisor,3.03%,266.6MiB / 15.4GiB,1.69%,5.09MB / 364MB,211MB / 20.7MB,28
2026-06-21T16:51:37+08:00,script-k6-run-edf6a227ac0d,4.37%,30.75MiB / 15.4GiB,0.20%,771kB / 261kB,279kB / 0B,26
2026-06-21T16:51:37+08:00,RPA-app,197.92%,979.5MiB / 2GiB,47.83%,8.5MB / 15.5MB,347MB / 535MB,8
2026-06-21T16:51:37+08:00,RPA-pgdb,22.75%,150.2MiB / 15.4GiB,0.95%,1.23GB / 9.16GB,57.3MB / 1.08GB,27
2026-06-21T16:51:37+08:00,RPA-redis,0.85%,9.766MiB / 15.4GiB,0.06%,496MB / 526MB,32.2MB / 12.5MB,7
2026-06-21T16:51:37+08:00,RPA-grafana,0.17%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:51:37+08:00,RPA-alloy,2.10%,183.2MiB / 15.4GiB,1.16%,5.4MB / 2GB,901MB / 72.9MB,27
2026-06-21T16:51:37+08:00,RPA-loki,0.62%,532.4MiB / 15.4GiB,3.38%,2GB / 830MB,678MB / 13.1GB,26
2026-06-21T16:51:37+08:00,rmqbroker,4.48%,1.144GiB / 15.4GiB,7.43%,2.45MB / 3.88MB,706MB / 997MB,324
2026-06-21T16:51:37+08:00,rmqdashboard,0.08%,417.4MiB / 15.4GiB,2.65%,2.25MB / 1.22MB,353MB / 476MB,66
2026-06-21T16:51:37+08:00,RPA-prometheus,0.00%,354.1MiB / 15.4GiB,2.25%,366MB / 5.14MB,353MB / 134MB,26
2026-06-21T16:51:37+08:00,RPA-minio,0.02%,298.1MiB / 15.4GiB,1.89%,851MB / 17.8MB,439MB / 1.29GB,53
2026-06-21T16:51:37+08:00,rmqnamesrv,0.15%,129.5MiB / 15.4GiB,0.82%,3.42MB / 2.59MB,244MB / 481MB,81
2026-06-21T16:51:37+08:00,RPA-cadvisor,2.70%,276.3MiB / 15.4GiB,1.75%,5.09MB / 364MB,211MB / 20.7MB,28
2026-06-21T16:51:40+08:00,script-k6-run-edf6a227ac0d,4.11%,32.42MiB / 15.4GiB,0.21%,1.07MB / 355kB,279kB / 0B,26
2026-06-21T16:51:40+08:00,RPA-app,197.41%,944.4MiB / 2GiB,46.11%,8.84MB / 16MB,347MB / 535MB,8
2026-06-21T16:51:40+08:00,RPA-pgdb,16.42%,150.3MiB / 15.4GiB,0.95%,1.23GB / 9.16GB,57.3MB / 1.08GB,29
2026-06-21T16:51:40+08:00,RPA-redis,0.87%,9.559MiB / 15.4GiB,0.06%,496MB / 526MB,32.2MB / 12.6MB,7
2026-06-21T16:51:40+08:00,RPA-grafana,0.17%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:51:40+08:00,RPA-alloy,2.09%,183MiB / 15.4GiB,1.16%,5.4MB / 2GB,901MB / 73MB,27
2026-06-21T16:51:40+08:00,RPA-loki,0.58%,532.4MiB / 15.4GiB,3.38%,2GB / 830MB,678MB / 13.1GB,26
2026-06-21T16:51:40+08:00,rmqbroker,4.95%,1.146GiB / 15.4GiB,7.44%,2.45MB / 3.89MB,707MB / 997MB,324
2026-06-21T16:51:40+08:00,rmqdashboard,0.07%,417.4MiB / 15.4GiB,2.65%,2.25MB / 1.22MB,353MB / 476MB,66
2026-06-21T16:51:40+08:00,RPA-prometheus,0.06%,354.1MiB / 15.4GiB,2.25%,366MB / 5.14MB,353MB / 134MB,26
2026-06-21T16:51:40+08:00,RPA-minio,0.03%,298.1MiB / 15.4GiB,1.89%,851MB / 17.8MB,439MB / 1.29GB,53
2026-06-21T16:51:40+08:00,rmqnamesrv,0.15%,129.6MiB / 15.4GiB,0.82%,3.42MB / 2.59MB,244MB / 481MB,81
2026-06-21T16:51:40+08:00,RPA-cadvisor,2.39%,279.2MiB / 15.4GiB,1.77%,5.09MB / 364MB,211MB / 20.7MB,28
2026-06-21T16:51:43+08:00,script-k6-run-edf6a227ac0d,3.59%,34.84MiB / 15.4GiB,0.22%,1.37MB / 446kB,279kB / 0B,26
2026-06-21T16:51:43+08:00,RPA-app,197.97%,1.151GiB / 2GiB,57.55%,9.05MB / 16.4MB,347MB / 535MB,8
2026-06-21T16:51:43+08:00,RPA-pgdb,25.59%,153.8MiB / 15.4GiB,0.98%,1.23GB / 9.16GB,57.3MB / 1.08GB,35
2026-06-21T16:51:43+08:00,RPA-redis,0.97%,9.133MiB / 15.4GiB,0.06%,496MB / 526MB,32.2MB / 12.6MB,7
2026-06-21T16:51:43+08:00,RPA-grafana,0.21%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:51:43+08:00,RPA-alloy,1.83%,183MiB / 15.4GiB,1.16%,5.41MB / 2GB,901MB / 73MB,27
2026-06-21T16:51:43+08:00,RPA-loki,0.65%,532.3MiB / 15.4GiB,3.38%,2GB / 830MB,678MB / 13.1GB,26
2026-06-21T16:51:43+08:00,rmqbroker,4.23%,1.145GiB / 15.4GiB,7.44%,2.45MB / 3.89MB,707MB / 997MB,324
2026-06-21T16:51:43+08:00,rmqdashboard,0.15%,417.7MiB / 15.4GiB,2.65%,2.25MB / 1.22MB,353MB / 476MB,66
2026-06-21T16:51:43+08:00,RPA-prometheus,0.00%,354.1MiB / 15.4GiB,2.25%,366MB / 5.14MB,353MB / 134MB,26
2026-06-21T16:51:43+08:00,RPA-minio,0.03%,298.1MiB / 15.4GiB,1.89%,851MB / 17.8MB,439MB / 1.29GB,53
2026-06-21T16:51:43+08:00,rmqnamesrv,0.12%,129.6MiB / 15.4GiB,0.82%,3.42MB / 2.59MB,244MB / 481MB,81
2026-06-21T16:51:43+08:00,RPA-cadvisor,2.46%,279.4MiB / 15.4GiB,1.77%,5.09MB / 364MB,211MB / 20.7MB,28
2026-06-21T16:51:46+08:00,script-k6-run-edf6a227ac0d,3.93%,34.17MiB / 15.4GiB,0.22%,1.68MB / 544kB,279kB / 0B,26
2026-06-21T16:51:46+08:00,RPA-app,197.56%,1.264GiB / 2GiB,63.18%,9.52MB / 17.1MB,347MB / 535MB,8
2026-06-21T16:51:46+08:00,RPA-pgdb,13.26%,160.2MiB / 15.4GiB,1.02%,1.23GB / 9.16GB,57.3MB / 1.08GB,33
