timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:01:57+08:00,RPA-app,42.75%,49.2MiB / 2GiB,2.40%,4.6GB / 2.8GB,349MB / 536MB,26
2026-06-21T17:01:57+08:00,RPA-pgdb,2.10%,156.2MiB / 15.4GiB,0.99%,1.74GB / 9.74GB,58.8MB / 2.17GB,19
2026-06-21T17:01:57+08:00,RPA-redis,4.99%,10.61MiB / 15.4GiB,0.07%,1.06GB / 980MB,32.4MB / 13.6MB,7
2026-06-21T17:01:57+08:00,RPA-grafana,0.10%,81.7MiB / 15.4GiB,0.52%,23.6MB / 292kB,726MB / 143MB,25
2026-06-21T17:01:57+08:00,RPA-alloy,1.81%,198.7MiB / 15.4GiB,1.26%,6.01MB / 2.31GB,913MB / 75.3MB,27
2026-06-21T17:01:57+08:00,RPA-loki,15.14%,527.4MiB / 15.4GiB,3.35%,2.31GB / 969MB,753MB / 15GB,26
2026-06-21T17:01:57+08:00,rmqbroker,3.92%,1.15GiB / 15.4GiB,7.47%,2.65MB / 4.12MB,809MB / 1.04GB,324
2026-06-21T17:01:57+08:00,rmqdashboard,0.06%,413.9MiB / 15.4GiB,2.63%,2.35MB / 1.27MB,357MB / 486MB,66
2026-06-21T17:01:57+08:00,RPA-prometheus,0.03%,413.9MiB / 15.4GiB,2.63%,381MB / 5.38MB,417MB / 161MB,26
2026-06-21T17:01:57+08:00,RPA-minio,0.18%,159MiB / 15.4GiB,1.01%,1.02GB / 36.1MB,448MB / 1.54GB,53
2026-06-21T17:01:57+08:00,rmqnamesrv,0.12%,124MiB / 15.4GiB,0.79%,3.56MB / 2.71MB,248MB / 498MB,81
2026-06-21T17:01:57+08:00,RPA-cadvisor,6.87%,226.7MiB / 15.4GiB,1.44%,5.31MB / 378MB,215MB / 20.8MB,28
2026-06-21T17:01:57+08:00,script-k6-run-594709aae836,295.56%,84.99MiB / 15.4GiB,0.54%,9.42MB / 19.3MB,250kB / 0B,25
2026-06-21T17:02:00+08:00,script-k6-run-594709aae836,332.93%,195.4MiB / 15.4GiB,1.24%,30MB / 61.2MB,250kB / 0B,25
2026-06-21T17:02:00+08:00,RPA-app,184.09%,48.59MiB / 2GiB,2.37%,4.66GB / 2.83GB,349MB / 536MB,26
2026-06-21T17:02:00+08:00,RPA-pgdb,0.03%,156.1MiB / 15.4GiB,0.99%,1.74GB / 9.74GB,58.8MB / 2.17GB,19
2026-06-21T17:02:00+08:00,RPA-redis,27.79%,10.98MiB / 15.4GiB,0.07%,1.07GB / 987MB,32.4MB / 13.6MB,7
