timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:54:39+08:00,RPA-app,22.60%,86.11MiB / 2GiB,4.20%,650MB / 389MB,349MB / 535MB,26
2026-06-21T16:54:39+08:00,RPA-pgdb,50.84%,227.4MiB / 15.4GiB,1.44%,1.38GB / 9.43GB,57.5MB / 1.32GB,58
2026-06-21T16:54:39+08:00,RPA-redis,0.66%,8.852MiB / 15.4GiB,0.06%,552MB / 570MB,32.4MB / 13.5MB,7
2026-06-21T16:54:39+08:00,RPA-grafana,0.24%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:54:39+08:00,RPA-alloy,3.14%,150.8MiB / 15.4GiB,0.96%,5.48MB / 2.03GB,901MB / 73.5MB,27
2026-06-21T16:54:39+08:00,RPA-loki,0.37%,532.9MiB / 15.4GiB,3.38%,2.03GB / 844MB,678MB / 13.3GB,26
2026-06-21T16:54:39+08:00,rmqbroker,4.13%,1.167GiB / 15.4GiB,7.58%,2.51MB / 3.96MB,730MB / 1GB,324
2026-06-21T16:54:39+08:00,rmqdashboard,0.07%,417.8MiB / 15.4GiB,2.65%,2.28MB / 1.23MB,354MB / 477MB,66
2026-06-21T16:54:39+08:00,RPA-prometheus,0.00%,339.7MiB / 15.4GiB,2.15%,370MB / 5.21MB,353MB / 135MB,26
2026-06-21T16:54:39+08:00,RPA-minio,21.45%,194.2MiB / 15.4GiB,1.23%,865MB / 18MB,443MB / 1.31GB,53
2026-06-21T16:54:39+08:00,rmqnamesrv,0.16%,134.7MiB / 15.4GiB,0.85%,3.46MB / 2.63MB,246MB / 482MB,81
2026-06-21T16:54:39+08:00,RPA-cadvisor,6.41%,235.8MiB / 15.4GiB,1.50%,5.15MB / 368MB,211MB / 20.7MB,28
2026-06-21T16:54:39+08:00,script-k6-run-84004e85c24f,10.48%,31.02MiB / 15.4GiB,0.20%,299kB / 548kB,4.1kB / 0B,25
2026-06-21T16:54:43+08:00,script-k6-run-84004e85c24f,11.01%,34.09MiB / 15.4GiB,0.22%,972kB / 1.64MB,4.1kB / 0B,25
2026-06-21T16:54:43+08:00,RPA-app,29.13%,48.13MiB / 2GiB,2.35%,654MB / 393MB,349MB / 535MB,26
2026-06-21T16:54:43+08:00,RPA-pgdb,47.14%,230.9MiB / 15.4GiB,1.46%,1.38GB / 9.43GB,57.5MB / 1.33GB,58
