timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:52:34+08:00,RPA-app,106.06%,511.6MiB / 2GiB,24.98%,23.4MB / 29.8MB,347MB / 535MB,8
2026-06-21T16:52:34+08:00,RPA-pgdb,334.71%,148.3MiB / 15.4GiB,0.94%,1.24GB / 9.17GB,57.3MB / 1.08GB,32
2026-06-21T16:52:34+08:00,RPA-redis,9.48%,10.32MiB / 15.4GiB,0.07%,498MB / 527MB,32.4MB / 13.5MB,7
2026-06-21T16:52:34+08:00,RPA-grafana,0.15%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:52:34+08:00,RPA-alloy,31.89%,183MiB / 15.4GiB,1.16%,5.42MB / 2GB,901MB / 73.1MB,27
2026-06-21T16:52:34+08:00,RPA-loki,3.39%,533MiB / 15.4GiB,3.38%,2.01GB / 832MB,678MB / 13.1GB,26
2026-06-21T16:52:34+08:00,rmqbroker,4.51%,1.152GiB / 15.4GiB,7.48%,2.47MB / 3.91MB,715MB / 998MB,324
2026-06-21T16:52:34+08:00,rmqdashboard,0.14%,417.5MiB / 15.4GiB,2.65%,2.26MB / 1.22MB,354MB / 477MB,66
2026-06-21T16:52:34+08:00,RPA-prometheus,0.00%,354.1MiB / 15.4GiB,2.25%,367MB / 5.17MB,353MB / 135MB,26
2026-06-21T16:52:34+08:00,RPA-minio,0.03%,215.9MiB / 15.4GiB,1.37%,853MB / 17.8MB,439MB / 1.3GB,53
2026-06-21T16:52:34+08:00,rmqnamesrv,0.12%,130.2MiB / 15.4GiB,0.83%,3.43MB / 2.6MB,244MB / 481MB,81
2026-06-21T16:52:34+08:00,RPA-cadvisor,3.13%,267.9MiB / 15.4GiB,1.70%,5.11MB / 365MB,211MB / 20.7MB,28
2026-06-21T16:52:34+08:00,script-k6-run-e6fa89dfd2f7,189.91%,65.17MiB / 15.4GiB,0.41%,5.92MB / 11.6MB,0B / 0B,26
2026-06-21T16:52:37+08:00,script-k6-run-e6fa89dfd2f7,191.37%,121.4MiB / 15.4GiB,0.77%,17.3MB / 33.8MB,0B / 0B,26
2026-06-21T16:52:37+08:00,RPA-app,178.24%,42.01MiB / 2GiB,2.05%,65MB / 53.1MB,347MB / 535MB,8
2026-06-21T16:52:37+08:00,RPA-pgdb,546.25%,155MiB / 15.4GiB,0.98%,1.25GB / 9.19GB,57.3MB / 1.08GB,31
2026-06-21T16:52:37+08:00,RPA-redis,15.74%,9.371MiB / 15.4GiB,0.06%,503MB / 531MB,32.4MB / 13.5MB,7
2026-06-21T16:52:37+08:00,RPA-grafana,0.13%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:52:37+08:00,RPA-alloy,52.65%,149.1MiB / 15.4GiB,0.95%,5.42MB / 2.01GB,901MB / 73.1MB,27
2026-06-21T16:52:37+08:00,RPA-loki,7.29%,522.9MiB / 15.4GiB,3.32%,2.01GB / 832MB,678MB / 13.1GB,26
2026-06-21T16:52:37+08:00,rmqbroker,5.53%,1.153GiB / 15.4GiB,7.49%,2.47MB / 3.91MB,716MB / 998MB,324
2026-06-21T16:52:37+08:00,rmqdashboard,0.07%,417.5MiB / 15.4GiB,2.65%,2.26MB / 1.22MB,354MB / 477MB,66
2026-06-21T16:52:37+08:00,RPA-prometheus,0.00%,341.9MiB / 15.4GiB,2.17%,367MB / 5.17MB,353MB / 135MB,26
2026-06-21T16:52:37+08:00,RPA-minio,0.03%,215.9MiB / 15.4GiB,1.37%,853MB / 17.8MB,439MB / 1.3GB,53
2026-06-21T16:52:37+08:00,rmqnamesrv,0.12%,130.4MiB / 15.4GiB,0.83%,3.43MB / 2.6MB,244MB / 481MB,81
2026-06-21T16:52:37+08:00,RPA-cadvisor,3.50%,273.6MiB / 15.4GiB,1.74%,5.11MB / 365MB,211MB / 20.7MB,28
2026-06-21T16:52:40+08:00,script-k6-run-e6fa89dfd2f7,172.94%,95.73MiB / 15.4GiB,0.61%,24.7MB / 48.1MB,0B / 0B,26
2026-06-21T16:52:40+08:00,RPA-app,176.71%,42.88MiB / 2GiB,2.09%,121MB / 84.6MB,347MB / 535MB,8
2026-06-21T16:52:40+08:00,RPA-pgdb,619.53%,175.5MiB / 15.4GiB,1.11%,1.26GB / 9.21GB,57.3MB / 1.08GB,42
2026-06-21T16:52:40+08:00,RPA-redis,14.81%,9.91MiB / 15.4GiB,0.06%,507MB / 534MB,32.4MB / 13.5MB,7
2026-06-21T16:52:40+08:00,RPA-grafana,0.18%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:52:40+08:00,RPA-alloy,49.74%,149.1MiB / 15.4GiB,0.95%,5.42MB / 2.01GB,901MB / 73.1MB,27
2026-06-21T16:52:40+08:00,RPA-loki,8.27%,505.7MiB / 15.4GiB,3.21%,2.01GB / 832MB,678MB / 13.1GB,26
2026-06-21T16:52:40+08:00,rmqbroker,5.31%,1.154GiB / 15.4GiB,7.49%,2.47MB / 3.91MB,716MB / 998MB,324
2026-06-21T16:52:40+08:00,rmqdashboard,0.08%,417.6MiB / 15.4GiB,2.65%,2.26MB / 1.22MB,354MB / 477MB,66
2026-06-21T16:52:40+08:00,RPA-prometheus,0.03%,341.9MiB / 15.4GiB,2.17%,367MB / 5.17MB,353MB / 135MB,26
2026-06-21T16:52:40+08:00,RPA-minio,0.01%,215.9MiB / 15.4GiB,1.37%,853MB / 17.8MB,439MB / 1.3GB,53
2026-06-21T16:52:40+08:00,rmqnamesrv,0.14%,130.4MiB / 15.4GiB,0.83%,3.43MB / 2.61MB,244MB / 481MB,81
2026-06-21T16:52:40+08:00,RPA-cadvisor,3.87%,284.2MiB / 15.4GiB,1.80%,5.11MB / 365MB,211MB / 20.7MB,28
2026-06-21T16:52:43+08:00,script-k6-run-e6fa89dfd2f7,192.37%,98.98MiB / 15.4GiB,0.63%,39.6MB / 77.1MB,0B / 0B,26
2026-06-21T16:52:43+08:00,RPA-app,175.63%,43.39MiB / 2GiB,2.12%,163MB / 108MB,347MB / 535MB,8
2026-06-21T16:52:43+08:00,RPA-pgdb,549.96%,173.7MiB / 15.4GiB,1.10%,1.27GB / 9.23GB,57.3MB / 1.08GB,46
2026-06-21T16:52:43+08:00,RPA-redis,15.29%,9.926MiB / 15.4GiB,0.06%,510MB / 537MB,32.4MB / 13.5MB,7
2026-06-21T16:52:43+08:00,RPA-grafana,0.16%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:52:43+08:00,RPA-alloy,50.55%,149.1MiB / 15.4GiB,0.95%,5.42MB / 2.01GB,901MB / 73.1MB,27
2026-06-21T16:52:43+08:00,RPA-loki,10.94%,498.2MiB / 15.4GiB,3.16%,2.01GB / 832MB,678MB / 13.1GB,26
2026-06-21T16:52:43+08:00,rmqbroker,5.46%,1.154GiB / 15.4GiB,7.49%,2.47MB / 3.91MB,717MB / 998MB,324
2026-06-21T16:52:43+08:00,rmqdashboard,0.15%,417.6MiB / 15.4GiB,2.65%,2.26MB / 1.22MB,354MB / 477MB,66
2026-06-21T16:52:43+08:00,RPA-prometheus,0.07%,341.9MiB / 15.4GiB,2.17%,367MB / 5.17MB,353MB / 135MB,26
2026-06-21T16:52:43+08:00,RPA-minio,0.03%,215.9MiB / 15.4GiB,1.37%,853MB / 17.8MB,439MB / 1.3GB,53
2026-06-21T16:52:43+08:00,rmqnamesrv,0.18%,130.7MiB / 15.4GiB,0.83%,3.43MB / 2.61MB,244MB / 481MB,81
2026-06-21T16:52:43+08:00,RPA-cadvisor,8.08%,290MiB / 15.4GiB,1.84%,5.11MB / 365MB,211MB / 20.7MB,28
2026-06-21T16:52:46+08:00,script-k6-run-e6fa89dfd2f7,194.67%,145.7MiB / 15.4GiB,0.92%,50.5MB / 98.3MB,0B / 0B,26
2026-06-21T16:52:46+08:00,RPA-app,177.46%,43.19MiB / 2GiB,2.11%,204MB / 131MB,347MB / 535MB,8
2026-06-21T16:52:46+08:00,RPA-pgdb,541.43%,164.7MiB / 15.4GiB,1.04%,1.27GB / 9.24GB,57.3MB / 1.08GB,35
2026-06-21T16:52:46+08:00,RPA-redis,16.40%,10.18MiB / 15.4GiB,0.06%,514MB / 540MB,32.4MB / 13.5MB,7
2026-06-21T16:52:46+08:00,RPA-grafana,0.17%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:52:46+08:00,RPA-alloy,53.90%,149.1MiB / 15.4GiB,0.95%,5.43MB / 2.01GB,901MB / 73.1MB,27
2026-06-21T16:52:46+08:00,RPA-loki,8.40%,498.6MiB / 15.4GiB,3.16%,2.01GB / 832MB,678MB / 13.1GB,26
2026-06-21T16:52:46+08:00,rmqbroker,5.72%,1.154GiB / 15.4GiB,7.50%,2.47MB / 3.91MB,717MB / 998MB,324
2026-06-21T16:52:46+08:00,rmqdashboard,0.07%,417.6MiB / 15.4GiB,2.65%,2.26MB / 1.22MB,354MB / 477MB,66
2026-06-21T16:52:46+08:00,RPA-prometheus,0.00%,341.9MiB / 15.4GiB,2.17%,368MB / 5.17MB,353MB / 135MB,26
2026-06-21T16:52:46+08:00,RPA-minio,0.02%,215.9MiB / 15.4GiB,1.37%,853MB / 17.8MB,439MB / 1.3GB,53
2026-06-21T16:52:46+08:00,rmqnamesrv,0.15%,130.7MiB / 15.4GiB,0.83%,3.43MB / 2.61MB,244MB / 481MB,81
2026-06-21T16:52:46+08:00,RPA-cadvisor,3.58%,269.1MiB / 15.4GiB,1.71%,5.12MB / 366MB,211MB / 20.7MB,28
2026-06-21T16:52:49+08:00,script-k6-run-e6fa89dfd2f7,177.57%,133MiB / 15.4GiB,0.84%,61.5MB / 120MB,0B / 0B,26
2026-06-21T16:52:49+08:00,RPA-app,174.21%,45.15MiB / 2GiB,2.20%,246MB / 154MB,349MB / 535MB,8
2026-06-21T16:52:49+08:00,RPA-pgdb,580.82%,172.4MiB / 15.4GiB,1.09%,1.28GB / 9.26GB,57.3MB / 1.08GB,39
2026-06-21T16:52:49+08:00,RPA-redis,14.58%,9.945MiB / 15.4GiB,0.06%,518MB / 543MB,32.4MB / 13.5MB,7
2026-06-21T16:52:49+08:00,RPA-grafana,0.16%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:52:49+08:00,RPA-alloy,49.38%,149.4MiB / 15.4GiB,0.95%,5.43MB / 2.01GB,901MB / 73.2MB,27
2026-06-21T16:52:49+08:00,RPA-loki,12.69%,477.7MiB / 15.4GiB,3.03%,2.01GB / 832MB,678MB / 13.1GB,26
