timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:53:36+08:00,RPA-app,20.27%,89.22MiB / 2GiB,4.36%,599MB / 353MB,349MB / 535MB,26
2026-06-21T16:53:36+08:00,RPA-pgdb,92.34%,230.4MiB / 15.4GiB,1.46%,1.36GB / 9.4GB,57.5MB / 1.09GB,59
2026-06-21T16:53:36+08:00,RPA-redis,1.36%,9.102MiB / 15.4GiB,0.06%,548MB / 568MB,32.4MB / 13.5MB,7
2026-06-21T16:53:36+08:00,RPA-grafana,0.13%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:53:36+08:00,RPA-alloy,4.78%,149.2MiB / 15.4GiB,0.95%,5.46MB / 2.02GB,901MB / 73.3MB,27
2026-06-21T16:53:36+08:00,RPA-loki,0.31%,526.7MiB / 15.4GiB,3.34%,2.03GB / 840MB,678MB / 13.3GB,26
2026-06-21T16:53:36+08:00,rmqbroker,3.93%,1.16GiB / 15.4GiB,7.54%,2.49MB / 3.93MB,724MB / 999MB,324
2026-06-21T16:53:36+08:00,rmqdashboard,0.07%,417.6MiB / 15.4GiB,2.65%,2.27MB / 1.23MB,354MB / 477MB,66
2026-06-21T16:53:36+08:00,RPA-prometheus,0.02%,341.9MiB / 15.4GiB,2.17%,369MB / 5.19MB,353MB / 135MB,26
2026-06-21T16:53:36+08:00,RPA-minio,0.02%,219.7MiB / 15.4GiB,1.39%,861MB / 17.8MB,443MB / 1.31GB,53
2026-06-21T16:53:36+08:00,rmqnamesrv,0.10%,131.3MiB / 15.4GiB,0.83%,3.44MB / 2.62MB,244MB / 482MB,81
2026-06-21T16:53:36+08:00,RPA-cadvisor,2.06%,277.4MiB / 15.4GiB,1.76%,5.13MB / 367MB,211MB / 20.7MB,28
2026-06-21T16:53:36+08:00,script-k6-run-3dc8f867e3a7,16.07%,31.26MiB / 15.4GiB,0.20%,205kB / 467kB,0B / 0B,26
2026-06-21T16:53:39+08:00,script-k6-run-3dc8f867e3a7,12.95%,36.71MiB / 15.4GiB,0.23%,801kB / 1.7MB,0B / 0B,26
2026-06-21T16:53:39+08:00,RPA-app,17.91%,49.96MiB / 2GiB,2.44%,601MB / 355MB,349MB / 535MB,26
2026-06-21T16:53:39+08:00,RPA-pgdb,74.21%,231.4MiB / 15.4GiB,1.47%,1.36GB / 9.41GB,57.5MB / 1.1GB,59
2026-06-21T16:53:39+08:00,RPA-redis,1.31%,9.094MiB / 15.4GiB,0.06%,549MB / 568MB,32.4MB / 13.5MB,7
2026-06-21T16:53:39+08:00,RPA-grafana,0.26%,158.4MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:53:39+08:00,RPA-alloy,5.31%,149.6MiB / 15.4GiB,0.95%,5.46MB / 2.02GB,901MB / 73.3MB,27
