timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:50:28+08:00,RPA-app,133.84%,1.332GiB / 2GiB,66.60%,57.6kB / 44.9kB,73.7kB / 0B,7
2026-06-21T16:50:28+08:00,RPA-pgdb,3.16%,136.5MiB / 15.4GiB,0.87%,1.22GB / 9.15GB,57.3MB / 1.05GB,31
2026-06-21T16:50:28+08:00,RPA-redis,0.12%,8.848MiB / 15.4GiB,0.06%,496MB / 526MB,32.1MB / 12.4MB,7
2026-06-21T16:50:28+08:00,RPA-grafana,0.22%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:50:28+08:00,RPA-alloy,0.21%,183.4MiB / 15.4GiB,1.16%,5.39MB / 2GB,900MB / 72.7MB,27
2026-06-21T16:50:28+08:00,RPA-loki,0.26%,544.7MiB / 15.4GiB,3.45%,2GB / 830MB,674MB / 13.1GB,26
2026-06-21T16:50:28+08:00,rmqbroker,3.91%,1.137GiB / 15.4GiB,7.38%,2.43MB / 3.86MB,697MB / 996MB,324
2026-06-21T16:50:28+08:00,rmqdashboard,0.62%,418.4MiB / 15.4GiB,2.65%,2.24MB / 1.21MB,353MB / 476MB,66
2026-06-21T16:50:28+08:00,RPA-prometheus,0.00%,334.5MiB / 15.4GiB,2.12%,364MB / 5.11MB,353MB / 134MB,26
2026-06-21T16:50:28+08:00,RPA-minio,0.04%,298.6MiB / 15.4GiB,1.89%,851MB / 17.8MB,439MB / 1.29GB,53
2026-06-21T16:50:28+08:00,rmqnamesrv,0.24%,130.7MiB / 15.4GiB,0.83%,3.4MB / 2.58MB,243MB / 481MB,81
2026-06-21T16:50:28+08:00,RPA-cadvisor,3.05%,287.4MiB / 15.4GiB,1.82%,5.07MB / 362MB,211MB / 20.7MB,28
2026-06-21T16:50:28+08:00,script-k6-run-9f4f1b228e24,4.84%,28.3MiB / 15.4GiB,0.18%,40.8kB / 59.7kB,0B / 0B,25
2026-06-21T16:50:32+08:00,script-k6-run-9f4f1b228e24,5.54%,29.65MiB / 15.4GiB,0.19%,166kB / 172kB,0B / 0B,25
2026-06-21T16:50:32+08:00,RPA-app,197.43%,810.9MiB / 2GiB,39.60%,582kB / 1.03MB,73.7kB / 0B,7
