timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:00:53+08:00,RPA-app,124.65%,49.44MiB / 2GiB,2.41%,3.85GB / 2.37GB,349MB / 536MB,26
2026-06-21T17:00:53+08:00,RPA-pgdb,0.10%,156.2MiB / 15.4GiB,0.99%,1.74GB / 9.74GB,58.8MB / 2.16GB,19
2026-06-21T17:00:53+08:00,RPA-redis,15.05%,10.89MiB / 15.4GiB,0.07%,952MB / 891MB,32.4MB / 13.6MB,7
2026-06-21T17:00:53+08:00,RPA-grafana,0.11%,77.82MiB / 15.4GiB,0.49%,23.6MB / 292kB,722MB / 142MB,25
2026-06-21T17:00:53+08:00,RPA-alloy,95.27%,204.6MiB / 15.4GiB,1.30%,5.9MB / 2.24GB,909MB / 75.1MB,27
2026-06-21T17:00:53+08:00,RPA-loki,15.95%,531.7MiB / 15.4GiB,3.37%,2.25GB / 941MB,751MB / 14.6GB,26
2026-06-21T17:00:53+08:00,rmqbroker,4.05%,1.141GiB / 15.4GiB,7.41%,2.63MB / 4.1MB,799MB / 1.04GB,324
2026-06-21T17:00:53+08:00,rmqdashboard,0.15%,413.7MiB / 15.4GiB,2.62%,2.34MB / 1.27MB,357MB / 485MB,66
2026-06-21T17:00:53+08:00,RPA-prometheus,0.00%,415MiB / 15.4GiB,2.63%,379MB / 5.36MB,416MB / 157MB,26
2026-06-21T17:00:53+08:00,RPA-minio,0.03%,172.5MiB / 15.4GiB,1.09%,989MB / 36.1MB,447MB / 1.51GB,53
2026-06-21T17:00:53+08:00,rmqnamesrv,0.09%,123.3MiB / 15.4GiB,0.78%,3.55MB / 2.69MB,248MB / 497MB,81
2026-06-21T17:00:53+08:00,RPA-cadvisor,6.40%,269.9MiB / 15.4GiB,1.71%,5.29MB / 377MB,211MB / 20.8MB,28
2026-06-21T17:00:53+08:00,script-k6-run-e4c28480604e,298.89%,104.4MiB / 15.4GiB,0.66%,12.4MB / 26.1MB,958kB / 0B,26
2026-06-21T17:00:57+08:00,script-k6-run-e4c28480604e,326.20%,202.4MiB / 15.4GiB,1.28%,29.1MB / 60.9MB,958kB / 0B,26
2026-06-21T17:00:57+08:00,RPA-app,181.08%,48.81MiB / 2GiB,2.38%,3.91GB / 2.41GB,349MB / 536MB,26
2026-06-21T17:00:57+08:00,RPA-pgdb,0.09%,156MiB / 15.4GiB,0.99%,1.74GB / 9.74GB,58.8MB / 2.16GB,19
2026-06-21T17:00:57+08:00,RPA-redis,25.79%,10.27MiB / 15.4GiB,0.07%,961MB / 898MB,32.4MB / 13.6MB,7
2026-06-21T17:00:57+08:00,RPA-grafana,0.15%,77.82MiB / 15.4GiB,0.49%,23.6MB / 292kB,722MB / 142MB,25
2026-06-21T17:00:57+08:00,RPA-alloy,88.62%,203.8MiB / 15.4GiB,1.29%,5.91MB / 2.25GB,909MB / 75.1MB,27
2026-06-21T17:00:57+08:00,RPA-loki,21.93%,555MiB / 15.4GiB,3.52%,2.25GB / 941MB,751MB / 14.6GB,26
2026-06-21T17:00:57+08:00,rmqbroker,6.33%,1.143GiB / 15.4GiB,7.42%,2.63MB / 4.1MB,800MB / 1.04GB,324
2026-06-21T17:00:57+08:00,rmqdashboard,0.07%,413.7MiB / 15.4GiB,2.62%,2.34MB / 1.27MB,357MB / 485MB,66
2026-06-21T17:00:57+08:00,RPA-prometheus,0.00%,415MiB / 15.4GiB,2.63%,379MB / 5.36MB,416MB / 157MB,26
2026-06-21T17:00:57+08:00,RPA-minio,0.04%,172.5MiB / 15.4GiB,1.09%,989MB / 36.1MB,447MB / 1.51GB,53
2026-06-21T17:00:57+08:00,rmqnamesrv,0.16%,123.4MiB / 15.4GiB,0.78%,3.55MB / 2.7MB,248MB / 497MB,81
2026-06-21T17:00:57+08:00,RPA-cadvisor,5.34%,273.8MiB / 15.4GiB,1.74%,5.29MB / 377MB,215MB / 20.8MB,28
2026-06-21T17:01:00+08:00,script-k6-run-e4c28480604e,317.31%,130MiB / 15.4GiB,0.82%,39.4MB / 82.3MB,958kB / 0B,26
2026-06-21T17:01:00+08:00,RPA-app,178.38%,47.86MiB / 2GiB,2.34%,3.95GB / 2.43GB,349MB / 536MB,26
2026-06-21T17:01:00+08:00,RPA-pgdb,2.79%,155.9MiB / 15.4GiB,0.99%,1.74GB / 9.74GB,58.8MB / 2.16GB,19
2026-06-21T17:01:00+08:00,RPA-redis,24.79%,10.66MiB / 15.4GiB,0.07%,966MB / 902MB,32.4MB / 13.6MB,7
2026-06-21T17:01:00+08:00,RPA-grafana,0.16%,77.82MiB / 15.4GiB,0.49%,23.6MB / 292kB,722MB / 142MB,25
2026-06-21T17:01:00+08:00,RPA-alloy,63.28%,197.8MiB / 15.4GiB,1.25%,5.91MB / 2.25GB,913MB / 75.1MB,27
2026-06-21T17:01:00+08:00,RPA-loki,19.56%,554.1MiB / 15.4GiB,3.51%,2.25GB / 941MB,751MB / 14.6GB,26
2026-06-21T17:01:00+08:00,rmqbroker,5.62%,1.143GiB / 15.4GiB,7.42%,2.63MB / 4.1MB,801MB / 1.04GB,324
2026-06-21T17:01:00+08:00,rmqdashboard,0.07%,413.7MiB / 15.4GiB,2.62%,2.34MB / 1.27MB,357MB / 485MB,66
2026-06-21T17:01:00+08:00,RPA-prometheus,0.02%,413.8MiB / 15.4GiB,2.62%,379MB / 5.36MB,417MB / 161MB,26
2026-06-21T17:01:00+08:00,RPA-minio,0.00%,172.5MiB / 15.4GiB,1.09%,989MB / 36.1MB,447MB / 1.51GB,53
2026-06-21T17:01:00+08:00,rmqnamesrv,0.17%,123.7MiB / 15.4GiB,0.78%,3.55MB / 2.7MB,248MB / 497MB,81
2026-06-21T17:01:00+08:00,RPA-cadvisor,8.84%,266MiB / 15.4GiB,1.69%,5.29MB / 377MB,215MB / 20.8MB,28
2026-06-21T17:01:03+08:00,script-k6-run-e4c28480604e,330.20%,137.9MiB / 15.4GiB,0.87%,61.6MB / 129MB,958kB / 0B,26
2026-06-21T17:01:03+08:00,RPA-app,181.46%,49.34MiB / 2GiB,2.41%,3.99GB / 2.45GB,349MB / 536MB,26
2026-06-21T17:01:03+08:00,RPA-pgdb,0.60%,156.2MiB / 15.4GiB,0.99%,1.74GB / 9.74GB,58.8MB / 2.16GB,19
2026-06-21T17:01:03+08:00,RPA-redis,26.08%,9.516MiB / 15.4GiB,0.06%,972MB / 907MB,32.4MB / 13.6MB,7
2026-06-21T17:01:03+08:00,RPA-grafana,0.16%,77.82MiB / 15.4GiB,0.49%,23.6MB / 292kB,722MB / 142MB,25
2026-06-21T17:01:03+08:00,RPA-alloy,115.78%,215.2MiB / 15.4GiB,1.37%,5.92MB / 2.26GB,913MB / 75.1MB,27
2026-06-21T17:01:03+08:00,RPA-loki,33.54%,547.9MiB / 15.4GiB,3.48%,2.26GB / 941MB,751MB / 14.7GB,26
2026-06-21T17:01:03+08:00,rmqbroker,5.61%,1.143GiB / 15.4GiB,7.42%,2.63MB / 4.11MB,801MB / 1.04GB,324
2026-06-21T17:01:03+08:00,rmqdashboard,0.14%,413.7MiB / 15.4GiB,2.62%,2.34MB / 1.27MB,357MB / 486MB,66
2026-06-21T17:01:03+08:00,RPA-prometheus,0.10%,413.8MiB / 15.4GiB,2.62%,379MB / 5.36MB,417MB / 161MB,26
2026-06-21T17:01:03+08:00,RPA-minio,0.04%,172.5MiB / 15.4GiB,1.09%,989MB / 36.1MB,447MB / 1.51GB,53
2026-06-21T17:01:03+08:00,rmqnamesrv,0.20%,124MiB / 15.4GiB,0.79%,3.55MB / 2.7MB,248MB / 497MB,81
2026-06-21T17:01:03+08:00,RPA-cadvisor,8.67%,266.6MiB / 15.4GiB,1.69%,5.29MB / 377MB,215MB / 20.8MB,28
2026-06-21T17:01:06+08:00,script-k6-run-e4c28480604e,326.21%,209.4MiB / 15.4GiB,1.33%,78.1MB / 163MB,958kB / 0B,26
