timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:59:51+08:00,RPA-app,50.65%,47.71MiB / 2GiB,2.33%,3.08GB / 1.92GB,349MB / 536MB,26
2026-06-21T16:59:51+08:00,RPA-pgdb,0.10%,155.9MiB / 15.4GiB,0.99%,1.74GB / 9.74GB,58.8MB / 2.15GB,19
2026-06-21T16:59:51+08:00,RPA-redis,6.23%,10.47MiB / 15.4GiB,0.07%,837MB / 799MB,32.4MB / 13.5MB,7
2026-06-21T16:59:51+08:00,RPA-grafana,0.10%,74.12MiB / 15.4GiB,0.47%,23.6MB / 292kB,718MB / 142MB,25
2026-06-21T16:59:51+08:00,RPA-alloy,2.59%,201.3MiB / 15.4GiB,1.28%,5.78MB / 2.18GB,906MB / 74.9MB,27
2026-06-21T16:59:51+08:00,RPA-loki,30.22%,529.7MiB / 15.4GiB,3.36%,2.18GB / 913MB,724MB / 14.3GB,26
2026-06-21T16:59:51+08:00,rmqbroker,3.84%,1.132GiB / 15.4GiB,7.35%,2.61MB / 4.08MB,789MB / 1.04GB,324
2026-06-21T16:59:51+08:00,rmqdashboard,0.07%,413.2MiB / 15.4GiB,2.62%,2.33MB / 1.26MB,356MB / 485MB,66
2026-06-21T16:59:51+08:00,RPA-prometheus,0.62%,342.6MiB / 15.4GiB,2.17%,378MB / 5.33MB,367MB / 146MB,26
2026-06-21T16:59:51+08:00,RPA-minio,0.00%,171.8MiB / 15.4GiB,1.09%,960MB / 36.1MB,447MB / 1.48GB,53
2026-06-21T16:59:51+08:00,rmqnamesrv,0.10%,122.5MiB / 15.4GiB,0.78%,3.53MB / 2.68MB,247MB / 497MB,81
2026-06-21T16:59:51+08:00,RPA-cadvisor,2.47%,259.9MiB / 15.4GiB,1.65%,5.26MB / 376MB,211MB / 20.8MB,28
2026-06-21T16:59:51+08:00,script-k6-run-10e8bdd2d1f8,290.93%,89.75MiB / 15.4GiB,0.57%,9.84MB / 20.4MB,250kB / 0B,25
2026-06-21T16:59:54+08:00,script-k6-run-10e8bdd2d1f8,339.03%,187.9MiB / 15.4GiB,1.19%,26.8MB / 55.4MB,250kB / 0B,25
2026-06-21T16:59:54+08:00,RPA-app,176.21%,49.96MiB / 2GiB,2.44%,3.12GB / 1.95GB,349MB / 536MB,26
2026-06-21T16:59:54+08:00,RPA-pgdb,3.99%,155.8MiB / 15.4GiB,0.99%,1.74GB / 9.74GB,58.8MB / 2.15GB,19
2026-06-21T16:59:54+08:00,RPA-redis,27.89%,9.492MiB / 15.4GiB,0.06%,846MB / 806MB,32.4MB / 13.5MB,7
2026-06-21T16:59:54+08:00,RPA-grafana,0.18%,74.12MiB / 15.4GiB,0.47%,23.6MB / 292kB,718MB / 142MB,25
2026-06-21T16:59:54+08:00,RPA-alloy,142.37%,191.4MiB / 15.4GiB,1.21%,5.79MB / 2.18GB,906MB / 74.9MB,27
2026-06-21T16:59:54+08:00,RPA-loki,28.23%,519.4MiB / 15.4GiB,3.29%,2.19GB / 913MB,724MB / 14.3GB,26
2026-06-21T16:59:54+08:00,rmqbroker,6.13%,1.133GiB / 15.4GiB,7.36%,2.61MB / 4.08MB,790MB / 1.04GB,324
2026-06-21T16:59:54+08:00,rmqdashboard,0.10%,413.3MiB / 15.4GiB,2.62%,2.33MB / 1.26MB,356MB / 485MB,66
2026-06-21T16:59:54+08:00,RPA-prometheus,0.00%,342.6MiB / 15.4GiB,2.17%,378MB / 5.33MB,367MB / 146MB,26
2026-06-21T16:59:54+08:00,RPA-minio,0.00%,171.7MiB / 15.4GiB,1.09%,960MB / 36.1MB,447MB / 1.48GB,53
2026-06-21T16:59:54+08:00,rmqnamesrv,0.16%,122.3MiB / 15.4GiB,0.78%,3.53MB / 2.68MB,247MB / 497MB,81
2026-06-21T16:59:54+08:00,RPA-cadvisor,4.25%,268.7MiB / 15.4GiB,1.70%,5.26MB / 376MB,211MB / 20.8MB,28
2026-06-21T16:59:57+08:00,script-k6-run-10e8bdd2d1f8,304.80%,151.4MiB / 15.4GiB,0.96%,44.5MB / 92MB,250kB / 0B,25
2026-06-21T16:59:57+08:00,RPA-app,172.99%,47.13MiB / 2GiB,2.30%,3.17GB / 1.98GB,349MB / 536MB,26
2026-06-21T16:59:57+08:00,RPA-pgdb,0.09%,155.7MiB / 15.4GiB,0.99%,1.74GB / 9.74GB,58.8MB / 2.15GB,19
2026-06-21T16:59:57+08:00,RPA-redis,24.52%,10.04MiB / 15.4GiB,0.06%,852MB / 810MB,32.4MB / 13.5MB,7
2026-06-21T16:59:57+08:00,RPA-grafana,0.14%,74.12MiB / 15.4GiB,0.47%,23.6MB / 292kB,718MB / 142MB,25
2026-06-21T16:59:57+08:00,RPA-alloy,46.13%,185.6MiB / 15.4GiB,1.18%,5.8MB / 2.19GB,906MB / 74.9MB,27
2026-06-21T16:59:57+08:00,RPA-loki,26.60%,511.9MiB / 15.4GiB,3.25%,2.19GB / 913MB,724MB / 14.3GB,26
2026-06-21T16:59:57+08:00,rmqbroker,5.29%,1.133GiB / 15.4GiB,7.36%,2.61MB / 4.08MB,790MB / 1.04GB,324
