timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:09:15+08:00,RPA-app,68.21%,49.45MiB / 2GiB,2.41%,11.3GB / 8.75GB,351MB / 536MB,26
2026-06-21T17:09:15+08:00,RPA-pgdb,0.02%,154.4MiB / 15.4GiB,0.98%,2.16GB / 13.7GB,59MB / 2.17GB,19
2026-06-21T17:09:15+08:00,RPA-redis,0.17%,8.633MiB / 15.4GiB,0.05%,1.41GB / 1.34GB,32.4MB / 13.6MB,7
2026-06-21T17:09:15+08:00,RPA-grafana,0.09%,112.5MiB / 15.4GiB,0.71%,23.6MB / 294kB,759MB / 143MB,25
2026-06-21T17:09:15+08:00,RPA-alloy,2.75%,242.4MiB / 15.4GiB,1.54%,6.8MB / 2.75GB,937MB / 76.6MB,27
2026-06-21T17:09:15+08:00,RPA-loki,29.97%,585.4MiB / 15.4GiB,3.71%,2.75GB / 1.17GB,769MB / 17.5GB,26
2026-06-21T17:09:15+08:00,rmqbroker,3.99%,1.194GiB / 15.4GiB,7.75%,2.78MB / 4.29MB,856MB / 1.05GB,324
2026-06-21T17:09:15+08:00,rmqdashboard,0.07%,421.2MiB / 15.4GiB,2.67%,2.42MB / 1.31MB,365MB / 488MB,66
2026-06-21T17:09:15+08:00,RPA-prometheus,2.82%,353.8MiB / 15.4GiB,2.24%,391MB / 5.55MB,421MB / 163MB,26
2026-06-21T17:09:15+08:00,RPA-minio,0.00%,280.4MiB / 15.4GiB,1.78%,1.22GB / 36.3MB,516MB / 1.77GB,53
2026-06-21T17:09:15+08:00,rmqnamesrv,0.13%,129.3MiB / 15.4GiB,0.82%,3.67MB / 2.79MB,250MB / 499MB,81
2026-06-21T17:09:15+08:00,RPA-cadvisor,3.38%,263.9MiB / 15.4GiB,1.67%,5.46MB / 389MB,215MB / 20.8MB,28
2026-06-21T17:09:15+08:00,script-k6-run-8d7727a20188,705.70%,240MiB / 15.4GiB,1.52%,34.3MB / 19.3MB,254kB / 0B,26
2026-06-21T17:09:19+08:00,script-k6-run-8d7727a20188,688.22%,550.5MiB / 15.4GiB,3.49%,87.8MB / 49.4MB,254kB / 4.1kB,29
2026-06-21T17:09:19+08:00,RPA-app,174.33%,47.17MiB / 2GiB,2.30%,11.3GB / 8.81GB,351MB / 536MB,26
2026-06-21T17:09:19+08:00,RPA-pgdb,0.01%,154.4MiB / 15.4GiB,0.98%,2.16GB / 13.7GB,59MB / 2.17GB,19
2026-06-21T17:09:19+08:00,RPA-redis,1.02%,8.633MiB / 15.4GiB,0.05%,1.41GB / 1.34GB,32.4MB / 13.6MB,7
2026-06-21T17:09:19+08:00,RPA-grafana,0.24%,119.4MiB / 15.4GiB,0.76%,23.6MB / 294kB,759MB / 143MB,25
2026-06-21T17:09:19+08:00,RPA-alloy,60.86%,213.8MiB / 15.4GiB,1.36%,6.81MB / 2.75GB,937MB / 76.6MB,27
2026-06-21T17:09:19+08:00,RPA-loki,36.52%,598.1MiB / 15.4GiB,3.79%,2.75GB / 1.17GB,769MB / 17.5GB,26
2026-06-21T17:09:19+08:00,rmqbroker,7.90%,1.195GiB / 15.4GiB,7.76%,2.78MB / 4.29MB,856MB / 1.05GB,324
2026-06-21T17:09:19+08:00,rmqdashboard,0.12%,421.1MiB / 15.4GiB,2.67%,2.42MB / 1.31MB,365MB / 488MB,66
2026-06-21T17:09:19+08:00,RPA-prometheus,0.00%,353.4MiB / 15.4GiB,2.24%,391MB / 5.55MB,421MB / 164MB,26
2026-06-21T17:09:19+08:00,RPA-minio,0.00%,280.4MiB / 15.4GiB,1.78%,1.22GB / 36.3MB,516MB / 1.77GB,53
2026-06-21T17:09:19+08:00,rmqnamesrv,0.31%,129.8MiB / 15.4GiB,0.82%,3.67MB / 2.79MB,250MB / 499MB,81
2026-06-21T17:09:19+08:00,RPA-cadvisor,5.32%,267.3MiB / 15.4GiB,1.70%,5.46MB / 389MB,215MB / 20.8MB,28
