timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:10:19+08:00,RPA-app,29.76%,111.9MiB / 2GiB,5.46%,11.8GB / 9.65GB,353MB / 536MB,26
2026-06-21T17:10:19+08:00,RPA-pgdb,0.04%,153.6MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:10:19+08:00,RPA-redis,0.17%,8.875MiB / 15.4GiB,0.06%,1.41GB / 1.34GB,32.4MB / 13.6MB,7
2026-06-21T17:10:19+08:00,RPA-grafana,0.19%,123.4MiB / 15.4GiB,0.78%,23.6MB / 294kB,761MB / 143MB,25
2026-06-21T17:10:19+08:00,RPA-alloy,54.08%,178.5MiB / 15.4GiB,1.13%,6.92MB / 2.81GB,945MB / 77MB,27
2026-06-21T17:10:19+08:00,RPA-loki,34.77%,561.9MiB / 15.4GiB,3.56%,2.82GB / 1.2GB,776MB / 17.8GB,26
2026-06-21T17:10:19+08:00,rmqbroker,4.10%,1.137GiB / 15.4GiB,7.38%,2.8MB / 4.31MB,856MB / 1.11GB,324
2026-06-21T17:10:19+08:00,rmqdashboard,0.14%,380.5MiB / 15.4GiB,2.41%,2.43MB / 1.32MB,366MB / 528MB,66
2026-06-21T17:10:19+08:00,RPA-prometheus,0.00%,282.7MiB / 15.4GiB,1.79%,393MB / 5.58MB,421MB / 164MB,26
2026-06-21T17:10:19+08:00,RPA-minio,0.01%,193.9MiB / 15.4GiB,1.23%,1.25GB / 36.3MB,520MB / 1.8GB,53
2026-06-21T17:10:19+08:00,rmqnamesrv,0.10%,110.4MiB / 15.4GiB,0.70%,3.68MB / 2.8MB,250MB / 519MB,81
2026-06-21T17:10:19+08:00,RPA-cadvisor,2.52%,270.2MiB / 15.4GiB,1.71%,5.48MB / 390MB,217MB / 20.9MB,28
2026-06-21T17:10:19+08:00,script-k6-run-a33b30e77cb2,716.19%,190.4MiB / 15.4GiB,1.21%,26.6MB / 15.6MB,1.45MB / 0B,26
2026-06-21T17:10:22+08:00,script-k6-run-a33b30e77cb2,743.39%,515.4MiB / 15.4GiB,3.27%,85.5MB / 50.1MB,1.45MB / 0B,27
2026-06-21T17:10:22+08:00,RPA-app,178.13%,50.11MiB / 2GiB,2.45%,11.8GB / 9.74GB,353MB / 536MB,26
2026-06-21T17:10:22+08:00,RPA-pgdb,4.13%,153.8MiB / 15.4GiB,0.98%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:10:22+08:00,RPA-redis,0.19%,9.137MiB / 15.4GiB,0.06%,1.41GB / 1.34GB,32.4MB / 13.6MB,7
2026-06-21T17:10:22+08:00,RPA-grafana,0.28%,80.36MiB / 15.4GiB,0.51%,23.6MB / 294kB,761MB / 143MB,25
2026-06-21T17:10:22+08:00,RPA-alloy,2.47%,202.1MiB / 15.4GiB,1.28%,6.92MB / 2.82GB,945MB / 77MB,27
2026-06-21T17:10:22+08:00,RPA-loki,15.19%,574.9MiB / 15.4GiB,3.65%,2.82GB / 1.2GB,776MB / 17.8GB,26
