timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:08:12+08:00,RPA-app,176.20%,54.43MiB / 2GiB,2.66%,9.83GB / 8.28GB,351MB / 536MB,26
2026-06-21T17:08:12+08:00,RPA-pgdb,0.00%,154.4MiB / 15.4GiB,0.98%,2.16GB / 13.7GB,59MB / 2.17GB,19
2026-06-21T17:08:12+08:00,RPA-redis,22.25%,9.641MiB / 15.4GiB,0.06%,1.31GB / 1.26GB,32.4MB / 13.6MB,7
2026-06-21T17:08:12+08:00,RPA-grafana,0.12%,107.2MiB / 15.4GiB,0.68%,23.6MB / 294kB,753MB / 143MB,25
2026-06-21T17:08:12+08:00,RPA-alloy,108.69%,236MiB / 15.4GiB,1.50%,6.69MB / 2.69GB,937MB / 76.4MB,27
2026-06-21T17:08:12+08:00,RPA-loki,54.79%,585.8MiB / 15.4GiB,3.72%,2.69GB / 1.14GB,769MB / 17.1GB,26
2026-06-21T17:08:12+08:00,rmqbroker,4.28%,1.192GiB / 15.4GiB,7.75%,2.76MB / 4.27MB,854MB / 1.05GB,324
2026-06-21T17:08:12+08:00,rmqdashboard,0.06%,421.1MiB / 15.4GiB,2.67%,2.41MB / 1.31MB,365MB / 488MB,66
2026-06-21T17:08:12+08:00,RPA-prometheus,0.00%,342.1MiB / 15.4GiB,2.17%,390MB / 5.53MB,421MB / 163MB,26
2026-06-21T17:08:12+08:00,RPA-minio,0.04%,279.8MiB / 15.4GiB,1.77%,1.18GB / 36.3MB,515MB / 1.73GB,53
2026-06-21T17:08:12+08:00,rmqnamesrv,0.11%,128.6MiB / 15.4GiB,0.82%,3.65MB / 2.78MB,249MB / 498MB,81
2026-06-21T17:08:12+08:00,RPA-cadvisor,6.07%,282.9MiB / 15.4GiB,1.79%,5.44MB / 387MB,215MB / 20.8MB,28
2026-06-21T17:08:12+08:00,script-k6-run-933f8e29569e,399.06%,75.88MiB / 15.4GiB,0.48%,8.25MB / 32.1MB,254kB / 0B,26
2026-06-21T17:08:15+08:00,script-k6-run-933f8e29569e,404.46%,178.8MiB / 15.4GiB,1.13%,29.2MB / 114MB,254kB / 0B,26
2026-06-21T17:08:15+08:00,RPA-app,179.75%,54.54MiB / 2GiB,2.66%,9.89GB / 8.3GB,351MB / 536MB,26
