timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:11:23+08:00,RPA-app,166.93%,51.91MiB / 2GiB,2.53%,12.3GB / 10.6GB,354MB / 536MB,26
2026-06-21T17:11:23+08:00,RPA-pgdb,2.87%,154.5MiB / 15.4GiB,0.98%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:23+08:00,RPA-redis,20.68%,9.98MiB / 15.4GiB,0.06%,1.41GB / 1.34GB,32.5MB / 13.6MB,7
2026-06-21T17:11:23+08:00,RPA-grafana,0.13%,84.32MiB / 15.4GiB,0.53%,23.6MB / 294kB,765MB / 143MB,25
2026-06-21T17:11:23+08:00,RPA-alloy,98.86%,202.4MiB / 15.4GiB,1.28%,7.03MB / 2.88GB,948MB / 77.2MB,27
2026-06-21T17:11:23+08:00,RPA-loki,19.64%,551.1MiB / 15.4GiB,3.50%,2.88GB / 1.23GB,778MB / 18.2GB,26
2026-06-21T17:11:23+08:00,rmqbroker,4.14%,1.137GiB / 15.4GiB,7.38%,2.82MB / 4.34MB,857MB / 1.11GB,324
2026-06-21T17:11:23+08:00,rmqdashboard,0.18%,386.1MiB / 15.4GiB,2.45%,2.44MB / 1.32MB,372MB / 528MB,66
2026-06-21T17:11:23+08:00,RPA-prometheus,0.00%,289.8MiB / 15.4GiB,1.84%,394MB / 5.6MB,421MB / 164MB,26
2026-06-21T17:11:23+08:00,RPA-minio,0.01%,174.8MiB / 15.4GiB,1.11%,1.27GB / 36.4MB,520MB / 1.83GB,53
2026-06-21T17:11:23+08:00,rmqnamesrv,0.12%,110.9MiB / 15.4GiB,0.70%,3.69MB / 2.81MB,250MB / 519MB,81
2026-06-21T17:11:23+08:00,RPA-cadvisor,3.07%,271.5MiB / 15.4GiB,1.72%,5.51MB / 392MB,217MB / 20.9MB,28
2026-06-21T17:11:23+08:00,script-k6-run-8fec8598d0df,333.08%,82.7MiB / 15.4GiB,0.52%,7.67MB / 18.9MB,438kB / 0B,26
2026-06-21T17:11:26+08:00,script-k6-run-8fec8598d0df,375.69%,189.2MiB / 15.4GiB,1.20%,27MB / 66.4MB,438kB / 0B,26
2026-06-21T17:11:26+08:00,RPA-app,183.33%,52.23MiB / 2GiB,2.55%,12.4GB / 10.6GB,354MB / 536MB,26
2026-06-21T17:11:26+08:00,RPA-pgdb,0.00%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:26+08:00,RPA-redis,27.04%,9.012MiB / 15.4GiB,0.06%,1.42GB / 1.35GB,32.5MB / 13.6MB,7
2026-06-21T17:11:26+08:00,RPA-grafana,0.16%,84.32MiB / 15.4GiB,0.53%,23.6MB / 294kB,765MB / 143MB,25
2026-06-21T17:11:26+08:00,RPA-alloy,159.33%,204.4MiB / 15.4GiB,1.30%,7.04MB / 2.88GB,948MB / 77.2MB,27
2026-06-21T17:11:26+08:00,RPA-loki,29.90%,560.1MiB / 15.4GiB,3.55%,2.88GB / 1.23GB,778MB / 18.2GB,26
2026-06-21T17:11:26+08:00,rmqbroker,8.51%,1.137GiB / 15.4GiB,7.38%,2.82MB / 4.34MB,857MB / 1.11GB,324
2026-06-21T17:11:26+08:00,rmqdashboard,0.06%,385.8MiB / 15.4GiB,2.45%,2.44MB / 1.32MB,372MB / 528MB,66
2026-06-21T17:11:26+08:00,RPA-prometheus,0.07%,289.8MiB / 15.4GiB,1.84%,394MB / 5.6MB,421MB / 164MB,26
2026-06-21T17:11:26+08:00,RPA-minio,0.13%,174.8MiB / 15.4GiB,1.11%,1.27GB / 36.4MB,520MB / 1.83GB,53
2026-06-21T17:11:26+08:00,rmqnamesrv,0.17%,111MiB / 15.4GiB,0.70%,3.69MB / 2.81MB,250MB / 519MB,81
2026-06-21T17:11:26+08:00,RPA-cadvisor,5.11%,226.5MiB / 15.4GiB,1.44%,5.51MB / 392MB,217MB / 20.9MB,28
2026-06-21T17:11:29+08:00,script-k6-run-8fec8598d0df,346.07%,135.7MiB / 15.4GiB,0.86%,43.3MB / 106MB,438kB / 0B,26
2026-06-21T17:11:29+08:00,RPA-app,180.28%,51.78MiB / 2GiB,2.53%,12.4GB / 10.6GB,354MB / 536MB,26
2026-06-21T17:11:29+08:00,RPA-pgdb,0.00%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:29+08:00,RPA-redis,25.97%,10.38MiB / 15.4GiB,0.07%,1.42GB / 1.35GB,32.5MB / 13.6MB,7
2026-06-21T17:11:29+08:00,RPA-grafana,0.23%,84.32MiB / 15.4GiB,0.53%,23.6MB / 294kB,765MB / 143MB,25
2026-06-21T17:11:29+08:00,RPA-alloy,159.10%,216.9MiB / 15.4GiB,1.38%,7.04MB / 2.88GB,948MB / 77.2MB,27
2026-06-21T17:11:29+08:00,RPA-loki,30.93%,552.7MiB / 15.4GiB,3.51%,2.89GB / 1.23GB,778MB / 18.2GB,26
2026-06-21T17:11:29+08:00,rmqbroker,6.63%,1.137GiB / 15.4GiB,7.38%,2.82MB / 4.34MB,857MB / 1.11GB,324
2026-06-21T17:11:29+08:00,rmqdashboard,0.18%,386.5MiB / 15.4GiB,2.45%,2.44MB / 1.33MB,373MB / 529MB,66
2026-06-21T17:11:29+08:00,RPA-prometheus,7.85%,308.6MiB / 15.4GiB,1.96%,395MB / 5.61MB,421MB / 164MB,26
2026-06-21T17:11:29+08:00,RPA-minio,0.03%,174.8MiB / 15.4GiB,1.11%,1.27GB / 36.4MB,520MB / 1.83GB,53
2026-06-21T17:11:29+08:00,rmqnamesrv,0.19%,111.1MiB / 15.4GiB,0.70%,3.7MB / 2.81MB,250MB / 519MB,81
2026-06-21T17:11:29+08:00,RPA-cadvisor,71.13%,257.1MiB / 15.4GiB,1.63%,5.51MB / 392MB,217MB / 20.9MB,28
2026-06-21T17:11:32+08:00,script-k6-run-8fec8598d0df,372.15%,223.4MiB / 15.4GiB,1.42%,59.5MB / 146MB,438kB / 0B,26
2026-06-21T17:11:32+08:00,RPA-app,182.81%,52.34MiB / 2GiB,2.56%,12.5GB / 10.6GB,354MB / 536MB,26
2026-06-21T17:11:32+08:00,RPA-pgdb,0.00%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:32+08:00,RPA-redis,26.28%,10.3MiB / 15.4GiB,0.07%,1.43GB / 1.36GB,32.5MB / 13.6MB,7
2026-06-21T17:11:32+08:00,RPA-grafana,0.17%,84.32MiB / 15.4GiB,0.53%,23.6MB / 294kB,765MB / 143MB,25
2026-06-21T17:11:32+08:00,RPA-alloy,94.42%,218.5MiB / 15.4GiB,1.39%,7.05MB / 2.89GB,948MB / 77.2MB,27
2026-06-21T17:11:32+08:00,RPA-loki,23.19%,558.5MiB / 15.4GiB,3.54%,2.89GB / 1.23GB,778MB / 18.2GB,26
2026-06-21T17:11:32+08:00,rmqbroker,5.75%,1.137GiB / 15.4GiB,7.38%,2.82MB / 4.34MB,857MB / 1.11GB,324
2026-06-21T17:11:32+08:00,rmqdashboard,0.08%,386.5MiB / 15.4GiB,2.45%,2.44MB / 1.33MB,373MB / 529MB,66
2026-06-21T17:11:32+08:00,RPA-prometheus,0.06%,308.8MiB / 15.4GiB,1.96%,395MB / 5.61MB,421MB / 164MB,26
2026-06-21T17:11:32+08:00,RPA-minio,0.03%,174.8MiB / 15.4GiB,1.11%,1.27GB / 36.4MB,520MB / 1.83GB,53
2026-06-21T17:11:32+08:00,rmqnamesrv,0.16%,111.1MiB / 15.4GiB,0.70%,3.7MB / 2.81MB,250MB / 519MB,81
2026-06-21T17:11:32+08:00,RPA-cadvisor,3.34%,258.1MiB / 15.4GiB,1.64%,5.51MB / 392MB,217MB / 20.9MB,28
2026-06-21T17:11:35+08:00,script-k6-run-8fec8598d0df,354.03%,198.6MiB / 15.4GiB,1.26%,76.2MB / 187MB,438kB / 0B,26
2026-06-21T17:11:35+08:00,RPA-app,180.14%,51.39MiB / 2GiB,2.51%,12.5GB / 10.7GB,354MB / 536MB,26
2026-06-21T17:11:35+08:00,RPA-pgdb,0.00%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:35+08:00,RPA-redis,25.35%,10.95MiB / 15.4GiB,0.07%,1.44GB / 1.36GB,32.5MB / 13.6MB,7
2026-06-21T17:11:35+08:00,RPA-grafana,0.16%,84.32MiB / 15.4GiB,0.53%,23.6MB / 294kB,765MB / 143MB,25
2026-06-21T17:11:35+08:00,RPA-alloy,38.47%,214.4MiB / 15.4GiB,1.36%,7.05MB / 2.89GB,948MB / 77.2MB,27
2026-06-21T17:11:35+08:00,RPA-loki,18.50%,560MiB / 15.4GiB,3.55%,2.89GB / 1.23GB,778MB / 18.2GB,26
2026-06-21T17:11:35+08:00,rmqbroker,5.14%,1.137GiB / 15.4GiB,7.38%,2.82MB / 4.34MB,857MB / 1.11GB,324
2026-06-21T17:11:35+08:00,rmqdashboard,0.08%,387MiB / 15.4GiB,2.45%,2.44MB / 1.33MB,373MB / 529MB,66
2026-06-21T17:11:35+08:00,RPA-prometheus,0.77%,308.6MiB / 15.4GiB,1.96%,395MB / 5.61MB,421MB / 164MB,26
2026-06-21T17:11:35+08:00,RPA-minio,0.02%,174.8MiB / 15.4GiB,1.11%,1.27GB / 36.4MB,520MB / 1.83GB,53
2026-06-21T17:11:35+08:00,rmqnamesrv,0.14%,111.1MiB / 15.4GiB,0.70%,3.7MB / 2.82MB,250MB / 519MB,81
2026-06-21T17:11:35+08:00,RPA-cadvisor,4.51%,265.5MiB / 15.4GiB,1.68%,5.51MB / 392MB,217MB / 20.9MB,28
2026-06-21T17:11:38+08:00,script-k6-run-8fec8598d0df,337.47%,178.9MiB / 15.4GiB,1.13%,93MB / 228MB,438kB / 0B,26
2026-06-21T17:11:38+08:00,RPA-app,178.97%,52.32MiB / 2GiB,2.55%,12.6GB / 10.7GB,354MB / 536MB,26
2026-06-21T17:11:38+08:00,RPA-pgdb,3.35%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:38+08:00,RPA-redis,25.06%,10.22MiB / 15.4GiB,0.06%,1.44GB / 1.37GB,32.5MB / 13.6MB,7
2026-06-21T17:11:38+08:00,RPA-grafana,0.20%,84.32MiB / 15.4GiB,0.53%,23.6MB / 294kB,765MB / 143MB,25
2026-06-21T17:11:38+08:00,RPA-alloy,23.44%,205.6MiB / 15.4GiB,1.30%,7.06MB / 2.89GB,948MB / 77.2MB,27
2026-06-21T17:11:38+08:00,RPA-loki,25.71%,569.9MiB / 15.4GiB,3.61%,2.9GB / 1.23GB,781MB / 18.3GB,26
2026-06-21T17:11:38+08:00,rmqbroker,6.11%,1.137GiB / 15.4GiB,7.38%,2.82MB / 4.34MB,857MB / 1.11GB,324
2026-06-21T17:11:38+08:00,rmqdashboard,0.27%,387.5MiB / 15.4GiB,2.46%,2.44MB / 1.33MB,374MB / 529MB,66
2026-06-21T17:11:38+08:00,RPA-prometheus,0.00%,308.6MiB / 15.4GiB,1.96%,395MB / 5.61MB,421MB / 164MB,26
2026-06-21T17:11:38+08:00,RPA-minio,3.28%,176.5MiB / 15.4GiB,1.12%,1.28GB / 36.4MB,520MB / 1.84GB,53
2026-06-21T17:11:38+08:00,rmqnamesrv,0.14%,111.1MiB / 15.4GiB,0.70%,3.7MB / 2.82MB,250MB / 519MB,81
2026-06-21T17:11:38+08:00,RPA-cadvisor,4.37%,275.8MiB / 15.4GiB,1.75%,5.51MB / 392MB,217MB / 20.9MB,28
2026-06-21T17:11:41+08:00,script-k6-run-8fec8598d0df,339.17%,238.8MiB / 15.4GiB,1.51%,109MB / 267MB,438kB / 0B,26
2026-06-21T17:11:41+08:00,RPA-app,170.15%,51.99MiB / 2GiB,2.54%,12.6GB / 10.7GB,354MB / 536MB,26
2026-06-21T17:11:41+08:00,RPA-pgdb,0.00%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:41+08:00,RPA-redis,23.43%,10.48MiB / 15.4GiB,0.07%,1.45GB / 1.37GB,32.5MB / 13.6MB,7
2026-06-21T17:11:41+08:00,RPA-grafana,0.11%,93.9MiB / 15.4GiB,0.60%,23.6MB / 294kB,775MB / 143MB,25
2026-06-21T17:11:41+08:00,RPA-alloy,21.40%,194.9MiB / 15.4GiB,1.24%,7.06MB / 2.9GB,948MB / 77.2MB,27
2026-06-21T17:11:41+08:00,RPA-loki,24.74%,535.9MiB / 15.4GiB,3.40%,2.9GB / 1.24GB,781MB / 18.3GB,26
2026-06-21T17:11:41+08:00,rmqbroker,4.01%,1.137GiB / 15.4GiB,7.38%,2.83MB / 4.35MB,857MB / 1.11GB,324
2026-06-21T17:11:41+08:00,rmqdashboard,0.08%,387.5MiB / 15.4GiB,2.46%,2.44MB / 1.33MB,374MB / 529MB,66
2026-06-21T17:11:41+08:00,RPA-prometheus,0.00%,308.6MiB / 15.4GiB,1.96%,395MB / 5.61MB,421MB / 164MB,26
2026-06-21T17:11:41+08:00,RPA-minio,0.04%,176.1MiB / 15.4GiB,1.12%,1.29GB / 36.4MB,520MB / 1.84GB,53
2026-06-21T17:11:41+08:00,rmqnamesrv,0.14%,111.4MiB / 15.4GiB,0.71%,3.7MB / 2.82MB,250MB / 519MB,81
2026-06-21T17:11:41+08:00,RPA-cadvisor,3.65%,280.7MiB / 15.4GiB,1.78%,5.51MB / 392MB,217MB / 20.9MB,28
2026-06-21T17:11:44+08:00,script-k6-run-8fec8598d0df,340.79%,203.8MiB / 15.4GiB,1.29%,125MB / 306MB,438kB / 0B,26
2026-06-21T17:11:44+08:00,RPA-app,180.98%,51.07MiB / 2GiB,2.49%,12.7GB / 10.7GB,354MB / 536MB,26
2026-06-21T17:11:44+08:00,RPA-pgdb,4.25%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:44+08:00,RPA-redis,26.45%,9.027MiB / 15.4GiB,0.06%,1.45GB / 1.37GB,32.5MB / 13.6MB,7
2026-06-21T17:11:44+08:00,RPA-grafana,0.20%,93.9MiB / 15.4GiB,0.60%,23.6MB / 294kB,775MB / 143MB,25
2026-06-21T17:11:44+08:00,RPA-alloy,62.68%,205.4MiB / 15.4GiB,1.30%,7.07MB / 2.9GB,948MB / 77.2MB,27
2026-06-21T17:11:44+08:00,RPA-loki,46.26%,544.1MiB / 15.4GiB,3.45%,2.9GB / 1.24GB,781MB / 18.3GB,26
2026-06-21T17:11:44+08:00,rmqbroker,5.76%,1.137GiB / 15.4GiB,7.38%,2.83MB / 4.35MB,857MB / 1.11GB,324
2026-06-21T17:11:44+08:00,rmqdashboard,0.08%,387.9MiB / 15.4GiB,2.46%,2.44MB / 1.33MB,374MB / 529MB,66
2026-06-21T17:11:44+08:00,RPA-prometheus,5.92%,308.6MiB / 15.4GiB,1.96%,395MB / 5.61MB,421MB / 164MB,26
2026-06-21T17:11:44+08:00,RPA-minio,0.00%,167.3MiB / 15.4GiB,1.06%,1.29GB / 36.4MB,520MB / 1.84GB,53
2026-06-21T17:11:44+08:00,rmqnamesrv,0.15%,111.2MiB / 15.4GiB,0.71%,3.7MB / 2.82MB,250MB / 519MB,81
2026-06-21T17:11:44+08:00,RPA-cadvisor,48.96%,259.6MiB / 15.4GiB,1.65%,5.52MB / 393MB,217MB / 20.9MB,28
2026-06-21T17:11:47+08:00,script-k6-run-8fec8598d0df,353.96%,210.4MiB / 15.4GiB,1.33%,142MB / 347MB,438kB / 0B,26
2026-06-21T17:11:47+08:00,RPA-app,180.79%,53.05MiB / 2GiB,2.59%,12.7GB / 10.8GB,354MB / 536MB,26
2026-06-21T17:11:47+08:00,RPA-pgdb,0.00%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:47+08:00,RPA-redis,25.05%,11.07MiB / 15.4GiB,0.07%,1.46GB / 1.38GB,32.5MB / 13.6MB,7
2026-06-21T17:11:47+08:00,RPA-grafana,0.15%,93.9MiB / 15.4GiB,0.60%,23.6MB / 294kB,775MB / 143MB,25
2026-06-21T17:11:47+08:00,RPA-alloy,22.75%,193.7MiB / 15.4GiB,1.23%,7.08MB / 2.9GB,948MB / 77.2MB,27
2026-06-21T17:11:47+08:00,RPA-loki,27.69%,532MiB / 15.4GiB,3.37%,2.91GB / 1.24GB,781MB / 18.3GB,26
2026-06-21T17:11:47+08:00,rmqbroker,5.97%,1.137GiB / 15.4GiB,7.38%,2.83MB / 4.35MB,857MB / 1.11GB,324
2026-06-21T17:11:47+08:00,rmqdashboard,0.08%,387.9MiB / 15.4GiB,2.46%,2.44MB / 1.33MB,374MB / 529MB,66
2026-06-21T17:11:47+08:00,RPA-prometheus,0.08%,308.6MiB / 15.4GiB,1.96%,395MB / 5.61MB,421MB / 164MB,26
2026-06-21T17:11:47+08:00,RPA-minio,0.03%,167.2MiB / 15.4GiB,1.06%,1.29GB / 36.4MB,520MB / 1.84GB,53
2026-06-21T17:11:47+08:00,rmqnamesrv,0.13%,111.2MiB / 15.4GiB,0.71%,3.7MB / 2.82MB,250MB / 519MB,81
2026-06-21T17:11:47+08:00,RPA-cadvisor,3.74%,261MiB / 15.4GiB,1.66%,5.52MB / 393MB,217MB / 20.9MB,28
2026-06-21T17:11:50+08:00,script-k6-run-8fec8598d0df,331.97%,252.6MiB / 15.4GiB,1.60%,158MB / 387MB,438kB / 0B,26
2026-06-21T17:11:50+08:00,RPA-app,177.97%,53.39MiB / 2GiB,2.61%,12.8GB / 10.8GB,356MB / 536MB,26
2026-06-21T17:11:50+08:00,RPA-pgdb,0.00%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:50+08:00,RPA-redis,24.48%,9.422MiB / 15.4GiB,0.06%,1.46GB / 1.38GB,32.5MB / 13.6MB,7
2026-06-21T17:11:50+08:00,RPA-grafana,0.12%,93.9MiB / 15.4GiB,0.60%,23.6MB / 294kB,775MB / 143MB,25
2026-06-21T17:11:50+08:00,RPA-alloy,33.11%,206.1MiB / 15.4GiB,1.31%,7.08MB / 2.91GB,948MB / 77.2MB,27
2026-06-21T17:11:50+08:00,RPA-loki,81.11%,536.8MiB / 15.4GiB,3.40%,2.91GB / 1.24GB,781MB / 18.3GB,26
2026-06-21T17:11:50+08:00,rmqbroker,5.11%,1.137GiB / 15.4GiB,7.38%,2.83MB / 4.35MB,857MB / 1.11GB,324
2026-06-21T17:11:50+08:00,rmqdashboard,0.07%,388.2MiB / 15.4GiB,2.46%,2.44MB / 1.33MB,374MB / 529MB,66
2026-06-21T17:11:50+08:00,RPA-prometheus,0.02%,308.6MiB / 15.4GiB,1.96%,395MB / 5.61MB,421MB / 164MB,26
2026-06-21T17:11:50+08:00,RPA-minio,0.00%,167.2MiB / 15.4GiB,1.06%,1.29GB / 36.4MB,520MB / 1.84GB,53
2026-06-21T17:11:50+08:00,rmqnamesrv,0.13%,111.3MiB / 15.4GiB,0.71%,3.7MB / 2.82MB,250MB / 519MB,81
2026-06-21T17:11:50+08:00,RPA-cadvisor,3.23%,260.5MiB / 15.4GiB,1.65%,5.52MB / 393MB,217MB / 20.9MB,28
2026-06-21T17:11:54+08:00,script-k6-run-8fec8598d0df,342.79%,191.5MiB / 15.4GiB,1.21%,169MB / 413MB,438kB / 0B,26
2026-06-21T17:11:54+08:00,RPA-app,180.57%,53.3MiB / 2GiB,2.60%,12.8GB / 10.8GB,356MB / 536MB,26
2026-06-21T17:11:54+08:00,RPA-pgdb,0.00%,153.4MiB / 15.4GiB,0.97%,2.16GB / 13.7GB,60.5MB / 2.17GB,19
2026-06-21T17:11:54+08:00,RPA-redis,24.37%,10.59MiB / 15.4GiB,0.07%,1.47GB / 1.39GB,32.5MB / 13.6MB,7
2026-06-21T17:11:54+08:00,RPA-grafana,0.18%,93.9MiB / 15.4GiB,0.60%,23.6MB / 294kB,775MB / 143MB,25
2026-06-21T17:11:54+08:00,RPA-alloy,47.38%,206.1MiB / 15.4GiB,1.31%,7.08MB / 2.91GB,948MB / 77.2MB,27
2026-06-21T17:11:54+08:00,RPA-loki,20.52%,555.6MiB / 15.4GiB,3.52%,2.91GB / 1.24GB,781MB / 18.4GB,26
2026-06-21T17:11:54+08:00,rmqbroker,6.30%,1.137GiB / 15.4GiB,7.38%,2.83MB / 4.35MB,857MB / 1.11GB,324
2026-06-21T17:11:54+08:00,rmqdashboard,0.08%,388.6MiB / 15.4GiB,2.46%,2.44MB / 1.33MB,375MB / 529MB,66
2026-06-21T17:11:54+08:00,RPA-prometheus,0.07%,308.6MiB / 15.4GiB,1.96%,395MB / 5.61MB,421MB / 164MB,26
2026-06-21T17:11:54+08:00,RPA-minio,0.01%,167.2MiB / 15.4GiB,1.06%,1.29GB / 36.4MB,520MB / 1.84GB,53
2026-06-21T17:11:54+08:00,rmqnamesrv,0.16%,111.3MiB / 15.4GiB,0.71%,3.7MB / 2.82MB,250MB / 519MB,81
2026-06-21T17:11:54+08:00,RPA-cadvisor,3.32%,271.5MiB / 15.4GiB,1.72%,5.52MB / 393MB,217MB / 20.9MB,28
2026-06-21T17:11:57+08:00,script-k6-run-8fec8598d0df,343.37%,330.2MiB / 15.4GiB,2.09%,190MB / 466MB,438kB / 0B,27
