timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:02:59+08:00,RPA-app,86.64%,51.98MiB / 2GiB,2.54%,5.39GB / 3.27GB,349MB / 536MB,26
2026-06-21T17:02:59+08:00,RPA-pgdb,341.67%,226.2MiB / 15.4GiB,1.43%,1.74GB / 9.76GB,58.9MB / 2.17GB,52
2026-06-21T17:02:59+08:00,RPA-redis,0.15%,8.891MiB / 15.4GiB,0.06%,1.18GB / 1.07GB,32.4MB / 13.6MB,7
2026-06-21T17:02:59+08:00,RPA-grafana,0.14%,91.45MiB / 15.4GiB,0.58%,23.6MB / 292kB,736MB / 143MB,25
2026-06-21T17:02:59+08:00,RPA-alloy,106.15%,215.6MiB / 15.4GiB,1.37%,6.13MB / 2.37GB,915MB / 75.5MB,27
2026-06-21T17:02:59+08:00,RPA-loki,22.70%,550.3MiB / 15.4GiB,3.49%,2.37GB / 993MB,753MB / 15.3GB,26
2026-06-21T17:02:59+08:00,rmqbroker,4.20%,1.159GiB / 15.4GiB,7.53%,2.67MB / 4.15MB,818MB / 1.04GB,324
2026-06-21T17:02:59+08:00,rmqdashboard,0.13%,415MiB / 15.4GiB,2.63%,2.36MB / 1.28MB,358MB / 486MB,66
2026-06-21T17:02:59+08:00,RPA-prometheus,1.67%,416.3MiB / 15.4GiB,2.64%,382MB / 5.41MB,417MB / 161MB,26
2026-06-21T17:02:59+08:00,RPA-minio,0.06%,159.5MiB / 15.4GiB,1.01%,1.04GB / 36.2MB,451MB / 1.57GB,53
2026-06-21T17:02:59+08:00,rmqnamesrv,0.20%,124.8MiB / 15.4GiB,0.79%,3.58MB / 2.72MB,249MB / 498MB,81
2026-06-21T17:02:59+08:00,RPA-cadvisor,56.36%,263.8MiB / 15.4GiB,1.67%,5.33MB / 380MB,215MB / 20.8MB,28
2026-06-21T17:02:59+08:00,script-k6-run-ff3050cba1ed,87.90%,44.55MiB / 15.4GiB,0.28%,71MB / 1.81MB,1.16MB / 0B,25
2026-06-21T17:03:03+08:00,script-k6-run-ff3050cba1ed,104.36%,59.99MiB / 15.4GiB,0.38%,179MB / 4.52MB,1.16MB / 0B,25
2026-06-21T17:03:03+08:00,RPA-app,182.25%,52.07MiB / 2GiB,2.54%,5.53GB / 3.44GB,349MB / 536MB,26
2026-06-21T17:03:03+08:00,RPA-pgdb,648.27%,221.4MiB / 15.4GiB,1.40%,1.74GB / 9.9GB,58.9MB / 2.17GB,48
2026-06-21T17:03:03+08:00,RPA-redis,0.21%,8.891MiB / 15.4GiB,0.06%,1.18GB / 1.07GB,32.4MB / 13.6MB,7
2026-06-21T17:03:03+08:00,RPA-grafana,0.14%,91.45MiB / 15.4GiB,0.58%,23.6MB / 292kB,736MB / 143MB,25
2026-06-21T17:03:03+08:00,RPA-alloy,11.64%,215.9MiB / 15.4GiB,1.37%,6.14MB / 2.38GB,915MB / 75.5MB,27
2026-06-21T17:03:03+08:00,RPA-loki,28.27%,561.8MiB / 15.4GiB,3.56%,2.38GB / 993MB,753MB / 15.3GB,26
2026-06-21T17:03:03+08:00,rmqbroker,7.19%,1.16GiB / 15.4GiB,7.53%,2.67MB / 4.15MB,819MB / 1.04GB,324
2026-06-21T17:03:03+08:00,rmqdashboard,0.21%,415MiB / 15.4GiB,2.63%,2.36MB / 1.28MB,358MB / 486MB,66
2026-06-21T17:03:03+08:00,RPA-prometheus,0.00%,331.1MiB / 15.4GiB,2.10%,382MB / 5.41MB,417MB / 161MB,26
2026-06-21T17:03:03+08:00,RPA-minio,0.01%,159.5MiB / 15.4GiB,1.01%,1.04GB / 36.2MB,451MB / 1.57GB,53
2026-06-21T17:03:03+08:00,rmqnamesrv,0.14%,124.9MiB / 15.4GiB,0.79%,3.58MB / 2.72MB,249MB / 498MB,81
2026-06-21T17:03:03+08:00,RPA-cadvisor,11.23%,265.2MiB / 15.4GiB,1.68%,5.33MB / 380MB,215MB / 20.8MB,28
2026-06-21T17:03:06+08:00,script-k6-run-ff3050cba1ed,103.55%,55.93MiB / 15.4GiB,0.35%,281MB / 7.1MB,1.16MB / 0B,25
2026-06-21T17:03:06+08:00,RPA-app,183.19%,52.34MiB / 2GiB,2.56%,5.63GB / 3.54GB,349MB / 536MB,26
2026-06-21T17:03:06+08:00,RPA-pgdb,651.08%,222MiB / 15.4GiB,1.41%,1.75GB / 9.99GB,58.9MB / 2.17GB,49
2026-06-21T17:03:06+08:00,RPA-redis,0.73%,8.891MiB / 15.4GiB,0.06%,1.18GB / 1.07GB,32.4MB / 13.6MB,7
2026-06-21T17:03:06+08:00,RPA-grafana,0.18%,91.45MiB / 15.4GiB,0.58%,23.6MB / 292kB,736MB / 143MB,25
2026-06-21T17:03:06+08:00,RPA-alloy,26.49%,205.1MiB / 15.4GiB,1.30%,6.14MB / 2.38GB,915MB / 75.5MB,27
2026-06-21T17:03:06+08:00,RPA-loki,31.81%,562.1MiB / 15.4GiB,3.57%,2.38GB / 993MB,753MB / 15.3GB,26
2026-06-21T17:03:06+08:00,rmqbroker,6.45%,1.16GiB / 15.4GiB,7.53%,2.67MB / 4.15MB,819MB / 1.04GB,324
2026-06-21T17:03:06+08:00,rmqdashboard,0.09%,415MiB / 15.4GiB,2.63%,2.36MB / 1.28MB,358MB / 486MB,66
2026-06-21T17:03:06+08:00,RPA-prometheus,0.03%,331.1MiB / 15.4GiB,2.10%,382MB / 5.41MB,417MB / 161MB,26
2026-06-21T17:03:06+08:00,RPA-minio,0.03%,159.5MiB / 15.4GiB,1.01%,1.04GB / 36.2MB,451MB / 1.57GB,53
2026-06-21T17:03:06+08:00,rmqnamesrv,0.14%,124.9MiB / 15.4GiB,0.79%,3.58MB / 2.72MB,249MB / 498MB,81
2026-06-21T17:03:06+08:00,RPA-cadvisor,3.46%,269MiB / 15.4GiB,1.71%,5.33MB / 380MB,215MB / 20.8MB,28
2026-06-21T17:03:09+08:00,script-k6-run-ff3050cba1ed,101.06%,50.46MiB / 15.4GiB,0.32%,380MB / 9.6MB,1.16MB / 0B,25
2026-06-21T17:03:09+08:00,RPA-app,179.22%,53.29MiB / 2GiB,2.60%,5.71GB / 3.65GB,349MB / 536MB,26
2026-06-21T17:03:09+08:00,RPA-pgdb,564.90%,214.8MiB / 15.4GiB,1.36%,1.75GB / 10.1GB,58.9MB / 2.17GB,46
2026-06-21T17:03:09+08:00,RPA-redis,0.19%,8.891MiB / 15.4GiB,0.06%,1.18GB / 1.07GB,32.4MB / 13.6MB,7
