timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:04:01+08:00,RPA-app,50.70%,53.23MiB / 2GiB,2.60%,7.14GB / 5.31GB,349MB / 536MB,26
2026-06-21T17:04:01+08:00,RPA-pgdb,1327.18%,263.7MiB / 15.4GiB,1.67%,1.82GB / 11.5GB,58.9MB / 2.17GB,59
2026-06-21T17:04:01+08:00,RPA-redis,0.54%,9.43MiB / 15.4GiB,0.06%,1.18GB / 1.07GB,32.4MB / 13.6MB,7
2026-06-21T17:04:01+08:00,RPA-grafana,0.20%,91.47MiB / 15.4GiB,0.58%,23.6MB / 292kB,736MB / 143MB,25
2026-06-21T17:04:01+08:00,RPA-alloy,1.60%,214.7MiB / 15.4GiB,1.36%,6.24MB / 2.43GB,925MB / 75.7MB,27
2026-06-21T17:04:01+08:00,RPA-loki,13.57%,584.8MiB / 15.4GiB,3.71%,2.44GB / 1.02GB,755MB / 15.7GB,26
2026-06-21T17:04:01+08:00,rmqbroker,5.16%,1.169GiB / 15.4GiB,7.60%,2.69MB / 4.17MB,828MB / 1.04GB,324
2026-06-21T17:04:01+08:00,rmqdashboard,0.06%,415.6MiB / 15.4GiB,2.64%,2.37MB / 1.28MB,359MB / 486MB,66
2026-06-21T17:04:01+08:00,RPA-prometheus,0.00%,332.2MiB / 15.4GiB,2.11%,384MB / 5.43MB,417MB / 162MB,26
2026-06-21T17:04:01+08:00,RPA-minio,0.05%,160MiB / 15.4GiB,1.01%,1.07GB / 36.2MB,451MB / 1.6GB,53
2026-06-21T17:04:01+08:00,rmqnamesrv,0.13%,125.6MiB / 15.4GiB,0.80%,3.59MB / 2.73MB,249MB / 498MB,81
2026-06-21T17:04:01+08:00,RPA-cadvisor,3.39%,261.2MiB / 15.4GiB,1.66%,5.35MB / 382MB,215MB / 20.8MB,28
2026-06-21T17:04:01+08:00,script-k6-run-34f3e86682dc,33.93%,33.89MiB / 15.4GiB,0.21%,16MB / 473kB,250kB / 0B,26
2026-06-21T17:04:05+08:00,script-k6-run-34f3e86682dc,32.52%,38.07MiB / 15.4GiB,0.24%,31.3MB / 902kB,250kB / 0B,26
2026-06-21T17:04:05+08:00,RPA-app,70.28%,55.14MiB / 2GiB,2.69%,7.16GB / 5.33GB,349MB / 536MB,26
2026-06-21T17:04:05+08:00,RPA-pgdb,1486.97%,262MiB / 15.4GiB,1.66%,1.82GB / 11.5GB,58.9MB / 2.17GB,59
2026-06-21T17:04:05+08:00,RPA-redis,0.27%,8.887MiB / 15.4GiB,0.06%,1.18GB / 1.07GB,32.4MB / 13.6MB,7
2026-06-21T17:04:05+08:00,RPA-grafana,0.22%,91.47MiB / 15.4GiB,0.58%,23.6MB / 292kB,736MB / 143MB,25
2026-06-21T17:04:05+08:00,RPA-alloy,39.98%,214.4MiB / 15.4GiB,1.36%,6.24MB / 2.44GB,928MB / 75.7MB,27
2026-06-21T17:04:05+08:00,RPA-loki,38.83%,544.4MiB / 15.4GiB,3.45%,2.44GB / 1.03GB,755MB / 15.7GB,26
2026-06-21T17:04:05+08:00,rmqbroker,8.29%,1.17GiB / 15.4GiB,7.60%,2.69MB / 4.17MB,829MB / 1.04GB,324
2026-06-21T17:04:05+08:00,rmqdashboard,0.11%,415.6MiB / 15.4GiB,2.64%,2.37MB / 1.28MB,359MB / 486MB,66
2026-06-21T17:04:05+08:00,RPA-prometheus,1.21%,333.6MiB / 15.4GiB,2.12%,384MB / 5.43MB,417MB / 162MB,26
2026-06-21T17:04:05+08:00,RPA-minio,0.00%,160.1MiB / 15.4GiB,1.02%,1.08GB / 36.2MB,451MB / 1.61GB,53
2026-06-21T17:04:05+08:00,rmqnamesrv,0.42%,126.6MiB / 15.4GiB,0.80%,3.59MB / 2.73MB,249MB / 498MB,81
2026-06-21T17:04:05+08:00,RPA-cadvisor,5.45%,266.8MiB / 15.4GiB,1.69%,5.35MB / 382MB,215MB / 20.8MB,28
2026-06-21T17:04:08+08:00,script-k6-run-34f3e86682dc,32.27%,38.88MiB / 15.4GiB,0.25%,61MB / 1.73MB,250kB / 0B,26
2026-06-21T17:04:08+08:00,RPA-app,69.30%,54.24MiB / 2GiB,2.65%,7.19GB / 5.36GB,349MB / 536MB,26
2026-06-21T17:04:08+08:00,RPA-pgdb,1574.01%,261.3MiB / 15.4GiB,1.66%,1.82GB / 11.5GB,58.9MB / 2.17GB,59
2026-06-21T17:04:08+08:00,RPA-redis,0.26%,8.883MiB / 15.4GiB,0.06%,1.18GB / 1.07GB,32.4MB / 13.6MB,7
2026-06-21T17:04:08+08:00,RPA-grafana,0.57%,91.95MiB / 15.4GiB,0.58%,23.6MB / 292kB,736MB / 143MB,25
2026-06-21T17:04:08+08:00,RPA-alloy,33.33%,230.6MiB / 15.4GiB,1.46%,6.25MB / 2.44GB,928MB / 75.7MB,27
2026-06-21T17:04:08+08:00,RPA-loki,34.27%,557.6MiB / 15.4GiB,3.54%,2.44GB / 1.03GB,755MB / 15.7GB,26
2026-06-21T17:04:08+08:00,rmqbroker,8.36%,1.171GiB / 15.4GiB,7.61%,2.69MB / 4.18MB,830MB / 1.04GB,324
2026-06-21T17:04:08+08:00,rmqdashboard,0.12%,415.6MiB / 15.4GiB,2.64%,2.37MB / 1.28MB,359MB / 486MB,66
2026-06-21T17:04:08+08:00,RPA-prometheus,0.00%,332.9MiB / 15.4GiB,2.11%,384MB / 5.43MB,417MB / 162MB,26
2026-06-21T17:04:08+08:00,RPA-minio,1.80%,160.3MiB / 15.4GiB,1.02%,1.08GB / 36.2MB,451MB / 1.61GB,53
2026-06-21T17:04:08+08:00,rmqnamesrv,0.36%,126.7MiB / 15.4GiB,0.80%,3.59MB / 2.73MB,249MB / 498MB,81
2026-06-21T17:04:08+08:00,RPA-cadvisor,5.44%,274.2MiB / 15.4GiB,1.74%,5.35MB / 382MB,215MB / 20.8MB,28
2026-06-21T17:04:12+08:00,script-k6-run-34f3e86682dc,34.16%,38.36MiB / 15.4GiB,0.24%,83.3MB / 2.36MB,250kB / 0B,26
2026-06-21T17:04:12+08:00,RPA-app,67.84%,53.93MiB / 2GiB,2.63%,7.2GB / 5.38GB,349MB / 536MB,26
2026-06-21T17:04:12+08:00,RPA-pgdb,1530.37%,262.9MiB / 15.4GiB,1.67%,1.82GB / 11.5GB,58.9MB / 2.17GB,59
2026-06-21T17:04:12+08:00,RPA-redis,0.24%,8.883MiB / 15.4GiB,0.06%,1.18GB / 1.07GB,32.4MB / 13.6MB,7
2026-06-21T17:04:12+08:00,RPA-grafana,0.19%,91.73MiB / 15.4GiB,0.58%,23.6MB / 292kB,736MB / 143MB,25
2026-06-21T17:04:12+08:00,RPA-alloy,47.86%,241.9MiB / 15.4GiB,1.53%,6.26MB / 2.45GB,936MB / 75.7MB,27
2026-06-21T17:04:12+08:00,RPA-loki,40.51%,567.7MiB / 15.4GiB,3.60%,2.45GB / 1.03GB,755MB / 15.7GB,26
