timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:07:09+08:00,RPA-app,114.31%,57.5MiB / 2GiB,2.81%,9.01GB / 7.4GB,351MB / 536MB,26
2026-06-21T17:07:09+08:00,RPA-pgdb,218.73%,190.3MiB / 15.4GiB,1.21%,2.05GB / 13GB,58.9MB / 2.17GB,36
2026-06-21T17:07:09+08:00,RPA-redis,5.62%,9.445MiB / 15.4GiB,0.06%,1.26GB / 1.19GB,32.4MB / 13.6MB,7
2026-06-21T17:07:09+08:00,RPA-grafana,0.45%,107.1MiB / 15.4GiB,0.68%,23.6MB / 294kB,753MB / 143MB,25
2026-06-21T17:07:09+08:00,RPA-alloy,110.22%,245.6MiB / 15.4GiB,1.56%,6.58MB / 2.62GB,937MB / 76.2MB,27
2026-06-21T17:07:09+08:00,RPA-loki,27.31%,572.6MiB / 15.4GiB,3.63%,2.62GB / 1.11GB,769MB / 16.7GB,26
2026-06-21T17:07:09+08:00,rmqbroker,5.14%,1.189GiB / 15.4GiB,7.72%,2.74MB / 4.25MB,851MB / 1.05GB,324
2026-06-21T17:07:09+08:00,rmqdashboard,0.08%,421.1MiB / 15.4GiB,2.67%,2.4MB / 1.3MB,365MB / 487MB,66
2026-06-21T17:07:09+08:00,RPA-prometheus,0.00%,341.3MiB / 15.4GiB,2.17%,388MB / 5.5MB,421MB / 163MB,26
2026-06-21T17:07:09+08:00,RPA-minio,0.00%,273.5MiB / 15.4GiB,1.73%,1.16GB / 36.3MB,515MB / 1.7GB,53
2026-06-21T17:07:09+08:00,rmqnamesrv,0.22%,127.9MiB / 15.4GiB,0.81%,3.64MB / 2.77MB,249MB / 498MB,81
2026-06-21T17:07:09+08:00,RPA-cadvisor,7.02%,278.7MiB / 15.4GiB,1.77%,5.42MB / 386MB,215MB / 20.8MB,28
2026-06-21T17:07:09+08:00,script-k6-run-02aa5ca1d09f,103.19%,51.82MiB / 15.4GiB,0.33%,21MB / 2.46MB,250kB / 0B,25
2026-06-21T17:07:13+08:00,script-k6-run-02aa5ca1d09f,116.00%,79.92MiB / 15.4GiB,0.51%,60.8MB / 7.09MB,250kB / 0B,25
2026-06-21T17:07:13+08:00,RPA-app,188.58%,56.76MiB / 2GiB,2.77%,9.07GB / 7.47GB,351MB / 536MB,26
2026-06-21T17:07:13+08:00,RPA-pgdb,338.71%,180.6MiB / 15.4GiB,1.15%,2.06GB / 13.1GB,58.9MB / 2.17GB,31
2026-06-21T17:07:13+08:00,RPA-redis,12.65%,10.38MiB / 15.4GiB,0.07%,1.27GB / 1.2GB,32.4MB / 13.6MB,7
2026-06-21T17:07:13+08:00,RPA-grafana,0.21%,107.1MiB / 15.4GiB,0.68%,23.6MB / 294kB,753MB / 143MB,25
2026-06-21T17:07:13+08:00,RPA-alloy,160.21%,236.7MiB / 15.4GiB,1.50%,6.58MB / 2.63GB,937MB / 76.2MB,27
2026-06-21T17:07:13+08:00,RPA-loki,19.13%,561.8MiB / 15.4GiB,3.56%,2.63GB / 1.11GB,769MB / 16.7GB,26
2026-06-21T17:07:13+08:00,rmqbroker,5.98%,1.19GiB / 15.4GiB,7.73%,2.74MB / 4.25MB,851MB / 1.05GB,324
2026-06-21T17:07:13+08:00,rmqdashboard,0.19%,421.1MiB / 15.4GiB,2.67%,2.4MB / 1.3MB,365MB / 487MB,66
2026-06-21T17:07:13+08:00,RPA-prometheus,0.00%,341.3MiB / 15.4GiB,2.17%,388MB / 5.5MB,421MB / 163MB,26
2026-06-21T17:07:13+08:00,RPA-minio,0.01%,273.5MiB / 15.4GiB,1.73%,1.16GB / 36.3MB,515MB / 1.7GB,53
2026-06-21T17:07:13+08:00,rmqnamesrv,0.15%,127.9MiB / 15.4GiB,0.81%,3.64MB / 2.77MB,249MB / 498MB,81
2026-06-21T17:07:13+08:00,RPA-cadvisor,3.93%,280.1MiB / 15.4GiB,1.78%,5.42MB / 386MB,215MB / 20.8MB,28
2026-06-21T17:07:16+08:00,script-k6-run-02aa5ca1d09f,146.73%,72.07MiB / 15.4GiB,0.46%,98.3MB / 11.5MB,250kB / 0B,25
2026-06-21T17:07:16+08:00,RPA-app,177.13%,57.23MiB / 2GiB,2.79%,9.11GB / 7.51GB,351MB / 536MB,26
2026-06-21T17:07:16+08:00,RPA-pgdb,423.21%,177.3MiB / 15.4GiB,1.12%,2.06GB / 13.1GB,58.9MB / 2.17GB,33
2026-06-21T17:07:16+08:00,RPA-redis,15.40%,10.43MiB / 15.4GiB,0.07%,1.27GB / 1.2GB,32.4MB / 13.6MB,7
2026-06-21T17:07:16+08:00,RPA-grafana,0.20%,107.1MiB / 15.4GiB,0.68%,23.6MB / 294kB,753MB / 143MB,25
2026-06-21T17:07:16+08:00,RPA-alloy,112.84%,218.3MiB / 15.4GiB,1.38%,6.59MB / 2.63GB,937MB / 76.2MB,27
2026-06-21T17:07:16+08:00,RPA-loki,25.54%,583.5MiB / 15.4GiB,3.70%,2.63GB / 1.11GB,769MB / 16.7GB,26
2026-06-21T17:07:16+08:00,rmqbroker,5.81%,1.189GiB / 15.4GiB,7.73%,2.74MB / 4.25MB,851MB / 1.05GB,324
2026-06-21T17:07:16+08:00,rmqdashboard,0.08%,421.1MiB / 15.4GiB,2.67%,2.4MB / 1.3MB,365MB / 487MB,66
2026-06-21T17:07:16+08:00,RPA-prometheus,0.03%,341.4MiB / 15.4GiB,2.17%,388MB / 5.51MB,421MB / 163MB,26
2026-06-21T17:07:16+08:00,RPA-minio,0.02%,273.5MiB / 15.4GiB,1.73%,1.16GB / 36.3MB,515MB / 1.7GB,53
2026-06-21T17:07:16+08:00,rmqnamesrv,0.14%,127.9MiB / 15.4GiB,0.81%,3.64MB / 2.77MB,249MB / 498MB,81
2026-06-21T17:07:16+08:00,RPA-cadvisor,4.11%,263.6MiB / 15.4GiB,1.67%,5.42MB / 386MB,215MB / 20.8MB,28
2026-06-21T17:07:19+08:00,script-k6-run-02aa5ca1d09f,160.21%,65.41MiB / 15.4GiB,0.41%,136MB / 15.9MB,250kB / 0B,25
2026-06-21T17:07:19+08:00,RPA-app,176.48%,57.41MiB / 2GiB,2.80%,9.15GB / 7.56GB,351MB / 536MB,26
2026-06-21T17:07:19+08:00,RPA-pgdb,438.61%,179.8MiB / 15.4GiB,1.14%,2.07GB / 13.1GB,58.9MB / 2.17GB,30
2026-06-21T17:07:19+08:00,RPA-redis,15.82%,9.457MiB / 15.4GiB,0.06%,1.27GB / 1.2GB,32.4MB / 13.6MB,7
2026-06-21T17:07:19+08:00,RPA-grafana,0.25%,107.1MiB / 15.4GiB,0.68%,23.6MB / 294kB,753MB / 143MB,25
2026-06-21T17:07:19+08:00,RPA-alloy,157.26%,223.1MiB / 15.4GiB,1.42%,6.6MB / 2.63GB,937MB / 76.2MB,27
