timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:06:07+08:00,RPA-app,131.04%,57.41MiB / 2GiB,2.80%,8.28GB / 6.59GB,351MB / 536MB,26
2026-06-21T17:06:07+08:00,RPA-pgdb,279.95%,197.1MiB / 15.4GiB,1.25%,1.94GB / 12.4GB,58.9MB / 2.17GB,44
2026-06-21T17:06:07+08:00,RPA-redis,7.99%,9.723MiB / 15.4GiB,0.06%,1.22GB / 1.13GB,32.4MB / 13.6MB,7
2026-06-21T17:06:07+08:00,RPA-grafana,0.16%,98.96MiB / 15.4GiB,0.63%,23.6MB / 292kB,744MB / 143MB,25
2026-06-21T17:06:07+08:00,RPA-alloy,82.76%,217MiB / 15.4GiB,1.38%,6.47MB / 2.56GB,936MB / 76MB,27
2026-06-21T17:06:07+08:00,RPA-loki,24.35%,571.9MiB / 15.4GiB,3.63%,2.56GB / 1.08GB,769MB / 16.4GB,26
2026-06-21T17:06:07+08:00,rmqbroker,3.31%,1.186GiB / 15.4GiB,7.71%,2.72MB / 4.22MB,847MB / 1.04GB,324
2026-06-21T17:06:07+08:00,rmqdashboard,0.07%,421.1MiB / 15.4GiB,2.67%,2.39MB / 1.3MB,365MB / 487MB,66
2026-06-21T17:06:07+08:00,RPA-prometheus,0.00%,354.3MiB / 15.4GiB,2.25%,387MB / 5.48MB,421MB / 162MB,26
2026-06-21T17:06:07+08:00,RPA-minio,8.46%,233.8MiB / 15.4GiB,1.48%,1.13GB / 36.2MB,495MB / 1.67GB,53
2026-06-21T17:06:07+08:00,rmqnamesrv,0.40%,127.1MiB / 15.4GiB,0.81%,3.62MB / 2.75MB,249MB / 498MB,81
2026-06-21T17:06:07+08:00,RPA-cadvisor,3.46%,269.2MiB / 15.4GiB,1.71%,5.4MB / 384MB,215MB / 20.8MB,28
2026-06-21T17:06:07+08:00,script-k6-run-130b5ba3e850,105.56%,52.81MiB / 15.4GiB,0.33%,23.4MB / 2.75MB,250kB / 0B,25
2026-06-21T17:06:11+08:00,script-k6-run-130b5ba3e850,147.09%,80.52MiB / 15.4GiB,0.51%,57.8MB / 6.78MB,250kB / 0B,25
2026-06-21T17:06:11+08:00,RPA-app,174.47%,56.96MiB / 2GiB,2.78%,8.33GB / 6.65GB,351MB / 536MB,26
2026-06-21T17:06:11+08:00,RPA-pgdb,420.92%,185MiB / 15.4GiB,1.17%,1.95GB / 12.5GB,58.9MB / 2.17GB,35
2026-06-21T17:06:11+08:00,RPA-redis,15.77%,9.203MiB / 15.4GiB,0.06%,1.22GB / 1.14GB,32.4MB / 13.6MB,7
2026-06-21T17:06:11+08:00,RPA-grafana,0.43%,107.5MiB / 15.4GiB,0.68%,23.6MB / 294kB,753MB / 143MB,25
2026-06-21T17:06:11+08:00,RPA-alloy,136.10%,235.6MiB / 15.4GiB,1.49%,6.47MB / 2.56GB,936MB / 76MB,27
2026-06-21T17:06:11+08:00,RPA-loki,69.36%,582.4MiB / 15.4GiB,3.69%,2.56GB / 1.08GB,769MB / 16.4GB,26
