timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:13:39+08:00,RPA-app,30.77%,24.34MiB / 2GiB,1.19%,816MB / 449MB,0B / 24.6kB,8
2026-06-21T17:13:39+08:00,RPA-pgdb,0.24%,137.7MiB / 15.4GiB,0.87%,2.16GB / 13.7GB,62.4MB / 2.17GB,10
2026-06-21T17:13:39+08:00,RPA-redis,3.40%,10.97MiB / 15.4GiB,0.07%,1.64GB / 1.52GB,32.5MB / 13.6MB,7
2026-06-21T17:13:39+08:00,RPA-grafana,0.16%,94.53MiB / 15.4GiB,0.60%,23.6MB / 294kB,776MB / 143MB,25
2026-06-21T17:13:39+08:00,RPA-alloy,116.26%,237.1MiB / 15.4GiB,1.50%,7.28MB / 3.02GB,963MB / 77.6MB,27
2026-06-21T17:13:39+08:00,RPA-loki,13.22%,616.6MiB / 15.4GiB,3.91%,3.02GB / 1.29GB,784MB / 19GB,26
2026-06-21T17:13:39+08:00,rmqbroker,3.49%,1.202GiB / 15.4GiB,7.81%,2.88MB / 4.39MB,962MB / 1.11GB,324
2026-06-21T17:13:39+08:00,rmqdashboard,0.26%,391.8MiB / 15.4GiB,2.49%,2.46MB / 1.34MB,378MB / 529MB,66
2026-06-21T17:13:39+08:00,RPA-prometheus,0.00%,323.1MiB / 15.4GiB,2.05%,397MB / 5.65MB,421MB / 165MB,26
2026-06-21T17:13:39+08:00,RPA-minio,0.03%,170.1MiB / 15.4GiB,1.08%,1.33GB / 36.4MB,521MB / 1.89GB,53
2026-06-21T17:13:39+08:00,rmqnamesrv,0.11%,112.7MiB / 15.4GiB,0.72%,3.73MB / 2.84MB,250MB / 520MB,81
2026-06-21T17:13:39+08:00,RPA-cadvisor,5.94%,230MiB / 15.4GiB,1.46%,5.55MB / 395MB,219MB / 20.9MB,28
2026-06-21T17:13:39+08:00,script-k6-run-2e0ad1d11478,324.97%,86.12MiB / 15.4GiB,0.55%,9.18MB / 21.6MB,4.1kB / 0B,25
2026-06-21T17:13:42+08:00,script-k6-run-2e0ad1d11478,365.61%,188.4MiB / 15.4GiB,1.20%,28.2MB / 66MB,4.1kB / 0B,25
2026-06-21T17:13:42+08:00,RPA-app,180.08%,23.71MiB / 2GiB,1.16%,887MB / 485MB,0B / 28.7kB,8
2026-06-21T17:13:42+08:00,RPA-pgdb,0.01%,137.7MiB / 15.4GiB,0.87%,2.16GB / 13.7GB,62.4MB / 2.17GB,10
2026-06-21T17:13:42+08:00,RPA-redis,27.01%,10.52MiB / 15.4GiB,0.07%,1.64GB / 1.53GB,32.5MB / 13.6MB,7
2026-06-21T17:13:42+08:00,RPA-grafana,0.20%,97.26MiB / 15.4GiB,0.62%,23.6MB / 294kB,779MB / 143MB,25
