timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:12:37+08:00,RPA-app,97.62%,23.89MiB / 2GiB,1.17%,10.9MB / 5.97MB,0B / 0B,8
2026-06-21T17:12:37+08:00,RPA-pgdb,0.03%,137.4MiB / 15.4GiB,0.87%,2.16GB / 13.7GB,62.4MB / 2.17GB,10
2026-06-21T17:12:37+08:00,RPA-redis,12.23%,10.12MiB / 15.4GiB,0.06%,1.52GB / 1.43GB,32.5MB / 13.6MB,7
2026-06-21T17:12:37+08:00,RPA-grafana,0.11%,94.12MiB / 15.4GiB,0.60%,23.6MB / 294kB,775MB / 143MB,25
2026-06-21T17:12:37+08:00,RPA-alloy,38.77%,209.8MiB / 15.4GiB,1.33%,7.16MB / 2.95GB,948MB / 77.4MB,27
2026-06-21T17:12:37+08:00,RPA-loki,48.25%,549.8MiB / 15.4GiB,3.49%,2.95GB / 1.26GB,781MB / 18.6GB,26
2026-06-21T17:12:37+08:00,rmqbroker,3.75%,1.201GiB / 15.4GiB,7.80%,2.86MB / 4.37MB,961MB / 1.11GB,324
2026-06-21T17:12:37+08:00,rmqdashboard,0.06%,391.7MiB / 15.4GiB,2.48%,2.45MB / 1.33MB,378MB / 529MB,66
2026-06-21T17:12:37+08:00,RPA-prometheus,0.00%,309.1MiB / 15.4GiB,1.96%,396MB / 5.63MB,421MB / 164MB,26
2026-06-21T17:12:37+08:00,RPA-minio,0.02%,168.3MiB / 15.4GiB,1.07%,1.3GB / 36.4MB,521MB / 1.86GB,53
2026-06-21T17:12:37+08:00,rmqnamesrv,0.08%,112MiB / 15.4GiB,0.71%,3.71MB / 2.83MB,250MB / 520MB,81
2026-06-21T17:12:37+08:00,RPA-cadvisor,3.27%,267.9MiB / 15.4GiB,1.70%,5.53MB / 394MB,217MB / 20.9MB,28
2026-06-21T17:12:37+08:00,script-k6-run-4e91b9083297,331.30%,106MiB / 15.4GiB,0.67%,11.9MB / 26.1MB,4.1kB / 0B,26
2026-06-21T17:12:40+08:00,script-k6-run-4e91b9083297,339.11%,230.1MiB / 15.4GiB,1.46%,34.2MB / 74.5MB,4.1kB / 0B,26
2026-06-21T17:12:40+08:00,RPA-app,165.13%,24.28MiB / 2GiB,1.19%,84.2MB / 46.2MB,0B / 0B,8
2026-06-21T17:12:40+08:00,RPA-pgdb,0.01%,137.4MiB / 15.4GiB,0.87%,2.16GB / 13.7GB,62.4MB / 2.17GB,10
2026-06-21T17:12:40+08:00,RPA-redis,21.31%,10.83MiB / 15.4GiB,0.07%,1.53GB / 1.44GB,32.5MB / 13.6MB,7
2026-06-21T17:12:40+08:00,RPA-grafana,0.16%,94.52MiB / 15.4GiB,0.60%,23.6MB / 294kB,776MB / 143MB,25
2026-06-21T17:12:40+08:00,RPA-alloy,8.05%,208.8MiB / 15.4GiB,1.32%,7.17MB / 2.96GB,948MB / 77.4MB,27
2026-06-21T17:12:40+08:00,RPA-loki,33.81%,589.8MiB / 15.4GiB,3.74%,2.96GB / 1.26GB,781MB / 18.6GB,26
2026-06-21T17:12:40+08:00,rmqbroker,4.15%,1.201GiB / 15.4GiB,7.80%,2.86MB / 4.38MB,961MB / 1.11GB,324
2026-06-21T17:12:40+08:00,rmqdashboard,0.05%,391.7MiB / 15.4GiB,2.48%,2.45MB / 1.33MB,378MB / 529MB,66
2026-06-21T17:12:40+08:00,RPA-prometheus,0.03%,309.1MiB / 15.4GiB,1.96%,396MB / 5.63MB,421MB / 164MB,26
2026-06-21T17:12:40+08:00,RPA-minio,1.15%,168.8MiB / 15.4GiB,1.07%,1.3GB / 36.4MB,521MB / 1.86GB,53
2026-06-21T17:12:40+08:00,rmqnamesrv,0.13%,112.3MiB / 15.4GiB,0.71%,3.72MB / 2.83MB,250MB / 520MB,81
2026-06-21T17:12:40+08:00,RPA-cadvisor,2.26%,266.2MiB / 15.4GiB,1.69%,5.53MB / 394MB,217MB / 20.9MB,28
2026-06-21T17:12:43+08:00,script-k6-run-4e91b9083297,322.85%,196.9MiB / 15.4GiB,1.25%,56.1MB / 122MB,4.1kB / 0B,26
2026-06-21T17:12:43+08:00,RPA-app,173.07%,23.78MiB / 2GiB,1.16%,138MB / 76MB,0B / 0B,8
2026-06-21T17:12:43+08:00,RPA-pgdb,0.01%,137.4MiB / 15.4GiB,0.87%,2.16GB / 13.7GB,62.4MB / 2.17GB,10
2026-06-21T17:12:43+08:00,RPA-redis,22.09%,9.953MiB / 15.4GiB,0.06%,1.54GB / 1.44GB,32.5MB / 13.6MB,7
2026-06-21T17:12:43+08:00,RPA-grafana,0.18%,94.52MiB / 15.4GiB,0.60%,23.6MB / 294kB,776MB / 143MB,25
2026-06-21T17:12:43+08:00,RPA-alloy,94.12%,211.3MiB / 15.4GiB,1.34%,7.18MB / 2.96GB,948MB / 77.4MB,27
2026-06-21T17:12:43+08:00,RPA-loki,24.21%,536.6MiB / 15.4GiB,3.40%,2.96GB / 1.27GB,781MB / 18.6GB,26
2026-06-21T17:12:43+08:00,rmqbroker,4.49%,1.201GiB / 15.4GiB,7.80%,2.86MB / 4.38MB,961MB / 1.11GB,324
2026-06-21T17:12:43+08:00,rmqdashboard,0.15%,391.7MiB / 15.4GiB,2.48%,2.45MB / 1.33MB,378MB / 529MB,66
2026-06-21T17:12:43+08:00,RPA-prometheus,0.00%,309.1MiB / 15.4GiB,1.96%,396MB / 5.63MB,421MB / 164MB,26
2026-06-21T17:12:43+08:00,RPA-minio,0.03%,168.8MiB / 15.4GiB,1.07%,1.32GB / 36.4MB,521MB / 1.88GB,53
2026-06-21T17:12:43+08:00,rmqnamesrv,0.15%,112.8MiB / 15.4GiB,0.72%,3.72MB / 2.83MB,250MB / 520MB,81
2026-06-21T17:12:43+08:00,RPA-cadvisor,2.85%,230.7MiB / 15.4GiB,1.46%,5.53MB / 394MB,217MB / 20.9MB,28
2026-06-21T17:12:46+08:00,script-k6-run-4e91b9083297,349.16%,165.8MiB / 15.4GiB,1.05%,78MB / 170MB,4.1kB / 0B,26
2026-06-21T17:12:46+08:00,RPA-app,176.84%,24.18MiB / 2GiB,1.18%,192MB / 106MB,0B / 4.1kB,8
2026-06-21T17:12:46+08:00,RPA-pgdb,0.00%,137.4MiB / 15.4GiB,0.87%,2.16GB / 13.7GB,62.4MB / 2.17GB,10
