timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T17:12:32+08:00,RPA-pgdb,1.04%,137.4MiB / 15.4GiB,0.87%,2.16GB / 13.7GB,62.4MB / 2.17GB,10
2026-06-21T17:12:32+08:00,RPA-redis,0.18%,8.719MiB / 15.4GiB,0.06%,1.52GB / 1.43GB,32.5MB / 13.6MB,7
2026-06-21T17:12:32+08:00,RPA-grafana,0.15%,94.12MiB / 15.4GiB,0.60%,23.6MB / 294kB,775MB / 143MB,25
2026-06-21T17:12:32+08:00,RPA-alloy,25.41%,195.5MiB / 15.4GiB,1.24%,7.16MB / 2.95GB,948MB / 77.4MB,27
2026-06-21T17:12:32+08:00,RPA-loki,16.29%,563.1MiB / 15.4GiB,3.57%,2.95GB / 1.26GB,781MB / 18.6GB,26
2026-06-21T17:12:32+08:00,rmqbroker,4.32%,1.201GiB / 15.4GiB,7.80%,2.86MB / 4.37MB,961MB / 1.11GB,324
2026-06-21T17:12:32+08:00,rmqdashboard,0.07%,391.7MiB / 15.4GiB,2.48%,2.45MB / 1.33MB,378MB / 529MB,66
2026-06-21T17:12:32+08:00,RPA-prometheus,0.11%,309.1MiB / 15.4GiB,1.96%,396MB / 5.63MB,421MB / 164MB,26
2026-06-21T17:12:32+08:00,RPA-minio,0.10%,168.3MiB / 15.4GiB,1.07%,1.3GB / 36.4MB,521MB / 1.86GB,53
2026-06-21T17:12:32+08:00,rmqnamesrv,0.32%,112.2MiB / 15.4GiB,0.71%,3.71MB / 2.83MB,250MB / 519MB,81
2026-06-21T17:12:32+08:00,RPA-cadvisor,2.07%,257.1MiB / 15.4GiB,1.63%,5.53MB / 394MB,217MB / 20.9MB,28
2026-06-21T17:12:32+08:00,RPA-app,0.06%,71.73MiB / 2GiB,3.50%,16.8kB / 23.4kB,0B / 0B,7
2026-06-21T17:12:32+08:00,script-k6-run-96f1af459470,0.02%,12.52MiB / 15.4GiB,0.08%,8.74kB / 8.95kB,250kB / 0B,18
2026-06-21T17:12:36+08:00,RPA-app,97.62%,23.89MiB / 2GiB,1.17%,10.9MB / 5.97MB,0B / 0B,8
2026-06-21T17:12:36+08:00,RPA-pgdb,0.03%,137.4MiB / 15.4GiB,0.87%,2.16GB / 13.7GB,62.4MB / 2.17GB,10
2026-06-21T17:12:36+08:00,RPA-redis,12.23%,10.12MiB / 15.4GiB,0.06%,1.52GB / 1.43GB,32.5MB / 13.6MB,7
2026-06-21T17:12:36+08:00,RPA-grafana,0.11%,94.12MiB / 15.4GiB,0.60%,23.6MB / 294kB,775MB / 143MB,25
2026-06-21T17:12:36+08:00,RPA-alloy,38.77%,209.8MiB / 15.4GiB,1.33%,7.16MB / 2.95GB,948MB / 77.4MB,27
2026-06-21T17:12:36+08:00,RPA-loki,16.20%,563MiB / 15.4GiB,3.57%,2.95GB / 1.26GB,781MB / 18.6GB,26
2026-06-21T17:12:36+08:00,rmqbroker,3.75%,1.201GiB / 15.4GiB,7.80%,2.86MB / 4.37MB,961MB / 1.11GB,324
2026-06-21T17:12:36+08:00,rmqdashboard,0.06%,391.7MiB / 15.4GiB,2.48%,2.45MB / 1.33MB,378MB / 529MB,66
2026-06-21T17:12:36+08:00,RPA-prometheus,0.00%,309.1MiB / 15.4GiB,1.96%,396MB / 5.63MB,421MB / 164MB,26
2026-06-21T17:12:36+08:00,RPA-minio,0.02%,168.3MiB / 15.4GiB,1.07%,1.3GB / 36.4MB,521MB / 1.86GB,53
2026-06-21T17:12:36+08:00,rmqnamesrv,0.08%,112MiB / 15.4GiB,0.71%,3.71MB / 2.83MB,250MB / 520MB,81
2026-06-21T17:12:36+08:00,RPA-cadvisor,3.27%,267.9MiB / 15.4GiB,1.70%,5.53MB / 394MB,217MB / 20.9MB,28
2026-06-21T17:12:36+08:00,script-k6-run-4e91b9083297,331.30%,106MiB / 15.4GiB,0.67%,11.9MB / 26.1MB,4.1kB / 0B,26
