timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T16:50:26+08:00,RPA-pgdb,0.78%,110.7MiB / 15.4GiB,0.70%,1.22GB / 9.15GB,57.3MB / 1.05GB,10
2026-06-21T16:50:26+08:00,RPA-redis,0.13%,8.301MiB / 15.4GiB,0.05%,496MB / 526MB,32.1MB / 12.4MB,7
2026-06-21T16:50:26+08:00,RPA-grafana,0.16%,158.2MiB / 15.4GiB,1.00%,23.6MB / 289kB,715MB / 142MB,25
2026-06-21T16:50:26+08:00,RPA-alloy,0.15%,183.4MiB / 15.4GiB,1.16%,5.39MB / 2GB,900MB / 72.7MB,27
2026-06-21T16:50:26+08:00,RPA-loki,0.29%,544.7MiB / 15.4GiB,3.45%,2GB / 830MB,674MB / 13.1GB,26
2026-06-21T16:50:26+08:00,rmqbroker,4.65%,1.137GiB / 15.4GiB,7.38%,2.43MB / 3.86MB,697MB / 996MB,324
2026-06-21T16:50:26+08:00,rmqdashboard,0.07%,417.2MiB / 15.4GiB,2.65%,2.23MB / 1.21MB,353MB / 476MB,66
2026-06-21T16:50:26+08:00,RPA-prometheus,0.12%,335MiB / 15.4GiB,2.12%,364MB / 5.11MB,353MB / 134MB,26
2026-06-21T16:50:26+08:00,RPA-minio,0.13%,298.6MiB / 15.4GiB,1.89%,851MB / 17.8MB,439MB / 1.29GB,53
2026-06-21T16:50:26+08:00,rmqnamesrv,0.35%,129.2MiB / 15.4GiB,0.82%,3.4MB / 2.58MB,243MB / 481MB,81
2026-06-21T16:50:26+08:00,RPA-cadvisor,3.91%,288.5MiB / 15.4GiB,1.83%,5.07MB / 362MB,211MB / 20.7MB,28
2026-06-21T16:50:26+08:00,RPA-app,0.07%,71.5MiB / 2GiB,3.49%,18.6kB / 23.4kB,73.7kB / 0B,7
