timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:40:31+08:00,RPA-app,1.00%,14.84MiB / 2GiB,0.72%,2.28MB / 2.83MB,0B / 0B,8
2026-06-21T15:40:31+08:00,RPA-pgdb,0.80%,36.97MiB / 15.4GiB,0.23%,1.39MB / 1.25MB,24.9MB / 18.4MB,11
2026-06-21T15:40:31+08:00,RPA-redis,0.45%,11.66MiB / 15.4GiB,0.07%,182kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:31+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:31+08:00,RPA-alloy,0.36%,191.3MiB / 15.4GiB,1.21%,192kB / 867kB,575MB / 50MB,26
2026-06-21T15:40:31+08:00,RPA-loki,0.38%,110.4MiB / 15.4GiB,0.70%,1.23MB / 587kB,332MB / 32.1MB,25
2026-06-21T15:40:31+08:00,rmqbroker,2.92%,1.283GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,125MB / 335MB,259
2026-06-21T15:40:31+08:00,rmqdashboard,0.07%,533.1MiB / 15.4GiB,3.38%,1.6MB / 875kB,192MB / 177MB,66
2026-06-21T15:40:31+08:00,RPA-prometheus,0.02%,318.6MiB / 15.4GiB,2.02%,267MB / 3.61MB,264MB / 106MB,26
2026-06-21T15:40:31+08:00,RPA-minio,0.00%,143.1MiB / 15.4GiB,0.91%,1.03MB / 684kB,184MB / 30.2MB,25
2026-06-21T15:40:31+08:00,rmqnamesrv,0.11%,263.5MiB / 15.4GiB,1.67%,2.45MB / 1.87MB,210MB / 259MB,81
2026-06-21T15:40:31+08:00,RPA-cadvisor,2.14%,264MiB / 15.4GiB,1.67%,3.65MB / 267MB,158MB / 20.2MB,28
2026-06-21T15:40:31+08:00,script-k6-run-48c7c99be985,1.85%,22.48MiB / 15.4GiB,0.14%,19.8kB / 16.5kB,4.1kB / 0B,25
2026-06-21T15:40:35+08:00,script-k6-run-48c7c99be985,1.39%,23.63MiB / 15.4GiB,0.15%,52kB / 40.1kB,4.1kB / 0B,25
2026-06-21T15:40:35+08:00,RPA-app,1.86%,16.59MiB / 2GiB,0.81%,2.38MB / 2.99MB,0B / 0B,8
2026-06-21T15:40:35+08:00,RPA-pgdb,3.07%,38.63MiB / 15.4GiB,0.25%,1.51MB / 1.32MB,24.9MB / 19.9MB,11
2026-06-21T15:40:35+08:00,RPA-redis,0.12%,10.61MiB / 15.4GiB,0.07%,182kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:35+08:00,RPA-grafana,0.17%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:35+08:00,RPA-alloy,0.46%,192.3MiB / 15.4GiB,1.22%,193kB / 876kB,575MB / 50MB,26
2026-06-21T15:40:35+08:00,RPA-loki,0.45%,110.9MiB / 15.4GiB,0.70%,1.24MB / 587kB,332MB / 32.1MB,25
2026-06-21T15:40:35+08:00,rmqbroker,3.79%,1.283GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,125MB / 335MB,259
2026-06-21T15:40:35+08:00,rmqdashboard,0.07%,533.1MiB / 15.4GiB,3.38%,1.6MB / 875kB,192MB / 177MB,66
2026-06-21T15:40:35+08:00,RPA-prometheus,0.35%,319.1MiB / 15.4GiB,2.02%,267MB / 3.61MB,264MB / 106MB,26
2026-06-21T15:40:35+08:00,RPA-minio,0.00%,143.1MiB / 15.4GiB,0.91%,1.03MB / 684kB,184MB / 30.2MB,25
2026-06-21T15:40:35+08:00,rmqnamesrv,0.12%,263.6MiB / 15.4GiB,1.67%,2.45MB / 1.87MB,210MB / 259MB,81
2026-06-21T15:40:35+08:00,RPA-cadvisor,2.53%,273.6MiB / 15.4GiB,1.74%,3.65MB / 267MB,158MB / 20.2MB,28
2026-06-21T15:40:38+08:00,script-k6-run-48c7c99be985,1.27%,24.36MiB / 15.4GiB,0.15%,82.2kB / 65.1kB,4.1kB / 0B,25
2026-06-21T15:40:38+08:00,RPA-app,1.67%,16.34MiB / 2GiB,0.80%,2.45MB / 3.11MB,0B / 0B,8
2026-06-21T15:40:38+08:00,RPA-pgdb,1.34%,38.26MiB / 15.4GiB,0.24%,1.6MB / 1.36MB,24.9MB / 20.9MB,11
2026-06-21T15:40:38+08:00,RPA-redis,0.12%,10.74MiB / 15.4GiB,0.07%,182kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:38+08:00,RPA-grafana,0.20%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:38+08:00,RPA-alloy,0.42%,191.6MiB / 15.4GiB,1.22%,193kB / 880kB,575MB / 50MB,26
2026-06-21T15:40:38+08:00,RPA-loki,0.40%,112.1MiB / 15.4GiB,0.71%,1.24MB / 588kB,332MB / 32.1MB,25
2026-06-21T15:40:38+08:00,rmqbroker,4.20%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,125MB / 335MB,259
2026-06-21T15:40:38+08:00,rmqdashboard,0.17%,533.6MiB / 15.4GiB,3.38%,1.6MB / 875kB,192MB / 177MB,66
2026-06-21T15:40:38+08:00,RPA-prometheus,0.00%,318.6MiB / 15.4GiB,2.02%,267MB / 3.61MB,264MB / 106MB,26
2026-06-21T15:40:38+08:00,RPA-minio,0.04%,143.1MiB / 15.4GiB,0.91%,1.03MB / 684kB,184MB / 30.2MB,25
2026-06-21T15:40:38+08:00,rmqnamesrv,0.11%,263.6MiB / 15.4GiB,1.67%,2.45MB / 1.87MB,210MB / 259MB,81
2026-06-21T15:40:38+08:00,RPA-cadvisor,2.15%,280.3MiB / 15.4GiB,1.78%,3.65MB / 267MB,158MB / 20.2MB,28
2026-06-21T15:40:41+08:00,script-k6-run-48c7c99be985,1.38%,25.41MiB / 15.4GiB,0.16%,111kB / 89.9kB,4.1kB / 0B,25
2026-06-21T15:40:41+08:00,RPA-app,1.59%,16.11MiB / 2GiB,0.79%,2.52MB / 3.23MB,0B / 0B,8
2026-06-21T15:40:41+08:00,RPA-pgdb,1.36%,38.07MiB / 15.4GiB,0.24%,1.69MB / 1.41MB,24.9MB / 22MB,11
2026-06-21T15:40:41+08:00,RPA-redis,0.38%,12.05MiB / 15.4GiB,0.08%,182kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:41+08:00,RPA-grafana,0.11%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:41+08:00,RPA-alloy,0.49%,191.6MiB / 15.4GiB,1.22%,194kB / 887kB,575MB / 50MB,26
2026-06-21T15:40:41+08:00,RPA-loki,0.39%,111.6MiB / 15.4GiB,0.71%,1.25MB / 588kB,332MB / 32.1MB,25
2026-06-21T15:40:41+08:00,rmqbroker,3.94%,1.283GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,125MB / 335MB,259
