timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:40:49+08:00,RPA-app,1.11%,16.18MiB / 2GiB,0.79%,2.65MB / 3.43MB,8.19kB / 0B,8
2026-06-21T15:40:49+08:00,RPA-pgdb,0.60%,38.77MiB / 15.4GiB,0.25%,1.83MB / 1.5MB,24.9MB / 23.5MB,11
2026-06-21T15:40:49+08:00,RPA-redis,0.15%,10.61MiB / 15.4GiB,0.07%,183kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:49+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:49+08:00,RPA-alloy,0.90%,193MiB / 15.4GiB,1.22%,195kB / 897kB,575MB / 50.1MB,26
2026-06-21T15:40:49+08:00,RPA-loki,0.46%,111.6MiB / 15.4GiB,0.71%,1.26MB / 589kB,332MB / 32.3MB,25
2026-06-21T15:40:49+08:00,rmqbroker,4.48%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,125MB / 335MB,259
2026-06-21T15:40:49+08:00,rmqdashboard,0.07%,533.2MiB / 15.4GiB,3.38%,1.6MB / 876kB,192MB / 177MB,66
2026-06-21T15:40:49+08:00,RPA-prometheus,0.00%,318.7MiB / 15.4GiB,2.02%,267MB / 3.62MB,264MB / 106MB,26
2026-06-21T15:40:49+08:00,RPA-minio,0.00%,143.1MiB / 15.4GiB,0.91%,1.03MB / 684kB,184MB / 30.2MB,25
2026-06-21T15:40:49+08:00,rmqnamesrv,0.19%,264.2MiB / 15.4GiB,1.68%,2.45MB / 1.87MB,210MB / 259MB,81
2026-06-21T15:40:49+08:00,RPA-cadvisor,2.62%,275MiB / 15.4GiB,1.74%,3.65MB / 267MB,158MB / 20.2MB,28
2026-06-21T15:40:49+08:00,script-k6-run-4707366f68dd,2.67%,24.59MiB / 15.4GiB,0.16%,32.5kB / 16.5kB,4.1kB / 0B,25
2026-06-21T15:40:53+08:00,script-k6-run-4707366f68dd,1.12%,23.66MiB / 15.4GiB,0.15%,80kB / 36kB,4.1kB / 0B,25
2026-06-21T15:40:53+08:00,RPA-app,1.29%,16.03MiB / 2GiB,0.78%,2.75MB / 3.55MB,8.19kB / 0B,8
2026-06-21T15:40:53+08:00,RPA-pgdb,0.52%,38.61MiB / 15.4GiB,0.24%,1.89MB / 1.57MB,24.9MB / 23.5MB,11
2026-06-21T15:40:53+08:00,RPA-redis,0.13%,10.61MiB / 15.4GiB,0.07%,183kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:53+08:00,RPA-grafana,0.13%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:53+08:00,RPA-alloy,0.44%,191.9MiB / 15.4GiB,1.22%,196kB / 907kB,575MB / 50.1MB,26
2026-06-21T15:40:53+08:00,RPA-loki,0.38%,111.1MiB / 15.4GiB,0.70%,1.27MB / 590kB,332MB / 32.3MB,25
2026-06-21T15:40:53+08:00,rmqbroker,3.74%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,125MB / 335MB,259
2026-06-21T15:40:53+08:00,rmqdashboard,0.12%,533.3MiB / 15.4GiB,3.38%,1.6MB / 876kB,192MB / 177MB,66
2026-06-21T15:40:53+08:00,RPA-prometheus,0.00%,318.8MiB / 15.4GiB,2.02%,267MB / 3.62MB,264MB / 106MB,26
2026-06-21T15:40:53+08:00,RPA-minio,0.00%,143.1MiB / 15.4GiB,0.91%,1.03MB / 684kB,184MB / 30.2MB,25
2026-06-21T15:40:53+08:00,rmqnamesrv,0.11%,263.7MiB / 15.4GiB,1.67%,2.45MB / 1.87MB,210MB / 259MB,81
2026-06-21T15:40:53+08:00,RPA-cadvisor,2.31%,278.2MiB / 15.4GiB,1.76%,3.65MB / 267MB,158MB / 20.2MB,28
2026-06-21T15:40:56+08:00,script-k6-run-4707366f68dd,1.29%,24.73MiB / 15.4GiB,0.16%,126kB / 58.5kB,4.1kB / 0B,25
2026-06-21T15:40:56+08:00,RPA-app,1.10%,15.63MiB / 2GiB,0.76%,2.83MB / 3.64MB,8.19kB / 0B,8
2026-06-21T15:40:56+08:00,RPA-pgdb,0.56%,38.39MiB / 15.4GiB,0.24%,1.93MB / 1.63MB,24.9MB / 23.5MB,11
2026-06-21T15:40:56+08:00,RPA-redis,0.55%,10.7MiB / 15.4GiB,0.07%,183kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:56+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:56+08:00,RPA-alloy,0.48%,192.1MiB / 15.4GiB,1.22%,197kB / 914kB,575MB / 50.1MB,26
2026-06-21T15:40:56+08:00,RPA-loki,0.40%,111.6MiB / 15.4GiB,0.71%,1.28MB / 591kB,332MB / 32.3MB,25
2026-06-21T15:40:56+08:00,rmqbroker,3.75%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,125MB / 335MB,259
2026-06-21T15:40:56+08:00,rmqdashboard,0.07%,533.3MiB / 15.4GiB,3.38%,1.6MB / 876kB,192MB / 177MB,66
2026-06-21T15:40:56+08:00,RPA-prometheus,0.01%,318.9MiB / 15.4GiB,2.02%,267MB / 3.62MB,264MB / 106MB,26
2026-06-21T15:40:56+08:00,RPA-minio,1.05%,145.2MiB / 15.4GiB,0.92%,1.03MB / 684kB,184MB / 30.3MB,25
2026-06-21T15:40:56+08:00,rmqnamesrv,0.10%,263.7MiB / 15.4GiB,1.67%,2.46MB / 1.87MB,210MB / 259MB,81
2026-06-21T15:40:56+08:00,RPA-cadvisor,6.94%,234.1MiB / 15.4GiB,1.49%,3.65MB / 267MB,158MB / 20.2MB,28
2026-06-21T15:40:59+08:00,script-k6-run-4707366f68dd,1.17%,24.98MiB / 15.4GiB,0.16%,171kB / 79.5kB,4.1kB / 0B,25
2026-06-21T15:40:59+08:00,RPA-app,1.25%,14.59MiB / 2GiB,0.71%,2.91MB / 3.73MB,8.19kB / 0B,8
2026-06-21T15:40:59+08:00,RPA-pgdb,0.52%,37.24MiB / 15.4GiB,0.24%,1.98MB / 1.69MB,24.9MB / 23.5MB,11
2026-06-21T15:40:59+08:00,RPA-redis,0.11%,10.61MiB / 15.4GiB,0.07%,183kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:59+08:00,RPA-grafana,0.12%,116.5MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:59+08:00,RPA-alloy,1.02%,192.7MiB / 15.4GiB,1.22%,197kB / 922kB,575MB / 50.1MB,26
2026-06-21T15:40:59+08:00,RPA-loki,0.42%,112.7MiB / 15.4GiB,0.71%,1.29MB / 592kB,332MB / 32.4MB,25
2026-06-21T15:40:59+08:00,rmqbroker,4.59%,1.282GiB / 15.4GiB,8.33%,1.46MB / 2.64MB,125MB / 335MB,259
2026-06-21T15:40:59+08:00,rmqdashboard,0.16%,533.3MiB / 15.4GiB,3.38%,1.6MB / 877kB,192MB / 177MB,66
2026-06-21T15:40:59+08:00,RPA-prometheus,4.09%,319.4MiB / 15.4GiB,2.03%,268MB / 3.62MB,264MB / 106MB,26
2026-06-21T15:40:59+08:00,RPA-minio,0.02%,144.8MiB / 15.4GiB,0.92%,1.03MB / 685kB,184MB / 30.3MB,25
