timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:41:06+08:00,RPA-app,1.37%,17.29MiB / 2GiB,0.84%,3.04MB / 3.88MB,8.19kB / 0B,8
2026-06-21T15:41:06+08:00,RPA-pgdb,0.65%,38.49MiB / 15.4GiB,0.24%,2.06MB / 1.78MB,24.9MB / 23.8MB,11
2026-06-21T15:41:06+08:00,RPA-redis,0.44%,10.86MiB / 15.4GiB,0.07%,183kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:41:06+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:41:06+08:00,RPA-alloy,0.45%,196.2MiB / 15.4GiB,1.24%,199kB / 937kB,577MB / 50.1MB,26
2026-06-21T15:41:06+08:00,RPA-loki,0.36%,111.5MiB / 15.4GiB,0.71%,1.3MB / 593kB,332MB / 32.4MB,25
2026-06-21T15:41:06+08:00,rmqbroker,3.51%,1.282GiB / 15.4GiB,8.33%,1.46MB / 2.64MB,125MB / 335MB,259
2026-06-21T15:41:06+08:00,rmqdashboard,0.07%,533.4MiB / 15.4GiB,3.38%,1.6MB / 877kB,192MB / 177MB,66
2026-06-21T15:41:06+08:00,RPA-prometheus,0.00%,319.8MiB / 15.4GiB,2.03%,268MB / 3.62MB,265MB / 106MB,26
2026-06-21T15:41:06+08:00,RPA-minio,0.02%,144.8MiB / 15.4GiB,0.92%,1.03MB / 685kB,184MB / 30.3MB,25
2026-06-21T15:41:06+08:00,rmqnamesrv,0.11%,263.8MiB / 15.4GiB,1.67%,2.46MB / 1.87MB,210MB / 259MB,81
2026-06-21T15:41:06+08:00,RPA-cadvisor,5.17%,282.4MiB / 15.4GiB,1.79%,3.66MB / 268MB,158MB / 20.2MB,28
2026-06-21T15:41:06+08:00,script-k6-run-468e11b1b95c,1.85%,22.42MiB / 15.4GiB,0.14%,10.1kB / 12.9kB,4.1kB / 0B,24
2026-06-21T15:41:09+08:00,script-k6-run-468e11b1b95c,1.27%,24.87MiB / 15.4GiB,0.16%,32.5kB / 41.1kB,4.1kB / 0B,24
2026-06-21T15:41:09+08:00,RPA-app,1.15%,15.43MiB / 2GiB,0.75%,3.11MB / 3.95MB,8.19kB / 0B,8
2026-06-21T15:41:09+08:00,RPA-pgdb,0.71%,37.46MiB / 15.4GiB,0.24%,2.11MB / 1.82MB,24.9MB / 24.3MB,11
2026-06-21T15:41:09+08:00,RPA-redis,0.11%,10.61MiB / 15.4GiB,0.07%,183kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:41:09+08:00,RPA-grafana,1.19%,116.5MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:41:09+08:00,RPA-alloy,0.99%,196.2MiB / 15.4GiB,1.24%,199kB / 941kB,577MB / 50.1MB,26
2026-06-21T15:41:09+08:00,RPA-loki,0.41%,111.4MiB / 15.4GiB,0.71%,1.31MB / 594kB,332MB / 32.4MB,25
