timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:40:14+08:00,RPA-app,0.42%,15.15MiB / 2GiB,0.74%,2.06MB / 2.59MB,0B / 0B,8
2026-06-21T15:40:14+08:00,RPA-pgdb,0.24%,36.78MiB / 15.4GiB,0.23%,1.29MB / 1.13MB,24.9MB / 18.2MB,11
2026-06-21T15:40:14+08:00,RPA-redis,0.14%,10.61MiB / 15.4GiB,0.07%,182kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:14+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:14+08:00,RPA-alloy,0.28%,191.2MiB / 15.4GiB,1.21%,189kB / 835kB,575MB / 50MB,26
2026-06-21T15:40:14+08:00,RPA-loki,1.57%,110.6MiB / 15.4GiB,0.70%,1.2MB / 584kB,332MB / 31.8MB,25
2026-06-21T15:40:14+08:00,rmqbroker,3.71%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,124MB / 334MB,259
2026-06-21T15:40:14+08:00,rmqdashboard,0.15%,532.8MiB / 15.4GiB,3.38%,1.59MB / 873kB,192MB / 177MB,66
2026-06-21T15:40:14+08:00,RPA-prometheus,0.02%,318.8MiB / 15.4GiB,2.02%,266MB / 3.6MB,264MB / 106MB,26
2026-06-21T15:40:14+08:00,RPA-minio,0.02%,143.1MiB / 15.4GiB,0.91%,1.03MB / 683kB,184MB / 30.2MB,25
2026-06-21T15:40:14+08:00,rmqnamesrv,0.17%,264.1MiB / 15.4GiB,1.68%,2.45MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:40:14+08:00,RPA-cadvisor,26.43%,257.3MiB / 15.4GiB,1.63%,3.64MB / 266MB,158MB / 20.2MB,28
2026-06-21T15:40:14+08:00,script-k6-run-5503c2d6ccf2,1.65%,23.04MiB / 15.4GiB,0.15%,17.1kB / 11.7kB,4.1kB / 0B,22
2026-06-21T15:40:17+08:00,script-k6-run-5503c2d6ccf2,1.30%,24.11MiB / 15.4GiB,0.15%,49kB / 30kB,4.1kB / 0B,24
2026-06-21T15:40:17+08:00,RPA-app,0.89%,14.39MiB / 2GiB,0.70%,2.12MB / 2.65MB,0B / 0B,8
2026-06-21T15:40:17+08:00,RPA-pgdb,0.38%,37.03MiB / 15.4GiB,0.23%,1.31MB / 1.16MB,24.9MB / 18.2MB,11
2026-06-21T15:40:17+08:00,RPA-redis,0.15%,10.61MiB / 15.4GiB,0.07%,182kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:17+08:00,RPA-grafana,0.18%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:17+08:00,RPA-alloy,0.47%,191.1MiB / 15.4GiB,1.21%,189kB / 842kB,575MB / 50MB,26
2026-06-21T15:40:17+08:00,RPA-loki,0.30%,111.1MiB / 15.4GiB,0.70%,1.2MB / 584kB,332MB / 31.8MB,25
2026-06-21T15:40:17+08:00,rmqbroker,4.33%,1.283GiB / 15.4GiB,8.34%,1.45MB / 2.63MB,124MB / 334MB,259
2026-06-21T15:40:17+08:00,rmqdashboard,0.07%,532.8MiB / 15.4GiB,3.38%,1.59MB / 873kB,192MB / 177MB,66
2026-06-21T15:40:17+08:00,RPA-prometheus,0.00%,318.3MiB / 15.4GiB,2.02%,267MB / 3.6MB,264MB / 106MB,26
2026-06-21T15:40:17+08:00,RPA-minio,0.04%,143.1MiB / 15.4GiB,0.91%,1.03MB / 683kB,184MB / 30.2MB,25
2026-06-21T15:40:17+08:00,rmqnamesrv,0.11%,263.6MiB / 15.4GiB,1.67%,2.45MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:40:17+08:00,RPA-cadvisor,2.30%,274.7MiB / 15.4GiB,1.74%,3.64MB / 267MB,158MB / 20.2MB,28
2026-06-21T15:40:20+08:00,script-k6-run-5503c2d6ccf2,1.10%,23.84MiB / 15.4GiB,0.15%,77.2kB / 49kB,4.1kB / 0B,24
2026-06-21T15:40:20+08:00,RPA-app,0.86%,14.49MiB / 2GiB,0.71%,2.16MB / 2.7MB,0B / 0B,8
