timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:39:04+08:00,RPA-app,21.32%,104.5MiB / 2GiB,5.10%,330kB / 531kB,0B / 0B,8
2026-06-21T15:39:04+08:00,RPA-pgdb,1.31%,35.96MiB / 15.4GiB,0.23%,590kB / 326kB,24.8MB / 13MB,16
2026-06-21T15:39:04+08:00,RPA-redis,0.22%,10.87MiB / 15.4GiB,0.07%,103kB / 69.1kB,10.5MB / 12.3kB,7
2026-06-21T15:39:04+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:39:04+08:00,RPA-alloy,0.15%,156.5MiB / 15.4GiB,0.99%,176kB / 672kB,540MB / 49.8MB,26
2026-06-21T15:39:04+08:00,RPA-loki,0.28%,80.32MiB / 15.4GiB,0.51%,1.03MB / 571kB,316MB / 31.1MB,25
2026-06-21T15:39:04+08:00,rmqbroker,4.40%,1.283GiB / 15.4GiB,8.33%,1.44MB / 2.61MB,124MB / 333MB,259
2026-06-21T15:39:04+08:00,rmqdashboard,0.13%,532.6MiB / 15.4GiB,3.38%,1.58MB / 869kB,192MB / 177MB,66
2026-06-21T15:39:04+08:00,RPA-prometheus,0.00%,313.9MiB / 15.4GiB,1.99%,265MB / 3.58MB,264MB / 105MB,25
2026-06-21T15:39:04+08:00,RPA-minio,0.02%,112.6MiB / 15.4GiB,0.71%,496kB / 344kB,175MB / 28.9MB,25
2026-06-21T15:39:04+08:00,rmqnamesrv,10.68%,274.5MiB / 15.4GiB,1.74%,2.43MB / 1.85MB,209MB / 258MB,81
2026-06-21T15:39:04+08:00,RPA-cadvisor,2.29%,278MiB / 15.4GiB,1.76%,3.62MB / 265MB,158MB / 20.2MB,28
2026-06-21T15:39:04+08:00,script-k6-run-3849d601cea9,1.94%,23.47MiB / 15.4GiB,0.15%,33.7kB / 16.5kB,4.1kB / 0B,25
2026-06-21T15:39:07+08:00,script-k6-run-3849d601cea9,1.45%,22.83MiB / 15.4GiB,0.14%,95.6kB / 40.3kB,4.1kB / 0B,25
2026-06-21T15:39:07+08:00,RPA-app,36.19%,109.3MiB / 2GiB,5.34%,414kB / 655kB,0B / 0B,8
2026-06-21T15:39:07+08:00,RPA-pgdb,0.29%,35.26MiB / 15.4GiB,0.22%,613kB / 370kB,24.8MB / 13MB,10
2026-06-21T15:39:07+08:00,RPA-redis,0.32%,11.61MiB / 15.4GiB,0.07%,125kB / 74.9kB,10.5MB / 36.9kB,7
2026-06-21T15:39:07+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:39:07+08:00,RPA-alloy,0.45%,176MiB / 15.4GiB,1.12%,177kB / 701kB,560MB / 49.8MB,26
2026-06-21T15:39:07+08:00,RPA-loki,0.37%,83.76MiB / 15.4GiB,0.53%,1.06MB / 572kB,319MB / 31.1MB,25
2026-06-21T15:39:07+08:00,rmqbroker,4.34%,1.283GiB / 15.4GiB,8.33%,1.44MB / 2.61MB,124MB / 333MB,259
2026-06-21T15:39:07+08:00,rmqdashboard,0.07%,532.4MiB / 15.4GiB,3.38%,1.58MB / 869kB,192MB / 177MB,66
2026-06-21T15:39:07+08:00,RPA-prometheus,0.00%,313.9MiB / 15.4GiB,1.99%,265MB / 3.58MB,264MB / 105MB,25
2026-06-21T15:39:07+08:00,RPA-minio,0.04%,112.6MiB / 15.4GiB,0.71%,496kB / 344kB,175MB / 28.9MB,25
2026-06-21T15:39:07+08:00,rmqnamesrv,0.15%,267.6MiB / 15.4GiB,1.70%,2.43MB / 1.85MB,209MB / 258MB,81
2026-06-21T15:39:07+08:00,RPA-cadvisor,2.39%,279MiB / 15.4GiB,1.77%,3.62MB / 265MB,158MB / 20.2MB,28
2026-06-21T15:39:10+08:00,script-k6-run-3849d601cea9,1.42%,24.57MiB / 15.4GiB,0.16%,153kB / 65.3kB,4.1kB / 0B,25
2026-06-21T15:39:10+08:00,RPA-app,35.59%,106.1MiB / 2GiB,5.18%,474kB / 744kB,0B / 0B,8
2026-06-21T15:39:10+08:00,RPA-pgdb,0.31%,35.46MiB / 15.4GiB,0.22%,630kB / 402kB,24.8MB / 13MB,10
2026-06-21T15:39:10+08:00,RPA-redis,0.71%,12.01MiB / 15.4GiB,0.08%,141kB / 79.3kB,10.5MB / 57.3kB,7
2026-06-21T15:39:10+08:00,RPA-grafana,0.16%,116.5MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:39:10+08:00,RPA-alloy,0.50%,176.5MiB / 15.4GiB,1.12%,177kB / 708kB,560MB / 49.8MB,26
2026-06-21T15:39:10+08:00,RPA-loki,0.39%,84.48MiB / 15.4GiB,0.54%,1.07MB / 572kB,319MB / 31.1MB,25
2026-06-21T15:39:10+08:00,rmqbroker,3.88%,1.283GiB / 15.4GiB,8.33%,1.44MB / 2.62MB,124MB / 333MB,259
2026-06-21T15:39:10+08:00,rmqdashboard,0.07%,532.4MiB / 15.4GiB,3.38%,1.58MB / 869kB,192MB / 177MB,66
