timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:41:58+08:00,RPA-app,0.26%,15.69MiB / 2GiB,0.77%,4.6MB / 6.21MB,8.19kB / 0B,8
2026-06-21T15:41:58+08:00,RPA-pgdb,0.06%,37.92MiB / 15.4GiB,0.24%,2.75MB / 3.01MB,24.9MB / 26.2MB,11
2026-06-21T15:41:58+08:00,RPA-redis,0.12%,10.61MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:41:58+08:00,RPA-grafana,0.12%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:41:58+08:00,RPA-alloy,0.22%,195.7MiB / 15.4GiB,1.24%,208kB / 1.03MB,577MB / 50.2MB,26
2026-06-21T15:41:58+08:00,RPA-loki,0.30%,118.9MiB / 15.4GiB,0.75%,1.4MB / 602kB,332MB / 32.9MB,25
2026-06-21T15:41:58+08:00,rmqbroker,3.64%,1.282GiB / 15.4GiB,8.33%,1.46MB / 2.65MB,125MB / 336MB,259
2026-06-21T15:41:58+08:00,rmqdashboard,0.08%,533.6MiB / 15.4GiB,3.38%,1.61MB / 880kB,193MB / 178MB,66
2026-06-21T15:41:58+08:00,RPA-prometheus,0.00%,319.9MiB / 15.4GiB,2.03%,269MB / 3.64MB,265MB / 106MB,26
2026-06-21T15:41:58+08:00,RPA-minio,0.05%,146.5MiB / 15.4GiB,0.93%,1.03MB / 685kB,184MB / 31MB,25
2026-06-21T15:41:58+08:00,rmqnamesrv,0.14%,264.2MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:41:58+08:00,RPA-cadvisor,2.14%,279.4MiB / 15.4GiB,1.77%,3.67MB / 269MB,158MB / 20.2MB,28
2026-06-21T15:41:58+08:00,script-k6-run-b0046296e1c6,1.66%,21.36MiB / 15.4GiB,0.14%,52.8kB / 10.7kB,4.1kB / 0B,24
2026-06-21T15:42:01+08:00,script-k6-run-b0046296e1c6,1.25%,23.74MiB / 15.4GiB,0.15%,177kB / 30kB,4.1kB / 0B,24
2026-06-21T15:42:01+08:00,RPA-app,0.79%,15.5MiB / 2GiB,0.76%,4.72MB / 6.39MB,8.19kB / 0B,8
2026-06-21T15:42:01+08:00,RPA-pgdb,0.85%,37.9MiB / 15.4GiB,0.24%,2.76MB / 3.1MB,24.9MB / 26.2MB,11
2026-06-21T15:42:01+08:00,RPA-redis,0.51%,11.71MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:01+08:00,RPA-grafana,0.11%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:01+08:00,RPA-alloy,0.46%,196.3MiB / 15.4GiB,1.25%,209kB / 1.04MB,577MB / 50.3MB,26
2026-06-21T15:42:01+08:00,RPA-loki,1.93%,122.8MiB / 15.4GiB,0.78%,1.4MB / 603kB,332MB / 32.9MB,25
2026-06-21T15:42:01+08:00,rmqbroker,4.29%,1.282GiB / 15.4GiB,8.33%,1.46MB / 2.65MB,125MB / 336MB,259
2026-06-21T15:42:01+08:00,rmqdashboard,0.08%,533.7MiB / 15.4GiB,3.39%,1.61MB / 881kB,193MB / 178MB,66
2026-06-21T15:42:01+08:00,RPA-prometheus,0.00%,320.2MiB / 15.4GiB,2.03%,269MB / 3.64MB,265MB / 106MB,26
2026-06-21T15:42:01+08:00,RPA-minio,0.03%,146.7MiB / 15.4GiB,0.93%,1.03MB / 686kB,184MB / 31MB,25
2026-06-21T15:42:01+08:00,rmqnamesrv,0.11%,264.3MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:42:01+08:00,RPA-cadvisor,8.66%,277.1MiB / 15.4GiB,1.76%,3.68MB / 269MB,158MB / 20.2MB,28
2026-06-21T15:42:04+08:00,script-k6-run-b0046296e1c6,1.21%,24.43MiB / 15.4GiB,0.15%,297kB / 49.6kB,4.1kB / 0B,24
2026-06-21T15:42:04+08:00,RPA-app,0.93%,16.02MiB / 2GiB,0.78%,4.78MB / 6.48MB,8.19kB / 0B,8
2026-06-21T15:42:04+08:00,RPA-pgdb,0.25%,37.92MiB / 15.4GiB,0.24%,2.78MB / 3.17MB,24.9MB / 26.2MB,11
2026-06-21T15:42:04+08:00,RPA-redis,0.12%,10.61MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:04+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:04+08:00,RPA-alloy,1.02%,197.3MiB / 15.4GiB,1.25%,210kB / 1.04MB,577MB / 50.3MB,26
2026-06-21T15:42:04+08:00,RPA-loki,0.42%,121.1MiB / 15.4GiB,0.77%,1.41MB / 604kB,332MB / 32.9MB,25
2026-06-21T15:42:04+08:00,rmqbroker,3.70%,1.283GiB / 15.4GiB,8.33%,1.46MB / 2.65MB,125MB / 337MB,259
2026-06-21T15:42:04+08:00,rmqdashboard,0.07%,533.7MiB / 15.4GiB,3.39%,1.61MB / 881kB,193MB / 178MB,66
2026-06-21T15:42:04+08:00,RPA-prometheus,0.00%,320MiB / 15.4GiB,2.03%,269MB / 3.64MB,265MB / 106MB,26
2026-06-21T15:42:04+08:00,RPA-minio,0.00%,146.9MiB / 15.4GiB,0.93%,1.03MB / 686kB,184MB / 31MB,25
2026-06-21T15:42:04+08:00,rmqnamesrv,0.15%,264.8MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:42:04+08:00,RPA-cadvisor,2.27%,277MiB / 15.4GiB,1.76%,3.68MB / 269MB,158MB / 20.2MB,28
2026-06-21T15:42:07+08:00,script-k6-run-b0046296e1c6,1.27%,24.95MiB / 15.4GiB,0.16%,417kB / 69kB,4.1kB / 0B,24
2026-06-21T15:42:07+08:00,RPA-app,0.87%,16.45MiB / 2GiB,0.80%,4.9MB / 6.66MB,8.19kB / 0B,8
2026-06-21T15:42:07+08:00,RPA-pgdb,0.23%,37.68MiB / 15.4GiB,0.24%,2.79MB / 3.25MB,24.9MB / 26.2MB,11
2026-06-21T15:42:07+08:00,RPA-redis,0.14%,10.61MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:07+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:07+08:00,RPA-alloy,0.49%,198.2MiB / 15.4GiB,1.26%,210kB / 1.05MB,577MB / 50.3MB,26
2026-06-21T15:42:07+08:00,RPA-loki,0.51%,120.9MiB / 15.4GiB,0.77%,1.42MB / 605kB,332MB / 32.9MB,25
2026-06-21T15:42:07+08:00,rmqbroker,3.86%,1.283GiB / 15.4GiB,8.33%,1.46MB / 2.65MB,125MB / 337MB,259
2026-06-21T15:42:07+08:00,rmqdashboard,0.07%,533.7MiB / 15.4GiB,3.39%,1.61MB / 881kB,193MB / 178MB,66
2026-06-21T15:42:07+08:00,RPA-prometheus,0.06%,320.3MiB / 15.4GiB,2.03%,269MB / 3.64MB,265MB / 106MB,26
2026-06-21T15:42:07+08:00,RPA-minio,0.04%,146.9MiB / 15.4GiB,0.93%,1.03MB / 686kB,184MB / 31MB,25
2026-06-21T15:42:07+08:00,rmqnamesrv,0.10%,264.5MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:42:07+08:00,RPA-cadvisor,5.45%,236.5MiB / 15.4GiB,1.50%,3.68MB / 269MB,158MB / 20.2MB,28
2026-06-21T15:42:10+08:00,script-k6-run-b0046296e1c6,1.19%,24.41MiB / 15.4GiB,0.15%,536kB / 86.1kB,4.1kB / 0B,24
2026-06-21T15:42:10+08:00,RPA-app,0.92%,16.39MiB / 2GiB,0.80%,4.99MB / 6.79MB,8.19kB / 0B,8
2026-06-21T15:42:10+08:00,RPA-pgdb,2.21%,38.53MiB / 15.4GiB,0.24%,2.81MB / 3.32MB,24.9MB / 26.2MB,11
2026-06-21T15:42:10+08:00,RPA-redis,0.10%,10.61MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:10+08:00,RPA-grafana,0.12%,116.6MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:10+08:00,RPA-alloy,0.53%,197.9MiB / 15.4GiB,1.26%,211kB / 1.06MB,577MB / 50.3MB,26
2026-06-21T15:42:10+08:00,RPA-loki,0.40%,120.5MiB / 15.4GiB,0.76%,1.43MB / 605kB,332MB / 32.9MB,25
2026-06-21T15:42:10+08:00,rmqbroker,3.42%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.65MB,125MB / 337MB,259
2026-06-21T15:42:10+08:00,rmqdashboard,0.06%,534MiB / 15.4GiB,3.39%,1.61MB / 881kB,193MB / 178MB,66
2026-06-21T15:42:10+08:00,RPA-prometheus,0.03%,320.1MiB / 15.4GiB,2.03%,269MB / 3.64MB,265MB / 106MB,26
2026-06-21T15:42:10+08:00,RPA-minio,0.04%,147.1MiB / 15.4GiB,0.93%,1.03MB / 686kB,184MB / 31MB,25
2026-06-21T15:42:10+08:00,rmqnamesrv,0.09%,264.9MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:42:10+08:00,RPA-cadvisor,6.24%,237.2MiB / 15.4GiB,1.50%,3.68MB / 269MB,158MB / 20.2MB,28
2026-06-21T15:42:13+08:00,script-k6-run-b0046296e1c6,0.00%,25.43MiB / 15.4GiB,0.16%,600kB / 101kB,4.1kB / 0B,24
2026-06-21T15:42:13+08:00,RPA-app,0.04%,15MiB / 2GiB,0.73%,5.04MB / 6.86MB,8.19kB / 0B,8
2026-06-21T15:42:13+08:00,RPA-pgdb,0.02%,36.95MiB / 15.4GiB,0.23%,2.81MB / 3.36MB,24.9MB / 26.2MB,11
2026-06-21T15:42:13+08:00,RPA-redis,0.11%,10.61MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:13+08:00,RPA-grafana,0.13%,116.6MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:13+08:00,RPA-alloy,0.15%,197.9MiB / 15.4GiB,1.26%,211kB / 1.06MB,577MB / 50.3MB,26
2026-06-21T15:42:13+08:00,RPA-loki,0.42%,121.2MiB / 15.4GiB,0.77%,1.43MB / 606kB,332MB / 32.9MB,25
2026-06-21T15:42:13+08:00,rmqbroker,4.06%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.65MB,125MB / 337MB,259
2026-06-21T15:42:13+08:00,rmqdashboard,0.11%,534MiB / 15.4GiB,3.39%,1.61MB / 881kB,193MB / 178MB,66
2026-06-21T15:42:13+08:00,RPA-prometheus,0.02%,320.8MiB / 15.4GiB,2.03%,269MB / 3.64MB,265MB / 106MB,26
2026-06-21T15:42:13+08:00,RPA-minio,0.03%,146.9MiB / 15.4GiB,0.93%,1.03MB / 686kB,184MB / 31MB,25
2026-06-21T15:42:13+08:00,rmqnamesrv,0.17%,265.4MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:42:13+08:00,RPA-cadvisor,1.72%,235.5MiB / 15.4GiB,1.49%,3.68MB / 269MB,158MB / 20.2MB,28
2026-06-21T15:42:16+08:00,RPA-app,0.55%,16.2MiB / 2GiB,0.79%,5.05MB / 6.88MB,8.19kB / 0B,8
2026-06-21T15:42:16+08:00,RPA-pgdb,0.36%,37.82MiB / 15.4GiB,0.24%,2.82MB / 3.36MB,24.9MB / 26.2MB,11
2026-06-21T15:42:16+08:00,RPA-redis,0.51%,11.82MiB / 15.4GiB,0.07%,185kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:16+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:16+08:00,RPA-alloy,0.30%,197.4MiB / 15.4GiB,1.25%,212kB / 1.07MB,577MB / 50.3MB,26
2026-06-21T15:42:16+08:00,RPA-loki,0.40%,120.5MiB / 15.4GiB,0.76%,1.43MB / 606kB,332MB / 33MB,25
2026-06-21T15:42:16+08:00,rmqbroker,4.71%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.65MB,125MB / 337MB,259
2026-06-21T15:42:16+08:00,rmqdashboard,0.06%,533.7MiB / 15.4GiB,3.39%,1.61MB / 882kB,193MB / 178MB,66
2026-06-21T15:42:16+08:00,RPA-prometheus,0.00%,320.2MiB / 15.4GiB,2.03%,269MB / 3.65MB,265MB / 106MB,26
2026-06-21T15:42:16+08:00,RPA-minio,0.02%,146.9MiB / 15.4GiB,0.93%,1.03MB / 686kB,184MB / 32MB,25
2026-06-21T15:42:16+08:00,rmqnamesrv,0.11%,264.9MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:42:16+08:00,RPA-cadvisor,2.08%,264.7MiB / 15.4GiB,1.68%,3.68MB / 269MB,158MB / 20.2MB,28
2026-06-21T15:42:16+08:00,script-k6-run-11a49a4e65a7,1.64%,22.2MiB / 15.4GiB,0.14%,14.4kB / 13.2kB,4.1kB / 0B,23
