timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:39:57+08:00,RPA-app,1.21%,14.1MiB / 2GiB,0.69%,1.25MB / 1.6MB,0B / 0B,8
2026-06-21T15:39:57+08:00,RPA-pgdb,0.30%,37.12MiB / 15.4GiB,0.24%,1.04MB / 874kB,24.9MB / 15.7MB,11
2026-06-21T15:39:57+08:00,RPA-redis,0.58%,10.62MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:39:57+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:39:57+08:00,RPA-alloy,0.29%,189.1MiB / 15.4GiB,1.20%,185kB / 784kB,574MB / 49.9MB,26
2026-06-21T15:39:57+08:00,RPA-loki,0.33%,93.38MiB / 15.4GiB,0.59%,1.15MB / 580kB,321MB / 31.6MB,25
2026-06-21T15:39:57+08:00,rmqbroker,3.71%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.62MB,124MB / 334MB,259
2026-06-21T15:39:57+08:00,rmqdashboard,0.06%,532.7MiB / 15.4GiB,3.38%,1.59MB / 872kB,192MB / 177MB,66
2026-06-21T15:39:57+08:00,RPA-prometheus,0.01%,317.9MiB / 15.4GiB,2.02%,266MB / 3.59MB,264MB / 105MB,26
2026-06-21T15:39:57+08:00,RPA-minio,2.23%,116.9MiB / 15.4GiB,0.74%,509kB / 351kB,177MB / 29MB,25
2026-06-21T15:39:57+08:00,rmqnamesrv,0.12%,263.2MiB / 15.4GiB,1.67%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:39:57+08:00,RPA-cadvisor,3.73%,235.8MiB / 15.4GiB,1.50%,3.63MB / 266MB,158MB / 20.2MB,28
2026-06-21T15:39:57+08:00,script-k6-run-5c5a9e72adc4,1.98%,24.89MiB / 15.4GiB,0.16%,24.6kB / 23.8kB,4.1kB / 0B,25
2026-06-21T15:40:00+08:00,script-k6-run-5c5a9e72adc4,1.45%,25.09MiB / 15.4GiB,0.16%,71.4kB / 70.3kB,4.1kB / 0B,25
2026-06-21T15:40:00+08:00,RPA-app,2.82%,15.46MiB / 2GiB,0.75%,1.47MB / 1.87MB,0B / 0B,8
2026-06-21T15:40:00+08:00,RPA-pgdb,0.83%,37.79MiB / 15.4GiB,0.24%,1.1MB / 944kB,24.9MB / 16.4MB,11
2026-06-21T15:40:00+08:00,RPA-redis,0.11%,10.87MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:00+08:00,RPA-grafana,0.17%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:00+08:00,RPA-alloy,0.67%,190.1MiB / 15.4GiB,1.21%,186kB / 798kB,574MB / 49.9MB,26
2026-06-21T15:40:00+08:00,RPA-loki,0.39%,98.88MiB / 15.4GiB,0.63%,1.16MB / 581kB,324MB / 31.6MB,25
2026-06-21T15:40:00+08:00,rmqbroker,3.50%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.62MB,124MB / 334MB,259
2026-06-21T15:40:00+08:00,rmqdashboard,0.07%,532.7MiB / 15.4GiB,3.38%,1.59MB / 873kB,192MB / 177MB,66
2026-06-21T15:40:00+08:00,RPA-prometheus,0.02%,318.1MiB / 15.4GiB,2.02%,266MB / 3.6MB,264MB / 105MB,26
2026-06-21T15:40:00+08:00,RPA-minio,3.86%,126.8MiB / 15.4GiB,0.80%,653kB / 444kB,178MB / 29.3MB,25
2026-06-21T15:40:00+08:00,rmqnamesrv,0.10%,263.3MiB / 15.4GiB,1.67%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:40:00+08:00,RPA-cadvisor,33.99%,271.2MiB / 15.4GiB,1.72%,3.64MB / 266MB,158MB / 20.2MB,28
2026-06-21T15:40:03+08:00,script-k6-run-5c5a9e72adc4,1.39%,24.74MiB / 15.4GiB,0.16%,116kB / 117kB,4.1kB / 0B,25
2026-06-21T15:40:03+08:00,RPA-app,2.81%,15.3MiB / 2GiB,0.75%,1.64MB / 2.07MB,0B / 0B,8
2026-06-21T15:40:03+08:00,RPA-pgdb,0.86%,36.63MiB / 15.4GiB,0.23%,1.16MB / 998kB,24.9MB / 16.9MB,11
2026-06-21T15:40:03+08:00,RPA-redis,0.15%,10.64MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:03+08:00,RPA-grafana,0.10%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:03+08:00,RPA-alloy,0.67%,189.8MiB / 15.4GiB,1.20%,187kB / 805kB,574MB / 49.9MB,26
2026-06-21T15:40:03+08:00,RPA-loki,0.43%,99.07MiB / 15.4GiB,0.63%,1.17MB / 582kB,324MB / 31.6MB,25
2026-06-21T15:40:03+08:00,rmqbroker,3.74%,1.283GiB / 15.4GiB,8.33%,1.45MB / 2.62MB,124MB / 334MB,259
2026-06-21T15:40:03+08:00,rmqdashboard,0.13%,532.9MiB / 15.4GiB,3.38%,1.59MB / 873kB,192MB / 177MB,66
2026-06-21T15:40:03+08:00,RPA-prometheus,0.00%,318.1MiB / 15.4GiB,2.02%,266MB / 3.6MB,264MB / 105MB,26
2026-06-21T15:40:03+08:00,RPA-minio,3.62%,134.6MiB / 15.4GiB,0.85%,760kB / 512kB,178MB / 29.6MB,25
2026-06-21T15:40:03+08:00,rmqnamesrv,0.19%,264.3MiB / 15.4GiB,1.68%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:40:03+08:00,RPA-cadvisor,3.51%,274.4MiB / 15.4GiB,1.74%,3.64MB / 266MB,158MB / 20.2MB,28
2026-06-21T15:40:06+08:00,script-k6-run-5c5a9e72adc4,1.34%,25.47MiB / 15.4GiB,0.16%,146kB / 147kB,4.1kB / 0B,25
2026-06-21T15:40:06+08:00,RPA-app,2.76%,15.21MiB / 2GiB,0.74%,1.8MB / 2.28MB,0B / 0B,8
2026-06-21T15:40:06+08:00,RPA-pgdb,0.85%,37.65MiB / 15.4GiB,0.24%,1.21MB / 1.05MB,24.9MB / 17.5MB,11
2026-06-21T15:40:06+08:00,RPA-redis,0.15%,10.92MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:06+08:00,RPA-grafana,0.13%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:06+08:00,RPA-alloy,0.68%,190.5MiB / 15.4GiB,1.21%,187kB / 816kB,575MB / 49.9MB,26
2026-06-21T15:40:06+08:00,RPA-loki,0.40%,109.2MiB / 15.4GiB,0.69%,1.18MB / 582kB,332MB / 31.6MB,25
2026-06-21T15:40:06+08:00,rmqbroker,4.59%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.62MB,124MB / 334MB,259
2026-06-21T15:40:06+08:00,rmqdashboard,0.07%,532.7MiB / 15.4GiB,3.38%,1.59MB / 873kB,192MB / 177MB,66
2026-06-21T15:40:06+08:00,RPA-prometheus,0.06%,318.5MiB / 15.4GiB,2.02%,266MB / 3.6MB,264MB / 105MB,26
2026-06-21T15:40:06+08:00,RPA-minio,3.75%,139.1MiB / 15.4GiB,0.88%,868kB / 581kB,184MB / 29.8MB,25
2026-06-21T15:40:06+08:00,rmqnamesrv,0.12%,263.5MiB / 15.4GiB,1.67%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:40:06+08:00,RPA-cadvisor,2.17%,233.5MiB / 15.4GiB,1.48%,3.64MB / 266MB,158MB / 20.2MB,28
2026-06-21T15:40:09+08:00,script-k6-run-5c5a9e72adc4,1.39%,26.12MiB / 15.4GiB,0.17%,204kB / 209kB,4.1kB / 0B,25
2026-06-21T15:40:09+08:00,RPA-app,2.87%,15.66MiB / 2GiB,0.76%,1.97MB / 2.48MB,0B / 0B,8
2026-06-21T15:40:09+08:00,RPA-pgdb,2.72%,37.46MiB / 15.4GiB,0.24%,1.26MB / 1.1MB,24.9MB / 18MB,11
2026-06-21T15:40:09+08:00,RPA-redis,0.11%,10.61MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:09+08:00,RPA-grafana,1.11%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:09+08:00,RPA-alloy,1.16%,191.7MiB / 15.4GiB,1.22%,188kB / 827kB,575MB / 50MB,26
2026-06-21T15:40:09+08:00,RPA-loki,0.44%,109.9MiB / 15.4GiB,0.70%,1.19MB / 583kB,332MB / 31.6MB,25
2026-06-21T15:40:09+08:00,rmqbroker,3.79%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,124MB / 334MB,259
2026-06-21T15:40:09+08:00,rmqdashboard,0.06%,532.9MiB / 15.4GiB,3.38%,1.59MB / 873kB,192MB / 177MB,66
2026-06-21T15:40:09+08:00,RPA-prometheus,0.00%,318.2MiB / 15.4GiB,2.02%,266MB / 3.6MB,264MB / 105MB,26
2026-06-21T15:40:09+08:00,RPA-minio,3.87%,141.1MiB / 15.4GiB,0.89%,975kB / 650kB,184MB / 30.1MB,25
2026-06-21T15:40:09+08:00,rmqnamesrv,0.14%,263.4MiB / 15.4GiB,1.67%,2.45MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:40:09+08:00,RPA-cadvisor,10.62%,233MiB / 15.4GiB,1.48%,3.64MB / 266MB,158MB / 20.2MB,28
2026-06-21T15:40:12+08:00,RPA-app,0.11%,13.41MiB / 2GiB,0.65%,2.06MB / 2.58MB,0B / 0B,8
2026-06-21T15:40:12+08:00,RPA-pgdb,0.01%,35.98MiB / 15.4GiB,0.23%,1.29MB / 1.13MB,24.9MB / 18.2MB,11
2026-06-21T15:40:12+08:00,RPA-redis,0.11%,10.61MiB / 15.4GiB,0.07%,182kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:40:12+08:00,RPA-grafana,0.13%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:40:12+08:00,RPA-alloy,1.43%,191MiB / 15.4GiB,1.21%,189kB / 834kB,575MB / 50MB,26
2026-06-21T15:40:12+08:00,RPA-loki,0.30%,109.7MiB / 15.4GiB,0.70%,1.2MB / 583kB,332MB / 31.8MB,25
2026-06-21T15:40:12+08:00,rmqbroker,3.88%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.63MB,124MB / 334MB,259
2026-06-21T15:40:12+08:00,rmqdashboard,0.06%,532.8MiB / 15.4GiB,3.38%,1.59MB / 873kB,192MB / 177MB,66
2026-06-21T15:40:12+08:00,RPA-prometheus,0.01%,318.3MiB / 15.4GiB,2.02%,266MB / 3.6MB,264MB / 106MB,26
2026-06-21T15:40:12+08:00,RPA-minio,0.02%,143.1MiB / 15.4GiB,0.91%,1.03MB / 683kB,184MB / 30.2MB,25
2026-06-21T15:40:12+08:00,rmqnamesrv,0.12%,263.4MiB / 15.4GiB,1.67%,2.45MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:40:12+08:00,RPA-cadvisor,2.11%,233.8MiB / 15.4GiB,1.48%,3.64MB / 266MB,158MB / 20.2MB,28
