timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:39:21+08:00,RPA-app,0.82%,109.7MiB / 2GiB,5.36%,638kB / 979kB,0B / 0B,8
2026-06-21T15:39:21+08:00,RPA-pgdb,0.27%,35.49MiB / 15.4GiB,0.23%,677kB / 490kB,24.8MB / 13MB,10
2026-06-21T15:39:21+08:00,RPA-redis,0.46%,11.13MiB / 15.4GiB,0.07%,180kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:39:21+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:39:21+08:00,RPA-alloy,0.40%,179.8MiB / 15.4GiB,1.14%,179kB / 723kB,564MB / 49.8MB,26
2026-06-21T15:39:21+08:00,RPA-loki,0.37%,83.54MiB / 15.4GiB,0.53%,1.08MB / 574kB,319MB / 31.4MB,25
2026-06-21T15:39:21+08:00,rmqbroker,3.60%,1.283GiB / 15.4GiB,8.33%,1.44MB / 2.62MB,124MB / 333MB,259
2026-06-21T15:39:21+08:00,rmqdashboard,0.06%,532.4MiB / 15.4GiB,3.38%,1.59MB / 869kB,192MB / 177MB,66
2026-06-21T15:39:21+08:00,RPA-prometheus,0.01%,313.9MiB / 15.4GiB,1.99%,265MB / 3.58MB,264MB / 105MB,25
2026-06-21T15:39:21+08:00,RPA-minio,0.00%,112.6MiB / 15.4GiB,0.71%,497kB / 344kB,175MB / 28.9MB,25
2026-06-21T15:39:21+08:00,rmqnamesrv,0.11%,262.8MiB / 15.4GiB,1.67%,2.43MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:39:21+08:00,RPA-cadvisor,3.93%,277.6MiB / 15.4GiB,1.76%,3.62MB / 265MB,158MB / 20.2MB,28
2026-06-21T15:39:21+08:00,script-k6-run-237e77d9809f,1.81%,23.09MiB / 15.4GiB,0.15%,20.4kB / 15kB,16.4kB / 0B,25
2026-06-21T15:39:25+08:00,script-k6-run-237e77d9809f,1.13%,23.39MiB / 15.4GiB,0.15%,48.5kB / 32.2kB,16.4kB / 0B,25
2026-06-21T15:39:25+08:00,RPA-app,0.88%,109.5MiB / 2GiB,5.34%,704kB / 1.04MB,0B / 0B,8
2026-06-21T15:39:25+08:00,RPA-pgdb,0.32%,34.54MiB / 15.4GiB,0.22%,701kB / 530kB,24.8MB / 13MB,10
2026-06-21T15:39:25+08:00,RPA-redis,0.12%,10.61MiB / 15.4GiB,0.07%,180kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:39:25+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:39:25+08:00,RPA-alloy,0.47%,180.8MiB / 15.4GiB,1.15%,180kB / 732kB,564MB / 49.8MB,26
2026-06-21T15:39:25+08:00,RPA-loki,0.67%,88MiB / 15.4GiB,0.56%,1.09MB / 575kB,321MB / 31.4MB,25
2026-06-21T15:39:25+08:00,rmqbroker,3.74%,1.282GiB / 15.4GiB,8.33%,1.44MB / 2.62MB,124MB / 333MB,259
2026-06-21T15:39:25+08:00,rmqdashboard,0.07%,532.4MiB / 15.4GiB,3.38%,1.59MB / 869kB,192MB / 177MB,66
2026-06-21T15:39:25+08:00,RPA-prometheus,0.00%,313.9MiB / 15.4GiB,1.99%,265MB / 3.58MB,264MB / 105MB,25
2026-06-21T15:39:25+08:00,RPA-minio,0.00%,112.6MiB / 15.4GiB,0.71%,497kB / 344kB,175MB / 28.9MB,25
2026-06-21T15:39:25+08:00,rmqnamesrv,0.13%,262.9MiB / 15.4GiB,1.67%,2.43MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:39:25+08:00,RPA-cadvisor,4.84%,235.2MiB / 15.4GiB,1.49%,3.62MB / 265MB,158MB / 20.2MB,28
2026-06-21T15:39:28+08:00,script-k6-run-237e77d9809f,1.15%,24.29MiB / 15.4GiB,0.15%,74.7kB / 51.3kB,16.4kB / 0B,25
2026-06-21T15:39:28+08:00,RPA-app,0.89%,78.33MiB / 2GiB,3.82%,751kB / 1.08MB,0B / 0B,8
2026-06-21T15:39:28+08:00,RPA-pgdb,0.30%,34.93MiB / 15.4GiB,0.22%,719kB / 560kB,24.8MB / 13MB,10
2026-06-21T15:39:28+08:00,RPA-redis,0.12%,10.62MiB / 15.4GiB,0.07%,180kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:39:28+08:00,RPA-grafana,0.20%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:39:28+08:00,RPA-alloy,0.52%,180.3MiB / 15.4GiB,1.14%,180kB / 738kB,564MB / 49.8MB,26
2026-06-21T15:39:28+08:00,RPA-loki,0.41%,87.65MiB / 15.4GiB,0.56%,1.1MB / 575kB,321MB / 31.4MB,25
2026-06-21T15:39:28+08:00,rmqbroker,3.59%,1.282GiB / 15.4GiB,8.33%,1.44MB / 2.62MB,124MB / 333MB,259
2026-06-21T15:39:28+08:00,rmqdashboard,0.64%,533.2MiB / 15.4GiB,3.38%,1.59MB / 871kB,192MB / 177MB,66
2026-06-21T15:39:28+08:00,RPA-prometheus,0.00%,314.2MiB / 15.4GiB,1.99%,265MB / 3.58MB,264MB / 105MB,25
2026-06-21T15:39:28+08:00,RPA-minio,0.03%,112.6MiB / 15.4GiB,0.71%,497kB / 344kB,175MB / 28.9MB,25
2026-06-21T15:39:28+08:00,rmqnamesrv,0.48%,265.2MiB / 15.4GiB,1.68%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:39:28+08:00,RPA-cadvisor,1.99%,235.7MiB / 15.4GiB,1.50%,3.62MB / 265MB,158MB / 20.2MB,28
2026-06-21T15:39:31+08:00,script-k6-run-237e77d9809f,1.25%,24.9MiB / 15.4GiB,0.16%,99.9kB / 70.1kB,16.4kB / 0B,25
2026-06-21T15:39:31+08:00,RPA-app,0.89%,80.09MiB / 2GiB,3.91%,797kB / 1.13MB,0B / 0B,8
2026-06-21T15:39:31+08:00,RPA-pgdb,0.32%,34.91MiB / 15.4GiB,0.22%,737kB / 590kB,24.8MB / 13MB,10
