timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:39:38+08:00,RPA-app,1.37%,78.59MiB / 2GiB,3.84%,891kB / 1.21MB,0B / 0B,8
2026-06-21T15:39:38+08:00,RPA-pgdb,0.87%,35.09MiB / 15.4GiB,0.22%,779kB / 646kB,24.9MB / 13.2MB,10
2026-06-21T15:39:38+08:00,RPA-redis,0.11%,10.62MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:39:38+08:00,RPA-grafana,0.18%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:39:38+08:00,RPA-alloy,0.45%,179.8MiB / 15.4GiB,1.14%,182kB / 754kB,564MB / 49.8MB,26
2026-06-21T15:39:38+08:00,RPA-loki,0.32%,89.39MiB / 15.4GiB,0.57%,1.11MB / 577kB,321MB / 31.5MB,25
2026-06-21T15:39:38+08:00,rmqbroker,4.17%,1.282GiB / 15.4GiB,8.33%,1.44MB / 2.62MB,124MB / 334MB,259
2026-06-21T15:39:38+08:00,rmqdashboard,1.17%,533MiB / 15.4GiB,3.38%,1.59MB / 871kB,192MB / 177MB,66
2026-06-21T15:39:38+08:00,RPA-prometheus,0.00%,315MiB / 15.4GiB,2.00%,266MB / 3.59MB,264MB / 105MB,25
2026-06-21T15:39:38+08:00,RPA-minio,0.03%,112.6MiB / 15.4GiB,0.71%,497kB / 345kB,175MB / 28.9MB,25
2026-06-21T15:39:38+08:00,rmqnamesrv,0.09%,263.1MiB / 15.4GiB,1.67%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:39:38+08:00,RPA-cadvisor,1.93%,280.3MiB / 15.4GiB,1.78%,3.63MB / 265MB,158MB / 20.2MB,28
2026-06-21T15:39:38+08:00,script-k6-run-ce561b6d343b,1.74%,23.62MiB / 15.4GiB,0.15%,22.5kB / 20.8kB,4.1kB / 0B,23
2026-06-21T15:39:42+08:00,script-k6-run-ce561b6d343b,1.37%,23.96MiB / 15.4GiB,0.15%,47.4kB / 46.1kB,4.1kB / 0B,25
2026-06-21T15:39:42+08:00,RPA-app,1.13%,14.76MiB / 2GiB,0.72%,988kB / 1.32MB,0B / 0B,8
2026-06-21T15:39:42+08:00,RPA-pgdb,0.72%,35MiB / 15.4GiB,0.22%,851kB / 709kB,24.9MB / 13.9MB,10
2026-06-21T15:39:42+08:00,RPA-redis,0.11%,10.86MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:39:42+08:00,RPA-grafana,0.13%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:39:42+08:00,RPA-alloy,0.46%,180.3MiB / 15.4GiB,1.14%,183kB / 763kB,564MB / 49.9MB,26
2026-06-21T15:39:42+08:00,RPA-loki,0.45%,91.38MiB / 15.4GiB,0.58%,1.12MB / 578kB,321MB / 31.5MB,25
2026-06-21T15:39:42+08:00,rmqbroker,3.84%,1.283GiB / 15.4GiB,8.33%,1.44MB / 2.62MB,124MB / 334MB,259
2026-06-21T15:39:42+08:00,rmqdashboard,0.06%,532.5MiB / 15.4GiB,3.38%,1.59MB / 871kB,192MB / 177MB,66
2026-06-21T15:39:42+08:00,RPA-prometheus,0.12%,315.7MiB / 15.4GiB,2.00%,266MB / 3.59MB,264MB / 105MB,25
2026-06-21T15:39:42+08:00,RPA-minio,0.05%,112.8MiB / 15.4GiB,0.72%,497kB / 345kB,175MB / 28.9MB,25
2026-06-21T15:39:42+08:00,rmqnamesrv,0.12%,263.1MiB / 15.4GiB,1.67%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:39:42+08:00,RPA-cadvisor,1.97%,280.3MiB / 15.4GiB,1.78%,3.63MB / 265MB,158MB / 20.2MB,28
2026-06-21T15:39:45+08:00,script-k6-run-ce561b6d343b,1.21%,24.98MiB / 15.4GiB,0.16%,71.1kB / 68.9kB,4.1kB / 0B,25
2026-06-21T15:39:45+08:00,RPA-app,1.25%,15.82MiB / 2GiB,0.77%,1.06MB / 1.4MB,0B / 0B,8
2026-06-21T15:39:45+08:00,RPA-pgdb,0.70%,37.84MiB / 15.4GiB,0.24%,907kB / 759kB,24.9MB / 14.4MB,11
2026-06-21T15:39:45+08:00,RPA-redis,0.11%,10.86MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:39:45+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:39:45+08:00,RPA-alloy,0.52%,183MiB / 15.4GiB,1.16%,184kB / 769kB,567MB / 49.9MB,26
2026-06-21T15:39:45+08:00,RPA-loki,0.43%,92.48MiB / 15.4GiB,0.59%,1.13MB / 578kB,321MB / 31.5MB,25
2026-06-21T15:39:45+08:00,rmqbroker,3.76%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.62MB,124MB / 334MB,259
2026-06-21T15:39:45+08:00,rmqdashboard,0.07%,532.6MiB / 15.4GiB,3.38%,1.59MB / 872kB,192MB / 177MB,66
2026-06-21T15:39:45+08:00,RPA-prometheus,0.00%,316MiB / 15.4GiB,2.00%,266MB / 3.59MB,264MB / 105MB,25
2026-06-21T15:39:45+08:00,RPA-minio,0.00%,112.6MiB / 15.4GiB,0.71%,497kB / 345kB,175MB / 28.9MB,25
2026-06-21T15:39:45+08:00,rmqnamesrv,0.13%,263.1MiB / 15.4GiB,1.67%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:39:45+08:00,RPA-cadvisor,35.82%,272.2MiB / 15.4GiB,1.73%,3.63MB / 266MB,158MB / 20.2MB,28
2026-06-21T15:39:48+08:00,script-k6-run-ce561b6d343b,1.25%,25.99MiB / 15.4GiB,0.16%,94.3kB / 93.9kB,4.1kB / 0B,25
2026-06-21T15:39:48+08:00,RPA-app,1.34%,14.87MiB / 2GiB,0.73%,1.13MB / 1.47MB,0B / 0B,8
2026-06-21T15:39:48+08:00,RPA-pgdb,0.90%,37.59MiB / 15.4GiB,0.24%,961kB / 807kB,24.9MB / 14.9MB,11
2026-06-21T15:39:48+08:00,RPA-redis,0.12%,10.86MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:39:48+08:00,RPA-grafana,0.21%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:39:48+08:00,RPA-alloy,0.49%,183.1MiB / 15.4GiB,1.16%,184kB / 775kB,567MB / 49.9MB,26
2026-06-21T15:39:48+08:00,RPA-loki,0.41%,92.34MiB / 15.4GiB,0.59%,1.14MB / 579kB,321MB / 31.5MB,25
2026-06-21T15:39:48+08:00,rmqbroker,4.06%,1.282GiB / 15.4GiB,8.33%,1.45MB / 2.62MB,124MB / 334MB,259
2026-06-21T15:39:48+08:00,rmqdashboard,0.19%,532.6MiB / 15.4GiB,3.38%,1.59MB / 872kB,192MB / 177MB,66
2026-06-21T15:39:48+08:00,RPA-prometheus,0.00%,316.2MiB / 15.4GiB,2.01%,266MB / 3.59MB,264MB / 105MB,25
2026-06-21T15:39:48+08:00,RPA-minio,0.04%,112.6MiB / 15.4GiB,0.71%,497kB / 345kB,175MB / 28.9MB,25
2026-06-21T15:39:48+08:00,rmqnamesrv,0.10%,263.1MiB / 15.4GiB,1.67%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:39:48+08:00,RPA-cadvisor,1.92%,272.6MiB / 15.4GiB,1.73%,3.63MB / 266MB,158MB / 20.2MB,28
2026-06-21T15:39:51+08:00,script-k6-run-ce561b6d343b,1.23%,26.52MiB / 15.4GiB,0.17%,117kB / 117kB,4.1kB / 0B,25
2026-06-21T15:39:51+08:00,RPA-app,1.27%,15.51MiB / 2GiB,0.76%,1.2MB / 1.55MB,0B / 0B,8
2026-06-21T15:39:51+08:00,RPA-pgdb,0.72%,37.36MiB / 15.4GiB,0.24%,1.02MB / 855kB,24.9MB / 15.5MB,11
2026-06-21T15:39:51+08:00,RPA-redis,0.46%,11.59MiB / 15.4GiB,0.07%,181kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:39:51+08:00,RPA-grafana,0.11%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:39:51+08:00,RPA-alloy,0.46%,189.8MiB / 15.4GiB,1.20%,185kB / 780kB,574MB / 49.9MB,26
2026-06-21T15:39:51+08:00,RPA-loki,0.45%,93.64MiB / 15.4GiB,0.59%,1.14MB / 579kB,321MB / 31.5MB,25
2026-06-21T15:39:51+08:00,rmqbroker,3.87%,1.283GiB / 15.4GiB,8.33%,1.45MB / 2.62MB,124MB / 334MB,259
2026-06-21T15:39:51+08:00,rmqdashboard,0.07%,532.9MiB / 15.4GiB,3.38%,1.59MB / 872kB,192MB / 177MB,66
2026-06-21T15:39:51+08:00,RPA-prometheus,0.00%,318.7MiB / 15.4GiB,2.02%,266MB / 3.59MB,264MB / 105MB,26
2026-06-21T15:39:51+08:00,RPA-minio,0.03%,112.6MiB / 15.4GiB,0.71%,497kB / 345kB,175MB / 28.9MB,25
2026-06-21T15:39:51+08:00,rmqnamesrv,0.11%,263.2MiB / 15.4GiB,1.67%,2.44MB / 1.86MB,209MB / 259MB,81
2026-06-21T15:39:51+08:00,RPA-cadvisor,1.69%,270.7MiB / 15.4GiB,1.72%,3.63MB / 266MB,158MB / 20.2MB,28
2026-06-21T15:39:54+08:00,script-k6-run-ce561b6d343b,0.10%,26.61MiB / 15.4GiB,0.17%,128kB / 130kB,4.1kB / 0B,25
2026-06-21T15:39:54+08:00,RPA-app,0.04%,13.8MiB / 2GiB,0.67%,1.22MB / 1.57MB,0B / 0B,8
2026-06-21T15:39:54+08:00,RPA-pgdb,1.89%,37.12MiB / 15.4GiB,0.24%,1.03MB / 868kB,24.9MB / 15.6MB,11
