timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:38:47+08:00,RPA-app,19.44%,105.2MiB / 2GiB,5.14%,23.9kB / 28.6kB,0B / 0B,7
2026-06-21T15:38:47+08:00,RPA-pgdb,0.40%,33.94MiB / 15.4GiB,0.22%,208kB / 166kB,24.6MB / 10.3MB,10
2026-06-21T15:38:47+08:00,RPA-redis,0.15%,11.11MiB / 15.4GiB,0.07%,100kB / 68.4kB,10.5MB / 8.19kB,7
2026-06-21T15:38:47+08:00,RPA-grafana,0.19%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:38:47+08:00,RPA-alloy,0.15%,156.4MiB / 15.4GiB,0.99%,175kB / 669kB,540MB / 49.7MB,26
2026-06-21T15:38:47+08:00,RPA-loki,0.37%,80.28MiB / 15.4GiB,0.51%,1.03MB / 570kB,316MB / 31.1MB,25
2026-06-21T15:38:47+08:00,rmqbroker,3.69%,1.282GiB / 15.4GiB,8.33%,1.44MB / 2.61MB,124MB / 333MB,259
2026-06-21T15:38:47+08:00,rmqdashboard,0.07%,532.6MiB / 15.4GiB,3.38%,1.58MB / 867kB,192MB / 177MB,66
2026-06-21T15:38:47+08:00,RPA-prometheus,0.00%,265.7MiB / 15.4GiB,1.69%,264MB / 3.57MB,247MB / 105MB,25
2026-06-21T15:38:47+08:00,RPA-minio,0.02%,112.6MiB / 15.4GiB,0.71%,495kB / 343kB,175MB / 28.8MB,25
2026-06-21T15:38:47+08:00,rmqnamesrv,0.09%,254.4MiB / 15.4GiB,1.61%,2.43MB / 1.85MB,208MB / 258MB,81
2026-06-21T15:38:47+08:00,RPA-cadvisor,2.58%,271.8MiB / 15.4GiB,1.72%,3.61MB / 264MB,158MB / 20.2MB,28
2026-06-21T15:38:47+08:00,script-k6-run-64cd9e7d91c5,1.82%,22.06MiB / 15.4GiB,0.14%,15.7kB / 17.6kB,4.1kB / 0B,25
2026-06-21T15:38:50+08:00,script-k6-run-64cd9e7d91c5,2.11%,24.25MiB / 15.4GiB,0.15%,40kB / 45.8kB,4.1kB / 0B,25
2026-06-21T15:38:50+08:00,RPA-app,33.14%,105.6MiB / 2GiB,5.16%,108kB / 166kB,0B / 0B,8
2026-06-21T15:38:50+08:00,RPA-pgdb,0.68%,34.37MiB / 15.4GiB,0.22%,313kB / 209kB,24.6MB / 11MB,10
2026-06-21T15:38:50+08:00,RPA-redis,0.39%,11.68MiB / 15.4GiB,0.07%,100kB / 68.4kB,10.5MB / 8.19kB,7
2026-06-21T15:38:50+08:00,RPA-grafana,0.17%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:38:50+08:00,RPA-alloy,0.20%,156.9MiB / 15.4GiB,1.00%,175kB / 670kB,540MB / 49.7MB,26
2026-06-21T15:38:50+08:00,RPA-loki,0.39%,80.52MiB / 15.4GiB,0.51%,1.03MB / 570kB,316MB / 31.1MB,25
2026-06-21T15:38:50+08:00,rmqbroker,3.89%,1.283GiB / 15.4GiB,8.33%,1.44MB / 2.61MB,124MB / 333MB,259
2026-06-21T15:38:50+08:00,rmqdashboard,0.07%,532.7MiB / 15.4GiB,3.38%,1.58MB / 867kB,192MB / 177MB,66
2026-06-21T15:38:50+08:00,RPA-prometheus,0.48%,265.7MiB / 15.4GiB,1.69%,264MB / 3.57MB,247MB / 105MB,25
2026-06-21T15:38:50+08:00,RPA-minio,0.00%,112.6MiB / 15.4GiB,0.71%,495kB / 343kB,175MB / 28.8MB,25
2026-06-21T15:38:50+08:00,rmqnamesrv,0.12%,254.4MiB / 15.4GiB,1.61%,2.43MB / 1.85MB,208MB / 258MB,81
2026-06-21T15:38:50+08:00,RPA-cadvisor,1.76%,274.6MiB / 15.4GiB,1.74%,3.61MB / 264MB,158MB / 20.2MB,28
2026-06-21T15:38:53+08:00,script-k6-run-64cd9e7d91c5,1.34%,22.77MiB / 15.4GiB,0.14%,61.7kB / 75.5kB,4.1kB / 0B,25
2026-06-21T15:38:53+08:00,RPA-app,36.17%,102.1MiB / 2GiB,4.99%,167kB / 266kB,0B / 0B,8
2026-06-21T15:38:53+08:00,RPA-pgdb,0.77%,34.17MiB / 15.4GiB,0.22%,393kB / 241kB,24.6MB / 11.6MB,10
2026-06-21T15:38:53+08:00,RPA-redis,0.15%,10.61MiB / 15.4GiB,0.07%,100kB / 68.4kB,10.5MB / 8.19kB,7
2026-06-21T15:38:53+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 110MB,25
2026-06-21T15:38:53+08:00,RPA-alloy,0.15%,156.4MiB / 15.4GiB,0.99%,175kB / 670kB,540MB / 49.7MB,26
2026-06-21T15:38:53+08:00,RPA-loki,0.26%,80.79MiB / 15.4GiB,0.51%,1.03MB / 570kB,316MB / 31.1MB,25
2026-06-21T15:38:53+08:00,rmqbroker,4.01%,1.282GiB / 15.4GiB,8.33%,1.44MB / 2.61MB,124MB / 333MB,259
2026-06-21T15:38:53+08:00,rmqdashboard,0.14%,532.7MiB / 15.4GiB,3.38%,1.58MB / 867kB,192MB / 177MB,66
2026-06-21T15:38:53+08:00,RPA-prometheus,0.00%,265.7MiB / 15.4GiB,1.69%,264MB / 3.57MB,247MB / 105MB,25
2026-06-21T15:38:53+08:00,RPA-minio,0.02%,112.6MiB / 15.4GiB,0.71%,495kB / 343kB,175MB / 28.8MB,25
