timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:41:41+08:00,RPA-app,0.35%,15.46MiB / 2GiB,0.75%,4.26MB / 5.82MB,8.19kB / 0B,8
2026-06-21T15:41:41+08:00,RPA-pgdb,2.16%,38.69MiB / 15.4GiB,0.25%,2.54MB / 2.76MB,24.9MB / 26.2MB,11
2026-06-21T15:41:41+08:00,RPA-redis,0.11%,10.36MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:41:41+08:00,RPA-grafana,0.77%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:41:41+08:00,RPA-alloy,0.25%,196.2MiB / 15.4GiB,1.24%,205kB / 999kB,577MB / 50.2MB,26
2026-06-21T15:41:41+08:00,RPA-loki,0.40%,115.6MiB / 15.4GiB,0.73%,1.37MB / 599kB,332MB / 32.7MB,25
2026-06-21T15:41:41+08:00,rmqbroker,4.53%,1.283GiB / 15.4GiB,8.33%,1.46MB / 2.65MB,125MB / 336MB,259
2026-06-21T15:41:41+08:00,rmqdashboard,0.07%,533.6MiB / 15.4GiB,3.38%,1.61MB / 880kB,193MB / 178MB,66
2026-06-21T15:41:41+08:00,RPA-prometheus,0.00%,319.8MiB / 15.4GiB,2.03%,268MB / 3.63MB,265MB / 106MB,26
2026-06-21T15:41:41+08:00,RPA-minio,0.03%,144.8MiB / 15.4GiB,0.92%,1.03MB / 685kB,184MB / 30.3MB,25
2026-06-21T15:41:41+08:00,rmqnamesrv,0.12%,264.2MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:41:41+08:00,RPA-cadvisor,2.27%,234.9MiB / 15.4GiB,1.49%,3.67MB / 268MB,158MB / 20.2MB,28
2026-06-21T15:41:41+08:00,script-k6-run-5b292939d686,1.94%,22.71MiB / 15.4GiB,0.14%,19.3kB / 10.8kB,4.1kB / 0B,23
2026-06-21T15:41:44+08:00,script-k6-run-5b292939d686,1.25%,23.12MiB / 15.4GiB,0.15%,60.3kB / 29.2kB,4.1kB / 0B,23
2026-06-21T15:41:44+08:00,RPA-app,1.10%,15.71MiB / 2GiB,0.77%,4.35MB / 5.93MB,8.19kB / 0B,8
2026-06-21T15:41:44+08:00,RPA-pgdb,0.49%,38.63MiB / 15.4GiB,0.25%,2.6MB / 2.82MB,24.9MB / 26.2MB,11
2026-06-21T15:41:44+08:00,RPA-redis,0.14%,10.61MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:41:44+08:00,RPA-grafana,0.11%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:41:44+08:00,RPA-alloy,1.10%,197.2MiB / 15.4GiB,1.25%,206kB / 1.01MB,577MB / 50.2MB,26
2026-06-21T15:41:44+08:00,RPA-loki,0.48%,115MiB / 15.4GiB,0.73%,1.37MB / 600kB,332MB / 32.7MB,25
2026-06-21T15:41:44+08:00,rmqbroker,3.88%,1.282GiB / 15.4GiB,8.33%,1.46MB / 2.65MB,125MB / 336MB,259
2026-06-21T15:41:44+08:00,rmqdashboard,0.06%,533.6MiB / 15.4GiB,3.38%,1.61MB / 880kB,193MB / 178MB,66
2026-06-21T15:41:44+08:00,RPA-prometheus,3.88%,320.3MiB / 15.4GiB,2.03%,269MB / 3.64MB,265MB / 106MB,26
2026-06-21T15:41:44+08:00,RPA-minio,0.02%,144.8MiB / 15.4GiB,0.92%,1.03MB / 685kB,184MB / 30.3MB,25
2026-06-21T15:41:44+08:00,rmqnamesrv,0.19%,264.7MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:41:44+08:00,RPA-cadvisor,2.08%,234.1MiB / 15.4GiB,1.49%,3.67MB / 268MB,158MB / 20.2MB,28
2026-06-21T15:41:47+08:00,script-k6-run-5b292939d686,1.17%,23.72MiB / 15.4GiB,0.15%,85kB / 42.5kB,4.1kB / 0B,23
2026-06-21T15:41:47+08:00,RPA-app,1.19%,17.48MiB / 2GiB,0.85%,4.42MB / 6MB,8.19kB / 0B,8
2026-06-21T15:41:47+08:00,RPA-pgdb,0.57%,39.06MiB / 15.4GiB,0.25%,2.64MB / 2.87MB,24.9MB / 26.2MB,11
2026-06-21T15:41:47+08:00,RPA-redis,0.11%,10.86MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:41:47+08:00,RPA-grafana,0.13%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:41:47+08:00,RPA-alloy,0.50%,196.2MiB / 15.4GiB,1.24%,207kB / 1.01MB,577MB / 50.2MB,26
2026-06-21T15:41:47+08:00,RPA-loki,0.40%,116.1MiB / 15.4GiB,0.74%,1.38MB / 600kB,332MB / 32.7MB,25
2026-06-21T15:41:47+08:00,rmqbroker,3.64%,1.282GiB / 15.4GiB,8.33%,1.46MB / 2.65MB,125MB / 336MB,259
2026-06-21T15:41:47+08:00,rmqdashboard,0.07%,533.6MiB / 15.4GiB,3.38%,1.61MB / 880kB,193MB / 178MB,66
2026-06-21T15:41:47+08:00,RPA-prometheus,0.00%,319.9MiB / 15.4GiB,2.03%,269MB / 3.64MB,265MB / 106MB,26
2026-06-21T15:41:47+08:00,RPA-minio,0.01%,144.8MiB / 15.4GiB,0.92%,1.03MB / 685kB,184MB / 30.3MB,25
