timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:41:24+08:00,RPA-app,1.68%,15.31MiB / 2GiB,0.75%,3.42MB / 4.32MB,8.19kB / 0B,8
2026-06-21T15:41:24+08:00,RPA-pgdb,0.62%,38.33MiB / 15.4GiB,0.24%,2.31MB / 2.02MB,24.9MB / 26.2MB,11
2026-06-21T15:41:24+08:00,RPA-redis,0.15%,10.36MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:41:24+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:41:24+08:00,RPA-alloy,0.45%,196MiB / 15.4GiB,1.24%,202kB / 968kB,577MB / 50.2MB,26
2026-06-21T15:41:24+08:00,RPA-loki,0.42%,114.2MiB / 15.4GiB,0.72%,1.33MB / 596kB,332MB / 32.6MB,25
2026-06-21T15:41:24+08:00,rmqbroker,3.74%,1.282GiB / 15.4GiB,8.33%,1.46MB / 2.64MB,125MB / 336MB,259
2026-06-21T15:41:24+08:00,rmqdashboard,0.07%,533.5MiB / 15.4GiB,3.38%,1.6MB / 878kB,193MB / 178MB,66
2026-06-21T15:41:24+08:00,RPA-prometheus,0.00%,319.8MiB / 15.4GiB,2.03%,268MB / 3.63MB,265MB / 106MB,26
2026-06-21T15:41:24+08:00,RPA-minio,0.02%,144.8MiB / 15.4GiB,0.92%,1.03MB / 685kB,184MB / 30.3MB,25
2026-06-21T15:41:24+08:00,rmqnamesrv,0.16%,264.2MiB / 15.4GiB,1.68%,2.46MB / 1.87MB,210MB / 259MB,81
2026-06-21T15:41:24+08:00,RPA-cadvisor,1.58%,279.9MiB / 15.4GiB,1.78%,3.66MB / 268MB,158MB / 20.2MB,28
2026-06-21T15:41:24+08:00,script-k6-run-dbfc5fdc949a,1.79%,22.35MiB / 15.4GiB,0.14%,103kB / 10.7kB,4.1kB / 0B,24
2026-06-21T15:41:27+08:00,script-k6-run-dbfc5fdc949a,1.22%,22.5MiB / 15.4GiB,0.14%,388kB / 34kB,4.1kB / 0B,24
2026-06-21T15:41:27+08:00,RPA-app,1.60%,14.93MiB / 2GiB,0.73%,3.6MB / 4.64MB,8.19kB / 0B,8
2026-06-21T15:41:27+08:00,RPA-pgdb,0.58%,38.39MiB / 15.4GiB,0.24%,2.36MB / 2.18MB,24.9MB / 26.2MB,11
2026-06-21T15:41:27+08:00,RPA-redis,0.41%,10.63MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:41:27+08:00,RPA-grafana,0.13%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:41:27+08:00,RPA-alloy,0.46%,196.2MiB / 15.4GiB,1.24%,203kB / 973kB,577MB / 50.2MB,26
2026-06-21T15:41:27+08:00,RPA-loki,0.37%,113.5MiB / 15.4GiB,0.72%,1.34MB / 597kB,332MB / 32.6MB,25
2026-06-21T15:41:27+08:00,rmqbroker,3.63%,1.282GiB / 15.4GiB,8.33%,1.46MB / 2.64MB,125MB / 336MB,259
2026-06-21T15:41:27+08:00,rmqdashboard,0.06%,533.5MiB / 15.4GiB,3.38%,1.6MB / 878kB,193MB / 178MB,66
2026-06-21T15:41:27+08:00,RPA-prometheus,0.00%,319.8MiB / 15.4GiB,2.03%,268MB / 3.63MB,265MB / 106MB,26
2026-06-21T15:41:27+08:00,RPA-minio,0.07%,145MiB / 15.4GiB,0.92%,1.03MB / 685kB,184MB / 30.3MB,25
2026-06-21T15:41:27+08:00,rmqnamesrv,0.13%,263.9MiB / 15.4GiB,1.67%,2.46MB / 1.87MB,210MB / 259MB,81
2026-06-21T15:41:27+08:00,RPA-cadvisor,2.29%,280.7MiB / 15.4GiB,1.78%,3.66MB / 268MB,158MB / 20.2MB,28
2026-06-21T15:41:30+08:00,script-k6-run-dbfc5fdc949a,1.28%,24.98MiB / 15.4GiB,0.16%,665kB / 56.9kB,4.1kB / 0B,24
2026-06-21T15:41:30+08:00,RPA-app,1.42%,15.8MiB / 2GiB,0.77%,3.78MB / 4.97MB,8.19kB / 0B,8
2026-06-21T15:41:30+08:00,RPA-pgdb,2.41%,39.01MiB / 15.4GiB,0.25%,2.41MB / 2.34MB,24.9MB / 26.2MB,11
2026-06-21T15:41:30+08:00,RPA-redis,0.12%,10.36MiB / 15.4GiB,0.07%,184kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:41:30+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:41:30+08:00,RPA-alloy,0.46%,196MiB / 15.4GiB,1.24%,203kB / 980kB,577MB / 50.2MB,26
2026-06-21T15:41:30+08:00,RPA-loki,0.44%,113.9MiB / 15.4GiB,0.72%,1.35MB / 597kB,332MB / 32.6MB,25
