timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:44:02+08:00,RPA-app,1.04%,17.48MiB / 2GiB,0.85%,6.91MB / 8.88MB,8.19kB / 0B,8
2026-06-21T15:44:02+08:00,RPA-pgdb,0.88%,40.57MiB / 15.4GiB,0.26%,3.59MB / 4.02MB,25.3MB / 30.2MB,11
2026-06-21T15:44:02+08:00,RPA-redis,0.46%,10.87MiB / 15.4GiB,0.07%,502kB / 197kB,10.6MB / 254kB,7
2026-06-21T15:44:02+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:02+08:00,RPA-alloy,0.38%,204MiB / 15.4GiB,1.29%,232kB / 1.31MB,584MB / 50.6MB,26
2026-06-21T15:44:02+08:00,RPA-loki,0.29%,129.6MiB / 15.4GiB,0.82%,1.68MB / 625kB,332MB / 34.2MB,25
2026-06-21T15:44:02+08:00,rmqbroker,3.80%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.68MB,125MB / 339MB,259
2026-06-21T15:44:02+08:00,rmqdashboard,0.06%,533.9MiB / 15.4GiB,3.39%,1.63MB / 890kB,193MB / 178MB,66
2026-06-21T15:44:02+08:00,RPA-prometheus,0.00%,325.6MiB / 15.4GiB,2.07%,272MB / 3.69MB,267MB / 107MB,26
2026-06-21T15:44:02+08:00,RPA-minio,3.14%,160.1MiB / 15.4GiB,1.02%,1.37MB / 875kB,184MB / 43.5MB,25
2026-06-21T15:44:02+08:00,rmqnamesrv,0.11%,265.5MiB / 15.4GiB,1.68%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:44:02+08:00,RPA-cadvisor,3.69%,273.5MiB / 15.4GiB,1.73%,3.72MB / 272MB,158MB / 20.2MB,28
2026-06-21T15:44:02+08:00,script-k6-run-29e1ffe384b4,1.88%,23.75MiB / 15.4GiB,0.15%,39.2kB / 17kB,0B / 0B,25
2026-06-21T15:44:06+08:00,script-k6-run-29e1ffe384b4,1.27%,24.73MiB / 15.4GiB,0.16%,103kB / 36.8kB,0B / 0B,25
2026-06-21T15:44:06+08:00,RPA-app,0.91%,15.99MiB / 2GiB,0.78%,7.02MB / 8.99MB,8.19kB / 0B,8
2026-06-21T15:44:06+08:00,RPA-pgdb,2.50%,41.38MiB / 15.4GiB,0.26%,3.61MB / 4.1MB,25.3MB / 30.2MB,11
2026-06-21T15:44:06+08:00,RPA-redis,0.11%,10.86MiB / 15.4GiB,0.07%,502kB / 197kB,10.6MB / 258kB,7
2026-06-21T15:44:06+08:00,RPA-grafana,0.19%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:06+08:00,RPA-alloy,0.45%,205MiB / 15.4GiB,1.30%,233kB / 1.32MB,584MB / 50.6MB,26
2026-06-21T15:44:06+08:00,RPA-loki,0.36%,130.8MiB / 15.4GiB,0.83%,1.69MB / 626kB,332MB / 34.2MB,25
2026-06-21T15:44:06+08:00,rmqbroker,3.96%,1.282GiB / 15.4GiB,8.33%,1.48MB / 2.68MB,125MB / 339MB,259
2026-06-21T15:44:06+08:00,rmqdashboard,0.07%,533.9MiB / 15.4GiB,3.39%,1.63MB / 890kB,193MB / 178MB,66
2026-06-21T15:44:06+08:00,RPA-prometheus,0.00%,325.8MiB / 15.4GiB,2.07%,272MB / 3.69MB,267MB / 107MB,26
2026-06-21T15:44:06+08:00,RPA-minio,0.02%,158.7MiB / 15.4GiB,1.01%,1.37MB / 876kB,184MB / 43.5MB,25
2026-06-21T15:44:06+08:00,rmqnamesrv,0.12%,265.5MiB / 15.4GiB,1.68%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:44:06+08:00,RPA-cadvisor,5.20%,283.6MiB / 15.4GiB,1.80%,3.72MB / 272MB,158MB / 20.2MB,28
2026-06-21T15:44:09+08:00,script-k6-run-29e1ffe384b4,1.28%,23.88MiB / 15.4GiB,0.15%,164kB / 59.4kB,0B / 0B,25
2026-06-21T15:44:09+08:00,RPA-app,1.00%,17.43MiB / 2GiB,0.85%,7.1MB / 9.06MB,8.19kB / 0B,8
2026-06-21T15:44:09+08:00,RPA-pgdb,0.33%,40.54MiB / 15.4GiB,0.26%,3.63MB / 4.16MB,25.3MB / 30.2MB,11
2026-06-21T15:44:09+08:00,RPA-redis,0.12%,10.62MiB / 15.4GiB,0.07%,502kB / 197kB,10.6MB / 258kB,7
2026-06-21T15:44:09+08:00,RPA-grafana,1.14%,116.8MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:09+08:00,RPA-alloy,1.19%,205.5MiB / 15.4GiB,1.30%,234kB / 1.33MB,584MB / 50.7MB,26
2026-06-21T15:44:09+08:00,RPA-loki,0.42%,130.2MiB / 15.4GiB,0.83%,1.7MB / 626kB,332MB / 34.2MB,25
2026-06-21T15:44:09+08:00,rmqbroker,3.90%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.68MB,125MB / 339MB,259
2026-06-21T15:44:09+08:00,rmqdashboard,0.07%,533.9MiB / 15.4GiB,3.39%,1.63MB / 890kB,193MB / 178MB,66
2026-06-21T15:44:09+08:00,RPA-prometheus,0.00%,325.9MiB / 15.4GiB,2.07%,272MB / 3.69MB,267MB / 107MB,26
2026-06-21T15:44:09+08:00,RPA-minio,0.02%,158.7MiB / 15.4GiB,1.01%,1.37MB / 876kB,184MB / 43.9MB,25
2026-06-21T15:44:09+08:00,rmqnamesrv,0.20%,265.6MiB / 15.4GiB,1.68%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:44:09+08:00,RPA-cadvisor,6.58%,282.8MiB / 15.4GiB,1.79%,3.72MB / 272MB,158MB / 20.2MB,28
2026-06-21T15:44:12+08:00,script-k6-run-29e1ffe384b4,2.17%,25.48MiB / 15.4GiB,0.16%,226kB / 80.9kB,0B / 0B,25
2026-06-21T15:44:12+08:00,RPA-app,0.91%,18.03MiB / 2GiB,0.88%,7.17MB / 9.14MB,8.19kB / 0B,8
2026-06-21T15:44:12+08:00,RPA-pgdb,0.31%,41.87MiB / 15.4GiB,0.27%,3.64MB / 4.22MB,25.3MB / 30.2MB,11
2026-06-21T15:44:12+08:00,RPA-redis,0.41%,11.22MiB / 15.4GiB,0.07%,502kB / 197kB,10.6MB / 258kB,7
2026-06-21T15:44:12+08:00,RPA-grafana,0.17%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:12+08:00,RPA-alloy,1.83%,204.5MiB / 15.4GiB,1.30%,234kB / 1.33MB,584MB / 50.7MB,26
2026-06-21T15:44:12+08:00,RPA-loki,0.39%,129.8MiB / 15.4GiB,0.82%,1.71MB / 627kB,332MB / 34.2MB,25
2026-06-21T15:44:12+08:00,rmqbroker,3.83%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.68MB,125MB / 339MB,259
2026-06-21T15:44:12+08:00,rmqdashboard,0.07%,533.9MiB / 15.4GiB,3.39%,1.63MB / 890kB,193MB / 178MB,66
2026-06-21T15:44:12+08:00,RPA-prometheus,0.04%,326.4MiB / 15.4GiB,2.07%,272MB / 3.69MB,267MB / 107MB,26
2026-06-21T15:44:12+08:00,RPA-minio,0.03%,158.7MiB / 15.4GiB,1.01%,1.37MB / 876kB,184MB / 43.9MB,25
2026-06-21T15:44:12+08:00,rmqnamesrv,0.13%,265.8MiB / 15.4GiB,1.69%,2.5MB / 1.9MB,211MB / 259MB,81
