timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:44:21+08:00,RPA-app,1.31%,16.27MiB / 2GiB,0.79%,7.31MB / 9.29MB,8.19kB / 0B,8
2026-06-21T15:44:21+08:00,RPA-pgdb,0.62%,40.63MiB / 15.4GiB,0.26%,3.68MB / 4.31MB,25.3MB / 30.4MB,11
2026-06-21T15:44:21+08:00,RPA-redis,0.27%,12.1MiB / 15.4GiB,0.08%,510kB / 198kB,10.6MB / 262kB,7
2026-06-21T15:44:21+08:00,RPA-grafana,0.19%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:21+08:00,RPA-alloy,0.45%,204.6MiB / 15.4GiB,1.30%,236kB / 1.35MB,584MB / 50.7MB,26
2026-06-21T15:44:21+08:00,RPA-loki,0.38%,129.9MiB / 15.4GiB,0.82%,1.72MB / 628kB,332MB / 34.4MB,25
2026-06-21T15:44:21+08:00,rmqbroker,3.65%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.68MB,125MB / 339MB,259
2026-06-21T15:44:21+08:00,rmqdashboard,0.07%,533.9MiB / 15.4GiB,3.39%,1.63MB / 890kB,193MB / 178MB,66
2026-06-21T15:44:21+08:00,RPA-prometheus,0.36%,326.2MiB / 15.4GiB,2.07%,272MB / 3.69MB,267MB / 107MB,26
2026-06-21T15:44:21+08:00,RPA-minio,0.14%,158.7MiB / 15.4GiB,1.01%,1.37MB / 876kB,184MB / 44.9MB,25
2026-06-21T15:44:21+08:00,rmqnamesrv,0.11%,265.9MiB / 15.4GiB,1.69%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:44:21+08:00,RPA-cadvisor,7.32%,285.3MiB / 15.4GiB,1.81%,3.72MB / 272MB,158MB / 20.2MB,28
2026-06-21T15:44:21+08:00,script-k6-run-549156f048cb,1.92%,23.79MiB / 15.4GiB,0.15%,46.9kB / 17.4kB,4.1kB / 0B,24
2026-06-21T15:44:24+08:00,script-k6-run-549156f048cb,2.15%,24.36MiB / 15.4GiB,0.15%,125kB / 37.9kB,4.1kB / 0B,24
2026-06-21T15:44:24+08:00,RPA-app,1.31%,17.11MiB / 2GiB,0.84%,7.43MB / 9.48MB,8.19kB / 0B,8
2026-06-21T15:44:24+08:00,RPA-pgdb,0.52%,39.67MiB / 15.4GiB,0.25%,3.72MB / 4.4MB,25.3MB / 31.1MB,11
2026-06-21T15:44:24+08:00,RPA-redis,0.28%,19.38MiB / 15.4GiB,0.12%,559kB / 205kB,18MB / 324kB,7
2026-06-21T15:44:24+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:24+08:00,RPA-alloy,0.90%,205.8MiB / 15.4GiB,1.31%,236kB / 1.35MB,584MB / 50.7MB,26
2026-06-21T15:44:24+08:00,RPA-loki,0.42%,130.4MiB / 15.4GiB,0.83%,1.73MB / 629kB,332MB / 34.4MB,25
2026-06-21T15:44:24+08:00,rmqbroker,3.70%,1.282GiB / 15.4GiB,8.33%,1.48MB / 2.68MB,125MB / 339MB,259
2026-06-21T15:44:24+08:00,rmqdashboard,0.07%,533.9MiB / 15.4GiB,3.39%,1.63MB / 890kB,193MB / 178MB,66
2026-06-21T15:44:24+08:00,RPA-prometheus,0.00%,326MiB / 15.4GiB,2.07%,272MB / 3.69MB,267MB / 107MB,26
2026-06-21T15:44:24+08:00,RPA-minio,0.00%,158.7MiB / 15.4GiB,1.01%,1.37MB / 876kB,184MB / 44.9MB,25
2026-06-21T15:44:24+08:00,rmqnamesrv,0.12%,265.9MiB / 15.4GiB,1.69%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:44:24+08:00,RPA-cadvisor,2.57%,283.3MiB / 15.4GiB,1.80%,3.72MB / 272MB,158MB / 20.2MB,28
2026-06-21T15:44:27+08:00,script-k6-run-549156f048cb,1.31%,24.49MiB / 15.4GiB,0.16%,200kB / 61.1kB,4.1kB / 0B,24
2026-06-21T15:44:27+08:00,RPA-app,1.30%,17.12MiB / 2GiB,0.84%,7.52MB / 9.62MB,8.19kB / 0B,8
2026-06-21T15:44:27+08:00,RPA-pgdb,0.63%,39.98MiB / 15.4GiB,0.25%,3.75MB / 4.46MB,25.3MB / 31.6MB,11
2026-06-21T15:44:27+08:00,RPA-redis,0.60%,19.12MiB / 15.4GiB,0.12%,595kB / 211kB,18MB / 365kB,7
2026-06-21T15:44:27+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:27+08:00,RPA-alloy,0.47%,205.9MiB / 15.4GiB,1.31%,237kB / 1.36MB,584MB / 50.7MB,26
2026-06-21T15:44:27+08:00,RPA-loki,0.35%,131.2MiB / 15.4GiB,0.83%,1.74MB / 630kB,332MB / 34.4MB,25
2026-06-21T15:44:27+08:00,rmqbroker,3.67%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.68MB,125MB / 339MB,259
2026-06-21T15:44:27+08:00,rmqdashboard,0.07%,533.9MiB / 15.4GiB,3.39%,1.63MB / 890kB,193MB / 178MB,66
2026-06-21T15:44:27+08:00,RPA-prometheus,0.00%,326MiB / 15.4GiB,2.07%,272MB / 3.69MB,267MB / 107MB,26
2026-06-21T15:44:27+08:00,RPA-minio,0.05%,159MiB / 15.4GiB,1.01%,1.37MB / 876kB,184MB / 44.9MB,25
