timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:43:45+08:00,RPA-app,2.03%,15.75MiB / 2GiB,0.77%,5.95MB / 7.9MB,8.19kB / 0B,8
2026-06-21T15:43:45+08:00,RPA-pgdb,0.86%,38.43MiB / 15.4GiB,0.24%,3.16MB / 3.66MB,25.2MB / 26.4MB,11
2026-06-21T15:43:45+08:00,RPA-redis,0.29%,11.86MiB / 15.4GiB,0.08%,394kB / 155kB,10.6MB / 119kB,7
2026-06-21T15:43:45+08:00,RPA-grafana,0.18%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:45+08:00,RPA-alloy,0.67%,204.2MiB / 15.4GiB,1.30%,229kB / 1.24MB,584MB / 50.6MB,26
2026-06-21T15:43:45+08:00,RPA-loki,0.42%,123.9MiB / 15.4GiB,0.79%,1.61MB / 621kB,332MB / 33.8MB,25
2026-06-21T15:43:45+08:00,rmqbroker,4.36%,1.282GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 339MB,259
2026-06-21T15:43:45+08:00,rmqdashboard,0.08%,533.9MiB / 15.4GiB,3.39%,1.63MB / 889kB,193MB / 178MB,66
2026-06-21T15:43:45+08:00,RPA-prometheus,0.00%,322.2MiB / 15.4GiB,2.04%,272MB / 3.68MB,267MB / 107MB,26
2026-06-21T15:43:45+08:00,RPA-minio,1.40%,149.1MiB / 15.4GiB,0.95%,1.05MB / 695kB,184MB / 38.2MB,25
2026-06-21T15:43:45+08:00,rmqnamesrv,0.13%,265.4MiB / 15.4GiB,1.68%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:43:45+08:00,RPA-cadvisor,2.36%,267.4MiB / 15.4GiB,1.70%,3.71MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:43:45+08:00,script-k6-run-f73f34a2861f,1.93%,24.22MiB / 15.4GiB,0.15%,15.7kB / 44.9kB,4.1kB / 0B,25
2026-06-21T15:43:49+08:00,script-k6-run-f73f34a2861f,1.35%,24.56MiB / 15.4GiB,0.16%,40.3kB / 123kB,4.1kB / 0B,25
2026-06-21T15:43:49+08:00,RPA-app,3.00%,15.89MiB / 2GiB,0.78%,6.22MB / 8.17MB,8.19kB / 0B,8
2026-06-21T15:43:49+08:00,RPA-pgdb,1.09%,39.03MiB / 15.4GiB,0.25%,3.27MB / 3.76MB,25.2MB / 27.3MB,11
2026-06-21T15:43:49+08:00,RPA-redis,0.40%,10.86MiB / 15.4GiB,0.07%,424kB / 166kB,10.6MB / 156kB,7
2026-06-21T15:43:49+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:49+08:00,RPA-alloy,1.60%,205.2MiB / 15.4GiB,1.30%,230kB / 1.25MB,584MB / 50.6MB,26
2026-06-21T15:43:49+08:00,RPA-loki,0.44%,125.2MiB / 15.4GiB,0.79%,1.63MB / 622kB,332MB / 33.8MB,25
2026-06-21T15:43:49+08:00,rmqbroker,3.69%,1.282GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 339MB,259
2026-06-21T15:43:49+08:00,rmqdashboard,0.08%,533.9MiB / 15.4GiB,3.39%,1.63MB / 889kB,193MB / 178MB,66
2026-06-21T15:43:49+08:00,RPA-prometheus,0.00%,322.2MiB / 15.4GiB,2.04%,272MB / 3.68MB,267MB / 107MB,26
2026-06-21T15:43:49+08:00,RPA-minio,2.31%,149.2MiB / 15.4GiB,0.95%,1.14MB / 745kB,184MB / 38.6MB,25
2026-06-21T15:43:49+08:00,rmqnamesrv,0.16%,265.5MiB / 15.4GiB,1.68%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:43:49+08:00,RPA-cadvisor,1.73%,268.1MiB / 15.4GiB,1.70%,3.71MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:43:52+08:00,script-k6-run-f73f34a2861f,1.43%,25.9MiB / 15.4GiB,0.16%,62.2kB / 202kB,4.1kB / 0B,25
2026-06-21T15:43:52+08:00,RPA-app,3.13%,16.76MiB / 2GiB,0.82%,6.42MB / 8.37MB,8.19kB / 0B,8
2026-06-21T15:43:52+08:00,RPA-pgdb,1.25%,39.8MiB / 15.4GiB,0.25%,3.36MB / 3.83MB,25.2MB / 28MB,11
2026-06-21T15:43:52+08:00,RPA-redis,0.77%,11.11MiB / 15.4GiB,0.07%,446kB / 175kB,10.6MB / 180kB,7
2026-06-21T15:43:52+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:52+08:00,RPA-alloy,1.11%,204.5MiB / 15.4GiB,1.30%,230kB / 1.27MB,584MB / 50.6MB,26
2026-06-21T15:43:52+08:00,RPA-loki,0.45%,125.9MiB / 15.4GiB,0.80%,1.64MB / 622kB,332MB / 33.8MB,25
2026-06-21T15:43:52+08:00,rmqbroker,3.70%,1.282GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 339MB,259
2026-06-21T15:43:52+08:00,rmqdashboard,0.07%,533.9MiB / 15.4GiB,3.39%,1.63MB / 889kB,193MB / 178MB,66
2026-06-21T15:43:52+08:00,RPA-prometheus,0.00%,322.2MiB / 15.4GiB,2.04%,272MB / 3.68MB,267MB / 107MB,26
2026-06-21T15:43:52+08:00,RPA-minio,2.39%,149.8MiB / 15.4GiB,0.95%,1.21MB / 783kB,184MB / 38.8MB,25
2026-06-21T15:43:52+08:00,rmqnamesrv,0.12%,265.5MiB / 15.4GiB,1.68%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:43:52+08:00,RPA-cadvisor,2.40%,276.4MiB / 15.4GiB,1.75%,3.71MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:43:55+08:00,script-k6-run-f73f34a2861f,1.40%,25.32MiB / 15.4GiB,0.16%,83.1kB / 281kB,4.1kB / 0B,25
2026-06-21T15:43:55+08:00,RPA-app,3.09%,17MiB / 2GiB,0.83%,6.61MB / 8.57MB,8.19kB / 0B,8
2026-06-21T15:43:55+08:00,RPA-pgdb,1.15%,39.05MiB / 15.4GiB,0.25%,3.45MB / 3.91MB,25.2MB / 28.6MB,11
2026-06-21T15:43:55+08:00,RPA-redis,0.40%,11.36MiB / 15.4GiB,0.07%,470kB / 185kB,10.6MB / 209kB,7
2026-06-21T15:43:55+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:55+08:00,RPA-alloy,1.02%,204.2MiB / 15.4GiB,1.30%,231kB / 1.29MB,584MB / 50.6MB,26
2026-06-21T15:43:55+08:00,RPA-loki,0.48%,128.4MiB / 15.4GiB,0.81%,1.66MB / 623kB,332MB / 33.8MB,25
2026-06-21T15:43:55+08:00,rmqbroker,4.19%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.67MB,125MB / 339MB,259
2026-06-21T15:43:55+08:00,rmqdashboard,0.05%,533.9MiB / 15.4GiB,3.39%,1.63MB / 889kB,193MB / 178MB,66
2026-06-21T15:43:55+08:00,RPA-prometheus,0.05%,322.2MiB / 15.4GiB,2.04%,272MB / 3.68MB,267MB / 107MB,26
2026-06-21T15:43:55+08:00,RPA-minio,2.23%,151MiB / 15.4GiB,0.96%,1.28MB / 821kB,184MB / 39.1MB,25
2026-06-21T15:43:55+08:00,rmqnamesrv,0.11%,265.5MiB / 15.4GiB,1.68%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:43:55+08:00,RPA-cadvisor,4.93%,288MiB / 15.4GiB,1.83%,3.71MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:43:58+08:00,script-k6-run-f73f34a2861f,1.43%,26.51MiB / 15.4GiB,0.17%,104kB / 358kB,4.1kB / 0B,25
2026-06-21T15:43:58+08:00,RPA-app,3.26%,16.79MiB / 2GiB,0.82%,6.81MB / 8.77MB,8.19kB / 0B,8
2026-06-21T15:43:58+08:00,RPA-pgdb,1.26%,40.13MiB / 15.4GiB,0.25%,3.54MB / 3.98MB,25.2MB / 29.3MB,11
2026-06-21T15:43:58+08:00,RPA-redis,0.43%,11.11MiB / 15.4GiB,0.07%,492kB / 193kB,10.6MB / 233kB,7
2026-06-21T15:43:58+08:00,RPA-grafana,0.18%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:43:58+08:00,RPA-alloy,1.10%,204.7MiB / 15.4GiB,1.30%,232kB / 1.3MB,584MB / 50.6MB,26
2026-06-21T15:43:58+08:00,RPA-loki,1.97%,131.9MiB / 15.4GiB,0.84%,1.67MB / 624kB,332MB / 33.8MB,25
2026-06-21T15:43:58+08:00,rmqbroker,4.71%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.68MB,125MB / 339MB,259
2026-06-21T15:43:58+08:00,rmqdashboard,0.59%,533.9MiB / 15.4GiB,3.39%,1.63MB / 889kB,193MB / 178MB,66
2026-06-21T15:43:58+08:00,RPA-prometheus,0.00%,322.2MiB / 15.4GiB,2.04%,272MB / 3.68MB,267MB / 107MB,26
2026-06-21T15:43:58+08:00,RPA-minio,2.28%,157.7MiB / 15.4GiB,1.00%,1.34MB / 859kB,184MB / 39.4MB,25
2026-06-21T15:43:58+08:00,rmqnamesrv,0.21%,266MiB / 15.4GiB,1.69%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:43:58+08:00,RPA-cadvisor,2.30%,287.6MiB / 15.4GiB,1.82%,3.71MB / 271MB,158MB / 20.2MB,28
2026-06-21T15:44:01+08:00,RPA-app,0.10%,14.68MiB / 2GiB,0.72%,6.89MB / 8.85MB,8.19kB / 0B,8
2026-06-21T15:44:01+08:00,RPA-pgdb,3.15%,43.77MiB / 15.4GiB,0.28%,3.58MB / 4.01MB,25.3MB / 29.9MB,12
2026-06-21T15:44:01+08:00,RPA-redis,0.11%,10.61MiB / 15.4GiB,0.07%,501kB / 197kB,10.6MB / 250kB,7
2026-06-21T15:44:01+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:01+08:00,RPA-alloy,0.33%,204.5MiB / 15.4GiB,1.30%,232kB / 1.31MB,584MB / 50.6MB,26
2026-06-21T15:44:01+08:00,RPA-loki,0.38%,130.1MiB / 15.4GiB,0.82%,1.68MB / 625kB,332MB / 34.2MB,25
2026-06-21T15:44:01+08:00,rmqbroker,3.95%,1.283GiB / 15.4GiB,8.33%,1.48MB / 2.68MB,125MB / 339MB,259
2026-06-21T15:44:01+08:00,rmqdashboard,0.07%,533.9MiB / 15.4GiB,3.39%,1.63MB / 890kB,193MB / 178MB,66
2026-06-21T15:44:01+08:00,RPA-prometheus,0.02%,325.6MiB / 15.4GiB,2.07%,272MB / 3.69MB,267MB / 107MB,26
2026-06-21T15:44:01+08:00,RPA-minio,0.00%,158.5MiB / 15.4GiB,1.01%,1.37MB / 875kB,184MB / 43MB,25
2026-06-21T15:44:01+08:00,rmqnamesrv,0.11%,265.5MiB / 15.4GiB,1.68%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:44:01+08:00,RPA-cadvisor,2.44%,267.3MiB / 15.4GiB,1.70%,3.72MB / 272MB,158MB / 20.2MB,28
