timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:44:38+08:00,RPA-app,1.85%,16.51MiB / 2GiB,0.81%,7.8MB / 10MB,8.19kB / 0B,8
2026-06-21T15:44:38+08:00,RPA-pgdb,1.15%,40.5MiB / 15.4GiB,0.26%,3.85MB / 4.65MB,25.3MB / 33.1MB,11
2026-06-21T15:44:38+08:00,RPA-redis,0.55%,17.63MiB / 15.4GiB,0.11%,682kB / 224kB,18MB / 479kB,7
2026-06-21T15:44:38+08:00,RPA-grafana,0.24%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:38+08:00,RPA-alloy,0.46%,205.1MiB / 15.4GiB,1.30%,239kB / 1.38MB,584MB / 50.7MB,26
2026-06-21T15:44:38+08:00,RPA-loki,0.34%,130.7MiB / 15.4GiB,0.83%,1.75MB / 631kB,332MB / 34.5MB,25
2026-06-21T15:44:38+08:00,rmqbroker,4.26%,1.283GiB / 15.4GiB,8.33%,1.49MB / 2.68MB,125MB / 340MB,259
2026-06-21T15:44:38+08:00,rmqdashboard,0.13%,534.1MiB / 15.4GiB,3.39%,1.63MB / 892kB,193MB / 179MB,66
2026-06-21T15:44:38+08:00,RPA-prometheus,0.00%,326MiB / 15.4GiB,2.07%,273MB / 3.7MB,267MB / 107MB,26
2026-06-21T15:44:38+08:00,RPA-minio,0.18%,158.7MiB / 15.4GiB,1.01%,1.37MB / 877kB,184MB / 46MB,25
2026-06-21T15:44:38+08:00,rmqnamesrv,0.12%,265.8MiB / 15.4GiB,1.69%,2.5MB / 1.9MB,211MB / 259MB,81
2026-06-21T15:44:38+08:00,RPA-cadvisor,2.22%,277.2MiB / 15.4GiB,1.76%,3.73MB / 272MB,158MB / 20.2MB,28
2026-06-21T15:44:38+08:00,script-k6-run-f9a4b3e4df90,1.88%,24.79MiB / 15.4GiB,0.16%,46.3kB / 24.6kB,0B / 0B,24
2026-06-21T15:44:42+08:00,script-k6-run-f9a4b3e4df90,1.19%,25MiB / 15.4GiB,0.16%,110kB / 53.2kB,0B / 0B,25
2026-06-21T15:44:42+08:00,RPA-app,1.67%,16.22MiB / 2GiB,0.79%,8.01MB / 10.2MB,8.19kB / 0B,8
2026-06-21T15:44:42+08:00,RPA-pgdb,3.19%,40.81MiB / 15.4GiB,0.26%,3.93MB / 4.83MB,25.3MB / 33.9MB,11
2026-06-21T15:44:42+08:00,RPA-redis,0.15%,17.87MiB / 15.4GiB,0.11%,682kB / 224kB,18MB / 483kB,7
2026-06-21T15:44:42+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:42+08:00,RPA-alloy,0.43%,205.2MiB / 15.4GiB,1.30%,240kB / 1.39MB,584MB / 50.7MB,26
2026-06-21T15:44:42+08:00,RPA-loki,0.39%,130.2MiB / 15.4GiB,0.83%,1.76MB / 632kB,332MB / 34.5MB,25
2026-06-21T15:44:42+08:00,rmqbroker,3.87%,1.283GiB / 15.4GiB,8.33%,1.49MB / 2.68MB,125MB / 340MB,259
2026-06-21T15:44:42+08:00,rmqdashboard,0.06%,533.9MiB / 15.4GiB,3.39%,1.64MB / 893kB,193MB / 179MB,66
2026-06-21T15:44:42+08:00,RPA-prometheus,0.00%,326MiB / 15.4GiB,2.07%,273MB / 3.7MB,267MB / 107MB,26
2026-06-21T15:44:42+08:00,RPA-minio,0.04%,158.7MiB / 15.4GiB,1.01%,1.37MB / 877kB,184MB / 46MB,25
2026-06-21T15:44:42+08:00,rmqnamesrv,0.12%,265.9MiB / 15.4GiB,1.69%,2.51MB / 1.91MB,211MB / 259MB,81
2026-06-21T15:44:42+08:00,RPA-cadvisor,1.63%,238.2MiB / 15.4GiB,1.51%,3.73MB / 272MB,158MB / 20.2MB,28
2026-06-21T15:44:45+08:00,script-k6-run-f9a4b3e4df90,1.25%,24.74MiB / 15.4GiB,0.16%,172kB / 85.1kB,0B / 0B,25
2026-06-21T15:44:45+08:00,RPA-app,1.61%,19.22MiB / 2GiB,0.94%,8.17MB / 10.3MB,8.19kB / 0B,8
2026-06-21T15:44:45+08:00,RPA-pgdb,1.05%,40.91MiB / 15.4GiB,0.26%,3.99MB / 4.96MB,25.3MB / 34.5MB,11
2026-06-21T15:44:45+08:00,RPA-redis,0.12%,17.62MiB / 15.4GiB,0.11%,682kB / 224kB,18MB / 483kB,7
2026-06-21T15:44:45+08:00,RPA-grafana,0.14%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:44:45+08:00,RPA-alloy,0.44%,205.8MiB / 15.4GiB,1.31%,240kB / 1.39MB,584MB / 50.7MB,26
2026-06-21T15:44:45+08:00,RPA-loki,0.43%,130.2MiB / 15.4GiB,0.83%,1.77MB / 632kB,332MB / 34.5MB,25
2026-06-21T15:44:45+08:00,rmqbroker,3.68%,1.283GiB / 15.4GiB,8.33%,1.49MB / 2.69MB,125MB / 340MB,259
2026-06-21T15:44:45+08:00,rmqdashboard,0.07%,533.9MiB / 15.4GiB,3.39%,1.64MB / 893kB,193MB / 179MB,66
2026-06-21T15:44:45+08:00,RPA-prometheus,0.00%,345.4MiB / 15.4GiB,2.19%,273MB / 3.7MB,267MB / 107MB,26
2026-06-21T15:44:45+08:00,RPA-minio,0.00%,158.7MiB / 15.4GiB,1.01%,1.37MB / 877kB,184MB / 46.5MB,25
2026-06-21T15:44:45+08:00,rmqnamesrv,0.12%,266.6MiB / 15.4GiB,1.69%,2.51MB / 1.91MB,211MB / 259MB,81
2026-06-21T15:44:45+08:00,RPA-cadvisor,40.25%,263MiB / 15.4GiB,1.67%,3.73MB / 273MB,158MB / 20.2MB,28
2026-06-21T15:44:48+08:00,script-k6-run-f9a4b3e4df90,1.22%,25.71MiB / 15.4GiB,0.16%,234kB / 116kB,0B / 0B,25
2026-06-21T15:44:48+08:00,RPA-app,1.48%,16.8MiB / 2GiB,0.82%,8.33MB / 10.4MB,8.19kB / 0B,8
2026-06-21T15:44:48+08:00,RPA-pgdb,2.71%,40.91MiB / 15.4GiB,0.26%,4.04MB / 5.05MB,25.3MB / 34.9MB,11
