timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-06-21T15:42:17+08:00,RPA-app,0.55%,16.2MiB / 2GiB,0.79%,5.05MB / 6.88MB,8.19kB / 0B,8
2026-06-21T15:42:17+08:00,RPA-pgdb,0.36%,37.82MiB / 15.4GiB,0.24%,2.82MB / 3.36MB,24.9MB / 26.2MB,11
2026-06-21T15:42:17+08:00,RPA-redis,0.51%,11.82MiB / 15.4GiB,0.07%,185kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:17+08:00,RPA-grafana,0.16%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:17+08:00,RPA-alloy,0.30%,197.4MiB / 15.4GiB,1.25%,212kB / 1.07MB,577MB / 50.3MB,26
2026-06-21T15:42:17+08:00,RPA-loki,0.40%,120.5MiB / 15.4GiB,0.76%,1.43MB / 606kB,332MB / 33MB,25
2026-06-21T15:42:17+08:00,rmqbroker,4.71%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.65MB,125MB / 337MB,259
2026-06-21T15:42:17+08:00,rmqdashboard,0.06%,533.7MiB / 15.4GiB,3.39%,1.61MB / 882kB,193MB / 178MB,66
2026-06-21T15:42:17+08:00,RPA-prometheus,0.00%,320.2MiB / 15.4GiB,2.03%,269MB / 3.65MB,265MB / 106MB,26
2026-06-21T15:42:17+08:00,RPA-minio,0.02%,146.9MiB / 15.4GiB,0.93%,1.03MB / 686kB,184MB / 32MB,25
2026-06-21T15:42:17+08:00,rmqnamesrv,0.11%,264.9MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:42:17+08:00,RPA-cadvisor,2.41%,265.9MiB / 15.4GiB,1.69%,3.68MB / 269MB,158MB / 20.2MB,28
2026-06-21T15:42:17+08:00,script-k6-run-11a49a4e65a7,1.64%,22.2MiB / 15.4GiB,0.14%,14.4kB / 13.2kB,4.1kB / 0B,23
2026-06-21T15:42:20+08:00,script-k6-run-11a49a4e65a7,1.19%,23.21MiB / 15.4GiB,0.15%,35.7kB / 32.5kB,4.1kB / 0B,24
2026-06-21T15:42:20+08:00,RPA-app,1.09%,16.59MiB / 2GiB,0.81%,5.12MB / 6.95MB,8.19kB / 0B,8
2026-06-21T15:42:20+08:00,RPA-pgdb,2.85%,39MiB / 15.4GiB,0.25%,2.86MB / 3.4MB,24.9MB / 26.2MB,11
2026-06-21T15:42:20+08:00,RPA-redis,0.13%,10.61MiB / 15.4GiB,0.07%,185kB / 89.7kB,10.6MB / 115kB,7
2026-06-21T15:42:20+08:00,RPA-grafana,0.15%,116.3MiB / 15.4GiB,0.74%,23.5MB / 268kB,464MB / 111MB,25
2026-06-21T15:42:20+08:00,RPA-alloy,0.46%,198MiB / 15.4GiB,1.26%,213kB / 1.07MB,577MB / 50.3MB,26
2026-06-21T15:42:20+08:00,RPA-loki,0.37%,121MiB / 15.4GiB,0.77%,1.44MB / 607kB,332MB / 33MB,25
2026-06-21T15:42:20+08:00,rmqbroker,3.76%,1.283GiB / 15.4GiB,8.33%,1.47MB / 2.65MB,125MB / 337MB,259
2026-06-21T15:42:20+08:00,rmqdashboard,0.07%,533.7MiB / 15.4GiB,3.39%,1.61MB / 882kB,193MB / 178MB,66
2026-06-21T15:42:20+08:00,RPA-prometheus,0.03%,322MiB / 15.4GiB,2.04%,269MB / 3.65MB,265MB / 106MB,26
2026-06-21T15:42:20+08:00,RPA-minio,0.00%,146.9MiB / 15.4GiB,0.93%,1.03MB / 686kB,184MB / 32MB,25
2026-06-21T15:42:20+08:00,rmqnamesrv,0.10%,264.7MiB / 15.4GiB,1.68%,2.47MB / 1.88MB,210MB / 259MB,81
2026-06-21T15:42:20+08:00,RPA-cadvisor,1.92%,271.2MiB / 15.4GiB,1.72%,3.68MB / 269MB,158MB / 20.2MB,28
